資料集識別碼,資料集名稱,提供機關,資料集描述,主要欄位說明,更新頻率,授權方式,備註,新增日期
113369,澎湖縣馬公市106年人口年齡層統計,澎湖縣政府,馬公市106年0-100歲人口年齡層統計,0~歲、5~9歲、10~14歲、15~19歲、20~24歲、25~29歲、30~34歲、35~39歲、40~44歲、45~49歲、50~54歲、55~59歲、60~64歲、65~69歲、70~74歲、75~79歲、80~84歲、85~89歲、90~94歲、95~99歲、100歲以上,每月,政府資料開放授權條款-第1版,無,20191218
113370,澎湖縣望安鄉106年人口年齡層統計,澎湖縣政府,人口年齡層統計,0~4歲、5~9歲、10~14歲、15~19歲、20~24歲、25~29歲、30~34歲、35~39歲、40~44歲、45~49歲、50~54歲、55~59歲、60~64歲、65~69歲、70~74歲、75~79歲、80~84歲、85~89歲、90~94歲、95~99歲、100歲以上,每月,政府資料開放授權條款-第1版,無,20191218
113371,澎湖縣望安鄉106年戶籍動態統計,澎湖縣政府,戶籍動態統計,戶數、人口數、遷入人數、遷出人數、出生總數、死亡人數、結婚對數、離婚對數,每月,政府資料開放授權條款-第1版,無,20191218
113372,澎湖縣馬公市106年戶籍動態統計,澎湖縣政府,戶籍動態統計,區域別、村里數、鄰數、戶數、性別、人口數、遷入人數、遷出人數、出生人數、死亡人數、結婚對數、離婚對數,每月,政府資料開放授權條款-第1版,無,20191218
113373,澎湖縣湖西鄉休閒趣處,澎湖縣政府,澎湖縣 湖西好鄉 村村好讚,澎湖縣 湖西好鄉 村村好讚,每日,政府資料開放授權條款-第1版,無,20191218
113374,澎湖縣湖西鄉災防訊息,澎湖縣政府,澎湖縣湖西鄉 避難收容場所 防救災據點,澎湖縣湖西鄉 避難收容場所 防救災據點,每日,政府資料開放授權條款-第1版,無,20191218
113375,澎湖縣馬公市106年各里現住人口數按性別及原住民身分分,澎湖縣政府,澎湖縣馬公市各里 現住人口數按性別及原住民身分分,區域別、性別、總計、區域人人口數、原住民合計、平地原住民、山地原住民,每月,政府資料開放授權條款-第1版,無,20191218
113376,澎湖縣飲料製造業工廠清冊,澎湖縣政府,至108年2月為止澎湖縣飲料製造業工廠登記,登記編號、工廠名稱、工廠地址、負責人、統一編號、登記核准日期、符合之產業類別,每日,政府資料開放授權條款-第1版,無,20191218
113377,澎湖縣食品製造業清冊,澎湖縣政府,至108年2月為止澎湖縣食品製造業工廠登記,登記編號、工廠名稱、工廠地址、負責人、統一編號、登記核准日期、符合之產業類別,每日,政府資料開放授權條款-第1版,無,20191218
113378,澎湖縣政府公共車船管理處行經機場公車時刻表,澎湖縣政府,依發車班次名稱概說行經路線至機場及機場至馬公終點發車時間,"班別(路線別)、,馬公總站至機場發車時間,行經路線,抵機場時間,機場至馬公總站發車時間,行經路線,抵馬公總站時間",每日,政府資料開放授權條款-第1版,無,20191218
113379,澎湖縣政府公共車船管理處交通船航班預定表,澎湖縣政府,每月交通船時間表-主要航線馬公至望安及七美船班,"年月,日期,星期 ,航班,船名,高雄→七美 ,馬公→望安 ,望安→七美 ,七美→望安 ,望安→馬公,七美→高雄,備註",每日,政府資料開放授權條款-第1版,無,20191218
113380,澎湖縣湖西鄉人口年齡層統計,澎湖縣政府,人口年齡層統計,年度、月份、總計、０～４歲、５～９歲、１０～１４歲、１５～１９歲、２０～２４歲、２５～２９歲、３０～３４歲、３５～３９歲、４０～４４歲、４５～４９歲、５０～５４歲、５５～５９歲、６０～６４歲、６５～６９歲、７０～７４歲、７５～７９歲、８０～８４歲、８５～８９歲、９０～９４歲、９５～９９歲、100歲以上,每日,政府資料開放授權條款-第1版,無,20191218
113381,澎湖縣湖西鄉戶籍動態統計,澎湖縣政府,戶籍動態統計,年度、月份、村別、戶數、人口數、遷入人數、遷出人數、嬰兒出生總數、死亡人數、結婚對數、離婚對數,每日,政府資料開放授權條款-第1版,無,20191218
113383,澎湖縣西嶼鄉戶籍動態統計,澎湖縣政府,戶籍動態統計,年度、月份、統計、戶數、人口數、遷入人數、遷出人數、嬰兒出生總數、死亡人數、結婚對數、離婚對數,每日,政府資料開放授權條款-第1版,無,20191218
113384,澎湖縣馬公市颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府,澎湖縣馬公市颱(洪)災害、地震災害避難收容場所一覽表,分級、避難收容場所名稱、建物名稱、管理單位、聯絡電話、面積(m2)、臨時收容(人)、中長期收容(人)、廚房(間)、餐廳(間)、盥洗設備(間)、哺育室(間)、一般廁所(間)、無障礙廁所(間)、導盲設施(式)、無障礙通道,每日,政府資料開放授權條款-第1版,無,20191218
113385,澎湖縣湖西鄉颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府,澎湖縣湖西鄉颱(洪)災害、地震災害避難收容場所一覽表,分級、避難收容場所名稱、建物名稱、管理單位、聯絡電話、面積(m2)、臨時收容(人)、中長期收容(人)、廚房(間)、餐廳(間)、盥洗設備(間)、哺育室(間)、一般廁所(間)、無障礙廁所(間)、導盲設施(式)、無障礙通道,每日,政府資料開放授權條款-第1版,無,20191218
113386,澎湖縣白沙鄉颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府,澎湖縣白沙鄉颱(洪)災害、地震災害避難收容場所一覽表,分級、避難收容場所名稱、建物名稱、管理單位、聯絡電話、面積(m2)、臨時收容(人)、中長期收容(人)、廚房(間)、餐廳(間)、盥洗設備(間)、哺育室(間)、一般廁所(間)、無障礙廁所(間)、導盲設施(式)、無障礙通道,每日,政府資料開放授權條款-第1版,無,20191218
113387,澎湖縣西嶼鄉颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府,澎湖縣西嶼鄉颱(洪)災害、地震災害避難收容場所一覽表,分級、避難收容場所名稱、建物名稱、管理單位、聯絡電話、面積(m2)、臨時收容(人)、中長期收容(人)、廚房(間)、餐廳(間)、盥洗設備(間)、哺育室(間)、一般廁所(間)、無障礙廁所(間)、導盲設施(式)、無障礙通道,每日,政府資料開放授權條款-第1版,無,20191218
113388,澎湖縣望安鄉颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府,澎湖縣望安鄉颱(洪)災害、地震災害避難收容場所一覽表,分級、避難收容場所名稱、建物名稱、管理單位、聯絡電話、面積(m2)、臨時收容(人)、中長期收容(人)、廚房(間)、餐廳(間)、盥洗設備(間)、哺育室(間)、一般廁所(間)、無障礙廁所(間)、導盲設施(式)、無障礙通道,每日,政府資料開放授權條款-第1版,無,20191218
113389,澎湖縣七美鄉颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府,澎湖縣七美鄉颱(洪)災害、地震災害避難收容場所一覽表,分級、避難收容場所名稱、建物名稱、管理單位、聯絡電話、面積(m2)、臨時收容(人)、中長期收容(人)、廚房(間)、餐廳(間)、盥洗設備(間)、哺育室(間)、一般廁所(間)、無障礙廁所(間)、導盲設施(式)、無障礙通道,每日,政府資料開放授權條款-第1版,無,20191218
113390,澎湖縣馬公市海嘯災害臨時避難處一覽表,澎湖縣政府,澎湖縣馬公市海嘯災害臨時避難處一覽表,避難收容場所名稱、建物名稱、管理單位、聯絡電話、面積(m2)、臨時收容(人),每日,政府資料開放授權條款-第1版,無,20191218
113391,澎湖縣湖西鄉海嘯災害臨時避難處一覽表,澎湖縣政府,澎湖縣湖西鄉海嘯災害臨時避難處一覽表,避難收容場所名稱、建物名稱、管理單位、聯絡電話、面積(m2)、臨時收容(人),每日,政府資料開放授權條款-第1版,無,20191218
113392,澎湖縣白沙鄉海嘯災害臨時避難處一覽表,澎湖縣政府,澎湖縣白沙鄉海嘯災害臨時避難處一覽表,避難收容場所名稱、建物名稱、管理單位、聯絡電話、面積(m2)、臨時收容(人),每日,政府資料開放授權條款-第1版,無,20191218
113393,澎湖縣望安鄉海嘯災害臨時避難處一覽表,澎湖縣政府,澎湖縣望安鄉海嘯災害臨時避難處一覽表,避難收容場所名稱、建物名稱、管理單位、聯絡電話、面積(m2)、臨時收容(人),每日,政府資料開放授權條款-第1版,無,20191218
113394,澎湖縣西嶼鄉海嘯災害臨時避難處一覽表,澎湖縣政府,澎湖縣西嶼鄉海嘯災害臨時避難處一覽表,避難收容場所名稱、建物名稱、管理單位、聯絡電話、面積(m2)、臨時收容(人),每日,政府資料開放授權條款-第1版,無,20191218
113395,澎湖縣七美鄉海嘯災害臨時避難處一覽表,澎湖縣政府,澎湖縣七美鄉海嘯災害臨時避難處一覽表,避難收容場所名稱、建物名稱、管理單位、聯絡電話、面積(m2)、臨時收容(人),每日,政府資料開放授權條款-第1版,無,20191218
113396,澎湖縣馬公市107年人口年齡層統計,澎湖縣政府,馬公市107年0-100歲以上人口年齡層統計,0~歲、5~9歲、10~14歲、15~19歲、20~24歲、25~29歲、30~34歲、35~39歲、40~44歲、45~49歲、50~54歲、55~59歲、60~64歲、65~69歲、70~74歲、75~79歲、80~84歲、85~89歲、90~94歲、95~99歲、100歲以上,每月,政府資料開放授權條款-第1版,無,20191218
113397,澎湖縣馬公市107年戶籍動態統計,澎湖縣政府,澎湖縣馬公市107年戶籍動態統計,區域別、里數、鄰數、性別、人口數、遷入人數、遷出人數、出生人數、死亡人數、結婚對數、離婚對數,每月,政府資料開放授權條款-第1版,無,20191218
113398,澎湖縣馬公市107年各里現住人口數按性別及原住身分分,澎湖縣政府,澎湖縣馬公市107年各里現住人口數按性別及原住身分分,區域別、性別、總計、區域人口數、原住民合計、平地原住民、山地原住民,每月,政府資料開放授權條款-第1版,無,20191218
113399,澎湖縣最近5年契稅綜合統計表,澎湖縣政府,澎湖縣最近5年契稅綜合統計表,澎湖縣、契稅,每年,政府資料開放授權條款-第1版,單位：仟元,20191218
113400,澎湖縣望安鄉107年人口年齡層統計,澎湖縣政府,人口年齡層統計,0~4歲、5~9歲、10~14歲、15~19歲、20~24歲、25~29歲、30~34歲、35~39歲、40~44歲、45~49歲、50~54歲、55~59歲、60~64歲、65~69歲、70~74歲、75~79歲、80~84歲、85~89歲、90~94歲、95~99歲、100歲以上,每月,政府資料開放授權條款-第1版,無,20191218
113401,澎湖縣望安鄉107年戶籍動態統計,澎湖縣政府,戶籍動態統計,戶數、人口數、遷入人數、遷出人數、出生總數、死亡人數、結婚對數、離婚對數,每月,政府資料開放授權條款-第1版,無,20191218
113402,澎湖縣最近5年地價稅稅源統計表*,澎湖縣政府,澎湖縣最近5年一般用地、自用住宅用地、事業用地、勞工宿舍用地、公共設施保留地等土地地價稅稅源概況,澎湖縣、地價稅稅源、稅務局、年報,每年,政府資料開放授權條款-第1版,單位：戶、公頃、新臺幣千元,20191218
113403,歷年模範公務人員,澎湖縣政府,榮獲行政院模範公務人員、榮獲澎湖縣模範公務人員,年度、服務機關、姓名、備註,每日,政府資料開放授權條款-第1版,無,20191218
113404,澎湖縣育有未滿二歲兒童育兒津貼申請情形,澎湖縣政府,澎湖縣育有未滿二歲兒童育兒津貼,育有未滿二歲兒童育兒津貼,每日,政府資料開放授權條款-第1版,無,20191218
113405,澎湖縣政府公共車船管理處公車時刻表,澎湖縣政府,依路線別分為上行馬公開及下行往馬公班次時間表,"上行-馬公開,馬公→外垵,馬公→通樑,馬公→沙港,馬公→風櫃,馬公→山水,馬公→龍門,馬公→尖山,馬公→青螺,馬公→太武 馬公→北寮,馬公→烏崁→馬公,馬公→前竂→馬公,馬公→光華→馬公,市區零路東,市區零路西",每日,政府資料開放授權條款-第1版,無,20191218
113406,澎湖馬公觀光商圈繁榮促進會會員名冊（第九屆）中文,澎湖縣政府,其資料包含編號、職稱、姓名、公司行號、住址、手機、電話,編號、職稱、姓名、公司行號、住址、手機、電話,每日,政府資料開放授權條款-第1版,無,20191218
113407,澎湖馬公觀光商圈繁榮促進會會員名冊（第九屆）英文,澎湖縣政府,其資料包含編號、職稱、姓名、公司行號、住址、手機、電話,編號、職稱、姓名、公司行號、住址、手機、電話,每日,政府資料開放授權條款-第1版,無,20191218
113408,澎湖馬公觀光商圈繁榮促進會會員名冊（第九屆)韓文,澎湖縣政府,其資料包含編號、職稱、姓名、公司行號、住址、手機、電話,編號、職稱、姓名、公司行號、住址、手機、電話,每日,政府資料開放授權條款-第1版,無,20191218
113409,澎湖縣觀光工廠,澎湖縣政府,其資料包含名稱、地址、電話、官網,名稱、地址、電話、官網,每日,政府資料開放授權條款-第1版,無,20191218
113410,澎湖縣電動機車充電處英文版,澎湖縣政府,提供環保交通工具電動機車的充電站地點位置,地址、數量,每日,政府資料開放授權條款-第1版,無,20191218
113411,澎湖縣旅遊服務中心資訊-英文版,澎湖縣政府,資料包含名稱、電話、(郵遞區號)地址及營運時間,名稱、電話、地址、營運時間,每日,政府資料開放授權條款-第1版,無,20191218
113412,澎湖縣婚紗攝影景點,澎湖縣政府,其資料包含景點名稱、地址、景點圖片、經度、緯度,景點名稱、地址、景點圖片、經度、緯度,每日,政府資料開放授權條款-第1版,無,20191218
113413,澎湖縣合法民宿名冊-英文版,澎湖縣政府,資料包含民宿名稱、電話、地址、座標、價格等資訊,民宿名稱、電話、地址、座標、價格等,每日,政府資料開放授權條款-第1版,無,20191218
113414,澎湖縣旅遊服務中心旅客諮詢人次及臨櫃人次,澎湖縣政府,其資料包含旅客中心、服務電話、地址、旅客諮詢人次(日平均)、旅客諮詢人次(月平均)、旺季平均人次(5~9月)、淡季平均人次(10~4月)、電話(年平均),旅客中心、服務電話、地址、旅客諮詢人次(日平均)、旅客諮詢人次(月平均)、旺季平均人次(5~9月)、淡季平均人次(10~4月)、電話(年平均),每日,政府資料開放授權條款-第1版,無,20191218
113415,澎湖縣合法一般旅館、飯店名冊(統計至107年7月31日)-英文版,澎湖縣政府,資料包含旅遊名稱、電話、地址、座標、房間數及價格等資訊,專用標示編號、星級、旅館名稱、營業地址、電話、傳真、房間總數、總容納人數、核准登記日期,每日,政府資料開放授權條款-第1版,無,20191218
113416,澎湖縣十大伴手禮-英文版,澎湖縣政府,提供澎湖縣包含年度(產品名十大伴手禮),產品名,每日,政府資料開放授權條款-第1版,無,20191218
113417,澎湖縣電動腳踏車租借場所,澎湖縣政府,其資料包含名稱、營業時間、地址、電話,名稱、營業時間、地址、電話,每日,政府資料開放授權條款-第1版,無,20191218
113418,澎湖縣十大伴手禮-法文版,澎湖縣政府,提供澎湖縣包含年度,產品名,每日,政府資料開放授權條款-第1版,無,20191218
113419,澎湖馬公觀光商圈繁榮促進會會員名冊（第九屆）日文,澎湖縣政府,其資料包含編號、職稱、姓名、公司行號、住址、手機、電話,編號、職稱、姓名、公司行號、住址、手機、電話,每日,政府資料開放授權條款-第1版,無,20191218
113420,澎湖縣電動機車充電處日文版,澎湖縣政府,提供環保交通工具電動機車的充電站地點位置,地址、數量,每日,政府資料開放授權條款-第1版,無,20191218
113421,澎湖縣觀光遊憩人次資料,澎湖縣政府,其資料包含107年航空人次、輪船人次、觀光客人次,月份、年度、航空人次、輪船人次、觀光客人次,每日,政府資料開放授權條款-第1版,無,20191218
113422,澎湖縣環保民宿,澎湖縣政府,其資料包含名稱、地址、電話,名稱、地址、電話,每日,政府資料開放授權條款-第1版,無,20191218
113423,澎湖縣旅遊服務中心資訊-法文版,澎湖縣政府,其資料包含名稱、電話、地址、營運時間,名稱、電話、地址、營運時間,每日,政府資料開放授權條款-第1版,無,20191218
113424,澎湖縣旅遊服務中心資訊-中文版,澎湖縣政府,其資料包含名稱、電話、地址、營運時間,名稱、電話、地址、營運時間,每日,政府資料開放授權條款-第1版,無,20191218
113425,澎湖縣商圈通訊錄,澎湖縣政府,其資料包含商圈名稱、組織或里辦公處、組織代表、職稱、連絡電話、傳真、手機、商圈通訊地址、電子信箱,社區名稱、組織名稱、組織人數、負責人/聯絡人、連絡電話、信箱、傳真、地址,每日,政府資料開放授權條款-第1版,無,20191218
113426,澎湖縣夜市導覽,澎湖縣政府,其資料包含名稱、地點,名稱、地點,每日,政府資料開放授權條款-第1版,無,20191218
113427,澎湖縣合法民宿名冊-法文版,澎湖縣政府,資料包含民宿名稱、電話、地址、座標、價格等資訊,民宿名稱、地址、連絡電話、傳真、手機、登記房間數、可容納人數、設立登記日期,每日,政府資料開放授權條款-第1版,無,20191218
113428,澎湖縣合法民宿名冊-日文版,澎湖縣政府,資料包含民宿名稱、電話、地址、座標、價格等資訊,民宿名稱、地址、連絡電話、傳真、手機、登記房間數、可容納人數、設立登記日期,每日,政府資料開放授權條款-第1版,無,20191218
113429,澎湖縣合法一般旅館、飯店名冊(統計至107年7月31日)-日文版,澎湖縣政府,資料包含旅館名稱、電話、地址、座標、房間數及價格等資訊,專用標是編號、星級、旅遊名稱、營業地址、電話、傳真、房間總數、總容納人數、核准登記日期,每日,政府資料開放授權條款-第1版,無,20191218
113430,澎湖縣合法一般旅館、飯店名冊(統計至107年7月31日)-中文版,澎湖縣政府,資料包含旅館名稱、電話、地址、座標、房間數及價格等資訊,專用標是編號、星級、旅遊名稱、營業地址、電話、傳真、房間總數、總容納人數、核准登記日期,每日,政府資料開放授權條款-第1版,無,20191218
113431,澎湖縣合法一般旅館、飯店名冊(統計至107年7月31日)-法文版,澎湖縣政府,資料包含旅館名稱、電話、地址、座標、房間數及價格等資訊,專用標是編號、星級、旅遊名稱、營業地址、電話、傳真、房間總數、總容納人數、核准登記日期,每日,政府資料開放授權條款-第1版,無,20191218
113432,澎湖縣十大伴手禮-日文版,澎湖縣政府,提供澎湖縣包含年度(產品名十大伴手禮),產品名,每日,政府資料開放授權條款-第1版,無,20191218
113433,澎湖縣十大伴手禮-中文版,澎湖縣政府,提供澎湖縣包含年度(產品名十大伴手禮),產品名,每日,政府資料開放授權條款-第1版,無,20191218
113434,澎湖縣西嶼鄉人口年齡層統計,澎湖縣政府,人口年齡層統計,年度、月份、統計、０～４歲、５～９歲、１０～１４歲、１５～１９歲、２０～２４歲、２５～２９歲、３０～３４歲、３５～３９歲、４０～４４歲、４５～４９歲、５０～５４歲、５５～５９歲、６０～６４歲、６５～６９歲、７０～７４歲、７５～７９歲、８０～８４歲、８５～８９歲、９０～９４歲、９５～９９歲、１００歲以上,每日,政府資料開放授權條款-第1版,無,20191218
113435,澎湖縣自行車租借場所,澎湖縣政府,澎湖縣自行車租借場所,名稱、地址、電話、營業時間、經度、緯度,每日,政府資料開放授權條款-第1版,無,20191218
113436,澎湖縣自行車休息站,澎湖縣政府,其資料包含名稱、地址、電話、營業時間、經度、緯度,名稱、地址、電話、營業時間、經度、緯度,每日,政府資料開放授權條款-第1版,無,20191218
113437,澎湖縣機車租借場所,澎湖縣政府,其資料包含名稱、地址、電話、營業時間、經度、緯度,名稱、地址、電話、營業時間、經度、緯度,每日,政府資料開放授權條款-第1版,無,20191218
113438,澎湖縣電動機車租借場所,澎湖縣政府,其資料包含名稱、地址、電話、營業時間、經度、緯度,名稱、地址、電話、營業時間、經度、緯度,每日,政府資料開放授權條款-第1版,無,20191218
113439,澎湖縣汽車租借場所,澎湖縣政府,其資料包含名稱、地址、電話、營業時間、經度、緯度,名稱、地址、電話、營業時間、經度、緯度,每日,政府資料開放授權條款-第1版,無,20191218
113440,澎湖縣合法民宿名冊-中文版,澎湖縣政府,其資料包含民宿名稱、電話、地址、座標、價格等資訊,民宿名稱、地址、連絡電話、傳真、手機、登記房間數、可容納人數、設立登記日期,每日,政府資料開放授權條款-第1版,無,20191218
113441,澎湖縣自行車道,澎湖縣政府,其資料包含路段名稱、路線、難易度、總計長度、建議等資料,路段名稱、路線、難易度、總計長度、建議等資料,每日,政府資料開放授權條款-第1版,無,20191218
113442,澎湖縣遊覽車公司名冊,澎湖縣政府,其資料包含名稱、地址、電話、營業時間、經度、緯度,名稱、地址、電話、營業時間、經度、緯度,每日,政府資料開放授權條款-第1版,無,20191218
113443,澎湖縣107學年度第2學期國民小學辦理兒童課後照顧服務班學校清單,澎湖縣政府,澎湖縣107學年度第2學期國民小學辦理兒童課後照顧服務班學校清單,編號、學校名稱,每日,政府資料開放授權條款-第1版,無,20191218
113444,澎湖縣廟宇資訊,澎湖縣政府,澎湖縣廟宇資訊,寺廟名稱、主祀神祇、配祀神祇、行政區、地址、教別、建別、組織型態、電話、負責人、其他,每日,政府資料開放授權條款-第1版,無,20191218
113464,預立醫療照護諮商(ACP),臺北市政府衛生局,預立醫療照護諮商機構,機構名稱、地址、電話,每月,政府資料開放授權條款-第1版,,20191218
113449,行政院消費者保護會-教育宣導-海報,行政院,提供行政院消費者保護會推動消費者保護教育宣導所製作的的海報平面資訊,,每年,政府資料開放授權條款-第1版,,20191218
113451,行政院消費者保護會-教育宣導-摺頁,行政院,提供行政院消費者保護會推動消費者保護教育宣導所製作的的摺頁平面資訊,,每年,政府資料開放授權條款-第1版,,20191218
