91911,法務部組織架構-資訊處簡介,CSV;CSV;CSV,https://www.moj.gov.tw/dl-33050-6fbf44689e4145339ffa6742510e276e.html;https://www.moj.gov.tw/dl-33051-8f9b08f485dd464c865b1ea0bf87b5bb.html;https://www.moj.gov.tw/dl-33052-5677ff8f5b06400eaf9b5aa0f326d7af.html,原始資料,法務部組織架構-資訊處簡介,說明、組織架構圖,法務部資訊處,即時,政府資料開放授權條款-第1版,免費,UTF-8;UTF-8;UTF-8,顏小姐,02-21910189#7453,,
92294,屏東縣地價稅歷年課稅級距表,ODS,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/144ee206-da90-4f53-9e91-474f00df1fd3.ods,系統介接程式,屏東縣102至107年地價稅課稅級距及適用稅率表,"課稅地價  稅率  累進差額",屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,免費,UTF-8,"王世琪 女士",08-7338086#610,,
92296,地價稅歷年開徵查定表,ODS;ODS;ODS;ODS;ODS,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/c2807382-6b70-4654-98a8-804d65706abf.ods;https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/223fc598-e26f-4b07-8437-897fdc252a7e.ods;https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/af3b1e99-7633-45a8-b5c3-2f072102ba87.ods;https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/44ab8dd1-5018-43e0-bcc3-13c274abdcfe.ods;https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/4cbb072f-2117-45fa-9f7b-f5452af6dcb0.ods,系統介接程式,屏東縣102年至106年地價稅開徵查定戶數及稅額統計表,"查定戶數  面積  查定稅額",屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,免費,UTF-8;UTF-8;UTF-8;UTF-8;UTF-8,"王世琪 女士",08-7338086#610,,
92297,房屋用途相近歸類表,ODS,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/a0b17c85-68ab-490e-8d25-5f4ea9c161c2.ods,系統介接程式,房屋用途相近歸類表,"未列房屋用途細類項目,歸類相近細類  ",屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,免費,UTF-8,"劉淑娟 女士",08-7338086#212,,
92298,房屋耐用年數及折舊率標準表,ODS,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/d4546913-33bf-4c7d-99f6-f90d57f3c9c6.ods,系統介接程式,房屋耐用年數及折舊率標準表,構造別、每年折舊率%、最低使用價格(殘值率%)、最高折舊年數(年),屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,免費,UTF-8,"劉淑娟 女士",08-7338086#212,,
92299,房屋地段等級表,ODS,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/44c01088-a192-4f3e-8035-a4f88480c427.ods,系統介接程式,房屋地段等級表,等級、增減率,屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,免費,UTF-8,"劉淑娟 女士",08-7338086#212,,
92300,房屋地段等級表附表,ODS,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/a9ba48a5-874f-44ea-b4bc-77d163e56151.ods,系統介接程式,房屋地段等級表附表,"等級,增減率  ",屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,免費,UTF-8,"劉淑娟 女士",08-7338086#212,,
92301,房屋稅徵績統計表,ODS,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/9b5d71fd-ed16-4591-83f6-4e991a6b365c.ods,系統介接程式,房屋稅徵績統計表,"查定數-戶(件)、數,查定數-本稅,徵起數-戶(件)、數,徵起數-本稅  ",屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,免費,UTF-8,"劉淑娟 女士",08-7338086#212,,
92302,屏東縣107年度第3季房地交易課稅情形季報表,ODS,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/2a254cb6-3bba-42d1-972f-6357f24ec0e7.ods,系統介接程式,屏東縣107年度第3季房地交易課稅情形季報表,土地增值稅、買賣契稅,屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,免費,UTF-8,"林 女士",08-7338086#620,,
92303,104年度屏東縣土地增值稅稅源統計表,ODS,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/b068d1f0-86a5-4281-b289-2cc1feb0b969.ods,系統介接程式,104年度屏東縣土地增值稅稅源統計表,屏東縣、土地增值稅、面積、筆數、應納稅額,屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,免費,UTF-8,"林 女士",08-7338086#620,,
92304,印花稅103年第1季徵收季報表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/a1eeeaa6-2590-4694-9aa6-8a119c33e514.csv,系統介接程式,印花稅103年第1季徵收季報表,"彙總繳稅額  大額繳納",屏東縣政府財稅局,每季,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086-322,,
92305,印花稅103年第2季徵收季報表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/fea50990-b88e-4572-a1fb-e81486c36a64.xls,系統介接程式,印花稅103年第2季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每季,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086-322,,
92306,印花稅103年第3季徵收季報表,XLS,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/0582f97b-72e3-4df1-9674-9e7598ddf9f9.xls,系統介接程式,印花稅103年第3季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每季,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086-322,,
92307,印花稅103年第4季徵收季報表,XLS,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/adff8d3a-9912-4fe9-83f4-65c3fe2cef16.xls,系統介接程式,印花稅103年第4季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086-322,,
92308,印花稅104年第1季徵收季報表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/37d2a581-e7af-4501-a9b0-8e3e01bd6a00.csv,系統介接程式,印花稅104年第1季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086-322,,
92309,印花稅104年第2季徵收季報表,XLS,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/34166ce6-ca3b-4a4b-82ef-fd17c09348cf.xls,系統介接程式,印花稅104年第2季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每季,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086-322,,
92311,印花稅104年第4季徵收季報表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/0060a384-9267-487a-8186-9d627d788703.csv,系統介接程式,印花稅104年第4季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每季,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086-322,,
92312,印花稅105年第1季徵收季報表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/c738bab9-855a-4534-b5a7-586d7e295758.csv,系統介接程式,印花稅105年第1季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每季,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92313,印花稅105年第2季徵收季報表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/2bb60036-6a60-41bf-9366-74173c2b62c1.csv,系統介接程式,印花稅105年第2季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每季,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92314,印花稅105年第3季徵收季報表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/ec174633-fbf4-41f0-a7bb-163a26ed80e6.csv,系統介接程式,印花稅105年第3季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每季,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92315,印花稅105年第4季徵收季報表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/a9ad4d3f-3d33-4c3c-b24a-4aeb788c1a86.csv,系統介接程式,印花稅105年第4季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每季,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92316,印花稅106年第1季徵收季報表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/c0b48e09-14b1-4f75-b11a-cb25406691be.csv,系統介接程式,印花稅106年第1季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每季,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92317,印花稅106年第2季徵收季報表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/f8b3cc4b-d97f-4d7e-ad79-8db8e5886644.csv,系統介接程式,印花稅106年第2季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每季,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92318,印花稅106年第3季徵收季報表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/2d0e83b1-3330-40f9-b325-0c3ac9b27136.csv,系統介接程式,印花稅106年第3季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每季,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92319,印花稅106年第4季徵收季報表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/4722f6f5-5835-466a-9e00-6709ef44530d.csv,系統介接程式,印花稅106年第4季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每季,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92320,印花稅107年第1季徵收季報表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/b7cdf6d0-482e-4424-aaf4-f692e5f94080.csv,系統介接程式,印花稅107年第1季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每季,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92321,印花稅107年第2季徵收季報表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/b1094311-7ff8-45f7-a417-7088d9af43a9.csv,系統介接程式,印花稅107年第2季徵收季報表,"彙總自繳稅額  大額繳納",屏東縣政府財稅局,每季,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92322,103年01月娛樂稅稅源表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/acd4ee7a-c701-404c-9813-74f56fc710c9.csv,系統介接程式,103年01月娛樂稅稅源表,"電影0  歌廳1  撞球場2  保齡球館3  高爾夫球場4  舞廳舞場5  電子遊戲機6  有節目餐飲業7  視聽視唱業8  其他9  臨時公演    ",屏東縣政府財稅局,每月,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92323,103年02月娛樂稅稅源表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/522ecd1a-fc5b-47a9-a414-7f147d3548c1.csv,系統介接程式,103年02月娛樂稅稅源表,"電影0  歌廳1  撞球場2  保齡球館3  高爾夫球場4  舞廳舞場5  電子遊戲機6  有節目餐飲業7  視聽視唱業8  其他9  臨時公演  ",屏東縣政府財稅局,每月,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92324,103年03月娛樂稅稅源表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/d653746a-38ea-4fa6-8e7f-fc7efbd799cb.csv,系統介接程式,103年03月娛樂稅稅源表,"電影0  歌廳1  撞球場2  保齡球館3  高爾夫球場4  舞廳舞場5  電子遊戲機6  有節目餐飲業7  視聽視唱業8  其他9  臨時公演  ",屏東縣政府財稅局,每月,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92325,103年04月娛樂稅稅源表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/a75a49a4-22eb-4de4-934c-bfb00c0211c4.csv,系統介接程式,103年04月娛樂稅稅源表,"電影0  歌廳1  撞球場2  保齡球館3  高爾夫球場4  舞廳舞場5  電子遊戲機6  有節目餐飲業7  視聽視唱業8  其他9  臨時公演  ",屏東縣政府財稅局,每月,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92326,103年05月娛樂稅稅源表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/ed8dd93c-d4ef-4227-901e-d7e90f4f31a7.csv,系統介接程式,103年05月娛樂稅稅源表,"電影0  歌廳1  撞球場2  保齡球館3  高爾夫球場4  舞廳舞場5  電子遊戲機6  有節目餐飲業7  視聽視唱業8  其他9  臨時公演  ",屏東縣政府財稅局,每月,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92327,103年06月娛樂稅稅源表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/e58cb140-fe61-4b41-89fd-fbd7bfab1e53.csv,系統介接程式,103年06月娛樂稅稅源表,"電影0  歌廳1  撞球場2  保齡球館3  高爾夫球場4  舞廳舞場5  電子遊戲機6  有節目餐飲業7  視聽視唱業8  其他9  臨時公演  ",屏東縣政府財稅局,每月,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92328,103年07月娛樂稅稅源表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/59ced95d-669d-42c1-afa3-53a8ac766cf3.csv,系統介接程式,103年07月娛樂稅稅源表,"電影0  歌廳1  撞球場2  保齡球館3  高爾夫球場4  舞廳舞場5  電子遊戲機6  有節目餐飲業7  視聽視唱業8  其他9  臨時公演  ",屏東縣政府財稅局,每月,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92329,103年8月娛樂稅稅源表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/c6d48192-6b5d-4022-8930-99a5bd7c85b2.csv,系統介接程式,103年08月娛樂稅稅源表,"電影0  歌廳1  撞球場2  保齡球館3  高爾夫球場4  舞廳舞場5  電子遊戲機6  有節目餐飲業7  視聽視唱業8  其他9  臨時公演  ",屏東縣政府財稅局,每月,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92330,103年09月娛樂稅稅源表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/cd7d4490-449c-40db-a86b-74fe61c17c11.csv,系統介接程式,103年09月娛樂稅稅源表,"電影0  歌廳1  撞球場2  保齡球館3  高爾夫球場4  舞廳舞場5  電子遊戲機6  有節目餐飲業7  視聽視唱業8  其他9  臨時公演  ",屏東縣政府財稅局,每月,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92331,103年10月娛樂稅稅源表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/c5450aa6-63af-4796-8e8f-954464e6b13b.csv,系統介接程式,103年10月娛樂稅稅源表,"電影0  歌廳1  撞球場2  保齡球館3  高爾夫球場4  舞廳舞場5  電子遊戲機6  有節目餐飲業7  視聽視唱業8  其他9  臨時公演  ",屏東縣政府財稅局,每月,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92332,103年11月娛樂稅稅源表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/0196dbc5-465c-459a-b138-64208afda6ef.csv,系統介接程式,103年11月娛樂稅稅源表,"電影0  歌廳1  撞球場2  保齡球館3  高爾夫球場4  舞廳舞場5  電子遊戲機6  有節目餐飲業7  視聽視唱業8  其他9  臨時公演  ",屏東縣政府財稅局,每月,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92333,103年12月娛樂稅稅源表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/eea7acb4-16cf-4190-b6aa-ceb1d7b43c1b.csv,系統介接程式,103年12月娛樂稅稅源表,"電影0  歌廳1  撞球場2  保齡球館3  高爾夫球場4  舞廳舞場5  電子遊戲機6  有節目餐飲業7  視聽視唱業8  其他9  臨時公演  ",屏東縣政府財稅局,每月,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92334,屏東縣各公所地價稅查定數,ODS,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/3ca4595a-2131-4ab6-ada1-2cf608765da4.ods,系統介接程式,屏東縣33公所103年至107年地價稅開徵查定件數及查定稅額,"地價稅  鄉鎮市  查定件數  查定稅額",屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,免費,UTF-8,"王世琪 女士",08-7338086#610,,
92335,房屋稅籍統計表,ODS,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/47b9a5cc-0d54-4f9a-be43-85d65fa6d457.ods,系統介接程式,房屋稅籍統計表,類別-構造、戶數、面積、現值,屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,免費,UTF-8,"劉淑娟 女士",08-7338086#212,,
92336,房屋稅最近5年查定統計表,ODS,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/3e9959c2-8c8d-4820-9171-046032d902eb.ods,系統介接程式,房屋稅最近5年查定統計表,"年度別,戶數,面積,現值,稅額  ",屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,免費,UTF-8,"劉淑娟 女士",08-7338086#212,,
92337,104年01月娛樂稅稅源表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/ff682920-0b92-4e51-b7a3-1cf647b2c5cb.csv,系統介接程式,104年01月娛樂稅稅源表,"電影0  歌廳1  撞球場2  保齡球館3  高爾夫球場4  舞廳舞場5  電子遊戲機6  有節目餐飲業7  視聽視唱業8  其他9  臨時公演  ",屏東縣政府財稅局,每月,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92338,104年02月娛樂稅稅源表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/a3060d1c-cc2c-4236-8a12-6591d95935bd.csv,系統介接程式,104年02月娛樂稅稅源表,"電影0  歌廳1  撞球場2  保齡球館3  高爾夫球場4  舞廳舞場5  電子遊戲機6  有節目餐飲業7  視聽視唱業8  其他9  臨時公演  ",屏東縣政府財稅局,每月,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
92339,104年03月娛樂稅稅源表,CSV,https://www-ws.pthg.gov.tw/Upload/2015pthg/0/relfile/0/0/fb5632a9-0050-440b-88ec-04290b2b1ce9.csv,系統介接程式,104年03月娛樂稅稅源表,"電影0  歌廳1  撞球場2  保齡球館3  高爾夫球場4  舞廳舞場5  電子遊戲機6  有節目餐飲業7  視聽視唱業8  其他9  臨時公演  ",屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,免費,UTF-8,"林育萍 女士",08-7338086#322,,
