資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
130595,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區正義北路300-3號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區正義北路300-3號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130596,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區正義北路319號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區正義北路319號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130597,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區正義北路324號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區正義北路324號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130598,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區正義北路86號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區正義北路86號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130599,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區成功路171號-173號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區成功路171號-173號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130600,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區自強路1段246號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區自強路1段246號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130601,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區自強路3段67號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區自強路3段67號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130602,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區信義街57號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區信義街57號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130603,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區重陽路1段138號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區重陽路1段138號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130604,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區重新路2段14號1樓,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區重新路2段14號1樓,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130605,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區集成路47號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區集成路47號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130606,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區新北大道1段3號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區新北大道1段3號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130608,新北市幼兒常規疫苗接種合約醫療院所-新北市三峽大學路87號1樓,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三峽大學路87號1樓,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130609,新北市幼兒常規疫苗接種合約醫療院所-新北市三峽中華路13-6號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三峽中華路13-6號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130610,新北市幼兒常規疫苗接種合約醫療院所-新北市三峽光明路20號1樓,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三峽光明路20號1樓,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130611,新北市幼兒常規疫苗接種合約醫療院所-新北市三峽區復興路399號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三峽區復興路399號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130612,新北市幼兒常規疫苗接種合約醫療院所-新北市三峽學成路329號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三峽學成路329號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130613,新北市幼兒常規疫苗接種合約醫療院所-新北市土城區中央路1段67-2號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市土城區中央路1段67-2號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130614,新北市幼兒常規疫苗接種合約醫療院所-新北市土城區中央路2段177巷22號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市土城區中央路2段177巷22號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130615,新北市幼兒常規疫苗接種合約醫療院所-新北市土城區中央路2段312號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市土城區中央路2段312號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130616,新北市幼兒常規疫苗接種合約醫療院所-新北市土城區延和路112號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市土城區延和路112號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130617,新北市幼兒常規疫苗接種合約醫療院所-新北市土城區金城路2段250號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市土城區金城路2段250號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130618,新北市幼兒常規疫苗接種合約醫療院所-新北市土城區金城路2段380號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市土城區金城路2段380號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130619,新北市幼兒常規疫苗接種合約醫療院所-新北市土城區金城路2段396號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市土城區金城路2段396號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130620,新北市幼兒常規疫苗接種合約醫療院所-新北市土城區金城路3段176-1號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市土城區金城路3段176-1號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130621,新北市幼兒常規疫苗接種合約醫療院所-新北市土城區裕民路144號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市土城區裕民路144號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130622,新北市幼兒常規疫苗接種合約醫療院所-新北市土城區裕民路83號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市土城區裕民路83號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130623,新北市幼兒常規疫苗接種合約醫療院所-新北市土城區學府路1段188號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市土城區學府路1段188號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130624,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區大勇街23號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區大勇街23號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130625,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區中山路3段94號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區中山路3段94號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130626,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區中山路二段551號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區中山路二段551號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130627,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區中正路122號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區中正路122號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130628,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區中正路291號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區中正路291號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130629,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區中安街8號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區中安街8號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130630,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區安平路89號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區安平路89號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130632,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區自立路37號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區自立路37號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130633,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區自強路58號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區自強路58號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130634,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區宜安路134-1號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區宜安路134-1號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130635,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區保健路73巷73號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區保健路73巷73號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130636,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區南山路45號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區南山路45號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130637,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區南華路21號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區南華路21號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130638,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區莒光路154號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區莒光路154號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130639,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區連城路356號1F,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區連城路356號1F,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130640,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區景平路485號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區景平路485號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130641,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區景安路215號1樓,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區景安路215號1樓,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130642,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區景安路229號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區景安路229號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130643,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區景新街465號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區景新街465號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130644,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區興南路一段124號1F,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區興南路一段124號1F,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130645,新北市幼兒常規疫苗接種合約醫療院所-新北市中和區興南路二段29號1樓,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市中和區興南路二段29號1樓,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130646,新北市幼兒常規疫苗接種合約醫療院所-新北市五股區五福路34號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市五股區五福路34號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130647,新北市幼兒常規疫苗接種合約醫療院所-新北市五股區成泰路2段61號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市五股區成泰路2段61號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
