ID,開放建議標題,建議資料集名稱,建議開放的欄位,建議原因,瀏覽次數,建議者,發表時間,派發機關,分派狀態,回復狀態
7958,政府電子採購資料,政府電子採購資料,得標廠商名單、單位、金額、品名、限制性招標與否,為何有太多限制性招標公司，不透明化!,9035,w****,2014/03/0508:23,行政院公共工程委員會,已分派,已回復
7967,開放平臺網站使用統計紀錄,開放平臺網站使用統計紀錄,訪客數流量絕對不重複下載數,現在只能下載到最近30天內的統計紀錄，<br/>無法看到長期的發展趨勢<br/>其他國家的開放平台上都有完整的長期統計紀錄,1771,s****,2014/03/0709:55,本平臺營運窗口,已分派,已回復
7971,請開放健保資料庫去個資化資料,開放健保資料庫去個資化資料,各種病科每日就診人數、紀錄、死亡紀綠、藥品紀錄，要以每天，以行政區做區分,國外都有開放類似資料,3241,w****,2014/03/1109:53,衛生福利部,已分派,已回復
8006,請開放交通流量資料,每個點位監測交通流量資料,即時交通流量，市道、省道、國道,英國及美國開放此資料，造成每年平均讓民眾減少35小時的塞車時間,6336,w****,2014/03/1208:13,本平臺營運窗口,已分派,已回復
8007,請開放大學各科系入學、畢業人數每年資料,大學各科系入學、畢業人數每年資料<br/>各大學每年預算數、教師數,入學人數、每年註冊人數、每年畢業人數<br/>各大學每年預算數、教師數,可進行教育類的分析及探討,3422,w****,2014/03/1208:16,教育部,已分派,已回復
8008,請開放桃園機場客運量日統計,桃園機場客運量日統計,桃園機場入境、出境過境旅客人數與前年同日相比,日資料才有統計應用上的意義及價值,2785,w****,2014/03/1208:24,交通部,已分派,已回復
8009,請開放捷運站各站每日進出資料,台北及高雄捷運站各站每日進出資料,台北及高雄捷運站各站每日進出資料,國外每天都有公布，即時抓取<br/>建議每日可公布，逐時資料較大，或可採取須付費方式開放,2624,w****,2014/03/1208:26,本平臺營運窗口,已分派,已回復
8016,建議開放即時交通事故通報及歷史交通事故資料,即時交通事故通報資料及及歷史交通事故資料,每個交通事故點、去個資的車輛及人名、時間地點、事故原因,美國紐約開放此項資料，可讓加值服務者運用此資料進行數據運算，讓民眾減少塞車時間,2382,w****,2014/03/1309:27,"內政部,交通部",已分派,已回復
8018,請開放公務人員各職務之月薪,公務人員的薪水,各層級公務人員的月薪及加給，包含國營事業單位，及其績效獎金,英國開放此項資料，獲致好大好評，是政府透明化的一部分,2428,w****,2014/03/1322:00,行政院人事行政總處,已分派,已回復
8019,請開放1999問題資料,1999資料庫,1999資料庫、每日詢問內容、處理情形、項目,開放此資料可以提供民眾知道那些問題，對大數據運算有很大用處,1443,w****,2014/03/1322:02,本平臺營運窗口,已分派,已回復
8020,請開放各工廠空氣污染物排放資料,各工廠空氣污染物排放資料,工廠經緯度、各種大氣污染物的年排放量、逐年的變化情形,可以讓民眾了解排放的情況,2931,w****,2014/03/1322:07,行政院環境保護署,已分派,已回復
8021,請開放鐵路局，每個車站每日搭乘人數資料,鐵路局，每個車站每日搭乘人數資料,每個車站每日搭乘人數資料，應該至少有十年的資料,可以分析各站的流量及社會變化情況,2620,w****,2014/03/1322:10,交通部,已分派,已回復
8022,請開放最小行政區的每日用電電量資料,台電公司最小行政區的每日用電電量資料,每日用電電量資料,可以讓民眾了解自身的用電情形，進行比較，美國有相當多的能源服務公司因此而起,2979,w****,2014/03/1322:15,經濟部,已分派,已回復
8023,建議開放每日各加油站的加油油量資料,各加油站的加油油量資料,各加油站位置、公司名、加油油量資料,可以分析用油習慣,2478,w****,2014/03/1322:17,經濟部,已分派,已回復
8024,請衛福部開放每日猝死人數,每日猝死人數,最小行政區內每日猝死人數,可以分析猝死原因之相關,1456,w****,2014/03/1322:27,衛生福利部,已分派,已回復
8025,請提供全國各警察機關測速執法超速或闖紅燈每日資料,全國各警察機關測速執法超速或闖紅燈每日資料,編號、設置位置、轄區單位、每日紀錄、過去十年資料,可以分析國人用路行為，減少事故率發生,1969,w****,2014/03/1322:31,內政部,已分派,已回復
8026,請開放交通事故資料,交通事故資料，以每小時、每日等，分年齡、事故型態,傷亡人數按年齡組別性別性別特定年齡組的傷亡統計數據2012<br/>每小時傷亡按年齡組別傷亡統計數據按年齡組2012小時數據<br/>每小時道路交通事故按類型按類型2012年道路交通事故統計時的數據,看看韓國已經開放的細緻程度，希望我國可以加油!,2082,w****,2014/03/1409:09,內政部,已分派,已回復
8027,請開放我國各機場入出境每日人數資料,各機場入出境每日人數資料,各機場、每日入境、每日出境、國籍人數,美國有開放此項資料!可以做資料分析，服務民眾，建議隔日更新一次,3346,w****,2014/03/1507:52,內政部,已分派,已回復
8028,請開放各景點旅遊統計資料,各景點旅遊統計資料,各景點統計人數,請看日本已開放本項資料<br/>http://www.data.go.jp/data/dataset?groups=mlit_04_gr_131126_00010396&organization=org_1900,2188,w****,2014/03/1508:00,交通部,已分派,已回復
8029,請開放教育統計資料,學校教育調查資料,請參照以下資料,請參酌日本文部省開放之資料<br/><br/>http://www.data.go.jp/data/dataset/mext_07_ds_131126_00007255<br/><br/><br/>平成１0年度_高等教育機関_学校調査_大学・大学院<br/><br/>データとリソース<br/><br/>類型別学校数XLS<br/>このリソースには説明がありません<br/>調べる<br/>学生数別学校数XLS<br/>このリソースには説明がありません<br/>調べる<br/>昼夜別学生数XLS<br/>このリソースには説明がありません<br/>調べる<br/>大学の学部数XLS<br/>このリソースには説明がありません<br/>調べる<br/>大学院の研究科数XLS<br/>このリソースには説明がありません<br/>調べる<br/>都道府県別学校数及び学生数XLS<br/>このリソースには説明がありません<br/>調べる<br/>都道府県別学部学生数XLS<br/>このリソースには説明がありません<br/>調べる<br/>都道府県別大学院学生数XLS<br/>このリソースには説明がありません<br/>調べる<br/>学部別学生数XLS<br/>このリソースには説明がありません<br/>調べる<br/>関係学科別学生数XLS<br/>このリソースには説明がありません<br/>調べる<br/>学部別最低在学年限超過学生数XLS<br/>このリソースには説明がありません<br/>調べる<br/>研究科別大学院学生数XLS<br/>このリソースには説明がありません<br/>調べる<br/>専攻分野別大学院学生数XLS<br/>このリソースには説明がありません<br/>調べる<br/>研究科別最低在学年限超過学生数XLS<br/>このリソースには説明がありません<br/>調べる<br/>学部別高校卒業年別入学志願者数XLS<br/>このリソースには説明がありません<br/>調べる<br/>学部別高校卒業年別入学者数XLS<br/>このリソースには説明がありません<br/>調べる<br/>関係学科別入学者数XLS<br/>このリソースには説明がありません<br/>調べる<br/>出身高校の所在地県別入学者数XLS<br/>このリソースには説明がありません<br/>調べる<br/>学部別編入学者数XLS<br/>このリソースには説明がありません<br/>調べる<br/>研究科別大学院入学状況XLS<br/>このリソースには説明がありません<br/>調べる<br/>専攻分野別大学院入学状況XLS<br/>このリソースには説明がありません<br/>調べる<br/>専攻分野別出身大学の設置者別大学院入学状況XLS<br/>このリソースには説明がありません<br/>調べる<br/>関係学科別外国人学生数（大学）XLS<br/>このリソースには説明がありません<br/>調べる<br/>国籍別関係学科別外国人学生数（大学）XLS<br/>このリソースには説明がありません<br/>調べる<br/>専攻分野別外国人学生数（大学院）XLS<br/>このリソースには説明がありません<br/>調べる<br/>国籍別専攻分野別外国人学生数（大学院）XLS<br/>このリソースには説明がありません<br/>調べる<br/>職名別教員数XLS<br/>このリソースには説明がありません<br/>調べる<br/>職名別外国人教員数XLS<br/>このリソースには説明がありません<br/>調べる<br/>休職教員数（本務者）XLS<br/>このリソースには説明がありません<br/>調べる<br/>都道府県別教員数（本務者）XLS<br/>このリソースには説明がありません<br/>調べる<br/>学部別教員数（本務者）XLS<br/>このリソースには説明がありません<br/>調べる<br/>都道府県別職員数（本務者）XLS<br/>このリソースには説明がありません<br/>調べる<br/>職務別職員数XLS<br/>このリソースには説明がありません,1332,w****,2014/03/1508:53,教育部,已分派,已回復
8030,請開放各縣市公車動態API,公車動態的API,公車、垃圾車、毒物車等動態的API,"有的部分有開放，但需申請，例如台北市還限制須滿20歲，要提計畫書，不合於資料開放的原則，請協助處理。<br/><br/>本資料係代替網友反應<br/><br/>http://www.dot.taipei.gov.tw/public/mmo/dot/申請介接臺北市即時交通資訊作業說明1021022版.pdf<br/>他這邊寫道<br/>""一、申請對象<br/>本項服務開放予政府機關、學術機構、營利及非營利性構，以及年滿20歲以上，已完成電子資訊應用產品開發之具中華民國國籍之自然人申請。""<br/><br/>要是20歲而且程式要開發好<br/>但是像我16歲就沒辦法申請<br/>而且說程式要開發好，但是他不給API根本沒辦法開發<br/><br/>之前Email去問也說得不清不楚",8667,w****,2014/03/1518:58,"嘉義市政府,基隆市政府,屏東縣政府,彰化縣政府,桃園市政府,澎湖縣政府,臺東縣政府,花蓮縣政府,苗栗縣政府,雲林縣政府,臺南市政府",已分派,已回復
8031,請開放台灣的電力資料,提供目前各電廠運轉狀態、反應爐功率、發電量等即時資訊。<br/><br/>,資料時間、廠別及機組、運轉狀態、功率(%)、發電量(MWe),國際上開放電力資料可以創造電力加值服務，讓電力使用更透明化，減少不必要的誤解,1925,w****,2014/03/1709:37,經濟部,已分派,已回復
8033,請開放外交部歷年援外資料,外交部歷年援外資料,外交部歷年援外資料,請參考日本外交部公開的資料<br/>http://www.data.go.jp/data/dataset/mofa_01_ds_131126_00005171,1332,w****,2014/03/1719:30,外交部,已分派,已回復
8034,請開放我國開放資料的時程及逐步開放資料集規劃,開放資料的時程及逐步開放資料集規劃,開放資料的時程及逐步開放資料集規劃,請參考日本內閣官房長官之開放資料，可讓民眾知道開放資料的進度及規劃<br/>http://www.data.go.jp/data/en/dataset/cas_99_ds_131211_00000017,1529,w****,2014/03/1719:40,國家發展委員會,已分派,已回復
8035,請開放各區域大型醫院每日急診數人數,各區域大型醫院每日急診數人數,各區域大型醫院每日急診數人數,請參考新加坡開放之資料<br/>http://data.gov.sg/Metadata/SGMatadata.aspx?id=0408030000000013855W&mid=101667&t=TEXTUAL,1812,w****,2014/03/1719:53,衛生福利部,已分派,已回復
8037,請開放氣象雷達資料,氣象雷達資料,level2的雷達資料,請參考美國開放level2資料，讓民間做運用<br/>http://www.ncdc.noaa.gov/oa/radar/radardata.html,2502,w****,2014/03/1819:31,交通部,已分派,已回復
8038,請開放火災事件資料,火災事件資料,火災事件、去個資地點、原因、報案時間、抵達時間、傷亡人數等,"請參照美國開放之Fireincedentcasedata2009<br/><br/>開放此資料可創造消防加值服務，可讓消防需求透明化<br/><br/>The2009USFireAdministrationFire(USFA)FireIncident&CauseDatawasprovidedbytheU.S.FireAdministration's(USFA)NationalFireDataCenter's(NFDC's)NationalFireIncidentReportingSystemhasnumerousdataelementsthatdetailfireincidentsforexample,thefiredepartment,fireincident,theoccupants,structureandequipmentused,hazardmaterialinvolvedandcasualtydetails.NationalFireIncidentReportSystem(NFIRS)isavoluntarytoolfiredepartmentsusetoreportfiresandotherincidentstowhichfiredepartmentsrespondandtomaintainrecordsofinauniformmannerwiththeprimaryobjectivestohelpStateandlocalgovernmentscreatefirereportingandanalysiscapabilities;andobtaindatathatcanbeusedtomoreaccuratelyassessandcombatthefireproblematanationallevel.AlsoprovidedareahostofdocumentstohelpunderstandthedataincludingtheNFIRS5.0FireDataAnalysisGuidelinesandIssues.<br/><br/>http://www.fema.gov/ar/media-library/assets/documents/34110",2673,w****,2014/03/1821:21,內政部,已分派,已回復
8053,希望開放醫事人員執業資料,希望開放醫事人員執業資料,1.姓名2.醫事人員類別(例如:西醫師)3.性別4.專科資格(例如:泌尿科)5.執業登記場所(例如:衛生福利部屏東醫院)6.執業登記場所地址7.執業登記科別(例如:泌尿科)8.執業狀況,希望透過開發資料，建立醫療社群，更可進一步導入LBS與醫療資源評價的概念。讓民眾更方便的查詢適合的醫生。也可以隨時瞭解該醫生的狀況。使醫療資源可以更有效的被應用，也可以讓民眾在就醫的時候有一個具體可以參考的評價依據。而相關醫事人員的資料，其實在衛福部網站皆可搜尋，但有搜尋限制，導致資料使用不便。欲實現開放資料之目標，相信此為一具體可以實現的資料。<br/><br/><br/><br/>請問，每一篇都看到類似這樣的回覆，到底目前進度如何，是否可以回報狀況？不要讓我們感覺只是應付性的每一篇都回同樣的內容。卻無法得知到底什麼時候，相關資料可以開放！<br/>關於您在”我還想要…”新增之討論主題—“XXXXXX”，已請主管機關研議辦理，相關辦理情形將請主管機關回復說明，謝謝。<br/><br/>,3829,A****,2014/03/2204:35,衛生福利部,已分派,已回復
8054,請開放我國能源資料,我國能源資料,請參照美國EIA開放之內容,"請參照美國EIA開放之API<br/><br/>http://www.eia.gov/beta/api/<br/><br/>Introductiontoapi.eia.gov<br/><br/>TheU.S.EnergyInformationAdministrationiscommittedtomakingitsdataavailablethroughanApplicationProgrammingInterface(API)tobetterserveourcustomers.AnAPIallowscomputerstomoreeasilyaccessourpublicdata.BymakingEIAdataavailableinthismachine-readableformat,thecreativityintheprivate,thenon-profit,andthepublicsectorscanbeharnessedtofindnewwaystoinnovateandcreatevalue-addedservicespoweredbypublicdata.<br/><br/>Currently,EIA'sAPIcontainstwomaindatasets:<br/><br/>408,000electricityseriesorganizedinto29,000categories<br/>30,000StateEnergyDataSystemseriesorganizedinto600categories<br/>115,052petroleumseriesandassociatedcategories<br/>11,989naturalgasseriesandassociatedcategories<br/>132,331coalseriesandassociatedcategories(releasedFeb25,2014)",2387,w****,2014/03/2310:02,經濟部,已分派,已回復
8055,請開放歷屆檢驗各類商品不合格紀錄名單,歷屆檢驗各類商品不合格紀錄名單,抽檢日期(頻率)、廠商、抽樣地點、商品名稱、不合格原因詳細說明、處置情形,EX：市售不合格農產品之檢出情形及抽樣地點<br/>102年11月份....<br/>102年12月份....<br/>103年1月份....<br/>EX：不合格化妝品名單<br/>101年度...<br/>102年度...<br/><br/>希望各類檢驗結果都可以紀錄下來<br/>幫助民眾選擇哪些商品別買、哪些不合格廠商是累犯等等<br/>進一步嚇止不肖業者<br/>,4167,s****,2014/03/2319:00,"經濟部,衛生福利部",已分派,已回復
8056,請開放歷年詳細交通事故地點資料,歷年詳細交通事故地點資料,交通事故日期、時間、肇事路段、死亡人數、受傷人數、車種、肇事因素,原先資料過於簡略，無法對政府施政進行更有效的使用<br/><br/>提供5年內(死亡人數在3人以上、死亡及受傷人數在10人以上或受傷人數15人)--->改為交通事故即可<br/><br/>，以及運送之危險物品爆炸、燃燒，或有毒液(氣)體、放射性物質洩漏等重大交通事故地點資料,1925,w****,2014/03/2417:29,內政部,已分派,已回復
8057,公開能源站的數量、位置、種類、使用量,我國各種能源的能源提供地點、位置、每年提供之能源種類,我國各種能源的能源提供地點、位置、每年提供之能源種類、使用請形。<br/>例如每一加油站之提供9598等，之每年提供量,請參考美國能源局公開之資料<br/>這對能源公開透明及公眾參與評估有很大幫助<br/>http://www.afdc.energy.gov/data/10332,2457,w****,2014/03/2612:00,經濟部,已分派,已回復
8058,請公開兩岸服貿協議各項對台灣產業有益或有害之評估,兩岸服貿協議對台灣產業之利弊評估,服貿協議開放項目、對我國至大陸有益、或是開放大陸來台不利等詳細評估數據,開放本資料將有助於基本的討論或辯證基本資料，如果有委託智庫研究單位研究報告也可以公開提供，讓大眾知道相關之研究方式、結果。<br/>有利於基礎數據之討論，避免文宣式的宣導，易產生誤解。<br/>也是減少爭議、透明化的方式之一。,2309,w****,2014/03/2618:43,"經濟部,衛生福利部",已分派,已回復
8068,每篇內容幾乎都是已請主管機關研議辦理，相關辦理情形將請主管機關回復說明,每篇內容幾乎都是已請主管機關研議辦理，相關辦理情形將請主管機關回復說明，到底什麼時候會有進度或者是實際結果？煩請說明，謝謝。,每篇內容幾乎都是已請主管機關研議辦理，相關辦理情形將請主管機關回復說明，到底什麼時候會有進度或者是實際結果？煩請說明，謝謝。,每篇內容幾乎都是已請主管機關研議辦理，相關辦理情形將請主管機關回復說明，到底什麼時候會有進度或者是實際結果？煩請說明，謝謝。,1579,A****,2014/03/2901:41,未派發,已分派,未回復
8069,請開放大學助學貸款資料,大學助學貸款資料,OPEIDSchoolStateZipCodeSchoolTypeRecipients#ofLoansOriginated$ofLoansOriginated#ofDisbursements$ofDisbursementsRecipients#ofLoansOriginated$ofLoansOriginated#ofDisbursements$ofDisbursementsRecipients#ofLoansOriginated$ofLoansOriginated#ofDisbursements$ofDisbursementsRecipients#ofLoansOriginated$ofLoansOriginated#ofDisbursements$ofDisbursementsRecipients#ofLoansOriginated$ofLoansOriginated#ofDisbursements$ofDisbursements,開放此資料可以了解學生財務現況，可開放分析研議<br/>美國已經開放，請參照<br/>http://catalog.data.gov/dataset/federal-student-loan-program-data<br/>如尚無資料，也請說明何時可以整理完成,3248,w****,2014/03/3009:42,教育部,已分派,已回復
8070,請開放各縣市垃圾車資訊API,各縣市垃圾車資訊API,"垃圾車編號/車牌號,資源回收車編號/車牌號,停靠點,回收站,時刻表,GPS動態資訊,等",便民服務,4243,d****,2014/03/3011:22,本平臺營運窗口,已分派,已回復
8071,請開放食品營養成分資料庫,食品營養成分資料庫,全部營養成分資料,食物健康漸被國人重視，開放此資料能讓各餐飲業者、消費者衍生新的服務及資訊整理，並作為飲食的參考。,4031,,2014/03/3023:23,衛生福利部,已分派,已回復
8076,請開放總統府能耗資料,總統府能耗資料,總統府能耗資料、每小時電力使用量,因應氣候變遷，總統府積極節能減碳有成，可仿效英國首相開放之資料<br/><br/>請參照<br/>http://data.gov.uk/dataset/cabinet-office-energy-use/resource/f156019d-ea88-46a6-8fa3-3d12582e2161,1206,w****,2014/03/3123:43,總統府,已分派,已回復
8078,請開放政府首長出差旅行搭乘大眾運具報告,政府首長出差旅行搭乘大眾運具報告,政府首長出差旅行搭乘大眾運具，例如飛機、高鐵、火車及住宿等資料及花費,這是行政透明化的第一步，可參照英國首相府公布的相關資料，對開放資料有其代表性意義，也請最高首長反映，排除萬難，開放此資料。<br/><br/>http://data.gov.uk/dataset/cabinet-office-senior-officials-travel-report/resource/e49e03cd-1438-4063-918b-9e0a69c0547c,1313,w****,2014/03/3123:50,"總統府,行政院",已分派,已回復
8079,請開放行政首長,請開放行政首長接受餽贈、款待、旅遊或與非政府組織在總統府之會議時間及其目的,接受禮品、款待、旅遊和與非政府組織在總統府之會議時間及其目的,可參照美國白宮、英國首相等開放之資料<br/>請參照<br/><br/>http://data.gov.uk/dataset/ministerial-data-cabinet-office/resource/c52c85bb-2fc5-4cec-a991-caf236549e0e,1441,w****,2014/03/3123:59,"總統府,行政院",已分派,已回復
8082,請開放台灣流感速訊內之統計資料,台灣流感速訊,流感病毒分型趨勢數據、流感併發症依發病週個案數、流感併發症依年齡別發生率、門診及急診類流感病例百分比,可將原來之統計pdf表格資料，以csv等資料釋出，包含歷史及最新更新資料。<br/>相關資料可提供分析使用，並可提供大眾查詢或警戒留意<br/><br/>英國及美國都有相關之資料提供了,1670,w****,2014/04/0200:44,衛生福利部,已分派,已回復
8086,請開放歷年經濟預測資料,歷年經濟預測資料,預測GDP，歲收、支出等資料,請參照美國政府開放之資料<br/>http://catalog.data.gov/dataset/history-of-economic-forecasts,1907,w****,2014/04/0419:10,"行政院主計總處,國家發展委員會",已分派,已回復
8090,請財政部開放各級政府單位每年靠資料收費的歲入,各級政府單位每年靠資料收費的歲入,資料名稱、申請次數、資料費用、年收入、歷年收入,可以知道各種有價資料的產值，對政府實質的效益，如果開放資料後，是否效益遠大於收資料的費用,1505,w****,2014/04/0823:47,財政部,已分派,已回復
8098,請開放教育部體育署鐵馬自行車道路資訊,鐵馬自行車道路資訊<br/>http://www1.sa.gov.tw/TaiwanBike/index.aspx<br/>,自行車道路名稱、簡介、挑戰指數、總計長度、路面狀況、重點提醒。<br/>若有沿途公共建設(ex洗手間、飲水機)等資訊建議一併發布。,自行車風氣盛行，開於此資料對於國人週休假日去處為良好建議。,1615,p****,2014/04/1412:12,教育部,已分派,已回復
8101,請開放各部門所有男女工作人員比例,各部門男女工作人員比例,單位，性別，人數，比例,為促進女性權益，推動女性福利權和平等權，請協助開放政府公部門男女工作人員的比例。謝謝,3042,l****,2014/04/1517:57,行政院人事行政總處,已分派,已回復
8102,請開放落雷監測資料,台灣落雷即時監測及歷史資料,即時監測及歷史資料，雲對雲，雲對地、經緯度、時間,原有資料收費，使用者少，建議開放，創造使用者，造福台灣社會大眾,5879,w****,2014/04/1806:30,經濟部,已分派,已回復
8104,請提供未來10年景氣預測分析資料集,未來10年景氣預測分析資料集,1.年度2.社會影響3.產業動態4.經濟影響5.人口分布,評估及研究使用,1691,e****,2014/04/1812:32,國家發展委員會,已分派,已回復
8110,請提供總統府提供我國近六年因應氣候變遷政府的施政預算,我國因應氣候變遷政府的施政預算,減緩項目、調適項目、預算、單位,各國多由總統提出面對氣候變遷的整體政策規劃，例如歐巴馬、卡麥隆及日本首相等，提出項目及預算。才能比較我國面對氣候變遷到底因應了多少，才能對照黃金十年政策。,1203,w****,2014/04/2111:49,總統府,已分派,已回復
8123,請提供癌症登記線上互動查詢系統之資料,衛生福利部國民健康署癌症登記線上互動查詢系統之癌症資料庫<br/>網址:https://cris.hpa.gov.tw/pagepub/Home.aspx,"癌症發生/死亡人數,數值希望以患者戶籍地/就醫地(至少到鄉鎮等級)、癌症種類、性別、年齡、年份分類","1.當前該系統可以查詢單筆資料但由於資料集龐大,若想做全國性資料分析,需要礦日費時的下載資料。<br/>2.該資料可應用於表現生活指標及環境指標，是為商業應用價值高之資料。<br/>3.目前查詢出來會得到HTML表格與圖表，匯出則是Microsoftexcel或pdf檔。希望可以改用csv或json格式提供。",2550,t****,2014/05/0323:49,衛生福利部,已分派,已回復
8126,公共場所AED位置資訊,公共場所AED位置,場所名稱<br/>位置<br/>場所地址<br/>場所經緯度<br/>場所網址<br/>AED放置地點<br/>AED地點描述<br/>全年全天開放大眾使用<br/>開放使用時間<br/>資料建立時間,建議提供應用單位加值應用，並廣為宣傳AED設置,1970,s****,2014/05/0711:43,衛生福利部,已分派,已回復
8153,紅綠燈資訊,各縣市紅綠燈資訊,時段對應之紅綠燈狀態及持續時間,可用來做改善交通之數據來源，希望未來可擴增為即時資訊,5538,p****,2014/05/2217:34,"嘉義市政府,基隆市政府,屏東縣政府,彰化縣政府,桃園市政府,澎湖縣政府,臺東縣政府,花蓮縣政府,苗栗縣政府,雲林縣政府,臺南市政府",已分派,已回復
8179,請開放各公司列管毒性化學物質盤查清單,列管毒性化學物質,統編、地址、公司名稱、列管物質編號、名稱及數量,當有使用列管物質的廠商發生災害時<br/>救援需針對不同物質而有不同因應之做法<br/>透過列管物質資訊的公開可讓救援行動更安全更迅速,1463,g****,2014/06/0915:43,行政院環境保護署,已分派,已回復
8188,請提供有辦理營業登記商家及是否使用統一發票資料集,有辦理營業登記商家及是否使用統一發票資料集,營業人統一編號、負責人姓名、營業人名稱、營業（稅籍）登記地址、登記營業項目、是否使用統一發票,1.公司行號日常交易間，為避免取得虛設行號開立之憑證，及確認交易對象是否應使用統一發票，目前可透過財政部稅務入口網之公示資料查詢專區查詢交易對象有無辦理營業登記及是否使用統一發票，但逐筆上網查證該交易憑證是否合法相當耗費人力及時間。<br/>2.請開放有辦理營業登記商家及其是否使用統一發票之資料集，除便於企業即時控管交易之合法性，並可避免與不合法商家交易。<br/>,1961,i****,2014/06/1010:24,財政部,已分派,已回復
8211,請提供台江國家公園界線,台江國家公園範圍shapefile,台江國家公園範圍shapefile，分陸域及海域,其他國家公園均有資料釋出，唯台江國家公園完全沒有，懇請補足。,1618,w****,2014/06/1310:46,內政部,已分派,已回復
