15-29歲青年勞工就業狀況調查,"['9565', '120009']"
勞保局校園深耕勞動保障說明會,['43100']
勞保局業務調整對照表,['37861']
勞保局行事曆,['42795']
勞保局請託關說登錄專區,['54745']
勞保局雙語詞彙,['64021']
勞保年金預定入帳日,['40325']
勞保投保薪資分級表,['6258']
勞保暨就保保費、滯納金及墊償基金應收己收統計表(類別序),['15220']
勞保現金給付1次給付(不含差額金),['92172']
勞保現金給付1次給付(差額金),['93935']
勞保老年給付試算管道,['33378']
勞保老年給付趨勢分析統計表,['13325']
勞保職災醫療給付介紹,['34048']
勞保費轉帳扣款成功件數,['46607']
勞動力發展數位服務平台教材相關資訊及會員觀看人次及時數累計,['18573']
勞動力發展署-新聞稿,['11205']
勞動力發展署-最新消息,['11204']
勞動力發展署-法規查詢,['11206']
勞動力發展署及所屬對民間團體及個人之補(捐)助情形季報表,['45215']
勞動力發展署及所屬會計月報,['32300']
勞動力發展署及所屬決算概況,['18901']
勞動力發展署及所屬預算概況,['12559']
勞動力發展署委託或補助訓練單位辦訓成效之星等評鑑,"['40307', '62932']"
勞動力發展署就業服務據點資訊,['24562']
勞動力發展署所屬分署自辦在職訓練課程資訊,['6614']
勞動力發展署政府服務獎評審結果,['54219']
勞動力發展署業務報告,['6613']
勞動力發展署自辦職前訓練班級資料,"['42811', '92041']"
勞動力與創新期刊,['36177']
勞動及職業安全衛生研究所_各年度研究報告,['6154']
勞動及職業安全衛生研究所各年度單位決算,['21145']
勞動及職業安全衛生研究所各年度單位預算,['21146']
勞動及職業安全衛生研究所單位預算,['12659']
勞動及職業安全衛生研究所會計月報,"['21129', '31631']"
勞動基準法洽詢管道,['40187']
勞動基準法相關假別表,['40189']
勞動基準法第84條之1核定工作者,['6280']
勞動基準法適用公告,['6279']
勞動基準法適用原則,['40188']
勞動基金運用局單位會計月報,['21236']
勞動基金運用局單位決算,['13237']
勞動基金運用局單位預算(法定預算),['12259']
勞動基金運用局單位預算案,['21306']
勞動基金運用局性別統計表,['13238']
勞動市場概況企業資訊,['40184']
勞動檢查事業單位違反勞動基準法及勞工安全衛生法移送處分情形(年度),['41525']
勞動檢查管理統計數據,['21049']
勞動統計刊物,['7885']
勞動統計名詞對照表,['40123']
勞就保保險費分擔金額表,['6259']
勞就保爭議審議案件結果查詢,['40180']
勞工保險保險費欠費單位數量及欠費金額統計月報表,['14263']
勞工保險單位、人數,['13351']
勞工保險基金國內投資股票類別,['30813']
勞工保險基金年度經營概況,['57162']
勞工保險基金投資運用情形,['13223']
勞工保險基金每月經營概況,['31700']
勞工保險基金社會責任投資(SRI)比例,['33546']
勞工保險失能給付標準第3條附表,['37863']
勞工保險局e化服務系統諮詢,['37864']
勞工保險局作業基金會計月報,['19448']
勞工保險局作業基金附屬單位決算,['28321']
勞工保險局作業基金附屬單位預算,['11239']
勞工保險局保有及管理個人資料之項目彙整表,['11235']
勞工保險局公務預算支付之補助,['37862']
勞工保險局公務預算會計月報,['19447']
勞工保險局單位決算,['28320']
勞工保險局單位預算,['11238']
勞工保險局委託代收、轉帳保險費金融機構一覽表,['6268']
勞工保險局廉政會報設置要點,['11234']
勞工保險局業務說明會相關資訊,['13319']
勞工保險局業管年金給付介紹,['6062']
勞工保險局積欠工資墊償當年各月墊償統計資料,['6448']
勞工保險局補助職業工會辦理勞工保險業務行政事務費統計表,['11237']
勞工保險局附屬單位決算,['11242']
勞工保險平均投保薪資,"['33357', '33371']"
勞工保險年金給付初次核付人數,['13324']
勞工保險應計保險費,['33360']
勞工保險投保人數及投保薪資,['119861']
勞工保險投保單位、人數及平均投保薪資原始統計資料,['100999']
勞工保險投保單位數及人數,"['33368', '33369']"
勞工保險投保單位數及人數-按規模,['33370']
勞工保險法令規章,['54765']
勞工保險生育給付件數,['36842']
勞工保險生育給付金額,['37877']
勞工保險監理會委員名單,['41642']
勞工保險監理會會議紀錄,['41526']
勞工保險統計年報,['11245']
勞工保險職業傷害給付人次,"['13333', '13334']"
勞工保險職業災害住院給付件數、金額,['13357']
勞工保險職業災害住院給付件數、金額(年齡),['13358']
勞工保險職業災害住院給付件數、金額(行業),['13359']
勞工保險職業災害門診給付件數、金額,['13360']
勞工保險職業災害門診給付件數、金額(年齡),['13361']
勞工保險職業災害門診給付件數、金額(行業),['13362']
勞工保險職業病種類表,['13326']
勞工保險職業病給付人次,"['13331', '13332']"
勞工保險被保險人因執行職務而致傷病審查準則,['37876']
勞工保險預防職業病健康檢查之檢查對象及項目,['6270']
勞工保險預防職業病健檢給付件數、金額,['13363']
勞工保險預防職業病健檢給付件數、金額(年齡),['13364']
勞工保險預防職業病健檢給付件數、金額(行業),['13365']
勞工健康體能常模-反應、平衡、心肺耐力等級表,['40596']
勞工健康體能常模-肌力與肌耐力等級表,['40593']
勞工健康體能常模-腰部活動度與身體柔軟度等級表,['40595']
勞工健康體能常模-身體組成等級表,['40591']
勞工健康體能常模-頸部活動度等級表,['40594']
勞工安全衛生技術叢書,['6622']
勞工安全衛生教育訓練單位評鑑結果績優名單,['6341']
勞工安全衛生研究季刊,['6642']
勞工安全衛生研究年報,['7886']
勞工安全衛生簡訊,['6621']
勞工志願服務概況,"['40174', '40175']"
勞工服務中心服務件數,"['40172', '40173']"
勞工特殊健康檢查健康管理分級列第3級以上人員統計數據,['43261']
勞工生活及就業狀況調查,['9819']
勞工申訴陳情案件處理情形按行業分(年度),['41524']
勞工育樂中心訊息,['6056']
勞工退休基金國內投資股票類別,['30814']
勞工退休準備金提撥率及專戶餘額統計,['33379']
勞工退休準備金管理統計表,['24041']
勞工退休金個人專戶資料查詢量統計表(勞動保障卡、郵政金融卡、自然人憑證),['34049']
勞工退休金個人提繳人數,"['13354', '34050']"
勞工退休金平均提繳工資,"['46102', '46103']"
勞工退休金應計提繳金額,"['46104', '46105']"
勞工退休金提停繳申報作業,['8171']
勞工退休金提繳人數,"['34051', '34052', '34053', '34054', '34055', '34056']"
勞工退休金提繳人數(不含重複提繳),['13355']
勞工退休金提繳單位、提繳人數、提繳工資、提繳金額概況,['34057']
勞工退休金提繳統計年報,['102667']
勞工退休金月提繳分級表,['6274']
勞工退休金服務電話,['6447']
勞工退休金核發概況表,"['13338', '46099', '46100', '46101']"
勞工退休金核發統計年報、年齡、核發種類,['102668']
勞工退休金條例第50條罰鍰案件統計表,['24040']
勞工退休金欠費移送行政執行案件統計表,['13339']
勞工退休金歷年月提繳分級表,['13335']
勞工退休金繳款單補單方式,['13336']
勞工退休金繳納方式,['6272']
勞工退休金請領程序,['8172']
勞工退休金雇主提繳人數,"['13353', '34058']"
勞工體格及健康檢查認可醫療機構,['6624']
勞工體格及健康檢查醫護人員之認可訓練機構名單,['43260']
勞資會議家數,"['40145', '40148']"
勞資會議資料集,['27506']
勞資爭議人數,"['40164', '40166']"
勞資爭議件數,"['40156', '40158']"
勞資爭議件數、人數,['40149']
勞資關係動態資訊,['40185']
勞退個人專戶查詢管道,['6273']
勞退各類退休金核發金額級距分析表,['34059']
勞退條例第50條罰鍰案件基本資料檔LaborFine-案件統計表,['41899']
勞雇雙方協商減少工時概況,['40169']
協助低收入戶或中低收入戶中有工作能力者就業人數,['111336']
危險性機械設備型式檢查合格製造人名冊,['6687']
危險性機械資料統計數據,['26853']
危險性設備資料統計數據,['26842']
即測即評及發證技能檢定各梯次、職類、期程異動公告,['10100']
參加農保會員非會員人數統計表,['37875']
受僱員工人數、每人每月薪資-不動產業(按職類別分),['41694']
受僱員工人數、每人每月薪資-住宿及餐飲業(按職類別分),['41691']
受僱員工人數、每人每月薪資-其他服務業(按職類別分),['41700']
受僱員工人數、每人每月薪資-出版、影音製作、傳播及資通訊服務業(按職類別分),['41692']
受僱員工人數、每人每月薪資-專業、科學及技術服務業(按職類別分),['41695']
受僱員工人數、每人每月薪資-批發及零售業(按職類別分),['41689']
受僱員工人數、每人每月薪資-支援服務業(按職類別分),['41696']
受僱員工人數、每人每月薪資-教育業(按職類別分),['41697']
受僱員工人數、每人每月薪資-營建工程業(按職類別分),['41688']
受僱員工人數、每人每月薪資-用水供應及污染整治業(按職類別分),['41687']
受僱員工人數、每人每月薪資-礦業及土石採取業(按職類別分),['6648']
受僱員工人數、每人每月薪資-藝術、娛樂及休閒服務業(按職類別分),['41699']
受僱員工人數、每人每月薪資-製造業(按職類別分),['41685']
受僱員工人數、每人每月薪資-運輸及倉儲業(按職類別分),['41690']
受僱員工人數、每人每月薪資-醫療保健業(按職類別分),['41698']
受僱員工人數、每人每月薪資-金融及保險業(按職類別分),['41693']
受僱員工人數、每人每月薪資-電力及燃氣供應業(按職類別分),['41686']
受理漁會個人欠費暨繳納申報統計表,['14268']
受理職業工會個人欠費暨繳納申報統計表,['14267']
受理農會個人欠費暨繳納申報統計,['17340']
台灣勞工季刊,['6296']
台灣地區僱有勞工事業單位按行業與地區分(年度),['43250']
台灣地區靜態2維頭部尺寸資料,['40585']
台灣就業通網站單1簽入網站清冊,['57289']
台灣就業通網站職缺清單,['44062']
各分署自行辦理之職前訓練課程,"['6615', '43552']"
各勞動檢查機構通報專線,['41461']
各國顱顏尺寸資料,['40584']
各地方勞工主管機關勞工退休準備金管理統計表,['24042']
各地方勞工服務中心諮詢服務概況統計表,['24043']
各地方勞工行政主管機關職工福利業務承辦人聯絡方式,['24039']
各地方政府設置違反性別工作平等法申訴聯絡窗口,['40186']
各失能等級之給付標準,['45748']
各機關公款補助團體私人情形季報表,['11217']
各類別勞保欠費單位數分析表,['14261']
各類別就保欠費單位數分析表,['14262']
同1被保險人核貸次數分析表,['46764']
呼吸防護具用標準頭型,['40586']
嚴重特殊傳染性肺炎防治及紓困振興特別預算,['122610']
因應嚴重特殊傳染性肺炎協助專區紓困措施進度,['126598']
國內主要經濟指標,['13228']
國內主要金融指標,['30815']
國內債券年度發行概況,['57171']
國內債券每月發行概況,['31895']
國內公開發行公司股票年度發行概況,['57170']
國內公開發行公司股票每月發行概況,['31894']
國外人力仲介公司認可名冊,['6683']
國家訓練品質獎,['6617']
國民年金保險各項年金給付每月核定案件及給付金額統計資料,['13348']
國民年金保險基金國內投資股票類別,['30816']
國民年金保險基金年度經營概況,['57169']
國民年金保險基金投資運用情形,['13227']
國民年金保險基金支付之補助,['37874']
國民年金保險基金會計月報,['19452']
國民年金保險基金每月經營概況,['31705']
國民年金保險基金社會責任投資(SRI)比例,['33547']
國民年金保險基金附屬單位決算,['11244']
國民年金保險基金附屬單位預算,['11241']
國民年金保險被保險人應負擔保險費金額表,['6407']
國民年金保險費代收及轉帳代繳金融機構一覽表,['6267']
國民年金投保日數統計表,['13345']
國民年金核付人數及金額之統計表,['94202']
國民年金業務服務電話,['8173']
國民年金歷年月投保金額、保險費率及被保險人每月自付保險費金額,['36841']
國民年金生育給付每月核定案件及給付金額統計資料,['37872']
國民年金老年基本保證年金及原住民給付新申請案件統計表,['13346']
國民年金老年基本保證年金及原住民給付每月核定案件及給付金額統計資料,['13347']
國民年金被保險人保險費收繳情形-按人數,['13344']
國民年金被保險人保險費收繳情形-按金額,['13343']
國民年金被保險人數及被保險人應計保險費,['98674']
國民年金被保險人申請分期繳納保險費件數統計表,['17231']
國民年金遺屬年金給付新申請案件被保險人資格分析,['37871']
國際主要國家貨幣年度匯率概況,['57172']
國際主要國家貨幣每月匯率概況,['31897']
國際主要股價指數,['31899']
團體協約資料集,['27507']
基本工資之制定與調整經過,['6281']
基本工資審議委員會,['41651']
基本工資工作小組,['41650']
墊付外國人收容費用情形,['20518']
增列勞工保險職業病種類項目,['13327']
外勞轉換雇主資料,['6609']
外國籍員工參加勞工保險應檢附證明文件一覽表,['40322']
外國籍被保險人人數統計,['13321']
外籍勞工管理及運用調查,['30841']
外籍被保險人應繳保險費統計表,['13320']
多元就業開發方案計畫提案說明會資訊,['6610']
大事紀,['11216']
大量解僱通報資料集,['27505']
大量解僱預警通報資料,['27508']
失業勞工子女就學補助概況統計表,['24035']
失業認定統計,['44759']
安全資料表資料庫,['40582']
安衛單位(人員)備查名冊,['6686']
完成申報之動力堆高機案件清單,['26332']
完成申報之動力衝剪機械之光電式安全裝置案件清單,['26337']
完成申報之動力衝剪機械案件清單,['26329']
完成申報之手推刨床案件清單,['26330']
完成申報之木材加工用圓盤鋸案件清單,['26331']
完成申報之研磨機案件清單,['26333']
完成申報之研磨輪案件清單,['26334']
完成申報之防爆電氣設備案件清單,['26335']
專利技術網,['40581']
就保被保險人人數統計,['13322']
就業促進津貼協助就業人數統計表,['30931']
就業促進津貼編列預算統計表,['30930']
就業保險保險費欠費單位數量及欠費金額統計月報表,['14264']
就業保險單位、人數,['13352']
就業保險基金年度經營概況,['57163']
就業保險基金投資運用情形,['13224']
就業保險基金每月經營概況,['31701']
就業保險失業給付初次核付人數,['39539']
就業保險實計保險給付,['93960']
就業保險平均投保薪資,"['33376', '33377']"
就業保險應計保險費,['33361']
就業保險投保單位、人數及平均投保薪資原始統計資料,['101000']
就業保險投保單位數及人數,"['33373', '33374']"
就業保險投保單位數及人數-按規模,['33375']
就業保險提早就業獎助津貼初次核付人數,['59077']
就業保險育嬰留職停薪津貼核付資料統計,['40328']
就業博覽會及現場徵才資訊,['6059']
就業好伙伴電子報月刊,['6611']
就業安全半年刊,['6612']
就業安定基金對民間團體及個人之補(捐)助情形季報表,"['45216', '94183', '128781']"
就業安定基金會計月報,['44854']
就業安定基金決算概況,['19576']
就業安定基金管理會會議紀錄,['31584']
就業安定基金附屬單位預算概況,['26734']
就業安定費及收容費執行憑證情形,['41878']
就業平等相關法規,['40182']
就業服務人數統計,['61116']
工作場所就業平等概況調查,['127374']
工作場所性別平等概況調查,['9817']
工作守則備查名冊,['6685']
工作生活平衡資源網資訊系統-工作生活平衡教育訓練課程,['41635']
工會團體名冊,['6278']
工會基本資料檔,['27487']
工會數及工會會員人數,"['40125', '40137']"
年度出版品目錄,['41638']
年度研究報告清單,['40389']
年度紓困貸款被保險人年資分佈表,['33362']
年度紓困貸款被保險人年齡分佈表,['33363']
年度職災案例彙編,['6644']
年度貸款人數統計表,['46762']
年度貸款金額統計表,['46763']
從事勞工健康服務護理人員統計數據,['26506']
從事勞工健康服務醫師、護理與相關人員訓練之認可訓練機構名單,['43259']
從事勞工健康服務醫師統計數據,['26505']
微型企業創業貸款每年度相關數據統計,['18575']
微型創業鳳凰創業課程,['6153']
微型創業鳳凰研習課程開班場次,['36179']
微型創業鳳凰網站子頁面累計瀏覽人次,['43286']
微型創業鳳凰網站累計瀏覽人次,['36178']
微型創業鳳凰諮詢顧問名單,['6416']
微型創業鳳凰貸款承貸銀行核貸件數,['52288']
微型創業鳳凰貸款每年度相關數據統計,['18574']
性別勞動統計,"['11220', '127379']"
性別工作平等申訴案件受理件數及評議件數,"['40167', '40168']"
性別平等專區,['11247']
所有採樣分析參考方法之目錄,['6619']
托兒設施措施補助情形統計表,['24036']
技能檢定發證數統計資料,['96095']
技術生訓練職類,['40306']
投保單位基本資料變更應檢附證件一覽表,['40320']
投保單位移送行政執行案件統計表,['14265']
投保農會名稱與地址一覽表,['6264']
推介身心障礙者就業,['111319']
提撥勞工教育經費及勞工教育班數,"['40170', '40171']"
政府應計國民年金保險費,['13341']
政府資料開放行動方案,['27415']
政府資料開放諮詢小組會議紀錄,['17151']
政策宣導廣告預算動支情形,['37374']
新制勞工退休基金年度經營概況,['57161']
新制勞工退休基金投資運用情形,['13222']
新制勞工退休基金會計月報,['40361']
新制勞工退休基金歷年最低保證收益率,['6058']
新制勞工退休基金歷年最近月份收益率,['6449']
新制勞工退休基金每月經營概況,['31696']
新制勞工退休基金決算,['13236']
新制勞工退休基金社會責任投資(SRI)比例,['13232']
新制勞工退休基金預算(法定預算),['36637']
新制勞工退休基金預算案,['13234']
新制勞工退休金收支情形,['31901']
新化學物質登記統計數據,['27294']
會計月報,['19212']
有機溶劑作業檢查情形(年度),['43251']
檢查機構受理勞工申訴陳情案件處理情形,['26927']
檢查申請統計數據,['26935']
歷年投保薪資分級表,['45940']
決算概況,['11222']
漁會單位人數暨應計保險費月報表,['34060']
漁會會員勞保月負擔保險費金額表,['6261']
災區受災勞工保險與就業保險被保險人保險費支應及傷病給付辦法,['48203']
營造安全鋼管施工架生產廠商資料,['44045']
特定化學物質作業檢查情形(年度),['43252']
特定檢查項目(血(尿)中鉛、尿中鎳、尿中無機砷、尿中鎘、血(尿)中汞、尿中鉻及血清銦等)檢驗之機構名單,['43258']
生物偵測分析方法,['40583']
生物偵測分析方法資料庫,['6684']
產業人才投資方案課程,['59296']
產業及社福外籍勞工人數,"['41879', '41880', '41881', '41882']"
申請勞工保險職業傷害及職業病給付核定率,"['13329', '68564']"
申請勞工保險職業傷害給付核定率,['13330']
申請勞工保險職業病給付核定率,['13328']
申請墊償應備文件,['13337']
申請外國專業人員新聘及展延工作許可人次統計資訊,['73206']
直聘案件統計資訊,['20522']
直轄市或縣(市)政府辦理身心障礙鑑定指定醫療機構名冊,['6266']
督導設置職業安全衛生組織人員實施自動檢查情形(年度),['41520']
礦場安全檢查次數(年度),['41496']
社會經濟入口網社會企業案例介紹,['46012']
私立就業服務機構基本資料及評鑑結果,['9332']
積欠工資墊償基金國內投資股票類別,['30817']
積欠工資墊償基金年度經營概況,['57167']
積欠工資墊償基金投資運用情形,['13226']
積欠工資墊償基金支付之補助,['37870']
積欠工資墊償基金會計月報,['19449']
積欠工資墊償基金每月經營概況,['31704']
積欠工資墊償基金決算,['11243']
積欠工資墊償基金預算,['11240']
積欠工資墊償歷年統計,['6275']
積欠工資墊償追償統計,['6276']
粉塵作業檢查情形(年度),['43254']
納保組各業務承辦科分機一覽表,['45941']
組織職掌,['11246']
網路填表引導系統統計資訊,['41736']
縣市辦理身障促進就業概況表(年報),['31861']
老年農民福利津貼核付人數表,['17341']
聘僱外國人從事專門或技術性工作之雇主申請通案會商統計資訊,['73205']
職工福利概況,"['40176', '40177']"
職業傷病診治網絡醫院名單,['31780']
職業傷病防治中心名單,['5957']
職業安全衛生檢查初查不合格情形按行業分(年度),['41522']
職業安全衛生檢查次數(年度),['41521']
職業安全衛生檢查複查不合格情形按行業分(年度),['41523']
職業安全衛生法適用行業工作場所重大職業災害死亡人數(年度),['43257']
職業安全衛生法適用行業工作場所重大職業災害死亡人數按行業別,['43255']
職業安全衛生法重大職業災害各項資料統計分析,['43256']
職業安全衛生獎項國家職業安全衛生獎,['41459']
職業安全衛生獎項推動職業安全衛生優良公共工程及人員選拔,['44023']
職業安全衛生獎項推行職業安全衛生優良單位5星獎,['41460']
職業安全衛生署會計月報,['27400']
職業安全衛生署決算概況,['27401']
職業安全衛生署預算概況,['13060']
職業安全衛生重要研究成果績效集,['40580']
職業工會、漁會欠費名單,['6269']
職業工會之工會數及工會會員人數,"['40141', '40142']"
職業工會單位人數暨應計保險費月報表,['34046']
職業工會會員勞保月負擔保險費金額表,['6260']
職業災害保險適用行業別及費率表,['6262']
職業災害勞工保護專款年度經營概況,['57164']
職業災害勞工保護專款每月經營概況,['31703']
職業災害地點等統計數據,['21046']
職業災害失能勞工就業關懷調查,['30092']
職業災害統計概況按全產業分(年度),['41512']
職業災害統計災害類型按行業分(年度),['41513']
職業災害統計災害類型與受傷部位之關係按全產業分(年度),['41517']
職業災害統計災害類型與受傷部位之關係按製造業分(年度),['41518']
職業災害統計災害類型與媒介物之關係按全產業分(年度),['41515']
職業災害統計災害類型與媒介物之關係按製造業分(年度),['41516']
職業災害統計網路填報系統受傷部位代號表,['41469']
職業災害統計網路填報系統失能傷害種類代號表,['41467']
職業災害統計網路填報系統媒介物分類表,['41470']
職業災害統計網路填報系統手部傷害損失日數換算圖表,['41485']
職業災害統計網路填報系統災害類型分類說明表,['41471']
職業災害統計網路填報系統足部傷害損失日數換算圖表,['41472']
職業災害統計行業別與受傷部位之關係按全產業分(年度),['41519']
職業災害統計行業別與受傷部位統計數據,['20592']
職業災害統計行業別與媒介物之關係按全產業分(年度),['41514']
職業訓練師師資,['24985']
職業訓練概況,['9822']
職業訓練機構名錄,['32336']
職業訓練課程資訊,['6060']
職災勞工個案服務各縣市聯絡窗口資訊,['44744']
職災勞工職業重建提供職能復健服務單位聯絡資訊,['44745']
職能基準資料檔,['21198']
職能導向課程資料檔,['21200']
育嬰留職停薪就業關懷調查結果,['17293']
自願投保單位申請新投保開戶應檢附證件一覽表,['40319']
至產業人才投資方案核定課程,['32343']
臺灣職業安全衛生管理系統(TOSHMS)認可驗證機構名單,['8176']
與認可檢定機構(財團法人工業技術研究院)簽訂防爆電氣設備檢測報告相互承認協議之國外實驗室清單,['26314']
舊制勞工退休基金年度經營概況,['57160']
舊制勞工退休基金投資運用情形,['13230']
舊制勞工退休基金會計月報,['40360']
舊制勞工退休基金每月經營概況,['13229']
舊制勞工退休基金決算,['13235']
舊制勞工退休基金社會責任投資(SRI)比例,['33545']
舊制勞工退休基金預算(法定預算),['36635']
舊制勞工退休基金預算案,['13233']
舊制勞工退休準備金收支情形,['13231']
衛生福利部評鑑合格之醫院名單,['6271']
裁決決定,['18931']
補助地方政府辦理身心障礙者職業訓練執行情形,['49519']
訴願案件決定結果查詢,['41457']
訴願案件辦結統計資料,['27349']
認可型式檢定機構清單,['26308']
跨國人力仲介公司許可名冊,['6682']
身心障礙者勞動狀況情形,['9821']
身障定額進用不足額義務單位名單,['31859']
身障定額進用未達法定進用機關(構)數縣市政府排序表,['87721']
辦理政策宣導相關廣告執行情形,['11215']
辦理製造業雇主定期查核統計資料,['33037']
農保喪葬津貼被保險人請領給付平均年齡統計表,['37869']
農保生效中身心障礙被保險人人數統計表,['13349']
農保生育給付被保險人請領給付平均年齡統計表,['37868']
農保被保險人加保人數統計表,['75259']
農保被保險人加保年資組別人數統計表,['46795']
農保被保險人已領取勞保老年給付人數統計表,['13367']
農保被保險人應負擔保險費金額表,['13350']
農保身心障礙給付不給付統計表,['13366']
農民健康保險實計現金給付,['98230']
農民健康保險現金給付件數、金額,['13356']
農民職業災害保險給付檔,['115857']
農職保被保險人人數統計表,['107000']
近勞動統計調查,['7884']
通俗職業分類資訊,['30932']
通過iCAP課程認證家次按產業別,['106660']
通過職業安全衛生管理系統績效認可且於有效期間之事業單位清單,['46106']
通過臺灣職業安全衛生管理系統(TOSHMS)驗證之事業單位名單,['6340']
違反勞動法令事業單位-勞動基準法,['109896']
違反勞動法令事業單位-勞工退休金條例,['109898']
違反勞動法令事業單位-就業服務法,['110908']
違反勞動法令事業單位-性別工作平等法,['109897']
部分工時勞工就業實況調查,['9818']
部分工時被保險人各投保薪資投保人數,['45942']
重大職業災害公開網,['126835']
重大職災統計,['43086']
金展獎得獎名單,['42147']
金融機構受理勞保費轉帳扣繳申請件數,['46606']
鉛作業檢查情形(年度),['43253']
防護具專區,['43087']
雇主聘僱移工申請案件網路線上申辦量統計資訊,['73208']
雙軌訓練旗艦計畫訓練職類,['62931']
電腦工作桌椅尺寸建議值,['40589']
預算概況,['11221']
預繳國民年金保險費件數及金額表,['13340']
頭盔用標準頭型,['40590']
勞動力發展署辦理照顧服務員結訓人數及訓後就業率,['90259']
