(政府捐助)財團法人社會福利慈善事業基金會,['104348']
公告土地現值,"['46966', '46968', '75690', '98086', '100589', '100590', '100591', '100592', '100593', '100594', '100595', '100596', '100597', '100598', '100599', '100600', '100601', '100602', '100603', '100604', '100605', '100606', '100607', '100608', '100609', '100610', '100611', '100612', '100613', '100614', '100615', '100616', '100617', '100618', '100619', '100620', '100621', '100622', '100623', '100624', '100625', '114299', '114300', '114301', '114302', '114303', '114304', '114305', '114306', '114307', '114308', '114309', '114310', '114311', '114312', '114313', '114314', '114315', '114316', '114317', '114318', '114319', '114320', '114321', '114322', '114323', '114324', '114325', '114326', '114327', '114328', '114329', '114330', '114331', '114332', '114333', '114334', '114335']"
公告土地現值及公告地價,['46967']
公告土地現值及公告地價漲跌幅一覽表,['46965']
公告地價,"['75689', '100584', '100585', '100586', '100587', '100649', '100650', '100651', '100652', '100653', '100654', '100655', '100656', '100657', '100658', '100659', '100660', '100661', '100662', '100663', '100664', '100665', '100666', '100667', '100668', '100669', '100670', '100671', '100672', '100673', '100674', '100675', '100676', '100677', '100678', '100679', '100680', '101937', '114261', '114262', '114263', '114264', '114265', '114266', '114267', '114268', '114269', '114270', '114271', '114272', '114273', '114274', '114275', '114276', '114277', '114278', '114279', '114280', '114281', '114282', '114283', '114284', '114285', '114286', '114287', '114288', '114289', '114290', '114291', '114292', '114293', '114294', '114295', '114296', '114297']"
公告違反勞動基準法事業單位名單,['75648']
公告違反勞基法名單,['99167']
公園園燈數量統計,['127878']
公地撥用統計表,['104827']
公墓坐標資訊,['43886']
公墓禁葬資訊,['86414']
公廁位置,['87157']
公所台灣中油股份有限公司大林煉油廠睦鄰經費業務資訊,['47027']
公所台灣電力公司發電年度協助金業務資訊,['47024']
公所回饋金工程施作明細,['86410']
公所國防部聯合後勤司令部油、彈庫睦鄰工作捐助款業務資訊,['46963']
公所大林蒲灰渣衛生掩埋場回饋金業務資訊,['47056']
公所民政業務表單,['87186']
公所經建業務表單,['87187']
公所臨海工業區污水處理廠回饋金業務資訊,['47013']
公所鄰長名冊,['128345']
公所電話一覽表,['87183']
公所高雄國際航空站機場回饋金業務資訊,['46999']
公所鳳山水庫水源保育回饋金業務資訊,['47014']
公教員工急難貸款申請人數,['127093']
公有土地筆數統計,['114708']
公有土地面積統計,['114709']
公有耕地375租約統計表,['127870']
公有路外停車場一覽表,['46944']
公有零售市場,['47007']
公益彩券盈餘基金管理會委員人數,['104351']
公立公墓收費標準,['47075']
公立殯儀館收費標準,['47073']
公立火化場使用收費標準,['47076']
公立骨灰(骸)存放設施收費標準,['47074']
公職人員財產申報人數,['127038']
公職人員財產申報情形,['127677']
公費流感抗病毒藥劑合約醫療院所,['93806']
公費流感疫苗合約院所,['114136']
公費流感疫苗合約院所名冊,['128219']
公車各路線去回程公車站點資料,['43822']
公車式小黃,['75724']
公車業者資料,['43820']
公車路線Route ID資料,['43874']
公車車輛即時位置動態資料,['43847']
兵役節表揚績優役政人員,['127101']
兵役處補助私人團體經費報告,"['98094', '104895']"
其他案件統計表_以分隊作統計,"['102103', '102104']"
其他案件統計表_以行政區作統計,['102102']
再婚率,['127033']
出版刊物連結網址,['77703']
出版品目錄,['102090']
出生嬰兒從母姓人數,['127064']
出生死亡登記人數,['127023']
刑事案件破獲率,['87238']
列管土壤及地下水污染場址資料(農地場址)-土壤管制區,['104894']
列管後備軍人動態統計表,['104389']
列管特定紀念樹木清冊,['87275']
初婚年齡中位數,['127031']
初婚率,['127032']
到綠建築執照申請案件數統計,['127655']
前50大易肇事路口,"['47198', '47199', '47200', '47201']"
前十大交通路段A1A2A3事故統計表,['104554']
前十大交通路段A1事故統計表,['104557']
前十大交通路段A2事故統計表,['104556']
前十大交通路段A3事故統計表,['104555']
前金區A3交通事故資料,['114089']
前鎮分局路口監視器地點,"['104542', '127564']"
前鎮區A3交通事故資料,"['104255', '114088']"
剖腹產率,['127050']
加氣站一覽表,['46996']
加油站一覽表,['46995']
動物保護處「為毛小孩找1個家」公益櫥窗計畫合作店家目錄,['47003']
動物保護處動物收容情形看板,['100405']
勞動力人口,['127067']
勞動力參與率,['128324']
勞工保險職業災害保險給付各行業千人率,['104856']
勞工保險被保險人數,['127084']
勞工大學成果表,['75770']
勞工大學招生期程,['75771']
勞工局勞動檢查處資料盤點表,['127742']
勞工局博愛職業技能訓練中心委託辦理身心障礙者職業訓練資訊,['104968']
勞工局博愛職業技能訓練中心資料盤點表,['104962']
勞工局法律諮詢服務時間表,['104785']
勞工局自辦身心障礙者職業訓練資訊,['104975']
勞工教育生活中心資料盤點表,['46981']
勞工權益基金,['127078']
勞資爭議人數,['127076']
北高雄共乘費率表,['75712']
北鳳山區垃圾清運路線及時間,['107046']
區域排水清疏,['127863']
區間平均速率執法設備設置地點,['127499']
十5歲以上人口識字率,['127065']
升官等訓練人員通過比率,['47044']
協助經濟弱勢市民自立之以工代賑人數,['104349']
南北高雄計程車共乘,['75722']
南鳳山區垃圾清運路線及時間,['107040']
印花稅徵收稅額,['86767']
即時空氣污染物連續自動監測設施(CEMS),['87213']
原住民中輟生人數,['127114']
原住民學生數,['127110']
原住民就業服務站求職登記人數,['104323']
原住民族產業工坊名單,['128098']
原住民進用情形,['46852']
原住民部落大學教育參與人次,['104322']
原民會原住民部落工場,['46838']
原民會旅遊便利GO-旅遊行程,['46837']
原民會旅遊便利GO-特色景點,['46836']
原民會旅遊便利GO-行程景點,['46835']
原民會族語學習教室,['46833']
原民會福利服務據點,['46839']
原民會部落大學社區教室,['46831']
原民會部落大學課程,['46832']
參加眷村衛生保健座談會人次,['127102']
參加身心障礙者職業訓練人數,['127081']
參與樂齡學習中心活動人次,['127117']
友善懷孕商店,['47022']
取得不動產繼承登記繼承人數,['127119']
取得資料開放平台所有資料集之資源清單,['47192']
取得資料開放平台近期異動資料,['47193']
取締併排停車前十大路口,"['47189', '85428']"
取締併排停車前十大路段,['47203']
取締市區超速前十大路口,"['47187', '85427']"
取締未依規定兩段式左轉前十大路口,"['47188', '47205', '85426']"
取締超速前十大路段,['47202']
取締酒後駕車前十大路口,['47204']
取締酒駕前十大路口,"['47105', '85429']"
取締酒駕及危險駕車勤務,['87249']
取締酒駕情形,['87207']
取締闖紅燈前十大路口,"['47106', '47206', '85425']"
受理兒童少年保護案件通報受害者人數,['104326']
受理家庭暴力通報受害者人數(不含兒少保護通報),['104325']
受理性侵害通報受害者人數,['104324']
受理性騷擾案申訴成立案件,['104327']
受處理無名屍體人數,['104311']
口腔癌篩檢率,['127047']
古蹟清冊,['104461']
各分局派出所轄區地址電話,['47217']
各分局轄區重要指標,['87239']
各區現住人口數年齡分組統計,['47058']
各區相同性別結婚對數及終止結婚對數,"['118897', '118898']"
各區調解委員會聯絡一覽表,['106981']
各年度加密控制點資料,['102084']
各役政單位坐標資訊,['46846']
各新兵訓練中心郵政信箱及連絡電話,['47069']
各稅行動支付件數統計表,['127791']
各種魚類平均價格(遠洋漁業),['87180']
各種魚類平均價格-(沿近海、養殖漁業),['87181']
各級學校學生數,['127108']
各里高雄國際機場航空噪音防制區級別,['107165']
各項稅捐實徵數,['86642']
各項稅捐實徵淨額,['86640']
各項稅捐實徵淨額基比指數,['86639']
各項稅捐實徵淨額環比指數,['86638']
各項稅捐徵課費用,['86740']
各項稅捐查定數,['86643']
各項稅捐退還以前年度歲入款,['86641']
各項稅捐預算數,"['86644', '106098']"
各項稅收季節變動指數,['86637']
合作社服務-公用合作社,['128169']
合作社服務-工業合作社,['128170']
合作社服務-消費合作社,['128167']
合作社服務-社區合作社,['128168']
合格病媒防治業,['75731']
向網路服務供應者要求提供網路個人資料,['114123']
向網路服務供應者要求限制網路內容,['127960']
員工協助方案統計數據,['47050']
哺(集)乳室場所,['75720']
商店街區行銷活動補助執行情形,['43773']
商店街聯合發展協會會員,['47023']
商業各行業異動家數,['127877']
商業各行業異動資本額(千元),['127876']
商業登記歇業清冊,['104236']
商業登記設立清冊,['104235']
單親家園入住戶數,['127141']
噪音監測站位置,['104782']
回收業機構名冊,['87158']
回饋金執行情形,['47089']
因應各項災害避難收容場所一覽表,['86415']
因應各項災害避難收容處所一覽表,"['46990', '47100', '87717']"
困擾行為照護CB03服務名單,['101925']
固定式違規照相設備設置地點,['98101']
固定式違規闖紅燈及測速照相設備設置地點,"['102873', '102874', '102875', '102876', '102877', '102878', '102879', '102880', '104512', '104513', '104514', '104515', '104516', '104517', '104518', '104519', '104520', '104521', '104522', '104523', '104524', '104525', '104526', '104527', '104528', '104529', '104530', '104531', '104532', '104533', '118231']"
國民兵列管人數,['47068']
土地及建物登記管理,['128943']
土地增值稅增繳地價稅抵繳稅額,"['86732', '86781']"
土地增值稅應納稅額,"['86622', '86778']"
土地增值稅改良土地費用,"['86618', '86733']"
土地增值稅查定稅額,"['86624', '86780']"
土地增值稅減徵稅額,"['86623', '86779']"
土地增值稅漲價總數額,"['86625', '87491']"
土地增值稅移轉現值,"['86627', '86731']"
土地增值稅移轉筆數,"['86621', '86629']"
土地增值稅移轉面積,"['86620', '86628']"
土地增值稅調整後原規定地價或前次移轉現值,"['86619', '86626']"
土地徵收統計表,['93831']
土地段名代碼,['75664']
土地段名代碼表,"['43781', '87201']"
土地筆數面積公告土地現值統計,['46964']
土壤及地下水列管資料(已解除列管場址),['104884']
土壤及地下水污染控制場址,['104882']
土壤監測資料,['104883']
地價區段數統計表,['75642']
地價查估用建築改良物標準單價、耐用年數及折舊率表,['75641']
地價稅減免筆數,['86632']
地價稅減免課稅地價,['86630']
地價稅減免課稅面積,['86631']
地價稅課稅地價,['86633']
地價稅課稅戶數,['86635']
地價稅課稅面積,['86634']
地價稅開徵概況,"['104378', '104379', '104380', '104381']"
地政事務所坐標資訊,['43761']
地政士開業資料,"['99516', '119171']"
地政局公有已出租土地清冊,['130367']
地政機關核發測量技師地籍測量專業資格證明名冊,['75751']
地方型SBIR歷屆執行計畫一覽表,['46989']
地段座標屬性表,['75688']
垃圾清運路線及時間,"['98147', '107033', '107034', '107035', '107036', '107037', '107038', '107039', '107041', '107042', '107043', '107044', '107045', '107047', '107048', '107049', '107051', '107052', '107053', '107054', '107055', '107056', '107057', '107058', '107059', '107060', '107061', '107866', '107867', '107868', '107869', '107870', '107871', '107887']"
垃圾焚化廠位置,['86418']
垃圾車到點時間預估,['117726']
城市發展半年刊,['43882']
基層建設小型工程(區公所),['102196']
基層建設小型工程(民政局),['102195']
報案情形統計表,['119981']
外國人結婚離婚人數,['127030']
外籍勞工參加健檢人數,['127042']
外籍嫌疑犯人數,['104301']
外籍配偶性別統計,"['114062', '114063', '114064', '114065', '114066', '114067', '114068']"
外縣市殯葬禮儀服務業備查核准一覽表,['43774']
多元化計程車,['75723']
多元繳稅方式使用牌照稅件數統計表,['104368']
多元繳稅方式使用牌照稅金額統計表,['104363']
多元繳稅方式印花稅件數統計表,['104369']
多元繳稅方式印花稅金額統計表,['104365']
多元繳稅方式土地增值稅件數統計表,['104373']
多元繳稅方式土地增值稅金額統計表,['104366']
多元繳稅方式地價稅件數統計表,['104372']
多元繳稅方式地價稅金額統計表,['104364']
多元繳稅方式契稅件數統計表,['104371']
多元繳稅方式契稅金額統計表,['104361']
多元繳稅方式娛樂稅件數統計表,['104367']
多元繳稅方式娛樂稅金額統計表,['104360']
多元繳稅方式房屋稅件數統計表,['104370']
多元繳稅方式房屋稅金額統計表,['104362']
多元計程車車隊一覽表,['106183']
多元計程車車隊一覽表(聯絡方式),['75707']
大客車及貨車使用牌照稅稅額表,['104382']
大寮區A3交通事故資料,['114107']
大寮區各里鄰長通訊錄,['47031']
大寮區樂齡學習中心課程,['47035']
大寮區立案宗教團體,['47034']
大寮區第2屆里長通訊錄,['102106']
大寮捷運站計程車接駁服務,['75745']
大專暑期實習生人數,['127144']
大專校院環境相關科系,['127137']
大樹區A3交通事故資料,"['104264', '114106']"
大社區A3交通事故資料,"['104265', '114108']"
大社區第2屆里長通訊錄總表,['43861']
大腸癌篩檢率,['127048']
大陸地區人民及法人取得不動產權利統計表,['75704']
大陸與外籍配偶人數,['127029']
大高雄家禽批發市場基本資料一覽表,['87232']
大高雄果菜、花卉批發市場基本資料一覽表,['87231']
大高雄肉品批發市場基本資料一覽表,['87233']
天然氣導管承裝商清冊,['46998']
天然氣瓦斯供氣戶數,['46991']
天然災害區域排水設施受損情形,['46842']
失智相關資源與窗口,['75746']
失業人數,['127071']
失業率,['127072']
失蹤人口,"['87211', '104315']"
契稅查定件數,['86769']
契稅查定契價,['86768']
妨害交通車輛處理人次,['101931']
妨害兵役案件統計表,"['75781', '104891', '104892']"
妨害婚姻及家庭被害人數,['104307']
妨害風化被害人數,['104306']
姊妹市及友好城市清單,['75693']
娛樂稅實徵淨額,['86765']
娛樂稅查定及申報家數,['86766']
婚姻狀況統計,['88297']
婦女子宮頸抹片篩檢人數,['127053']
婦女服務-單親家園,['128127']
婦女服務-單親家庭服務據點,['128128']
婦女服務-婦女福利機構,['128129']
婦女服務-新住民家庭服務中心,['128125']
婦女服務-新住民社區服務據點,['128126']
嬰兒出生數,['127063']
嬰兒死亡人數,['127034']
嬰幼兒托育服務-公設民營托嬰中心,['128100']
嬰幼兒托育服務-居家托育服務中心,['128101']
嬰幼兒托育服務-私立托嬰中心,['128099']
孕婦產前檢查之申報件數,['127052']
孕產婦死亡人數,['127035']
學校通訊資料,['86306']
完全以電能為動力之電動大客車使用牌照稅稅額表,['104386']
完全以電能為動力之電動小客車使用牌照稅稅額表,['104387']
完全以電能為動力之電動機車使用牌照稅稅額表,['104388']
完全以電能為動力之電動貨車使用牌照稅稅額表,['104385']
完成設立備查之不動產經紀業,"['46948', '46980', '99517', '116101']"
定額進用身心障礙者實際進用人數,['127070']
客委會出版品一覽表,['46840']
客委會志工性別統計,['101644']
客委會職員性別統計,['46954']
客家事務委員會委員性別統計,['46841']
客家學苑學員人數,['127731']
客家社團名冊,['127732']
客家社團會員性別統計,['46953']
客家美食餐飲小吃名冊,['104857']
客語能力認證通過數,['122844']
室內空氣品質管理現況,['128461']
家庭住宅及現代化設備概況,['104273']
家庭收支每戶平均金額,['104271']
家庭收支總值,['104274']
家庭暴力及性侵害防治服務-兒童青少年家庭與諮商中心,['128137']
家庭暴力及性侵害防治服務-家庭暴力及性侵害防治中心,['128135']
家庭暴力及性侵害防治服務-性侵害案件1站式服務醫療院所,['128136']
家庭暴力及性侵害防治服務-駐臺灣高雄地方法院家暴事件服務處,['128134']
家庭暴力被害人補助人次,['127148']
家畜禽屠宰場名冊,['87195']
寄養家庭寄養兒少人數,['104342']
實施耕地375減租成果統計表,['127865']
寵物登記站,['102205']
寵物登記站簽約動物醫院,['47001']
寺廟名冊,['128460']
寺廟基本資料,['98087']
專題委託研究,['43831']
導覽機託播統計,"['101927', '102054', '105062']"
小客車使用牌照稅稅額表,['104383']
小港分局路口監視器地點,"['104551', '127571']"
小港區A3交通事故資料,"['104263', '114104']"
小規機夜宿喘息GA06服務名單,['104559']
就業人數,['127068']
居家喘息GA01-GA02服務名單,['102220']
居家式照顧服務特約單位名冊,['127666']
居家復能照護 CA01-CA04服務名單,['104558']
居家環境安全或無障礙空間規劃CC01服務名單,['102221']
居家護理所名單,['86304']
居家護理指導與諮詢CD02服務名單,['104562']
居家護理訪視CD01服務名單,['102218']
岡山分局路口監視器地點,"['104544', '127566']"
岡山區A3交通事故資料,"['104259', '114092']"
岡山本洲產業園區廠商名冊,['46958']
岡山路竹延伸線第1階段捷運建設-土建工程進度,['106198']
工務局工程範圍圖,['93809']
工務局處理違章建築執行要點,['87097']
工務局養護工程處路燈資訊,"['104465', '104466', '104467', '104468', '104479', '104480', '104481', '104482', '104483', '104484', '104485', '104486', '104487', '104488', '104489', '104490', '104491', '104492', '104493', '104494', '104495', '104496', '104497', '104498', '104499', '104500', '104501', '104502', '104503', '104504', '104505', '104506', '104507', '104508', '104509']"
工廠歇業清冊,['101856']
工廠登記清冊,['46957']
工會會員人數,['127077']
左營分局路口監視器地點,"['104545', '127568']"
左營區A3交通事故資料,"['104261', '114098']"
已公告徵收土地地籍資料,['75752']
已登記工會清冊,['75773']
已登記租賃住宅服務業資訊,"['116100', '118598']"
已調查設施數量統計,['43756']
巷弄長照站臨托GA07名單,['104561']
市府員工參與訓練人次,['127100']
市府員工請特別假情形,['127095']
市府模範公務員人數,['127098']
市政FAQ,['87708']
市政創新提案,['87094']
市政照片,['114144']
市議員及里長福利互助,['127090']
市議員及里長福利互助專戶結算收支一覽表,"['106919', '106920', '106921', '106922', '106923', '106924', '106925', '106926']"
市議員選舉第5選舉區開票統計結果,['101649']
市長選舉,['127088']
市長選舉投票率,['127086']
市長選舉鳥松區開票結果,['101647']
常備兵及補充兵徵集人數,"['47066', '105058', '105059', '105060', '105061']"
常備兵役役男家屬各項扶(慰)助經費統計,"['87104', '104251']"
常備兵役役男家屬安家費及3節生活扶助金統計,"['87106', '104256']"
年底15歲以上一般戶長,['127025']
年底15歲以上人口教育程度,['127066']
年底15歲以上婚姻結構,['127027']
年底上級農會選任人員數,['127103']
年底人口數,['127020']
年底低收入戶,['104331']
年底兒童及少年人數,['104281']
年底兒童及少年福利與權益保障促進委員會委員人數,['127138']
年底公廁座數,['127125']
年底公教人員數,['127094']
年底公有市場攤商負責人,['127120']
年底公民投票審議會委員人數,['127091']
年底公車司機人數,['101933']
年底加工出口區內事業原住民人數,['127130']
年底加工出口區內事業工人人數,['127132']
年底加工出口區內事業職員人數,['127133']
年底加工出口區工人人數,['127131']
年底原住民人口數,['127021']
年底商店街區審議小組委員人數,['127121']
年底單身戶,['127026']
年底地政士開業人數,['127118']
年底基層農會選任人員數,['127104']
年底外僑居留人口數,['104295']
年底婦女權益促進委員會委員人數,['127140']
年底婦女福利服務機構數,['104337']
年底安置及教養機構收容兒少人數,['104344']
年底客家社團人數,['127153']
年底家庭暴力及性侵害防治中心社工人員人數,['127146']
年底寄養家庭家長人數,['127139']
年底市府主管,['127092']
年底市府各機關首長、副首長人數,['127097']
年底建築師開業登記現有人數,['101935']
年底志工人數,['127150']
