0206地震專區,['53565']
本局代發他縣市稅捐機關作業統計,['53274']
本局轄管水域遊憩警告標示牌及救生設備,['53401']
杜鵑颱風農產業救助資料,['79976']
查(核)定開徵數情形,['53278']
柴油車排煙動力檢測站址,['53604']
核准身障福利團體設置舊衣回收箱,['7003']
梅姬颱風及風災雨害農產業救助資料,['98802']
槍枝案件統計資料,['127456']
樂齡學習中心,['103755']
標章認證農產品抽檢清冊,['122692']
模範公務人員核定名冊,['122756']
樹木保護委員會委員名單,['112900']
橋樑基本資料,['53557']
機(慢)車優先道,['102306']
機動車輛排放空氣污染物檢驗告發情形,['129777']
機車失竊案件統計資料,['100198']
機車定檢站地址,['7000']
歷史名人資料,['53370']
歷屆里長名冊,['100191']
歷年不動產實價登錄資訊(租賃案件),['128853']
歷年不動產實價登錄資訊(買賣案件),['128852']
歷年公辦農村社區土地重劃成果統計表,['53910']
歷年公辦重劃成果統計表,['53424']
歷年勞資爭議案件,['129780']
歷年年不動產實價登錄資訊(預售屋案件),['113522']
歷年早期農水路更新成果統計表,['53911']
歷年環境用藥紀錄,['129455']
歷年登革熱病媒蚊監測密度調查,['128440']
歷年登革熱誘卵桶監測資訊,['128442']
歷年自辦成果統計表,['53422']
歷年農地重劃區抵費地已標售清冊,['53437']
歷年農地重劃成果統計,['53464']
歸檔案件統計表,"['128255', '128256', '128257', '128258', '128259', '128260', '128261']"
殯葬禮儀業者名冊,['53923']
段數統計表,['53894']
母嬰親善醫療院所,['53545']
毒品案件統計資料,['127450']
民營停車場,['102774']
水利署與台南市合建淹水感測器感測資料,['129321']
水利設施圖資,['99897']
水產養殖面積,['53442']
水肥場地址,['53610']
水質監測站基本資料表,['118114']
污水下水道人孔圖資,['129905']
污水下水道巷弄連接管圖資,['129903']
污水下水道管線圖資,['129904']
污水下水道陰井圖資,['129906']
汽車失竊案件統計資料,['100189']
河川及海域水體測站,['129457']
河川水質監測資料,['53282']
法律扶助諮詢服務一覽表,['53918']
洗掃街作業資料,['118169']
流感抗病毒藥劑合約醫療機構一覽表--2020/6/20更新,['53434']
流感疫苗接種合約醫療院所名單,['53622']
海洋水質監測資料,['53283']
消費者保護官室受理申訴及調解案件數統計,['126816']
消防安全檢查重大不合格場所,['122704']
消防安全設備檢修申報家數,['85839']
消防局各單位地址名冊,['85837']
消防局常年受贈清冊,['86847']
消防局標案明細表,['53389']
消防水源資料,"['53303', '112044', '120004']"
液化石油氣,['53327']
淹水感測器資料,['128983']
淹水潛勢圖,['53564']
淺海牡蠣養殖管理統計,['53380']
清溝疏濬業務報表,['129451']
減廢日餐與店家名單,['129808']
測量案件統計報表,"['112901', '112902', '112903', '112904', '112905', '127253', '127254']"
溫室氣體排放統計,['129517']
滅火器藥劑更換及充填作業合格廠商清冊,['122703']
滯洪池位置及相關資訊,['108523']
火災人員死傷、財物損失資料,"['111954', '111955', '123245']"
火災原因及分區,['53427']
火災次數,"['112047', '112048', '112049', '112050', '123243', '123244']"
火災次數分類及時間,"['112045', '112046', '129248']"
災害警戒,['53614']
災害避難收容處所(學校)一覽表,['103754']
災情案件資料,['53562']
焚化廠回饋設施,['118223']
焚化廠地址,['53601']
無線上網熱點列表,['6174']
熱水器承裝業及其技術士名冊,['122724']
熱水器遷移或更換補助分配數,['85840']
營建工地空汙費繳費櫃檯資訊,['53605']
爆竹煙火管理,['85841']
物理及職能治療所,['53443']
特定工廠登記清冊,['126763']
特定行業清冊,['53901']
特教學校特教班一覽表,['129833']
特教班一覽表,['129832']
犯罪統計資訊,['53326']
狹小巷道清冊,['85843']
獨居老人人數,['53309']
獲獎助臺南研究出版作品目錄,['129944']
珍貴樹木,['53536']
現住人口數,"['85866', '85868', '111959', '111960', '120043', '120045']"
現住人口統計表,"['85870', '111961', '120047']"
現住原住民人口數,"['85862', '85867', '111858', '111859', '120039', '120042']"
環保人員概況,['127992']
環保低油煙認證餐廳,['127989']
環保局各式清潔車輛機具統計,['128566']
環保局有機培養土兌換資訊,['53285']
環保局水質淨化場水質監測,['128973']
環保局污染源稽查(查核)處分概況,['129458']
環保志工隊資訊,['128705']
環保志義工環境清潔執行成果,['53396']
環保旅店列表,['118119']
環境保護局對民間團體補(捐)助經費明細表,"['119348', '119349', '119350', '120876']"
環境影響評估列管案件統計,['129830']
環境教育機構,['118118']
環境教育設施場所,['118117']
環境檢驗樣品分類統計,['127988']
環境用藥販賣業名單,['100207']
產後護理之家,['53436']
產業類移工宿舍各區數量,['128675']
病媒防治業者名單,['7002']
癌症篩檢院所一覽表,['53375']
登革熱噴藥人力及場次,['53961']
登革熱病媒蚊密度調查,"['113295', '113296', '113297', '113298', '113299', '113300', '113301', '113302', '113303', '113304', '113305', '113306', '113307', '113308', '113309', '113310', '113311', '113312', '113313', '113314', '113315', '113316', '113317', '113318', '113319', '113320', '113495', '113496', '113497', '113498', '113499', '113500', '113501', '113502', '113503', '113504', '113505', '118432', '118512', '122123', '122124', '122125', '127210', '127211', '128441', '129078', '130203']"
登革熱誘卵桶監測資訊,"['113489', '113490', '113491', '113492', '113493', '113494', '118513', '118514', '122126', '122127', '122128', '127208', '127209', '128398', '129052', '130204']"
白河區稻米作物空間分布,['100205']
白河區蓮子作物空間分布,['100203']
白河區香蕉作物空間分布,['100204']
社區大學資訊,['103757']
社區照顧關懷據點,['103346']
社區營造經費表,['53314']
社區營造點資料,['100193']
社區發展協會名冊,['98276']
社區綠美化-巧佈點,['127982']
社區綠美化-臺南築角,['79984']
社團法人中國國民黨於財產清理,['53463']
社會住宅基地及面積表,['130113']
社會家庭避難收容處所救助清冊及物資資訊,['79982']
社會福利地圖,['101531']
社會福利機構空位查詢及評鑑資料,['52902']
社會福利項目,['79613']
禁止遊動廣告車輛停放路段,['102777']
禽流感應變措施,['53306']
私立就業服務機構設立明細,['126941']
私立幼兒園,['130013']
私立托嬰中心名冊暨收費標準一覽表,['6178']
移工人數統計表,['126942']
稅務行政救濟案件處理資料表,['53419']
空地空屋列管認養資料,['85861']
空氣品質微型感測器監測資料,['128015']
空氣品質指標(AQI)概況,['105088']
空氣品質淨化區資料,['53289']
空氣品質監測小時值,['109677']
空氣品質監測資料,['53288']
立公共圖書館各大類圖書借閱排行,['120733']
立公共圖書館相關統計資料,['120735']
立各級學校游泳池一覽表,['119352']
立案補習班資訊,['105146']
第2學期國小兒童課後照顧服務班開辦學校名單,['85845']
精神復健機構,['87486']
精神科診所,['53539']
精神科醫療機構,['53547']
精神護理之家,['87485']
約聘(僱)人員聘(僱)用計畫書,['130329']
紫外線即時監測資料,['122181']
結婚人數,"['85865', '111958', '120041']"
結核菌素測驗服務單位,['53553']
經管財團法人名冊,['101814']
經紀業設立備查數量統計表,"['53884', '112842', '112843', '112844', '112866', '116070']"
綠色商店列表,['118121']
綠色餐廳,['128296']
網路與臨櫃申報件數統計表,['53275']
緊急救護服務統計,"['53304', '112043', '123266']"
總爺藝文中心機關團體預約導覽登記表,['129981']
繳稅方式統計表,['53272']
美容醫學診所資料,['53414']
老人福利資源點,['126517']
職業訓練專班簡章,['122528']
職業訓練年度招生簡章,['53270']
胸部X光檢查醫療院所名冊,['53551']
腸病毒重症病例數統計,['53627']
自主衛生管理評核優良商家,['7684']
自來水承裝商業者名單,['126762']
自行車停車架設置資訊,['53594']
自行車失竊案件統計資料,['87442']
自行車路線資料,['130306']
自行車道資訊,['53584']
自辦工業區廠商名單,['126838']
自辦市地重劃執行情形(開發中),['53423']
臺南1999每月派工案件,"['79596', '113632', '113633', '113634', '113819', '118025']"
臺南公寓大廈管理委員清冊,['120168']
臺南問路店,['53362']
臺南巿超額進用身心障礙者獎勵金家數,['127236']
臺南巿身心障礙牙醫診所名單,['53482']
臺南巿身心障礙者職業訓練招生簡章,['100200']
臺南待認領養流浪動物資料,['53915']
臺南文化中心、歸仁文化中心、台江文化中心、新化演藝廳-各廳館開放時間一覽表,['53395']
臺南旅宿,['53322']
臺南景點,['6183']
臺南產業聯盟清冊,['53633']
臺南研究獎學金得獎名單與論文題目,['129943']
臺南美展近徵件資料,['129417']
臺南觀光工廠清冊,['53632']
臺南農產面積及產量資料,['52989']
臺南餐飲,['6184']
舉發違反道路交通管理事件成果,['98277']
航空噪音防制區,['128451']
菸酒製造業者資料,['118179']
蕭壠文化園區年度展覽資訊,['129982']
蕭壠文化園區駐村藝術家資訊,['129983']
藏金閣平日商品瀏覽區清單,['53284']
藥品違規廣告統計表,['53356']
藥局清冊,['127808']
蘇迪勒颱風農產業救助資料,['79975']
處理違反有線廣播電視法案件裁罰基準,['118563']
行人專用時相位置與實施時間一覽表,['102305']
行動醫院、全民健檢日程表,['89185']
街友服務單位,['126936']
街頭藝人資料,['85871']
衛生所列表,['6835']
衛生掩埋場清冊,['53600']
西拉雅社團名冊,"['53534', '121071']"
觀光摺頁文宣,['53361']
計程車業者叫車資訊,['79979']
計程車業者資料清單,['53365']
許可仲介本國人在國內工作之私立就業服務機構暨分支機構名冊,['127205']
訴願審議委員會訴願審議決定分析,['127304']
詐欺案件統計資料,['127454']
警察局受理(查獲)失蹤人口案件統計,['53319']
警察局各分局、(大)隊巡邏箱設置數量一覽表,['128401']
警察局家戶訪查案件成果,['87443']
警察局最新消息,['86845']
警察局警報資訊,['126540']
警察局警用車輛油料月報表(局本部),['128631']
警用停車位設置地點,['103753']
議會定期大會工作報告,['99899']
議會歷屆議員通訊錄,['53569']
護理之家,['7682']
財團法人名冊,['106263']
財團法人名冊(社福基金會類),['102929']
財政稅務局公文處理成績月報表,['53330']
財政稅務局服務據點,['79980']
財產申報人數及抽籤比例統計表,['122865']
資料開放平台統計資訊,['53896']
資源回收成果統計,['127656']
資訊休閒業清冊,['126764']
資訊可變標誌(CMS)面板資訊(動態),['102310']
資訊可變標誌(CMS)面板資訊(靜態),['102309']
起火建築物,"['53301', '112051', '123242']"
跨局處食品安全聯合稽查執行成果,"['113569', '113570', '113571', '113572', '113573']"
路口監錄系統設置地點,['87448']
路況攝影機(CCTV)位置資料,['102311']
路燈資料,['100206']
路邊停車收費路段格位資訊,['102770']
路邊身障格位資訊,['102771']
身心障礙者福利資源點,['126514']
身心障礙鑑定醫院,['120952']
車輛偵測器(VD)位置資料(動態),['102307']
車輛偵測器(VD)位置資料(靜態),['102308']
車輛委外拖吊路段與件數,['53305']
車輛拖吊路段與件數,['53351']
車輛行車事故鑑定案件分類統計,['53593']
車輛行車事故鑑定覆議案件分類統計,['53568']
軍人公墓(忠靈祠)葬厝表,['53258']
輔具中心聯絡資訊,['127629']
轄內保全業資訊,['100188']
轄內合法當舖資訊,['53325']
轄內飲水機位置,['117456']
轄管旅遊服務中心,['88399']
農地重劃前後段名對照,['97991']
農地重劃區歷年農村社區抵費地已標售清冊,['53465']
農地重劃區緊急農水路更新改善工程,['85873']
