(中)低收入戶傷病醫療補助,['94739']
自辦市地重劃區,['89576']
臺閩地區役政單位連絡、傳真電話一覽表,['67528']
航空噪音防制區,['67612']
苗圃園區,['67765']
藝文補助案,['92417']
號誌化路口,['67783']
街友安置及餐食機構一覽表,['67749']
街頭藝人名單,['67569']
街頭藝人場地管理表,['129130']
衛生所,['89568']
視障按摩院所及小棧名冊,['67708']
親山步道,['92442']
觀光工廠,['67536']
觀光景點清單,['67758']
警察局每月交通事故統計,['67494']
警察機關資料,['67489']
護理之家名冊,['67618']
財政處經管市有閒置房地公開標售清冊,['93946']
財政處經管市有閒置房地公開標租清冊,['92416']
資源回收統計表,['86858']
超級市場名冊,['92410']
身心障礙福利機構名冊,['67731']
身心障礙者家庭托顧暨臨時短期照顧服務單位,['96189']
身心障礙者日間照顧及住宿式照顧機構名冊,['99371']
身心障礙者生活補助,['89669']
身心障礙者社區樂活補給站,['99370']
身障人數,['99368']
載運砂石大貨(拖)車進入市區開放行駛路線,['67776']
輔具服務單位,['74087']
轄信用合作社總分支機構一覽表,['88864']
轄內6公尺以上橋梁資料,['67720']
轄內有線廣播電視系統,['67519']
轄內醫院病床數,['92424']
辦公大樓導覽,['89384']
農作物資訊,['87769']
農地土壤監測資料,['67606']
道路交通音量監測,['89831']
道路鋪設柏油工程,['67722']
違規自動照相固定桿設置地點,['67491']
遠距健康照護站,['129126']
遠距健康照護站131站名冊,['67632']
避難收容處所及人數,['67738']
都市更新地區,['95901']
都市計畫-公共設施開闢水準與保留地分析,['95441']
都市計畫土地使用分區證明書申請方式統計,['95440']
都市計畫土地使用發展現況統計,['92446']
都市設計審議統計資料,['87033']
鄰長名冊,['67535']
酒製造業者明細表,['67553']
醫事人員執業人數,['92423']
醫療機構牙醫診所名冊,['67656']
醫療機構西醫地址電話名冊,['67617']
里長名冊,['67534']
里集會所,['129356']
重要遊憩據點遊客統計,['99374']
重陽敬老禮金,['99360']
針具及保險套販賣點名單,['67649']
錄影監視系統設置地點,['67490']
長青學苑相關資料,['67748']
門診戒菸合約醫療院所名冊,['67629']
防焰性能認證廠商,['67705']
防空避難設備容納人數,['92430']
附屬單位決算作業基金餘絀撥補綜計,['88920']
附屬單位決算特別收入基金餘絀撥補綜計,['88921']
附屬單位預算作業基金餘絀撥補綜計,['89054']
附屬單位預算特別收入基金基金來源、用途及餘絀綜計,['89055']
電動公車運營路線號及運行車輛數與廠牌資料,['97217']
電動機車充電站,['67593']
電器承裝商,['67549']
電影院名冊,['67517']
青少年館參觀資訊,['67737']
青草湖水域遊憩區告示牌,['85787']
預防愛滋廢棄針具回收點名單,['67651']
預防愛滋諮詢服務點名單,['67652']
預防接種合約院所名冊,['67643']
颱風來襲管制區域,['89010']
飲水機飲水點位址,['67615']
