(中台灣排除6都)公司登記資料-A農、林、漁、牧業,['108351']
1420條土石流潛勢溪流影響範圍圖(TWD67),"['28340', '28342']"
1420條土石流潛勢溪流影響範圍圖(TWD97),"['28339', '28341']"
1428條土石流潛勢溪流圖(TWD67),['30674']
1428條土石流潛勢溪流圖(TWD97),['30675']
1428條土石流潛勢溪流影響範圍圖(TWD67),['30672']
1428條土石流潛勢溪流影響範圍圖(TWD97),['30673']
15-29歲青年勞工就業狀況調查,"['9565', '120009']"
1503條土石流潛勢溪流圖(TWD67),['28314']
1503條土石流潛勢溪流圖(TWD97),['28300']
1552條土石流潛勢溪流圖(TWD67),['28298']
1552條土石流潛勢溪流圖(TWD97),['28296']
1552條土石流潛勢溪流影響範圍圖(TWD67),['28338']
1552條土石流潛勢溪流影響範圍圖(TWD97),['28337']
1578條土石流潛勢溪流圖(TWD67),['28295']
1578條土石流潛勢溪流圖(TWD97),['28293']
1578條土石流潛勢溪流影響範圍圖(TWD67),['28336']
1578條土石流潛勢溪流影響範圍圖(TWD97),['28335']
1578條土石流潛勢溪流集水區圖,['106201']
15歲以上人口每日吸菸率,['14460']
15歲以上人口目前吸菸率,['14462']
15歲以上人口目前吸菸率-依性別分,['9342']
15歲以上人口識字情形,['14246']
15歲以上人口高等教育程度,['14219']
15歲以上吸菸者每天平均吸菸支數,['14458']
15歲以上女性民間人口之年齡,['36803']
15歲以上婚姻狀況,['9597']
15歲以上就業者每月收入情形,['17185']
15歲以上教育程度,"['14220', '14221', '14222']"
15歲以上民間人口之勞動力狀況,['36799']
15歲以上民間人口之勞動力狀況與年齡,['36798']
15歲以上民間人口之教育程度與年齡,['33443']
15歲以上現住人口,['32944']
15歲以上現住人口按性別、年齡、婚姻狀況及教育程度分(含同婚),['117988']
15歲以上現住原住民人口數,['32942']
165反詐騙諮詢專線-詐騙LINE ID,['78432']
165反詐騙諮詢專線-詐騙闢謠專區,['38262']
1660條土石流潛勢溪流圖(TWD67),['28292']
1660條土石流潛勢溪流圖(TWD97),['28291']
1660條土石流潛勢溪流影響範圍圖(TWD67),['28334']
1660條土石流潛勢溪流影響範圍圖(TWD97),['28333']
1660條土石流潛勢溪流集水區圖,['103775']
1664條土石流潛勢溪流圖(TWD67),['28290']
1664條土石流潛勢溪流圖(TWD97),['28262']
1664條土石流潛勢溪流影響範圍圖(TWD67),['28329']
1664條土石流潛勢溪流影響範圍圖(TWD97),['28328']
1664條土石流潛勢溪流集水區圖,['103950']
1671條土石流潛勢溪流圖(TWD67),['28260']
1671條土石流潛勢溪流圖(TWD97),['28028']
1671條土石流潛勢溪流影響範圍圖(TWD67),['28327']
1671條土石流潛勢溪流影響範圍圖(TWD97),['28326']
1671條土石流潛勢溪流集水區圖,['106202']
1673條土石流潛勢溪流圖(TWD97),['28343']
1673條土石流潛勢溪流影響範圍圖(TWD97),['28344']
1673條土石流潛勢溪流集水區圖,['106893']
1687條土石流潛勢溪流圖(TWD97),['35647']
1687條土石流潛勢溪流影響範圍圖(TWD97),['35648']
1687條土石流潛勢溪流集水區圖,['105890']
1705條土石流潛勢溪流圖(TWD67),['43220']
1705條土石流潛勢溪流圖(TWD97),['43219']
1705條土石流潛勢溪流影響範圍圖(TWD67),['43222']
1705條土石流潛勢溪流影響範圍圖(TWD97),['43218']
1705條土石流潛勢溪流集水區圖,['105891']
1719條土石流潛勢溪流圖(TWD67),['75111']
1719條土石流潛勢溪流圖(TWD97),['75112']
1719條土石流潛勢溪流影響範圍圖(TWD67),['75113']
1719條土石流潛勢溪流影響範圍圖(TWD97),['75114']
1719條土石流潛勢溪流集水區圖,['105892']
1725條土石流潛勢溪流圖,['99124']
1725條土石流潛勢溪流影響範圍圖,['99123']
1725條土石流潛勢溪流集水區圖,['105893']
1726條土石流潛勢溪流圖,['118820']
1726條土石流潛勢溪流影響範圍圖,['118822']
1726條土石流潛勢溪流集水區圖,['118834']
18歲以上人口室內公共場所2手菸暴露率,['14465']
18歲以上人口室外公共場所2手菸暴露率,['14467']
18歲以上人口家庭2手菸暴露率,['14464']
18歲以上人口家庭2手菸暴露率-依性別分,['89657']
18歲以上人口曾經醉酒率,['14489']
18歲以上人口每日吸菸率,['14461']
18歲以上人口目前吸菸率,['14463']
18歲以上人口目前嚼檳榔率-依年齡別分,['14492']
18歲以上人口目前嚼檳榔率-依縣市別分,['14493']
18歲以上人口禁菸公共場所2手菸暴露率,['14466']
18歲以上人口禁菸公共場所2手菸暴露率-依性別分,['89659']
18歲以上人口過去1個月喝超過1個標準杯之百分比,['14487']
18歲以上人口過去1個月暴飲率,['14488']
18歲以上人口過去1個月曾經醉酒率,['14490']
18歲以上人口過去飲酒率,['14486']
18歲以上吸菸者每天平均吸菸支數,['14459']
18歲以上吸菸者醫護人員勸戒率,['14468']
18歲以上國人自覺健康良好的百分比,['14415']
18歲以上民眾每日攝取3蔬2果比率的人口比率-依年齡別分,['14512']
18歲以上民眾每日攝取3蔬2果比率的人口比率-依縣市別分,['14513']
18歲以上過重及肥胖率-依年齡別分,['14419']
18歲以上過重及肥胖率-依縣市別分,['14421']
1985諮詢服務專線,['31690']
1996內政服務熱線常見問題(QA),['11838']
19歲以上國人每人每天從飽和脂肪酸攝入的能量占總能量的平均百分比,['89629']
19歲以上國人每人每天鹽攝取量,['89634']
19歲以上國人熱量攝取量,['88456']
1審支援檢察官辦案系統-重要應用系統簡介,['13023']
1百萬分之1臺灣區域地質圖數值檔-臺灣,['6694']
1眼看天下-中南美洲新聞,['100066']
1眼看天下-亞洲新聞,['100064']
1眼看天下-全球新聞,['100069']
1眼看天下-兩岸新聞,['100070']
1眼看天下-歐洲新聞,['100067']
1眼看天下-美加新聞,['100065']
1眼看天下-非洲新聞,['100068']
1秒搞懂政府網站創意競賽得獎名單,['41463']
1級發布區圖,['20597']
1級監控橋梁,['16195']
1級監控路段,['16193']
1級竹林產業_生產原物料供應商,['38187']
1至97章中國大陸物品開放及不開放情形統計,['41508']
1週農業氣象預報,['9185']
2-1 教育程度,['6515']
2-2 各級學校數,['6516']
2-3 托育設施,['95317']
2001-2018定醫呼吸道病毒分離前5大基因型,['43981']
2013離島論文集,['13508']
2015-2017資訊服務產業專業人才需求調查,['16404']
2015IPO得獎名單,['32488']
2016鐙烜獎獲獎名單,['32613']
2017智慧機械產學合作人才培育執行成果文宣,['86545']
2017鐙烜獎得獎名單,['45317']
2030雙語國家政策發展藍圖之推動理念、目標及重要策略一覽表,['113769']
20歲以上國人糖尿病盛行率,['9337']
20歲以上國人高血壓盛行率,['9336']
20歲以上國人高血脂盛行率,['88454']
21類貨物出口價值排行統計(按年),['17055']
21類貨物進口價值排行統計(按年),['17054']
228事件人名索引,['56237']
24小時雨量預測-颱風期間各地區24小時雨量預測,['41439']
250個農村再生社區範圍圖,['103770']
2仁溪污染整治小組及再生願景聯繫會報,['35098']
2十5萬分之1臺灣區域地質圖數值檔-臺灣,['6695']
2十9大類股營收變化統計表,['25038']
2審支援檢察官辦案系統 -重要應用系統簡介,['13239']
2氧化碳-小時值-每小時,['34521']
2級品管驗證通過之食品業者名單資料集,['48579']
2級機關組織法,['31675']
2級發布區圖,['20598']
2級監控路段,['16194']
2級竹林產業_加工產品製造商,['38188']
2階段常備兵役軍事訓練統計,['23790']
3+2碼郵遞區號,['5948']
3-1 就業率及就業人口行業分配,['6523']
3-2 失業率及未參與勞動原因人數,['6524']
30-69歲婦女最近內接受子宮頸癌篩檢率-依年齡別分,['14675']
30-69歲婦女最近內接受子宮頸癌篩檢率-依縣市別分,['14676']
30-70歲4大非傳染病之死亡機率,"['14445', '14446', '14447', '14448', '14449', '14450', '14451', '14452', '88449']"
30分鐘快速上手集水區地形及地質資料庫應用服務,['45253']
30天觀測資料-本局屬地面測站觀測資料,['9206']
30歲以上嚼檳榔或吸菸者最近兩年內接受口腔癌篩檢率-依年齡別分,['14681']
30歲以上嚼檳榔或吸菸者最近兩年內接受口腔癌篩檢率-依縣市別分,['14682']
35-44歲成人牙周組織健康比率(移至心理及口腔健康司),['14667']
3大法人 > 外資及陸資投資類股持股比率表,['11655']
3大法人 > 外資及陸資持股前 20 名彙總表,['11656']
3大科學園區公司資料集,['29277']
3碼郵遞區號與行政區中心點經緯度對照表,['25489']
3碼郵遞區號與行政區地理座標對照KML,['37759']
3級竹林產業_行銷產品推廣商,['38189']
3角貿易空運出口統計表,['24152']
3角貿易空運進口統計表,['24151']
3軍大學至國防大學歷任校長,['15973']
3軍軍官俱樂部,['33427']
3軍陳展裝備列表,['72435']
3高盛行率,['14422']
3高盛行率-依年齡別分,['14424']
4-1 都市計畫區面積與人口數,['6489']
4-2 都市計畫區土地使用分區面積,['6490']
4-3 非都市土地使用分區面積,['6491']
4-4 非都市土地使用編定面積,['6492']
45-69歲婦女最近兩年內接受乳癌篩檢率-依年齡別分,['14670']
45-69歲婦女最近兩年內接受乳癌篩檢率-依縣市別分,['14671']
5-1 國家公園設置情形,['6494']
5-2 自然保留區及野生動物保護區設置情形,['6495']
5-3 國家風景特定區設置情形,['6496']
5-4 國家重要濕地,['95318']
5-5 觀光旅館分布,['6501']
50-69歲民眾最近兩年內接受大腸癌篩檢率-依年齡別分,['14678']
50-69歲民眾最近兩年內接受大腸癌篩檢率-依縣市別分,['14679']
55個原住民族鄉鎮市區,['7102']
5大創新研發計畫-以創新驅動台灣產業成長動能,['46090']
5大銀行存放款利率歷史月資料,['10359']
5大銀行新承做放款金額與利率,['6551']
5至十年內達成財政收支平衡方案之研擬,['11794']
5萬分之1地質圖幅索引圖,['8293']
6-1-1 歷年住宅投資,['6506']
6-1-2 住宅狀況,['6508']
6-1-3 住宅支出,['6507']
6-1-4 房屋營建工程面積-使用執照,['6698']
6-1-4 房屋營建工程面積-建照執照,['6699']
6-1-5 工業區開發,['6700']
6-2-1 每萬人享有公園綠地面積,['95319']
6-2-2 空氣污染之測定結果,['6510']
6-2-3 垃圾清運處理狀況,['6511']
6-2-4 重要河川污染情形,['6512']
6-2-5 污水處理率,['6513']
6-3-1 公路長度與面積,['6499']
6-3-2 交通費用、汽車數及機車數,['6500']
6-4-2 數位設備普及率,['95320']
6-5-1 醫師數及病床數,['6503']
6-5-2 老人長期照護、養護及安養機構,['6505']
6-6-1 水資源開發建設-主要水庫壩堰,['6493']
6-6-2 自來水普及率及用水量,['6497']
6-7-1 文化資產統計,['95321']
6-7-2 藝文展演活動統計,['6517']
6-8-1 用電量,['6498']
619戰役參戰義務役官兵榮民人數統計,['113703']
619戰役金馬自衛隊榮民人數統計,['113704']
633個農村再生社區範圍圖,['99875']
65區特定水土保持區範圍圖,['106894']
65歲以上人口規律運動率,['9338']
65歲以上老人失能率,['88441']
65歲以上老人過去1星期從事運動比率-依縣市別分,['14498']
67區特定水土保持區範圍圖,['96822']
6歲以下兒童執行口腔預防保健服務之比率 (牙醫門診總額指標),['24892']
6歲以下兒童氣喘住院率 (西醫基層總額指標),['21272']
6歲以下轉出逾未納健保人數,['37278']
6輕相關計畫環境監測資料,['34851']
6輕相關計畫環評監督委員會會議紀錄,['34913']
6都居民跨境消費樣態,['38312']
6都居民跨縣市消費樣態,['38313']
6都持卡人前十大國外消費金額及筆數(依簽帳筆數排名),['62946']
6都持卡人前十大國外消費金額及筆數(依簽帳金額排名),['62948']
6龜濕地蛙類聲景錄音檔,['15876']
7-1 平均每戶全年經常性收入及支出,['6520']
7-2 平均每戶可支配所得、消費支出及儲蓄,['6521']
714個農村再生社區範圍圖,['99791']
71區特定水土保持區範圍圖,['31118']
78點結論性意見與建議,['120351']
7星農田水利會灌溉水質監測結果,['35484']
8-1 各縣市政府歲入決算數,['6518']
8-2 各縣市政府歲出決算數,['6519']
811個農村再生社區範圍圖,['99121']
823戰役參戰義務役官兵榮民人數統計,['25710']
823戰役金馬自衛隊榮民人數統計,['113278']
921集集地震事件之各縣市災損統計(財團法人住宅地震保險基金),['11444']
99-101部落活力計畫成果,['7126']
ABCP成交資訊,['11466']
ADS航空攝影記錄及影像分布檔,['40655']
AED位置資訊,['12063']
APEC EoDB研討會我國成功經驗分享-APEC 2016 Ease of Doing Business Workshop：One-Stop Shops Improve the Business Environment,['34013']
APEC Human Resources Working Group (HRDWG)會議相關資料,['31523']
APEC Ocean and Fisheries Working Group (OFWG),['47262']
APEC小辭典,['41505']
APICTA Awards歷年競賽我國得獎名單,['29786']
ATM裝設紀錄資料,['62929']
AU 類自動化技術服務機構登錄合格名單,['32451']
Application Directions for a Second ROC Passport,['30746']
Apply for a Passport,['30735']
BTEX監測小時值(每日更新),['34828']
B型及C型肝炎治療計畫,['39268']
CAS最新通過與終止,['43389']
CAS產品查詢,['43388']
CAS產品檢驗結果一覽表,['13746']
CCTV 動態資訊(cctv_value..gz),['37666']
CCTV 靜態資訊(cctv_info..gz),['37665']
CITES許可文件資料,['41510']
CMS 動態資訊(cms_value..gz),['37668']
CMS 靜態資訊(cms_info..gz),['37667']
CNS11643中文標準交換碼全字庫(簡稱全字庫),['5961']
COVID-19全球疫情資訊,['128062']
COVID-19台灣最新病例、檢驗統計,['120450']
COVID-19各國家地區累積病例數與死亡數,['120449']
CO_8hr平均值(每日提供17筆),['91086']
Customs Administration news and events,['95229']
DMC航空攝影記錄及影像分布檔,['40654']
DS Forum參展廠商名單,['22220']
E.164用戶號碼網路電話服務電信號碼核配現況,['7172']
ECFA早收清單台方對照陸方稅則8位碼對照表,['17061']
ECFA早收清單業管機關聯絡窗口,['22246']
ECFA早收清單陸方對照台方稅則8位碼對照表,['17064']
ECFA早收農產品外銷大陸統計表,['43129']
ECFA早期收穫減讓關稅統計表,['6707']
ECFA服務業早期收穫計畫投資情形-我方赴中國大陸投資統計表,['43128']
ECFA服務業早期收穫計畫投資情形-陸資來臺統計表,['43127']
ECFA相關新聞(中華民國保險經紀人商業同業公會),['15327']
ECFA貨品貿易早期收穫計畫執行成果-我國對中國大陸出口情形,['43124']
ECFA貨品貿易早期收穫計畫執行成果-我國自中國大陸進口情形,['43125']
EPQSummary_Air,['37200']
EPQSummary_EnvironmentalEducation,['37201']
EPQSummary_EnvironmentalHealth,['37202']
EPQSummary_EnvironmentalImpactAssessment,['37203']
EPQSummary_EnvironmentalInformationSystem,['37204']
EPQSummary_EnvironmentalMonitoringAndTesting,['37205']
EPQSummary_InternationalIssues,['37194']
EPQSummary_ManagementOfToxicSubstances,['37195']
EPQSummary_NoiseAndVibration,['37196']
EPQSummary_Other,['37206']
EPQSummary_PublicNuisanceDispute,['37207']
EPQSummary_RegionalEnvironmentalManagement,['37230']
EPQSummary_SoilAndGroundwater,['37208']
EPQSummary_WasteManagement,['37209']
EPQSummary_WaterQualityProtection,['37210']
ETC計程年度運作狀況表,['45760']
Environmental Policy Monthly,['9049']
F0001車籠埔斷層活動斷層地質敏感區劃定計畫書,['16785']
F0002池上斷層活動斷層地質敏感區劃定計畫書,['16786']
F0003旗山斷層活動斷層地質敏感區劃定計畫書,['16787']
F0004新城斷層活動斷層地質敏感區劃定計畫書,['32600']
F0005新竹斷層活動斷層地質敏感區劃定計畫書,['32598']
F0006新化斷層活動斷層地質敏感區劃定計畫書,['32604']
F0008大尖山斷層活動斷層地質敏感區劃定計畫書,['32606']
F0009鹿野斷層活動斷層地質敏感區劃定計畫書,['32607']
F00103義斷層活動斷層地質敏感區劃定計畫書,['32609']
F0011米崙斷層活動斷層地質敏感區劃定計畫書,['45244']
F0012大甲斷層活動斷層地質敏感區劃定計畫書,['45245']
F00139芎坑斷層活動斷層地質敏感區劃定計畫書,['45246']
F0014瑞穗斷層活動斷層地質敏感區劃定計畫書,['45247']
F0015奇美斷層活動斷層地質敏感區劃定計畫書,['45248']
F0017-6甲斷層活動斷層地質敏感區劃定計畫書,['77885']
F0018-獅潭斷層活動斷層地質敏感區劃定計畫書,['112060']
F0019-屯子腳斷層活動斷層地質敏感區劃定計畫書,['112061']
FINDIT平台-新創企業補給站-中央各部會,['95996']
FINDIT平台-研究專區,['95995']
FinTech 推薦商品,['72343']
Financial industry consolidation M&A Deals since September 2004_NEW,['119740']
Foreign Investment in the Banking Market__NEW,['119739']
GBIF出版品清單,['7514']
GEM報告,['16378']
GES/GS Taipei Workshop 議程及手冊,['57155']
GMP中藥廠名單,['8586']
GMP製造許可廢止資料集,['9011']
GMP證明書註銷資料集,['9010']
Guide to ROC Taxes,['22861']
HACCP外銷食品加工廠認可登錄廠商資料集,['30177']
HACCP課程資料集,['9006']
HACCP課程辦理單位名單資料集,['11507']
HS委員會第54次會議分類決定案例,['38743']
HS委員會第55次會議分類決定案例,['32049']
HS委員會第56次會議分類決定案例,['32050']
HS委員會第57次會議分類決定案例,['38744']
HS版與HS版海關進口稅則新舊稅號對照表,['17056']
ICT產業研發人力_全時約當數,['40195']
ICT產業研發經費,['40194']
IFRSs財務報告揭露缺失彙總,['10548']
ISO認可登錄廠商查詢,['5978']
L0001臺北市山崩與地滑地質敏感區劃定計畫書,['77886']
L0002南投縣山崩與地滑地質敏感區劃定計畫書,['77887']
L0003臺中市山崩與地滑地質敏感區劃定計畫書,['77888']
L0004嘉義縣市山崩與地滑地質敏感區劃定計畫書,['77889']
L0005臺南市山崩與地滑地質敏感區劃定計畫書,['77890']
LED/每週重要訊息內容,['8353']
LED產業專業人才需求調求,['22240']
List of Antidumping Investigation Cases,['45619']
List of Antidumping Review Cases,['45620']
List of Safeguard Investigation Cases,['45621']
MOD用戶數,['27974']
Mobileheroes 通訊大賽歷屆得獎作品團隊,['22326']
NGO公共政策,['42794']
NGO學術文化,['45700']
NGO經濟工商,['45699']
NGO農業環保,['80919']
NGO醫療衛生,['80918']
NGO雙語網站電子報,['30356']
NPEV腸病毒統計表,['43984']
NTQP得獎名單,['21214']
New Highlight for Investing in Taiwan-FEPZs,['27766']
New Southbound Policy Portal,['45347']
News & Events,['30734']
Noticias de Taiwan (Español),['45412']
N年內及目前月份經營概況趨勢統計分析,['64250']
N年內及目前月份經營統計資料,['64171']
OTOP城鄉特色網店家列表,['45359']
"Open Data of What's New of International trade Commission, the Ministry of Economic Affairs",['45622']
Open Data創新應用競賽歷年得獎名單,['41462']
Open Data跨國黑客松歷年得獎名單,['59633']
PCCES預算書資訊文件-下水道工程預算書,['8404']
PCCES預算書資訊文件-公路工程預算書,['7270']
PCCES預算書資訊文件-建築工程預算書,['7271']
PCCES預算書資訊文件-橋樑工程預算書,['7272']
PCCES預算書資訊文件-河川整治工程預算書,['8407']
PCCES預算書資訊文件-自來水工程預算書,['8406']
PCCES預算書資訊文件-隧道工程預算書,['8408']
PIC/S GMP藥廠名單資料集,['6946']
PM10小時值(每小時提供),['91088']
PM10日均值(每日提供),['91089']
PM2.5化學成分監測數據,['100629']
PM2.5日均值(每日提供),['91090']
Passport Application Form,['30733']
Program participants share their experiences,['77851']
QPESUMS-對流胞即時監測透明圖層,['74956']
QPESUMS-未來1小時定量降雨預報格點資料,['42619']
QPESUMS-過去1小時定量降雨估計格點資料,['42623']
Rapiacta使用情形,['43591']
Relenza使用情形,['43592']
SBTR績優廠商,['128508']
Schools for International Residents in ROC,['32958']
TAIBIR 01 歷史初級發行利率報價定盤利率,['11473']
TAIBIR 01 當日初級發行利率報價定盤利率,['11471']
TAIBIR 02 上線前歷史次級買賣利率報價定盤利率,['11475']
TAIBIR 02 歷史次級買賣利率報價定盤利率,['11474']
TAIBIR 02 當日次級買賣利率報價定盤利率,['11472']
TAIBIR 當日最新初級發行利率報價,['11469']
TAIBIR 當日最新次級買賣利率報價,['11470']
TGOS MAP API Lite(Web),['31960']
TTQS企業機構版評核結果,['106662']
TTQS訓練機構版評核結果,['106663']
TTQS評核服務家次,"['106659', '106664']"
TTQS認證單位名單,['41723']
TTQS輔導服務時數,['106661']
Table of Financial Holding Companies Established_NEW,['119738']
TaiBIF出版品清單,['7513']
TaiSi Investment Program Introduction,['31639']
Taipanorama (Pусский),['45416']
Taiwan Heute (Deutsch),['45414']
Taiwan Info(Francais),['45351']
Taiwan Statistical Data Book,['22120']
Taiwan Today (日本語),['45417']
Taiwan Today(English),['45349']
Taiwan's Free Economic Pilot Zones,['27764']
Tamiflu使用情形,['43593']
The Asian Silicon Valley Development Plan Introduction,['43368']
Timetable of Banking Industry Holidays_NEW,['119741']
UAV空拍正射影像圖磚,['107506']
VD 1分鐘動態資訊(vd_value..gz),['37662']
VD 5分鐘動態資訊(vd_value5..gz),['37663']
VD 靜態資訊(vd_info..gz),['37661']
WTO小詞典,['22660']
Web公文製作系統電子報,['33071']
Web版公文製作之全國通訊錄,['38403']
Web版公文製作系統表單範本,['30943']
e-GNSS即時動態定位系統衛星基準站所在地點,['9406']
eTag EPC ID 編碼原則,['9453']
e管家Plus網站-全民快訊,['38769']
e管家Plus網站-福利自己查,['38770']
i35愛生物蝴蝶調查資料集,['24881']
iTaiwan中央行政機關室內公共區域免費無線上網熱點查詢服務,['5962']
ide@ Taiwan 2020(創意臺灣)政策白皮書,['34002']
i郵箱據點,['52779']
talent期刊,['8174']
⾏政院原⼦能委員會輻射偵測中⼼技術服務業務統計,['122595']
《聯合國反貪腐公約》,['13769']
《臺灣學通訊》主題列表,['39053']
「109 年全方位癌症防治策進計畫」 醫院名單,['119183']
「4大新興智慧型產業」執行進度報告,['31471']
「A+企業創新研發淬鍊計畫」-「前瞻技術研發計畫」補助計畫清單,['45602']
「A+企業創新研發淬鍊計畫」-「整合型研發計畫」補助計畫清單,['45603']
「A+企業創新研發淬鍊計畫」-「鼓勵國內企業在台設立研發中心」補助計畫清單,['110295']
「ATM位置」查詢一覽表,['24333']
「Strategic Vision(戰略視野)」英文期刊年稿件清單,['8858']
「中山高速公路員林-高雄段拓寬工程計畫環境影響差異分析報告(國道1號增設銅鑼交流道工程)環境監測報告書,['129933']
「亞熱帶農作物產業之研究與發展研討會」論文集,['40516']
「低收入戶及中低收入戶之體外受精(俗稱試管嬰兒)補助方案」特約人工生殖機構名單,['33808']
「便捷貿e網」中藥材進口統計資料,['7179']
「內政部區域計畫委員會」委員名冊,['21202']
「內政部都市計畫委員會」委員名冊,['21216']
「公共圖書館研究」電子期刊各期全文網址連結清單,['31663']
"「勞委會政風單位積極提供廉政興革建議，節省公帑達4,600餘萬元」說明資料",['14615']
「即測即評及發證檢定」之承辦單位資料,['10102']
「原住民族部落永續發展造景計畫」工程經費核定明細表,['47263']
「原住民族部落特色道路改善計畫」工程經費核定明細表,['47265']
「及所屬機關機構請託關說登錄查察作業要點」教學宣導資料,['39477']
「台灣經濟論衡」目錄,['46083']
「國3新台5及南港交流道改善工程」環境監測報告,['129936']
「國家建設總合評估規劃作業」補助情形表,['10415']
「國防部政府資料開放諮詢小組」會議紀錄,['24665']
「國際卡在台提款-ATM位置」查詢一覽表,['24361']
「國際卡在台提款-ATM台數縣市分佈」統計(月報),['24368']
「國際卡在台提款-交易值」統計(月報),['24363']
「國際卡在台提款-交易區域分佈(北/中/南/東)」結構比統計(月報),['24366']
「國際卡在台提款-交易時間帶分佈」結構比統計(月報),['24364']
「國際卡在台提款-交易縣市分佈」結構比統計(月報),['24367']
「國際卡在台提款-交易類別(餘額查詢/提款)」結構比統計(月報),['24365']
「國際技術合作計畫」研習統計,['8856']
「外幣結算平台-交易值」統計(月報),['24358']
「外幣結算平台-交易時間帶分佈」結構比統計(月報),['24359']
「外幣結算平台-金融機構屬性(本國銀行/外商銀行)」結構比統計(月報),['24360']
「孕婦乙型鏈球菌篩檢補助服務方案」特約院所名單,['6963']
「孕婦產前健康照護衛教指導服務補助方案」受訓人員合格名單,['37936']
「客運碼頭之船港間岸接設施規劃」研究報告,['57184']
「小兒氣喘緩解期中醫優質門診照護試辦計畫」參與院所名冊(中醫門診總額指標),['25563']
「小兒腦性麻痺中醫優質門診照護試辦計畫」參與院所名冊(中醫門診總額指標),['25564']
「建築節能與綠廳舍改善補助計畫」各縣市歷年之受補助單位及金額一覽表,['24566']
「強化國有財產管理及運用效益方案」執行成果考評績優機關頒獎典禮照片目錄,['24082']
