102-104歷年累進起點地價,['89078']
以前法規異動統計表,['73368']
低收入戶傷病住院看護費用補助辦法,['74191']
使用牌照稅稅源統計表,"['63486', '63487', '63489']"
使用牌照稅稅源統計表(表1),"['89091', '105916', '129116']"
使用牌照稅稅源統計表(表2),"['89092', '105917', '129117']"
使用牌照稅稅額表,['89100']
使用牌照稅納稅義務人性別統計及比例分析,"['63529', '63531', '89085', '105907', '117352']"
例行性稽查輔導-食品良好衛生規範準則(GHP),['89410']
保健出生性別比之監測與稽查,['74760']
保健科個人資料公開事項表,['97609']
保健科營造健康生活-肥胖分析,['74759']
修正後「文化觀光局客家圓樓街頭藝人表演申請須知」,['73312']
停車場登記證申請標準作業程序,['75857']
健康職場推動方案,['74724']
健康職場認證申請專區-操作手冊,['74721']
兒童及少年安置教養機構一覽表,['74998']
兒童及少年性剝削事件報告(通報)單,['73720']
兒童及少年性剝削防制諮詢會設置要點,['75085']
兒童少年家庭寄養辦法,['75083']
兒童戴安全帽分析報告,['74758']
兒童早期療育費用補助實施計畫,['75024']
兒童早期療育費用補助申請表格,['74198']
兒童發展通報表,['75061']
兒童預防保健醫療院所,['89972']
全功能櫃臺服務件數統計表,"['89119', '89120', '89121', '89122', '89123', '105902', '129099']"
全國清潔針具佈點名單,"['74611', '97122']"
公共AED清冊,"['97747', '114670']"
公共場所哺集乳室資料,['74654']
公共場所設置哺集乳室場所,['97614']
公共藝術設置自治條例,['74641']
公共藝術辦理流程圖、設置3階段相關文件下載,['75846']
公共藝術辦理流程圖、設置3階段相關文件下載(106.10.26),['74636']
公共設施管線圖資更新及維護作業要點,['73475']
公務人員平時獎懲情形,"['73217', '73224', '73369']"
公務預算,['114680']
公告「空氣污染防制計畫書(修正版)」,['75889']
公告「苑裡溪水區及水體分類」,['75890']
公告台灣氯乙烯工業股份有限公司頭份廠整治場址整治計畫審查與結論摘要,['75892']
公告地價及公告土地現值,"['98169', '117601']"
公告地價及公告現值,['77932']
公告地價與公告土地現值,['73501']
公告大型車禁行路線,['73460']
公告本縣市區道路(含公路系統縣道、鄉道共線路段)「臨時施工使用道路申請業務」委辦本縣各鄉鎮市公所受理申請,['75873']
公告禁菸場所,"['74285', '114514']"
公告調整本縣轄內縣道119線、121線及126線等3條公路路線,['75853']
公地撥用統計表,['73506']
公報,"['73459', '73489', '73518', '73558', '73586', '73594', '73596', '73598', '108406']"
公害糾紛緊急紓處小組設置要點,['75606']
公害糾紛調處委員會組織規程,['75604']
公害陳情案件處理統計分析報告,"['74241', '74250', '74265', '74266', '75579', '75600']"
公有路燈設施認捐要點,['75875']
公民營廢棄物處理機構同意設置文件申請審查標準作業程序,['75870']
公益彩券盈餘分配運用要點,['74684']
公益彩券盈餘推展社會福利專案補助要點,['74686']
公益彩券辦理社會福利事業情形季報表,"['74689', '74691', '74693', '74695', '74697', '74700', '74702']"
公私立托嬰中心疑似腸病毒感染個案通報暨處理流程,['75002']
公費流感抗病毒藥劑合約醫療院所,"['42705', '96005']"
公費流感疫苗成人劑型(0.5ML)合約接種院所名冊,['97681']
公館鄉各村人口數,"['74526', '100246', '118369']"
出納業務統計,['62904']
列管建築物,['78253']
列管珍貴老樹,['76153']
利用空地申請設置臨時路外停車場標準作業程序,['75859']
動物用藥品販賣業許可證名冊,['62752']
勞動條件相關申請表件及法規,['64912']
勞工退休準備金相關申請表件,['64940']
化粧品衛生管理,"['74720', '77009', '77931', '79030', '80568', '87050', '87092', '89508', '91044', '92282', '94756', '96699', '97648', '100284', '100288', '106751', '106753', '106755', '106757', '114752', '114762', '114766', '114770', '114773', '114775']"
匯款委託書,['74414']
區段徵收已出售標售地資料,['73497']
區段徵收成果財務狀況表,['73498']
十8鄉鎮衛生所預防接種時間,['74597']
十大死因,"['74669', '97568']"
十大死因統計,['114520']
卓蘭鎮各里人口數,"['74521', '100244', '118367']"
南庄鄉各村人口數,"['74528', '100248', '118371']"
印花稅徵收,['89098']
印花稅徵績,"['63498', '63500', '63501', '105911', '129162']"
各稅違章案件處理統計表,"['129110', '129111', '129112']"
各級租佃委員會調解調處案件,['73494']
各鄉鎮市人口數,['118384']
各鄉鎮市公有耕地375租約統計表,['73455']
各鄉鎮市核准伐採統計表,['75467']
各鄉鎮市造林面積統計表,['62975']
各鄉鎮產銷班統計表,['76079']
各里人口數,"['74500', '100142', '118340']"
各類免稅車輛統計表,['129118']
各類房屋耐用年數及折舊率表,['129178']
合法動物醫院名冊,['62742']
單位決算公告,['73243']
國小學童臼齒窩溝封填補助方案參加醫師名冊,['74719']
土地使用分區證明申請案件統計表,['73600']
土地建物登記管理統計,['73449']
土地登記印鑑設置及使用情形統計,['73508']
地價稅徵績(徵期結束),['63406']
地價稅徵績(滯納期滿),['63411']
地價稅徵績-徵期結束,"['89227', '105922', '113821']"
地價稅徵績-滯納期滿,"['89226', '105921', '129092']"
地價稅納稅義務人性別統計及比例分析,"['63506', '63515', '105906', '113822']"
地政人員人數異動,['73730']
地方教育發展基金附屬單位決算,['73401']
地方教育發展基金附屬單位預算,['73397']
地標位置資料,['47858']
型塑組織文化計畫,['73215']
執永久效期手冊者換發身心障礙證明問答集,['74992']
執照補發更新申請書,['75106']
培育優秀運動人才獎勵金審查及核發作業要點,['63607']
外國人地權登記管理,"['73452', '76951']"
外籍移工相關申請表件,['64939']
多元繳稅統計表,"['129086', '129087', '129088', '129089', '129090']"
大湖鄉各村人口數,"['74525', '100245']"
大湖鄉各里人口數,['118368']
娛樂稅稅源統計表,"['63429', '63467', '63473', '63474', '63475', '63479', '89149', '105904', '129163']"
婦幼福利服務中心場地使用管理及收費標準,['74225']
媒體事務中心決算書,['92235']
學區,['63612']
家庭收支概況分析,['70581']
家庭暴力及性侵害防治委員會設置要點,['75084']
容積移轉案件申請統計表,['73697']
實施耕地375減租後佃農購買耕地面積戶數,['73496']
實施耕地375減租成果增減原因統計,['73491']
審查社政業務財團法人設立許可及監督準則,['74200']
寬頻管道管理申請標準作業程序,['75855']
專戶收支統計表,['73713']
居家護理所名單,['74584']
居家醫療居家安寧服務團隊清冊,"['75159', '97748', '114672']"
市化粧品衛生管理,"['120945', '120947', '120949', '130167', '130169', '130172', '130175', '130177']"
市區汽車客運動態資訊管理系統管理要點,['73479']
市區道路管理規則,['75867']
市政信箱/1999資訊,['89024']
平時多活動 能吃最幸福,['114564']
底人口數(含男女人口數),['100479']
底各鄉鎮市救護車統計表,['74663']
廠商自領切結書,['74418']
廢棄物清除機構申請審查標準作業程序,['75900']
廢棄物處理機構許可證標準作業程序,['75866']
建檔公廁明細,['74268']
弱勢家庭兒童及少年緊急生活扶助補助辦法,['74228']
後龍鎮各里人口數,"['74520', '100243', '118366']"
復康巴士交通接送服務要點與收費標準,['74249']
徵解地政規費,['73450']
心理健康網資源,"['74726', '74752']"
志願服務團隊及重大災害志工運用工作手冊,['75034']
志願服務獎勵辦法,['75045']
急救責任醫院清冊,['114665']
急救責任院清冊,['97746']
急難救助實施辦法,['74153']
性別統計圖像,"['70578', '70579']"
性騷擾防治委員會設置辦法,['75081']
愛滋感染者照護示範機構名單,['74614']
戒菸服務合約醫療院所、藥局,['74154']
戒菸治療合約機構清單,['114522']
截至公共債務情形,['108007']
房地產消費糾紛原因統計,['73734']
房屋地段等級表,['129179']
房屋地段等級調整率評定表,['129180']
房屋標準單價表,['129183']
房屋用途相近歸類表,['89140']
房屋用途類別及用途細類別對照,['89141']
房屋稅性別統計及比例分析,['129083']
房屋稅納稅義務人性別統計及比例分析,"['63521', '63524', '89086', '105905']"
托嬰中心「服藥委託暨餵藥紀錄」單,['75008']
托嬰中心及幼兒園保育人員腸病毒宣導資料,['87467']
托嬰中心託藥辦法,['75007']
抽驗,['97923']
按稅率別土地增值稅稅源統計表,"['64205', '64207', '64211', '64212', '89073', '105919', '129095']"
挖掘道路埋設管線自治條例,['73484']
接受捐贈財物明細表,['43460']
推展身心障礙服務補助作業要點,['74176']
擬辦地籍圖重測地區彙整表,['73211']
收據分類統計表,"['73711', '75516', '77382', '79006']"
政府辦理國家賠償事件收結情形表109上半年,['129106']
政風處政風機構聯絡資訊,['74096']
政風處機關安全維護及公務機密維護宣導電子檔,['74095']
救護車設置現況表,"['97751', '114673']"
教托育人員腸病毒防治手冊,['74740']
教育基金會名冊,['63609']
教育處地方教育發展基金附屬單位預算,['73400']
教育部412-8185諮詢輔導專線,['63615']
教育類補助人民團體辦理體育活動審查作業原則,['63604']
教育體系個人資料安全保護基本措施及作法,['63616']
敬老愛心卡實施要點,['74162']
敬老愛心卡身心障礙者增加儲值點數至3倍申請書,['74171']
文創商品認證名單,['73121']
文化景觀提報表,['75842']
文化觀光局場地使用管理辦法,['73322']
文化觀光局推動客語薪傳師傳習計畫,['74633']
文化觀光局施政計畫,['74643']
文化觀光局木雕博物館門票收費管理辦法,['73314']
文化觀光局街頭藝人表演申請須知及申請表格-苗栗特色館,['73318']
文化觀光局補助辦理基層展演藝術活動經費申請審查作業要點,['73331']
文山國小分校﹝巨蛋﹞體育館管理要點,['62730']
新住民事務委員會受理民間單位試行提案作業須知,['74174']
新登記工廠清冊,['73620']
新設立商業登記清冊,['73619']
春節期間醫院類流感特別門診開設時間,['114508']
晉升薦(簡)任官等訓練參訓情形,"['73219', '73382', '100134', '100135']"
普通藝術才能班班級數一覽表,['63597']
暨所屬機關推動性別影響評估實施計畫,['63005']
暨所屬鄉鎮市公所公共債務情形,"['47854', '49795']"
暨所轄鄉鎮市公所公共債務,['46116']
暨所轄鄉鎮市公所公共債務情形,"['53192', '55665', '59734', '68607', '75127']"
暨所轄鄉鎮市公所截至公共債務資料,['122129']
暨所轄鄉鎮市公所截至公共債務資訊,"['118706', '120121', '126867', '127984']"
暨所轄鄉鎮市公所截至底公共債務情形,"['108736', '111024', '116155']"
暨轄鄉鎮市公所公共債務情形,"['76177', '77737', '78853', '80605', '85512', '87321', '89412', '90919', '92365', '94654', '96119', '97637']"
暨轄鄉鎮市公所截至公共債務情形,"['98742', '99647', '100779', '101775', '103189', '104873', '106679', '107749']"
最近(到)房屋稅綜合統計表,['129184']
最近土地增值稅稅源統計表,['129097']
最近地價稅稅源統計表,"['105923', '105924']"
最近契稅綜合統計表,['129187']
會計月報,"['88133', '97868']"
會計月報公告,['73244']
有社會救助需要的個人或家庭通報表,['74197']
未滿5歲接觸者結核菌素測驗服務單,['97127']
未辦繼承登記土地建物列冊管理統計,['73517']
本局公開徵信資料,['75306']
本轄易肇事路段統計分析表,['74294']
柴油車排煙檢測統計分析,['75589']
核發使用執照清冊,['73617']
核發建造執照清冊,['73614']
核發拆除執照清冊,['73613']
核發雜項使用執照清冊,['73615']
核發雜項建造執照清冊,['73618']
標售公告,['68558']
欠稅(含違章罰鍰)移送執行表,"['89109', '89110', '89111', '89112', '89113', '105910', '129104']"
歲入來源別決算表,"['63540', '63546', '63548', '63549', '63550', '105896']"
歲入來源別預算表,"['63577', '63578', '63583', '63584', '70986', '105898', '114826']"
歲入預算表,['63575']
歲出決算表,"['63585', '63589', '63592', '63598', '63601', '105897']"
歲出預算表,"['63613', '63617', '63620', '63623', '63628', '70987', '105899', '114827']"
歷年度使用牌照稅違章件數金額統計表,['129105']
歷年累進起點地價,['89080']
歷年肥胖分析報告,['97571']
毒品戒治醫療機構,['74560']
民眾檢舉違反廢棄物清理法案件獎勵辦法,['75898']
水保科資訊公開平台查詢系統,['74103']
水域遊憩活動安全資訊,['42356']
水量水質自動監測連線傳輸監測紀錄值即時資料集,['74273']
污水下水道已建設管線長度及設施,"['73776', '76322']"
污水下水道建設投入經費,"['73769', '76315']"
污水下水道系統執行概況,"['73774', '76320']"
污水下水道系統營運管理費用及收入,"['73778', '76316']"
污水處理廠統計,"['73771', '76314']"
決算書,['73332']
法律諮詢,['74544']
法規審議小組審查案件及審理情形統計表,"['73309', '73345', '73348', '73351', '73354']"
法規異動統計表,"['73336', '73371', '73375', '73379', '73381', '73384', '73386', '73388']"
泰安鄉各村人口數,"['74931', '100260', '118382']"
流感合約醫療院所,['55185']
流感抗病毒合約醫療院所名單,['97118']
流感疫苗接種合約醫療院所(幼兒劑型)-更新版,['95973']
流感疫苗接種合約醫療院所(成人劑型)-更新版,['95965']
消防安全檢查列管對象,['78254']
消防安全設備查察處理,"['73262', '75902', '78224', '80342', '80361']"
消防安全設備檢修申報,['78255']
消防局及所屬機關職(教)員官等性別統計表,['73246']
消防局各單位通訊錄,['63251']
消防救護車輛裝備,['78258']
消防水源,"['73265', '75910', '78242', '80347', '80366']"
消防緊急救護到院前心肺功能停止傷病患統計,"['73268', '75914', '78245', '80350', '80369']"
消防緊急救護急救處置,"['73267', '75912', '78244', '80349', '80368']"
消防緊急救護服務,"['73266', '75911', '78243', '80348', '80367']"
液化石油氣消防安全檢查及違規取締,"['73259', '75903', '78235', '80343', '80362']"
淘汰2行程機車及新購電動2輪車補助作業原則,['75588']
清理舊欠績效表,"['89102', '89104', '89106', '89107', '89108', '105909', '129103']"
測量案件統計,"['73454', '76943']"
溫泉標章申請,['73316']
潛伏結核感染治療指定醫院暨合作醫師,['97126']
火災人員死傷、財物損失,"['73270', '75918', '78248', '80353', '80372']"
火災出動人員、車輛、船艇、直升機,"['73269', '75916', '78246', '80351', '80370']"
火災分類、人員死傷及起火建築物等統計報表,['89267']
火災次數,"['73271', '73272', '78251', '78252', '80355', '80357', '80376', '80377']"
火災次數分類及時間,"['73253', '75917', '78247', '80352', '80371']"
火災次數按起火原因,['75921']
火災次數按起火處所,['75920']
無線網路(iTaiwan)熱點,['73257']
燃氣熱水器承裝業及技術士清冊,['102279']
營建工程剩餘土石方處理及資源堆置處理場設置管理自治條例,['74105']
營建工程剩餘土石方處理收容場所,['74099']
爆竹煙火安全檢查,"['73263', '75904', '78236', '80344', '80363']"
爆竹煙火違法取締,"['75906', '78237', '80345', '80364']"
特定寵物業者名冊,['62744']
特殊教育身心障礙班班級數一覽表,['63596']
特色美食認證餐廳-109家不可錯過的好味道,['73306']
犬貓狂犬病疫苗預防注射及晶片植入寵物登記工作公告,['74558']
獅潭鄉各村人口數,"['74570', '100258', '118379']"
現有農機數量,['77007']
環保志工隊及隊長資料,['99861']
環境保護局預告統計資料發布時間表,['75905']
環境影響評估審查委員會專家學者作業遴選要點,['75585']
環境影響評估審查委員會專案小組初審會議作業要點,['74204']
環境影響評估審查委員會組織規程,['74213']
環境影響評估書件或補正事項確認作業要點,['74215']
環境教育審議會專家學者及民間團體委員遴選原則,['74281']
環境教育審議會設置要點,['74282']
環境教育行動方案,['75887']
環境教育行動方案執行成果報告,"['74240', '74253', '74264', '74267']"
環境教育行動方案成果報告,['75599']
環境檢驗樣品分類統計表,['75923']
生命連線緊急救護通報系統、中低收入老人特別照顧津貼服務申請書,['74179']
產後護理之家名冊,"['97750', '114674']"
產後護理機構名冊,['74656']
用電場所專任電氣技術人員申請案件統計表,['73605']
用電設備檢驗維護業申請案件統計表,['73604']
畜牧場防疫及衛生管理措施公告,['74555']
當舖業異動變更應檢附書件一覽表,['74415']
癌症篩檢服務相關資訊,['97596']
癌症篩檢與檳榔健康危害分析,['74756']
社區治安會議預定表,['74334']
社工師執照、開業申請書,['75102']
社工師報請備查申請書,['75104']
社會救助通報流程,['74206']
社會福利基金附屬單位預算,['73399']
私有耕地375租約統計表,['73481']
稅收實況報表,"['89082', '89084', '105895', '129081']"
空氣品質小時值__3義站,['75878']
空氣品質小時值__苗栗站,['75879']
空氣品質小時值__頭份站,['75880']
空氣品質測站-每小時,['75860']
空氣品質監測站設置概況與測定項目(106),['75913']
立案心理諮商所,"['74729', '74755']"
立網球場管理要點,['62727']
立體育場代管棒壘球場管理要點,['62729']
立體育場各場館收費標準,['62720']
立體育館管理要點,['62731']
竹南鎮各里人口數,"['74518', '100237', '118343']"
第1次公益彩券盈餘推展社會福利專案補助結果,"['74688', '74696']"
第1次溫泉水質微生物檢驗結果報告,['74725']
第1次追(減)預算,"['70906', '70908', '70934']"
第1次追加(減)預算,"['70907', '70929', '70932', '70933']"
第2次公益彩券盈餘推展社會福利專案補助結果,"['74690', '74698']"
第2次追加(減)預算,['70921']
第3次公益彩券盈餘推展社會福利專案補助結果,"['74692', '74701']"
第4次公益彩券盈餘推展社會福利專案補助結果,"['74694', '74990']"
精神復健機構,"['74635', '74736']"
精神護理之家,['74754']
糖尿病照護率現況分析,['74753']
統計年,['92111']
統計年報,"['70574', '70576', '70577', '92105', '92106', '92107', '92108', '92109', '92110']"
經公告應實施強制檢驗、應訂定食品安全監測計畫或應設置實驗室業別,['74795']
縣有非公用土地標售,['68575']
縣管區域排水,['76295']
總決算主要表,"['73426', '73437', '73438', '73440', '73441', '101107', '101108', '101109', '101111']"
總預算,"['70564', '70565', '70566', '70569', '70570', '70849', '70903', '70904']"
績效考核結果,['73237']
羊隻羊痘疫苗注射工作措施,['74553']
義勇消防人員人數,['78256']
義勇消防人員傷亡,['78257']
耀見幸福桐遊苗栗手札,['75592']
老人福利推動委員會設置要點,['74251']
老人福利權益一覽表,['74994']
聲請補發裁判書狀,['74420']
腸病毒感染併發重症前兆病徵自我檢查表,['74739']
臨時性工程使用道路申請書,['78630']
自行公告禁菸場所,['97575']
自願設置哺集乳室地點,['74699']
自願設置哺集乳室場所,['97613']
苑裡鎮各里人口數,"['74516', '100145', '118341']"
苗栗工業4.0,"['73621', '73622', '73623', '73624']"
苗栗柴燒陶人才培育工作坊,['75844']
苗栗特色館場地使用申請,['73320']
苗栗高鐵快捷公車資訊,['73456']
苗農專案,['74603']
苗栗縣政府文化觀光局補助辦理藝文活動經費申請審查作業要點,['73326']
草食動物牛結核病防治措施,['74566']
菸酒製造業者資料一覽表,['73210']
菸酒進口業者資料一覽表,['73214']
藥商藥局清冊,['74650']
藥政管理,"['74648', '97647', '114776']"
藥物檢查暨查獲違法統計,"['77011', '77961', '79033', '80570', '87051', '87093', '89507', '91045', '92292', '94755', '96698', '97646', '100285', '100289', '106752', '106754', '106756', '106758', '114751', '114760', '114769', '114772', '114774', '120946', '120948', '120950', '130168', '130170', '130173', '130176', '130178']"
藥物檢查檢查暨查獲違法統計,['114763']
藥物檢查計查獲違法統計,['74647']
藥癮戒治機構,['74586']
處理家庭暴力案件作業程序,['74413']
行動式老人文康休閒巡迴服務專車服務申請表,['74180']
行道樹修剪作業參考原則,['75849']
衛生局人民陳情案件統計,['114537']
衛生局人民陳情案件統計表,"['102754', '102757', '102759']"
衛生局公開徵信資料,"['74574', '88947', '97932', '130228', '130231', '130232']"
衛生局受贈財物公開徵信資料,['74575']
衛生局所屬醫療機構門診收費標準正式適用,['74655']
衛生局會計月報,['74582']
衛生局月報,"['74573', '74577']"
衛生局業務簡介及位置地圖,['74860']
衛生局組織編制表,['74498']
衛生局組織規程表,['74501']
衛生局編制表(生效),['97600']
衛生局編制表生效公文,['97599']
補助辦理新聞宣導業務活動經費審查作業要點,['73374']
西湖鄉各村人口數,"['74554', '100254', '118375']"
親子共讀衛教單張,['97574']
解除警示聲請書,['74416']
訴願、再審案件收辦統計表,"['73356', '73358', '73361', '73364', '73366']"
認識違規食品廣告,['74851']
請求發給執行完畢證明書聲請表,['74419']
警察局A1_A2類道路交通事故(道路類別及型態別),['74302']
警察局A1_A2類道路交通事故統計表,['74306']
警察局A1_A2類道路交通事故統計表(時間別),['74304']
警察局A1_A2類道路交通事故統計表(車種別),['74303']
警察局A1類道路交通事故統計表,['74309']
警察局A1類道路交通事故統計表(車總別),['74307']
警察局A1類道路交通事故統計表(道路類別及型態別),['74308']
警察局wifi熱點,['73712']
警察局交通安全宣導成果表統計表.xls,['74296']
警察局交通案件肇事資料,['74310']
警察局人口販運宣導,['74378']
警察局傷亡人數統計表,['74366']
警察局原住民(漁民)申請製造、持有自製獵槍(魚槍)宣導單,['74411']
警察局取締攤販統計表.xls,['74358']
警察局取締酒駕統計件數,['74311']
警察局受理家暴案件統計表,['74503']
警察局受理臨櫃或現場辦理入山許可證處所一覽表,['74410']
警察局員好人好事事蹟,['74397']
警察局員警優良事蹟,['74396']
警察局員警訓練成績統計表,['74399']
警察局固定照相地點清冊,['74312']
警察局執行家戶訪查工作成果統計,['74339']
警察局報案回復報案人暨滿意度問卷調查統計表,['74372']
警察局報案統計表,['74373']
警察局少年犯罪預防宣導統計表,['74502']
警察局山地治安管制統計表,['74359']
警察局巡邏箱數量,['74355']
警察局年度施政計畫,['74353']
警察局政府服務獎參獎申請書,['74352']
警察局校園與社區法治教育宣導統計表,['74504']
警察局槍砲統計報表,['74360']
警察局歲入來源別決算表,['74385']
警察局歲入平衡表,['74387']
警察局歲入累計表,['74388']
警察局歲入轉入數決算表,['74382']
警察局歲入類現金出納表,['74389']
警察局歲出決算表,['74386']
警察局歲出轉入數決算表,['74383']
警察局民防團隊年度訓練成果統計表,['74331']
警察局民防團隊編組人數統計表,['74340']
警察局派出所與電話地址,['74356']
警察局為民服務成果統計表,['74400']
警察局現有警力配置,['74357']
警察局社區治安會議辦理情形統計表,['74338']
警察局社區治安績效季報表,['74332']
警察局組織規程,['74370']
警察局統籌科目,['74384']
警察局經費平衡表,['74390']
警察局經費累計表,['74391']
警察局經費類現金出納表,['74392']
警察局編制表,['74371']
警察局義勇警察訓練及服勤成果統計表,['74361']
警察局老人捺印數,['74405']
警察局舉發違反道路交通管理事件成果表,['74300']
警察局舉發違反高速公路及快速公路管制規定成果表,['74298']
警察局良民證統計表,['74380']
警察局苗警警政新聞,['74401']
警察局警光山莊地址及電話,['74377']
警察局警察人員懲處統計表,['74394']
警察局警察人員獎勵統計表,['74393']
警察局警用車輛使用油料費統計表,['74376']
警察局議會工作報告,['74354']
警察局財產增減結存表,['74375']
警察局財產申報人數統計表,['74403']
警察局轄內重要路口設置錄影監視系統地點,['74364']
警察局轄區遭民眾檢舉違規停車、交通障礙及違規設攤地點,['74374']
警察局辦理國家賠償事件收結情形表,['74402']
警察局退休人員統計表,['74367']
警察局退休資遣撫卹人數統計表,['74365']
警察局運用山地義勇警察服行山地警備治安協助勤務人數統計表,['74363']
警察局道路交通事故原因及損商統計表,['74313']
警察局防空避難設備季報表,['74404']
警察局領取支票憑證,['74412']
警察局類道路交通事故統計表(時間別),['74315']
護理之家評鑑等第彙整名單,['74666']
豬瘟暨偶蹄類動物口蹄疫防疫衛生工作公告,['74556']
貓裏志工第32期刊物,['75046']
貓裏志工第34期刊物,['75047']
貓裏志工第35期刊物,['75048']
貓裏志工第36期刊物,['75049']
貓裏志工第37期刊物,['75050']
貓裏志工第38期刊物,['75051']
貓裏志工第39期刊物,['75052']
責任醫院名冊,['74658']
資賦優異班班級數一覽表,['63599']
起實施7項食品管理新制,['97875']
起火建築物,"['73258', '75919', '78250', '80354', '80375']"
身心障礙福利社團考評作業計畫,['74182']
身心障礙者促進就業相關資料申請,['67348']
身心障礙者個人基本資料不列入媒體資料交換表單,['74235']
身心障礙者在宅、非指定鑑定醫療機構申請書,['74220']
身心障礙者家庭托顧服務,['74254']
身心障礙者專用停車位識別證(停車證),['74158']
身心障礙者就業基金附屬單位預算,['73398']
身心障礙者日間照顧及住宿式照顧費用補助辦法,['74243']
身心障礙者消耗性用品補助要點,['74188']
身心障礙者牙科特別門診,['87657']
身心障礙者臨時暨短期照顧服務計畫,['75097']
身心障礙證明(手冊)換、補發或住址變更申請書,['74159']
身心障礙身分英文證明申請表,['74214']
身障者房屋租金補助,['74239']
輸入食品未經查驗許可不得販售,['74796']
轄屬十8鄉鎮市幸福學院連繫資料一覽表,['63605']
轄屬十8鄉鎮市樂齡學習中心連繫資料一覽表,['63606']
辦理兒童及少年生活扶助實施計畫,['74226']
辦理勞工體格及健康檢查指定醫療機構醫事人員訓練機構認可及管理作業要點,['74765']
辦理土地徵收情形,['73515']
辦理家庭暴力被害人補助申請表,['74190']
辦理弱勢兒童及少年醫療補助審查及作業規定,['74237']
辦理性侵害被害人補助申請表,['74189']
辦理持永久效期身心障礙手冊者換證作業流程須知,['74216']
辦理未成年子女會面交往與交付處理申請書,['75089']
辦理行政救濟案件統計表,"['89114', '89115', '89116', '89117', '89118', '105908', '129102']"
通過觀光工廠評鑑廠商列表,['73602']
通霄鎮各里人口數,"['74517', '100147', '118342']"
通霄鎮機關門牌位置資料,['72438']
造橋鄉各村人口數,"['74557', '100255', '118377']"
運動現況調查,['114534']
過港貝化石層列冊公告,['76159']
道路交通事故當事人住址資料申請,['74417']
道路工程施工期間交通維持計畫作業須知,['73476']
都市設計案件申請統計表,['73696']
鄉(鎮、市)低收入戶喪葬補助申請表,['74177']
醫學美容機構清冊,"['74657', '97749', '114669']"
醫療院所嬰兒室感染預防參考措施,['74738']
重大工程執行情形,['119065']
重要環保統計資料,['74233']
銅鑼鄉各村人口數,"['74527', '100247', '118370']"
門診戒菸合約醫療院所藥局,['97930']
防制人口販運工作聯繫通報窗口一覽表,['74381']
防火管理執行情形,"['73264', '75908', '78239', '80346', '80365']"
雨水下水道實施率統計表,"['73765', '76337']"
雨水下水道工程明細表,['76339']
