05土地建物登記管理資料,['85553']
消防局緊急救護服務統計表,"['72724', '72726', '72727']"
消防局緊急救護統計表,"['72541', '72722', '72723']"
演出活動售索票訊息,['72759']
無障礙廁所,['94158']
無障礙輔具廠商,['110084']
特殊教育學校/服務提供單位,['94157']
現住人口出生.死亡.結婚.離婚登記數,['59057']
現住人口按性別年齡,['59127']
現住人口遷入遷出登記數,['59115']
現住原住民人數,['59129']
環保局垃圾清運相關資料,['128678']
申請巷道認定標準作業須知,['65533']
發展遲緩兒童早期療育推動委員會,['110311']
砂石車禁行路線、路段名稱一覽表,['72194']
社區互助教保服務中心/部落互助教保服務中心,['110038']
社區活動中心,"['59560', '94175', '94176', '94177', '94178', '94179', '94180', '110033']"
社區照顧關懷據點,['62969']
社區照顧關懷據點餐飲服務,['94156']
社區發展協會,['110035']
社區運動團體表,['55013']
社區闔家歡篩檢服務量統計表,"['88820', '88822', '88823', '98757', '98761', '98764']"
社會救助金專戶捐助明細,"['63211', '63215', '63216', '64246', '64247', '64248', '64249', '64259', '64260', '64261', '64262']"
社會救助金專戶捐款徵信明細,"['101574', '101575', '101576', '101577', '101578', '101579']"
社會福利及綜合類運用單位名冊,['63221']
社福類志願服務運用單位,['94173']
私立老人安養護機構,['110309']
私立財團法人社會福利慈善基金會名冊,['55257']
稅務局行政救濟案件統計表,['44664']
窩溝封填參加診所名單,['79724']
立案人民團體,['63234']
立案演藝團體名冊,['72746']
第1次老人保護及獨居老人照顧業務聯繫會報(聯繫窗口),['55259']
籍娛樂漁業漁船經營資訊一覽表,['49520']
糖尿病健康促進機構及醫師名單,['31858']
細部計畫訂有都市設計規定一覽表,['58729']
結婚人數,['59063']
統計年報-交通運輸(車輛登記),['74111']
統計年報-人口(現住人口之年齡結構),['74092']
統計年報-其他(主要觀光遊憩區遊客人數),['74120']
統計年報-勞工行政(外籍勞工概況),['74117']
統計年報-土地(市境界),['74094']
統計年報-家庭收支(家庭主要設備普及率),['74119']
統計年報-工商市建設(公司登記現有家數及資本額),['74109']
統計年報-教育文化(各項藝文展演活動),['74112']
統計年報-環境保護(公害陳情受理案件),['74114']
統計年報-社會治安(道路交通事故原因及損傷),['74118']
統計年報-社會福利(身心障礙福利服務概況),['74115']
統計年報-行政組織(各級機關學校正式預算員額),['74107']
統計年報-衛生(主要死亡原因),['74113']
統計年報-農林漁牧(漁戶數及漁戶人口數),['74108']
統計年報-金融財稅(各項稅捐實徵數),['74110']
經中央許可從事兒童及少年收出養媒合單位一覽表,['55261']
總工會名冊,['54969']
老人文康、福利服務中心,['45751']
老人文康中心,['45724']
老人日托中心,['59493']
老人福利機構,['59473']
老人福利機構最近2次評鑑成績一覽表,['55072']
老人福利機構評鑑結果表,['55242']
職業安全衛生訓練機構名單,['101783']
職業工會名冊,['54972']
臨時暨短期照顧服務提供單位,['110306']
自行研究得獎名冊,['75353']
自行研究得獎性別統計,['75354']
行政救濟案件統計表,"['87534', '98538']"
衛生局單位決算,['31848']
衛生局單位預算,['31849']
衛生局戒菸合約機構,"['31819', '75321']"
衛生局職員官等性別統計表,['31818']
衛生局食品抽驗不符規定名冊,"['46442', '46445']"
衛生局食品抽驗符合規定名冊,"['46444', '46446']"
衛生所列表,['59561']
衛生管理優良廠商,"['46439', '46441']"
視覺障礙者生活重建服務單位,['110079']
視障按摩點,['94168']
親子館,['58840']
課程教學,"['57275', '57793']"
警察局取締攤販績效統計,['72354']
警察局查獲侵害智慧財產權案件統計,['72355']
警察局查獲槍彈刀械統計,['72363']
警察局查獲經濟案件統計,['72356']
警察局為民服務成果統計表,['72364']
警察局現有警力配置,['72365']
警察局義勇警察訓練及服勤成果統計,['72366']
警察局處理違反社會秩序維護法案件統計,['64878']
警察局道路交通事故統計,['31159']
警察局集會遊行發生數統計,['45811']
護理之家,['59567']
路段靜態資訊,['59460']
路邊收費路段及收費時間一覽表,['45758']
身心障礙住宿機構,['59536']
身心障礙友善餐廳,['59548']
身心障礙團體,['110083']
身心障礙定額進用不足額義務單位名單,['103020']
身心障礙庇護工場,['110039']
身心障礙托育養護服務提供單位,['94153']
身心障礙日間服務機構,['59538']
身心障礙福利服務中心,['45723']
身心障礙者家庭托顧服務單位,['110087']
身心障礙者就業服務資源服務據點,['94172']
身心障礙者牙醫醫療院所,['94170']
身心障礙者生涯轉銜服務提供單位,['110082']
身心障礙者社區居住(家園)服務單位,['110085']
身心障礙者社區日間作業設施,['110080']
身心障礙者社區樂活補給站,['110081']
身心障礙職業重建服務資源中心,['59549']
身心障礙自立生活支持服務單位,['110086']
身心障礙鑑定醫院,['94159']
身心障礙餐飲服務提供單位,['94143']
車輛偵測器靜態資料,['59456']
輔具服務單位,['59547']
辦理身心障礙福利服務單位,['101586']
農漁會信用部本、分支機構數,['74905']
遊民安置中心,['94171']
遊民收容位置及收容人數,['58843']
違反性別工作平等法事業單位事業主公布一覽表,"['101583', '101584', '101585', '103508']"
適齡疫苗接種完成率,"['55007', '55009', '55010']"
避難收容所位置及收容人數,['45732']
都市設計審議委員會委員名冊,"['58730', '58731', '58733']"
鄉鎮市區公所,['110036']
醫療院所名冊,['15152']
鑿井及水權登記,['65534']
長期照顧管理中心,['59566']
長照2.0 A據點,['94165']
長照2.0 B據點,['110313']
長照2.0 C據點,['110314']
長照居家護理復健喘息合約機構,['28993']
長青學苑,['110308']
離婚人數,['59065']
電動機車充電站地址,['74856']
青少年福利服務中心,['110048']
食品工廠名單,['48887']
飲用水水質檢測報告,"['62428', '62438']"
餐飲服務提供單位,['59477']
餐飲衛生管理分級通過標章名單,['31850']
駐基隆法院家庭暴力事件服務處,['45730']
高風險家庭關懷輔導處遇服務提供單位,['59552']
高齡友善藥局,['94164']
魅力基隆-秋季號電子書(伴手禮)NEW,['74916']
