105-106 年地價稅累進起點地價及課稅級距表,['94367']
A2道路交通事故-第1當事者飲酒情形,"['46034', '46378']"
A2道路交通事故-路(口)段統計,['46335']
A2道路交通事故-路口(段)統計,['46336']
A2道路交通事故-車種別統計,"['46037', '46264']"
A2道路交通事故-道路型態統計,"['46258', '46433']"
A2道路交通事故-道路類別統計,"['46274', '46436']"
A2道路交通事故-駕駛人年齡分布統計,"['45992', '46259']"
ESCO(能源技術服務業)資訊,['26033']
GMP動物用藥廠名冊,['26087']
HPV合約醫療院所名單,['33873']
「埤圳重要濕地」公告範圍資訊,['26484']
「學校周邊飲食業衛生分級」標章(優、良)業者名冊,['76750']
「濱海客家好店」認證通過29家餐廳名單,['46457']
一般護理之家基本資料,['128389']
一般電信系統人手孔,['25978']
下學期國民小學課照開辦情形,['48533']
中路地區區段徵收開發案範圍地號資料,['42334']
之光榮譽榜,['25911']
乳房X光攝影醫院,['44616']
事業單位成立勞資會議家數,['45606']
事業廢棄物公告再利用機構列表,['74825']
交通事故代號對照表,['75225']
交通事故資料表,"['28676', '28678', '28681', '28682', '45465']"
交通事故資料表-含第2當事人,"['107386', '129320']"
交通事故點位,"['40280', '46354', '80603']"
交通接送服務單位,['94333']
交通違規取締統計,['28122']
交通違規檢舉點位,['129160']
亮點企業,['46366']
人口與戶籍動態登記,['25963']
人民團體名冊,['25968']
人行道管理,['26069']
仲介本國人在國內工作之私立就業服務機構暨分支機構,['46678']
休閒畜牧場,['28129']
休閒農場,['26126']
伴手禮歷屆得獎名單,['25937']
低碳永續家園,['42502']
住宅用火災警報器示範社區,['76882']
住宅發展處機關通訊錄,['28055']
住宅發展處職員學歷統計報表,['27152']
住宅發展處職員官等性別統計報表,['27148']
住宅發展處職員年資統計報表,['27156']
住宅發展處職員年齡統計報表,['27153']
住宅發展處職員異動資料統計報表,['27144']
住宅發展處職員考試統計報表,['27140']
住宅竊盜點位,['26276']
住宅諮詢審議委員會,['28123']
住宿資料,['26361']
依法設置哺集乳室名單,['33345']
信用合作社分布,['33592']
修惜站(巨大傢俱再生)資訊,['25981']
健康幸福家庭計畫醫療院所名單,['33185']
備用水井取水點資料,['25939']
傳統市場販售鴨血稽查結果,['46340']
優良市集歷屆得獎名單,['26275']
儲蓄互助社名冊,['32247']
免費勞工法律諮詢,['26089']
免費法律諮詢服務時間及地點,['26072']
免費無線上網熱點資料,['94284']
兒童及少年安置教養機構,['94353']
兒童及少年福利服務中心,['94364']
兒童常規疫苗合約醫療院所名單,['33875']
內公有零售市場,['26075']
內觀光夜市,['25965']
全功能服務櫃臺統計表,"['101231', '101277']"
全區雨水下水道人孔位置分佈圖,['25924']
全區雨水下水道管線分布圖,['25914']
公共自行車即時服務資料,['28228']
公共設施用地已取得面積,['31344']
公共設施用地已闢建面積,['31338']
公共設施用地計畫面積,['31339']
公務出國報告,['25991']
公司登記異動表,['46374']
公司行業別及行政區域家數,['76112']
公告地價及公告現值,"['74818', '74819', '74820', '74824', '76775', '76779', '76780', '76783', '76797', '76799', '76814', '76817', '76825']"
公告市管區域排水基本資料,['26116']
公報閱覽地點,['45574']
公寓大廈管理委員會清冊,"['29804', '29805', '30627', '30628', '30630', '30631', '30632', '30633', '30634', '30636', '30638', '30958']"
公布違反勞動基準法事業單位名單,['31950']
公布違反就業服務法事業單位,['107853']
公布違反性別工作平等法事業單位,['31949']
公廁點位資訊,['26124']
公文時效統計表(一般公文),['76121']
公文時效統計表(人民申請案件),['94283']
公營住宅基地地號及面積表,['31876']
公用天然氣導管承裝業業者名單,['26064']
公益彩券盈餘分配辦理社會福利事業執行情形,['75575']
公私協力及私立托嬰中心,['96447']
公私協力托育資源中心,['94327']
公私立暨國中小學游泳池一覽表,['43458']
公私立醫療機構及病床數統計,['25881']
公車之市民卡乘車紀錄,['108138']
公車動態,['26073']
公車即時車輛位置,['43963']
公車業者資料,['43964']
公車路線資訊,['46377']
公辦市地重劃區,['46397']
其他天然災害人員傷亡,['46363']
其他天然災害出動救災人次,['46438']
其他天然災害出動救災裝備,['46234']
其他天然災害建物損失,['46394']
刑事案件,['26046']
刑事案件分類發生數、破獲數及嫌疑犯人數,['25883']
列管土壤及地下水污染場址資料(農地場址),['46351']
加密控制點資料,['46331']
加氣站營業名冊,['46411']
加水站業者名冊,['33184']
加油站營業名冊,['45932']
動保園區入園公告,['25979']
動產擔保交易登記統計表,['26138']
勞動力人口,['76098']
勞動力參與率,['76103']
勞動力參與率按教育程度分-國中及以下,['76108']
勞動力參與率按教育程度分-大專及以上,['76113']
勞動力參與率按教育程度分-高中,['76120']
勞動局委託辦理勞工學苑課程相關資訊,['46426']
勞動局裁處違反就業服務法統計表,['45568']
勞工健檢指定醫療機構,['26059']
勞工育樂中心,['26050']
勞資爭議調解、仲裁案件數,['45608']
區公所回饋金相關計畫-台電促協,['76123']
區公所回饋金相關計畫-海威、觀威風力發電,['76082']
區公所回饋金相關計畫-海湖發電廠,['76146']
區公所回饋金相關計畫-華亞,['74679']
區公所路燈維修資料,"['28225', '28226', '28229']"
區公所路燈資料,['28231']
區域計畫委員會第1屆委員名冊,['27134']
區新舊地號對照資料,"['27814', '28712', '28715', '28717', '28720', '28723', '28724', '28727', '28731', '28734', '28735', '28738']"
區新舊建號對照資料,"['27878', '28710', '28713', '28716', '28719', '28721', '28722', '28725', '28729', '28733', '28737', '28739']"
十大易肇事路段,['28732']
南區青少年活動中心,['32254']
原住民人口數,['43634']
原住民低收入戶原住民族住宅補助統計,['74823']
原住民子女學前教育補助情形,['76724']
原住民族公共服務資源,['26086']
原住民族團體名冊,['76725']
原住民族學生獎學金補助情形,['74843']
原住民族文化健康站資訊,['25949']
原住民族綜合發展基金貸款統計,['76723']
原住民族老人日間關懷站暨區部落文化健康照顧站,['43486']
原住民族聚落,['46385']
取締攤販績效,['26120']
受保護樹木資料,['26129']
口腔黏膜篩檢醫療院所名單,['43512']
各區人口年齡層統計,['46422']
各區公墓資訊,['31460']
各區公有路燈桿懸掛廣告物開放路段表,['43341']
各區公立納骨塔資訊,['31462']
各區兵籍調查作業各項調查方式統計,['47499']
各區原住民族服務員資訊,['25887']
各區土地公告現值及公告地價,"['104453', '113955', '127951']"
各區教育程度註記,['76583']
各區新舊地號對照資料,['122839']
各區新舊建號對照資料,['122840']
各區現住人口年齡分配,['25901']
各區現住人口性別比例及人口密度,['25919']
各區禁葬公墓資訊,['31467']
各區結婚統計,['27396']
各區里長通訊錄,['96984']
各區里集會場所名冊,['26486']
各區離婚統計,['75220']
各地所及工作站服務據點,['26481']
各地段代碼表,['76812']
各役政單位聯絡清冊,['26088']
各月公寓大廈管理組織報備數量,"['28073', '28128']"
各機關編制員額一覽表,"['49046', '94281', '96799', '113940']"
各目的事業主管機關備案志工運用單位名冊(社會福利類),['75566']
各稅目受理行政救濟案件明細表,"['94365', '101285']"
各稅目受理行政救濟案件統計表,['48711']
各稅稅籍數及實徵稅額統計表,"['43508', '43510', '46232', '46330', '46360', '103377', '103378']"
各級農會通訊資料,['26090']
各行政區住宅補貼受理情形,['28063']
各行政區土地買賣移轉筆數統計,"['32412', '32413', '32417', '32418', '32535', '32536', '46417']"
各行政區建物買賣移轉棟數統計,"['32414', '32415', '32416', '32534', '32537', '32538', '45016']"
各都市計畫-5項公共設施檢討表,['28121']
各都市計畫-人口數與人口成長率彙整表,['28235']
各都市計畫-公共設施總面積比例分析表,['28100']
各都市計畫-公共設施開闢水準與保留地分析表,['28092']
各都市計畫-公共設施類型分析表,['28232']
各都市計畫-圖資重置辦理情形彙整表,['28093']
各都市計畫-土地使用內容概要統計表,['28095']
各都市計畫-土地使用內容類型分析表,['28086']
各都市計畫-土地使用管制彙整表,"['28076', '28087']"
各都市計畫-定位彙整表,['28116']
各都市計畫-細部計畫擬定情形彙整表,['28118']
各都市計畫-通盤檢討辦理情形彙整表,['28234']
各都市計畫人口發展概況表,['28083']
各都市計畫區土地使用發展現況統計表,['28227']
各項稅捐實徵淨額與預算數及上年同期比較-累計數,"['27880', '28096', '28098', '28119', '28125', '28127', '94311', '101275']"
各項稅收稽徵人力,"['94312', '94314', '94315', '94328', '94347', '94363', '101276', '127944']"
各項稅收稽徵成本,"['94303', '94305', '94309', '94319', '94349', '94352', '94358', '101283']"
各項規費徵收項目及收費基準一覽表,['41959']
各類場所辦理消防安全設備檢修申報期限表,['45563']
合作社名冊,['32251']
合格環境用藥販賣業者及病媒防治業者列表,['76759']
合法不動產經紀業業者名冊,['26477']
合法保全業者資料,['26009']
合法地政士開業名冊,['28726']
合法燃氣熱水器承裝業清冊,['26034']
合法農場,['25962']
呼吸照護資源(政府呼吸照護資源醫院清冊),['76745']
商圈資訊,['50003']
商圈逍遙遊,['49482']
商業異動_各異動項目家數總計,['78804']
商業異動_本月各異動項目資本額明細,['79066']
商業異動_本月各異動項目資本額總計,['79063']
商業異動_本月各行業別增減資家數,['79061']
商業異動_本月各行業別現有家數,['79069']
商業異動_本月各行業別異動家數明細,['79065']
商業異動_本月底各行業別總資本額,['79064']
商業登記異動表,['25988']
商業行業別及行政區域家數,['76828']
喘息服務提供單位,['94332']
單親家庭服務提供單位,['96455']
固定式測速照相,['25935']
國民中學學區資訊,['25996']
國民中學學生裸視視力檢查,['75219']
國民小學學區資訊,['26048']
國民小學學生裸視視力檢查,['76737']
國際棒球場及青埔運動公園收費標準表,['26082']
土地公告現值,"['41707', '41709', '46329', '74817', '74822', '74834', '74838', '74840', '74842', '76771', '76772', '76774', '76776', '76778', '76782', '76784', '76787', '76788', '76790', '76793', '76795', '76796', '76800', '76801', '76802', '76803', '76807', '76808', '76809', '76811', '76813', '76815', '76816', '76819', '76820', '76821', '76822', '76823', '76824', '76826', '76827']"
土地公告現值及公告地價,"['26025', '26489', '26727', '26729', '26730', '26731', '26733', '26759', '26763', '26805', '26806', '26810', '26812', '26813', '44184', '46290', '46369', '74829', '76773', '76777', '76785', '76789', '76792', '76794', '76804', '76805', '76806', '76810', '76818', '94279']"
土地徵收案相關資料,['42490']
土地段名及代碼對照資料,['26487']
土地買賣統計,['45221']
地價稅累進起點地價及課稅級距表,"['28059', '28094', '28124']"
地區區段徵收開發案範圍地號資料,['42335']
地政局區段徵收開發案已標售土地一覽表,['26762']
地方型SBIR,['26108']
地方文化館,['26043']
地方稅務局全功能服務櫃臺統計表,['49047']
地方稅務局員工人數,['27874']
地方稅務局本轄代發他機關作業統計表,"['48708', '101224', '101232']"
地方稅務局歲入決算表,"['31273', '31276', '31281', '46424', '101268']"
地方稅務局歲入預算表,"['31282', '46803', '101270', '101286']"
地方稅務局歲出決算表,"['31272', '31274', '31275', '31277', '101264', '101280']"
地方稅務局歲出預算表,"['31280', '101258', '101267']"
地方稅務局滿意度調查一覽表,['31303']
地方稅務局稅務服務中心服務統計表,['28084']
地方稅務局稅務秘書執行成果表,"['31298', '31300', '31301', '31304', '101260', '101272', '101284']"
地方稅務局跨機關單1窗口服務績效表,['31302']
地方稅欠稅概況,"['27877', '94323', '94350', '94360', '101230']"
地籍測量專業資格認證,['76786']
垃圾焚化廠位置,['76756']
垃圾焚化廠排放煙道氣監測數據,['76757']
垃圾車清運點資訊,['25888']
埤塘中心點座標,['126575']
埤塘水域安全管理及救援統計,['43483']
基金會名冊,['32266']
基金會查詢,['26000']
境界,['25987']
多元繳稅方式統計表,['27879']
多功能藝文園區區段徵收開發案,['45219']
大客車及貨車使用牌照稅稅額表,['46245']
大眾捷運之市民卡乘車紀錄,['108139']
天幕球場,['43484']
失智症服務及資源提供單位,['94307']
失智症相關資源轉介窗口,['46327']
失業率,"['76083', '76089', '76094', '76100', '76124']"
失業率按教育程度別分-國中及以下,['76117']
失業率按教育程度別分-大專及以上,['76122']
失業率按教育程度別分-高中,['74680']
失能老人接受長期照顧機構服務暨老人保護安置機構名冊,['75570']
好棧歷屆得獎業者,['46599']
委託研究計畫,['41042']
婦女發展中心,['32257']
婦女福利服務中心,['96444']
婦女館,['32250']
婦幼安全警示地點,['26272']
婦幼館,['26068']
嫌疑犯人數按年齡組別,['26047']
嫌疑犯人數按教育程度別,['26054']
嫌疑犯人數按職業別,['26098']
孕婦乙型鏈球菌篩檢補助服務方案特約院所名單,['46299']
學年度幼兒園基礎評鑑通過名單,['25884']
守望相助隊,['41772']
完全以電能為動力之電動大客車及貨車使用牌照稅稅額表,['94324']
完全以電能為動力之電動小客車使用牌照稅稅額表,['45886']
完全以電能為動力之電動機車使用牌照稅稅額表,['101266']
宗祠財團法人,['89455']
官網市政新聞,['25891']
官網徵才資訊,['26038']
官網最新消息,['26083']
官網熱門活動,['127298']
定量免疫法糞便潛血檢查醫療院所名單,['43509']
客家文化館收費標準表(周邊廣場),['46454']
客家文化館收費標準表(演藝廳及視聽簡報室),['46452']
客家文化館收費標準表(特展室),['46456']
客家社團名單,['46458']
客家美食認證優質餐廳,['25960']
家庭/社會福利服務中心,['94362']
家庭暴力暨性侵害防治中心,['26024']
家庭現代化設備普及率,['26003']
容積移轉執行成果統計(公共設施保留地),['28112']
容積移轉執行成果統計(折繳代金),['28079']
容積移轉申請案件核准移入容積量,['28085']
容積移轉送出基地統計,['28106']
實(食)物銀行,['96449']
實施勞動部補助地方政府參與推動中小企業工作環境輔導改善計畫成果,['88507']
實施集中支付支用單位數、支付淨額與可支用庫款餘額,['74846']
實施集中支付通匯(電連)存帳及簽發支票情形,['76732']
寬頻管道人手孔,['26093']
寵物登記機構,['25922']
寺廟名冊,['26493']
專輔教師統計資料,['75222']
小客車使用牌照稅稅額表,['46337']
小烏來開放水域範圍救生員平台救護站警示牌座標,['41705']
小米園區,['43482']
就業人口,['76088']
就業快報求才職缺表,['45742']
就業服務據點,['26103']
居家復健提供單位,['94306']
居家托育服務單位,['96445']
居家服務提供單位名冊,['32253']
居家護理機構,['94368']
川堂及府前廣場場地資訊,['26095']
巡迴醫療日程表,['33757']
工商科技園區,['26051']
工廠排放即時監測數據,['25974']
工廠排放每日監測紀錄,['25893']
工廠登記家數異動表,['25934']
巨大廢棄物清運時間流程,['74841']
已登記祭祀公業法人名冊,['26494']
市管河川資訊,['25925']
市集名攤資訊,['76084']
平均每戶家庭收支(以後),['94240']
平均每戶家庭收支-支出,['26058']
平均每戶家庭收支-收入,['25954']
年度十大伴手禮,['50007']
年度評鑑獲評A級公民營廢棄物處理機構名單,['41864']
年節食品工廠源頭稽查結果,['44621']
廢水污染管制情形,['76764']
廢潤滑油回收點,['76763']
廢食用油清除機構,['74845']
建物買賣統計,['46249']
建築物公共安全檢查申報數量,"['28053', '28108']"
建築物公共安全檢查稽查數量,"['28054', '28114']"
建築管理處職員學歷統計報表,['27141']
建築管理處職員官等性別統計報表,['27147']
建築管理處職員年資統計報表,['27158']
建築管理處職員年齡統計報表,['27157']
建築管理處職員異動資料統計報表,['27162']
建築管理處職員考試統計報表,['27149']
建設類,['25955']
弱勢家庭兒童及少年社區照顧服務名冊,['75564']
役男抽籤人數,['94286']
復康巴士服務,['75561']
復查決定書處理資料表,['26036']
心理諮詢面談服務據點,['76746']
急救責任醫院,['25945']
急難救助提供單位,['96451']
愛心餐食店家名單,['96448']
愛滋病指定醫事機構,['46414']
應實施防火管理制度之場所,['45554']
戶外環境噴藥期程,['76770']
房地產消費糾紛原因及來源明細統計表,['46402']
房屋地段等級表,['26037']
房屋構造別代號暨折舊率對照表-以前建造完成,['49043']
房屋構造別代號暨折舊率對照表-以後建造完成,['94351']
房屋標準單價表(1-30樓)-104.6.30以前建造完成,['27684']
房屋標準單價表(1-30樓)-104.7.1以後建造完成,['30951']
房屋標準單價表(31樓以上)-104.7.1以後建造完成,['28062']
房屋街道等級調整率表-起實施,"['25992', '94335']"
所屬1級機關公務人員終身學習時數,['76834']
所屬各機關分層負責明細表共同項目甲、乙表,['46412']
所屬各機關分層負責明細表甲表,['45707']
所屬機關公務人員人數,"['74827', '74828', '76831', '76832']"
所屬機關公務人員獎懲概況,['94336']
所屬機關員工請假人次,['94321']
所屬機關學校原住民族人員進用情形,"['76833', '76836']"
所屬機關學校數,['76830']
所屬機關學校身心障礙人員進用情形,['76835']
托育人員專業訓練課程表及開辦單位資訊,['75556']
拖吊場位置,['26012']
捐血中心固定捐血點,['76742']
捷運公車轉乘資訊,['76719']
捷運列車站間運行時間,['76721']
捷運及高鐵站緊急出口座標,['45546']
捷運月運量統計,['74833']
捷運營運路線車站基本資料,['128397']
捷運站別時刻表資料,['128391']
捷運起迄站間票價資料,['128436']
捷運路網資料,['128388']
捷運路線基本資料,['128396']
捷運路線發車班距頻率資料,['128392']
捷運路線車站基本資料,['128390']
捷運車站Wi-Fi點位資料,['76720']
捷運車站出入口基本資料,['128437']
捷運車站基本資料,['128394']
捷運車站設施資料,['128387']
捷運首末班車時刻表,['128393']
採購案件,['25998']
採購稽核分級管制列等審核一覽表,['127952']
採購稽核案件,['46342']
掩埋場位置,['76765']
撤銷及廢止立案幼兒園名冊,['25926']
政信箱案件資訊,['46278']
政府工程查核案件分級管制一覽表,['80185']
政府政風處暨各政風機構(單位)受理財產申報人數,['46624']
政風處檢舉管道,['25952']
政風處貪瀆案件檢舉獎金給獎標準,['43281']
救護義消協勤統計,['45557']
救護義消歷年協勤統計,['76881']
救護車設置概況,['25956']
教育局交通導護類志工表揚名單,['76735']
教育局志工表揚名單,['26106']
教育局志工表揚獲獎人次統計表,['43321']
教育局教育類志工表揚名單,['76738']
文創業者名冊,['102395']
文化資產,['26001']
新住民家庭服務中心,['96443']
新移民家庭服務中心服務據點,['26111']
新訓單位駐地聯絡清冊,['26040']
旅行時間偵測站 站間平均旅行時間,['25916']
旅行時間偵測站設備資訊,['26041']
旅行時間偵測站配對路段,['128744']
旅遊服務中心旅客諮詢人次及臨櫃人次,"['46078', '46079', '94282', '100408', '119804']"
旅遊諮詢中心資料,['26353']
日間照顧中心,['96446']
早期療育服務個案管理中心,['94342']
早期療育服務通報轉介中心,['94359']
早期療育社區資源中心,['26104']
早餐業餐飲衛生分級評核名單,['31463']
景點資料,"['26352', '26356', '26363']"
替代役役男家屬各項扶(慰)助經費統計,['47360']
替代治療執行機構門診時間,['34162']
最新債務訊息,['25977']
最新非法營業旅宿名單,['31578']
最近土地增值稅稅源統計表,['46359']
最近地價稅稅源統計表,['43320']
最近契稅綜合統計表,['43280']
最近房屋稅綜合統計表,['46267']
會議室、簡報室及宿舍收費標準表,['26035']
有游泳池學校一覽表,['46287']
有線廣播電視系統經營者,['25969']
有線電視系統人手孔,['25946']
有財產統計表,['26085']
本市付費廣告欄設置地點一覽表,['76767']
查定開徵數情形,"['45688', '94346', '101281']"
查獲經濟案件,['26097']
查獲非法槍彈刀械,['25964']
柴油車排煙檢測站地址及電話,['42506']
校園周邊健康飲食,['94278']
棒球場、射箭場、慢速壘球場場地使用及體育館(巨蛋)前中央廣場收費標準表,['26014']
樂齡學習中心資訊,['76736']
橋梁資訊,['26065']
機動車輛分類統計,['25985']
機器腳踏車使用牌照稅稅額表,['46314']
機場航空噪音防制區,['26115']
機車使用牌照稅稅額表,['101279']
機車定檢站名單,['25886']
機車排放空氣污染物檢驗站,['101243']
機車竊盜點位,['26279']
機關通訊錄,['25912']
檔案閱覽抄錄複製收費標準,['45491']
歷屆金牌好店資料,['25894']
歷年住宅補貼受理情形統計表,['28078']
歷年家暴案量統計,['75546']
歷年性侵害案量統計,['75563']
歷年溺水案件分析,['46425']
歷年農地重劃區重劃前後段別對照表,['28683']
歷年重大災害一覽表,['48532']
歷次天然災害停止上班上課訊息,"['46361', '94354', '99759', '127943']"
殯葬禮儀服務業許可名冊,['26495']
母嬰親善醫療院所名單,['25993']
每日大宗蔬果行情價格表,['46622']
每日蔬果農藥殘毒快速檢驗結果,['46625']
每月觀光遊憩區遊客人次資料,"['26354', '31653', '31734', '32736', '32737', '32738', '87949', '87951', '99261', '118429']"
毒蛇血清供給表,['76748']
民卡特店優惠,['76842']
民政局暨所屬機關志工性別統計,['46333']
民政局附屬機關清冊,['43633']
民眾使用線上申辦件數統計表,['28056']
水務局-年度預算與決算資料,['41174']
水務局公共工程實施數量,['49340']
水務局建置水位站即時偵測資料,['31299']
水務局管理水門資訊,['46582']
水務局管轄滯洪設施統計資料,['26077']
水務局雨量站即時偵測資料,['46407']
水土保持法罰鍰案件列表,['44716']
水災災害人員傷亡,['46343']
水災災害出動救災人次,['45544']
水災災害出動救災裝備,['45562']
水災災害建物損失,['45570']
水質檢驗報告,['26056']
水質淨化工程,['46226']
污水下水道系統-管線工程及用戶接管工程施工位置,['75216']
污水系統人手孔,['26062']
污水系統管線,['26005']
汽車竊盜點位,['26280']
河濱自行車道資料,['26119']
洗掃街作業資料,['49542']
流感疫苗合約醫療院所名冊,['95645']
海域安全管理及救援統計,['45545']
消費爭議申訴案暨調解案件類型分析,['25961']
消費爭議申訴案暨調解案類型分析,['46032']
消費諮詢專線電話(1950及5715分機)統計總表,['46033']
消費資料,['26366']
消防人力,['46398']
消防人力學歷統計表,['31231']
消防人力年齡統計表,['31232']
消防人力性別官等統計表,['31236']
消防人員講習訓練年度統計,['45567']
消防分隊茶水供應等便民服務,['46243']
消防員工傷亡慰問情形,['46334']
消防安全檢查列管對象,['31488']
消防安全檢查重大不合格場所,['101278']
消防安全設備查察處理,['31489']
消防安全設備檢修申報,['31486']
消防客語,['31496']
消防實用英文,['31465']
消防局一般公文統計表,['45576']
消防局人民申請案統計表,['31243']
消防局住宅火災警報器宣導資訊,['46286']
消防局各單位業務職掌,['76873']
消防局國家賠償概況統計,['45556']
消防局尼伯特颱風天然災害人員傷亡、建物損失、重大災害財物損失報表,['47356']
消防局局本部大樓樓層資訊,['74837']
消防局年度救護捐贈芳名錄,['31239']
消防局年度救護統計,['46339']
消防局年度消防大事記,['46265']
消防局救災救護指揮中心受理公用電話量統計,['46586']
消防局救災救護指揮中心受理其他來源統計,['46279']
消防局救災救護指揮中心受理市內電話量統計,['46400']
消防局救災救護指揮中心受理行動電話量統計,['46233']
消防局昌鴻颱風天然災害人員傷亡、建物損失、重大災害財物損失報表,['31484']
消防局杜鵑颱風天然災害人員傷亡、建物損失、重大災害財物損失報表,['31485']
消防局梅姬颱風天然災害人員傷亡、建物損失、重大災害財物損失報表,['47355']
消防局歷年留職停薪人次,['74844']
消防局歷年育嬰留職停薪性別人次,['76875']
消防局法規清單,['76874']
消防局消防分隊通訊錄,['26060']
消防局消防車輛數,['45551']
消防局育嬰留職人員官職等分布情形,['76872']
消防局育嬰留職人員年齡分布情形,['74830']
消防局莫蘭蒂颱風天然災害人員傷亡、建物損失、重大災害財物損失報表,['47358']
消防局蘇迪勒颱風天然災害人員傷亡、建物損失、重大災害財物損失報表,['31735']
消防局辦理各項訓練統計,['31365']
消防局防火宣導資訊,['46277']
消防局防災社區訓練場次,['76880']
消防局馬勒卡颱風天然災害人員傷亡、建物損失、重大災害財物損失報表,['47359']
消防救護車執行勤務收費須知,['47361']
消防栓,['25966']
消防栓座標位置,['43487']
消防楷模,['45575']
消防水源統計,['32896']
消防緊急救護到院前心肺功能停止傷病患統計,['45572']
消防緊急救護急救處置,['31234']
消防緊急救護服務,['31240']
消防義消楷模,['45555']
消防裝備,['46268']
消防車輛,['45566']
液化石油氣消防安全檢查及違規取締,['76877']
清明節抽驗潤餅皮檢驗結果,['46241']
溪流大圳救溺攔截點位置,['46427']
溫泉井位置,['46403']
滅火器藥劑更換及充填合格廠商清冊,['25931']
漁會通訊資料,['26113']
濫用消防救護車執行勤務收費統計,['45548']
火災人員死傷統計,['31233']
火災出動人員統計,['45552']
火災出動直升機統計,['46242']
火災出動船艇統計,['45571']
火災出動車輛統計,['46389']
火災次數,"['31230', '31235']"
火災次數分類及時間,['31228']
火災財物損失統計,['46406']
災害應變中心開設情形,['45549']
災害通報一覽表,['31241']
災害防救團體,['31363']
焚化廠資料,['76761']
無痛大腸鏡計畫醫療院所名單,['46421']
無障礙廁所清冊,['30637']
照顧者支持團體暨長者認知促進活動,['127363']
燃氣熱水器承裝業證書規費收費標準,['76878']
燃氣熱水器技術士清冊,['31481']
營業衛生水質檢驗報告,['94356']
營業衛生水質檢驗報告(游泳池、三溫暖、溫泉),"['33756', '127956']"
爆竹煙火安全檢查,['76876']
爆竹煙火違法取締,['76883']
特定寵物業名冊,['94280']
特定行業 電子遊戲場業及資訊休閒業營業場所投保公共意外險清冊,['50005']
特色店家,['26277']
狹小巷弄列管清冊,['26074']
獸醫診療機構名冊,['25953']
環保志工小隊資料,['42324']
環保旅店,['25896']
環境保護局預、決算資料,['94277']
環境教育機構,['25995']
環境教育設施場所,['26076']
瓦斯行,['46240']
產後護理之家基本資料,['128395']
產業及社福外籍勞工人數,['45560']
產業類別及行政區域家數,['78805']
用戶接管普及率及污水處理率統計資料,['25997']
用電設備檢驗維護業,['26084']
田徑場及體育館收費標準表,['26121']
甲、乙、丙級公民營廢棄物清除機構列表,['76754']
甲、乙級公民營廢棄物處理機構列表,['76755']
申請燃氣熱水器遷移或汰換補助流程,['31364']
病媒蚊密度調查結果,['46276']
登革熱確診個案分布,['33751']
發展遲緩兒童通報轉介中心,['25994']
發展遲緩兒童醫療評估資源,['25921']
盒餐業者專案稽查結果,['44617']
直轄市稅捐徵收(按稅目)比較表,"['74879', '76851', '76854', '76859', '76860', '76861', '76864', '76865', '76866', '76867', '76871', '94308', '94310', '94326', '94331', '94340', '94369', '127950']"
直轄市稅捐徵收按稅目比較表,"['101229', '101234', '101235', '101265', '101274', '101282']"
石門山勞工育樂中心,['26109']
社區安寧療護資源一覽表,['45675']
社區復健服務據點,['46380']
社區活動中心,['94301']
社區照顧關懷據點,['25889']
社區發展協會名冊,['32265']
社區藥局,['33876']
社會局身心障礙者需求評估中心,['94300']
