10609-滯納案件移送執行情形,"['121801', '121802']"
公車專用道,['121180']
公車站牌位置圖,['121156']
公車路線圖,['121154']
共同管道圖資,['127957']
共融式遊戲場資訊,['121967']
出院準備銜接長照2.0合作醫院,['121905']
列管後備軍人動態統計表,['121408']
列管營業場所消防安全檢查結果,['128613']
創新創業空間資料,['121876']
加油站及加氣站分布圖,['121188']
助妳好孕問答集,['121910']
動物醫院一覽表,['128275']
動產擔保登記資料,['121574']
動產質借概況,['121564']
動產質借處各分處一覽表,['121893']
動產質借處營業概況,['121563']
勞動局違反勞動基準法事業單位及事業主公布總表,['121435']
勞動局違反勞工退休金條例事業單位及事業主公布總表,['122105']
勞動局違反就業服務法事業單位及事業主公布總表,['122104']
勞動局違反性別工作平等法事業單位及事業主公布總表,['121432']
勞動局違反職業安全衛生法事業單位及事業主公布總表,['121436']
北市健走步道,['121903']
北美館典藏目錄,['122016']
區區已登記公私有土地筆數面積統計表,['121842']
區已登記公私有土地筆數面積統計表,"['121134', '121243', '121254', '128332']"
區段徵收,['121676']
區民活動中心無障礙設施設置資料,['121427']
區民活動中心設置無障礙設施資料,['128207']
區民活動中心資料,['121187']
區界圖,['121199']
即時交通訊息,['128476']
原住民場館介紹,['121239']
友善兒童少年福利服務據點,['121982']
友善廁所名單,['121856']
受保護樹木,['121274']
台北市客家文化基金會預算書,['130196']
台北市有線電視系統業者服務品質暨收視戶滿意度調查,['121568']
台北市青年農民聯絡資訊,['121861']
台北花博農民市集全國農特產品展售會業績表,['121860']
各1級機關暨列席議會2級機關首長名錄,['121520']
各公園水域安全告示牌及救生設備位置資訊,['121683']
各區公所免費市民法律諮詢服務資料,['121172']
各區公所聯絡資訊,['121922']
各區清潔隊資源回收量,['121705']
各區清潔隊電話,['121875']
各區災害應變中心領取沙包專線電話一覽表,['121201']
各區百歲人瑞人數統計表,['121508']
各區農會地址一覽表,['121532']
各區運動中心,['121203']
各區里疏散避難圖資訊,"['121131', '121142', '121161', '121168', '121190', '121207', '121212', '121245', '128206', '129073']"
各役政單位地址及連絡電話,['121237']
各新兵訓練中心郵政信箱及連絡電話,['121221']
各機關公務人員進修費用補助一覽表,['128225']
各機關學校統1編號,['121974']
各機關聘(僱)用計畫書,['121934']
各水域告示牌及救生器材設置地點及數量清冊,['121673']
各級學校分布圖(含國小.國中.高中職.特教學校.市立大專院校),['121225']
各行政區最新月份人口數及戶數,['128370']
各里疏散避難圖資訊,['128483']
各里簡易疏散避難地圖,['121198']
各項稅捐實徵淨額與預算數及上年同期比較,"['121730', '121731', '121736', '121737', '121742', '121743', '121748', '121749', '121754', '121755', '121766', '121767', '121772', '121773', '121778', '121779', '121805', '121806', '121835', '121836', '121877', '121878', '127447', '127448']"
各項稅捐徵收數,"['121798', '122010']"
各項稅捐收回以前年度繳付數止,"['121741', '121747', '121753', '121759', '121765', '121771', '121777', '121783']"
各項稅捐本月實徵數簡報表-各月,['121729']
各項稅捐本月實徵數簡報表各月,['122007']
各項稅捐繳付公庫情形止,"['121770', '121776', '121782']"
各項稅捐繳付公庫數止,"['121740', '121746', '121752', '121758', '121764']"
各項稅捐解庫情形止,"['121734', '121809', '121839', '121881']"
各項稅捐退還以前年度歲入款止,"['121735', '121810', '121840', '121882']"
各項稅收快報(初步數字),['121728']
各類公文總量,['122002']
各類農產品批發市場歷史交易量、交易額、平均價表,['128661']
合法8大行業業者清冊,['121592']
合法資訊休閒業者清冊,['121590']
合法電子遊戲場業者清冊,['121591']
哺集乳室,['128668']
商圈店家輔導對象資料,['121858']
商圈通訊錄,['121157']
單1陳情系統HELLO TAIPEI類別資料,['121792']
噪音稽查處分概況年報表,['121451']
噪音管制區圖,['121924']
囑託登記國有公告清冊,['121514']
回收業機構名冊,['121621']
固定測速照相地點表,['130111']
固定里民活動場所資料,['121174']
國家賠償事件處理委員會委員,['128834']
國民中小學餘裕空間情形一覽表,['121718']
國民住宅配售(租)情形,['121267']
國民住宅配售(租)概況,['127178']
國民年金-勞工保險局,['121334']
土地使用分區,['129023']
土地使用分區圖資,['121998']
土地公告現值及公告地價,['122058']
土地可利用限度圖,['122050']
土壤及地下水污染控制場址,['121610']
土壤液化分析鑽井圖層資料,['128222']
土壤液化潛勢圖,['128226']
地下水監測結果,['121446']
地下水鑿井業登記資料,['121576']
地下街,['121597']
地下道資訊,['128939']
地價稅徵績徵期結束,['121800']
地價稅徵績滯納期滿,['121799']
地價稅開徵概況,['121830']
地區農會信用部地址一覽表,['62006']
地方稅簡介電子書,['121963']
地籍測量專業資格證明核發紀錄,['121605']
垃圾掩埋場污水廠水質檢測報告,['121626']
垃圾清運點位資訊,['129072']
垃圾焚化廠營運管理及環境品質監測報告,"['121196', '128434']"
域分布表,['121391']
域線,['121642']
執行菸害防制法稽查成果,['121706']
堂演出訊息,['121266']
堤防起迄點位資料集,['121985']
多元繳稅統計表,"['121681', '121871', '121872', '121873', '121874', '126982', '127649']"
大客車及貨車使用牌照稅稅額表,['121948']
大彎南段工業區廠商名錄,['121241']
大直橋下防溺告示牌及救生圈位置,['121696']
大臺北公車最新消息,['130057']
大臺北地區消防栓分布點位圖,['128639']
大貨車禁行區域圖,['121261']
失智照護服務計畫服務單位,['121907']
失智症篩檢合約醫院,['121904']
契稅查定,['121825']
好孕胸章索取地點及電話一覽表,['121713']
妨害兵役案件統計表,['61822']
委託研究報告,['121530']
委託研究案建議事項採行情形,['121493']
娛樂營業場所噪音告發案件點位資訊,['121645']
娛樂稅稅源,['121682']
婦女服務-婦女相關團體名冊,['121315']
婦女服務-家庭服務中心,['121313']
婦女服務-家庭服務相關團體名冊,['121316']
婦女服務-新移民相關團體名冊,['121314']
婦幼安全警示地點,['130205']
嬰幼兒照顧服務-兒童托育資源中心,['122047']
嬰幼兒照顧服務-公辦民營托嬰中心,['121337']
嬰幼兒照顧服務-定點臨托,['126987']
嬰幼兒照顧服務-居家托育服務中心,['126986']
嬰幼兒照顧服務-社區公共托育家園,['126984']
嬰幼兒照顧服務-私立托嬰中心,['121278']
嬰幼兒照顧服務-育兒友善園,['126985']
嬰幼兒照顧服務-親子館,['121336']
學童塗氟及窩溝封填合約醫院,['121897']
學童高度近視防治眼科合約院所,['121896']
學習型機構,['121343']
完全以電能為動力之電動大客車及貨車使用牌照稅稅額表,['121950']
完全以電能為動力之電動小客車使用牌照稅稅額表,['121951']
完全以電能為動力之電動機車使用牌照稅稅額表,['121952']
宗教建築3D模型庫,['121136']
宗教建築環場影像清單,['121193']
定時車機資訊,['128710']
定點車機資訊,['128739']
客家事務委員會場地使用時間及收費基準表,['127191']
家暴通報案件數統計資訊,['121943']
實價周報,['129426']
實施集中支付近庫款支付筆數,['121138']
實施集中支付近庫款支付金額,['121137']
實施集中支付近支用機關數及各種憑單有效處理件數,['121379']
審議會議程及記錄,['128513']
寵物旅館,['121717']
寵物登記站名冊,['121581']
專用垃圾袋代售點名冊,['121153']
小型復康巴士電話訂車統計數據,['121443']
小客車使用牌照稅稅額表,['121949']
小巡邏區勤務立即偵破刑案績效表,['121560']
少年輔導委員會工作年報,"['121629', '121630']"
居家廢棄藥物檢收站,['127177']
居家護理所,['121242']
屆滿或即將屆滿未領歸屬國庫案件,['121606']
山坡地人工邊坡位置圖,['121559']
山坡地範圍圖,['121420']
工務局工料分析手冊,['121867']
工務局水利工程處防溺告示牌救生圈座標位置,['121691']
已核准自行劃定更新單元案件,['128239']
已核發之廢食用油回收工作證清除機構名單,['121617']
已核發應回收廢棄物回收處理業登記名冊,['121620']
已登記公私有土地筆數面積統計表,['128191']
已立案宗教團體點位資料,['121141']
市區自行車道,['127189']
市區道路速限表,['121671']
市地重劃,['121674']
市場處無障礙設施,['121428']
市政信箱(已異動為HELLO TAIPEI)及1999資訊,['121715']
市政大樓及市民廣場場地使用時間及收費基準,['121149']
市政大樓各機關單位配置表,['130265']
市政網站整合平台之常見問答,['129074']
市政網站整合平台之新聞稿,['128337']
市政網站整合平台之最新消息,['121339']
市政網站整合平台之熱門活動,['121340']
市有公用未利用土地清冊,['121370']
市有公用閒置堪用建物清冊,['121373']
市有土地參與都市更新完工或結案案件表,['121584']
市有土地參與都市更新案件進度表,['121262']
市有財產委託經營案件明細表,['121418']
市民農園承租資訊,['121385']
市立殯儀館及公立納骨塔,['121247']
市立焚化廠位置,['130327']
常備兵役役男家屬各項扶(慰)助經費統計表,['121406']
常備兵役役男家屬安家費暨3節生活扶助金統計表,['121407']
常用工程基本單價,['121869']
年度因公出國及赴大陸地區計畫,['128224']
年度施政計畫由府列管計畫期末查證報告表,['61957']
幼兒生活狀況調查原始資料,['121929']
庇護工場名冊,['121264']
底地方稅欠稅概況-納稅義務人性別分,['121829']
店家改造資料,['121859']
府層級任務編組設置要點訂定、更名及停止適用,['128286']
府級任務編組性別比例統計,['121498']
廢巷及改道公告,['127179']
廢棄物處理場,['121148']
廢棄物處理場再生土領用方式及領據,['121627']
廢棄車輛處理月報表,['121704']
廢食用油資訊,['121346']
廣告審查件數統計表,['121504']
延慧書庫,['121354']
建設公債各期本息撥付表,['121426']
建設公債還本付息兌付統計表,['121219']
建造執照摘要,['128200']
張掛旗幟路段參考一覽表,['121259']
張貼板欄核准地點一覽表,['121268']
強盜點位資訊,['130106']
役男徵兵檢查BMI值統計表,['121395']
役男徵兵檢查人數統計表,['121393']
役男徵兵檢查體位判等因素分析統計表,['121394']
役男徵集概況統計表,['121410']
役男申請複檢案件統計表,['121396']
役男驗退停訓處理人數統計表,['121397']
後巷美化,['128803']
徵兵及齡男子兵籍調查統計表,['121392']
徵起之國稅、縣市稅分成數額表,['121349']
徵集人數統計表,['121398']
心理所,['121669']
急救責任醫院,['121213']
性傳染病友善醫院,['121917']
愛心餐食-愛心餐食補給站,['121332']
愛滋病指定醫院,['121916']
戒菸合約醫事機構,['121898']
房屋概況,['121824']
房屋構造標準單價表,['121684']
房屋稅徵績-徵期結束,['121815']
房屋稅徵績-滯納期滿,['121816']
房屋稅查定,['121811']
房屋稅稅源,"['121823', '121991']"
房屋稅開徵概況,['121831']
房屋街路等級調整率表,['121685']
所屬各機關議會協調案件統計表及數據圖,['121892']
所轄公立高中職以下有游泳池學校一覽表,['121675']
批發市場,['121595']
抽籤人數統計表,['121399']
拖吊場,['121217']
捷運土地開發作業,['121366']
捷運工程局品質管理系統QSOP文件清單,['121353']
捷運工程徵收土地清冊,['121352']
捷運工程徵收地上權土地清冊,['121362']
捷運民生汐止線郵寄問卷內容與調查結果報告,['121968']
捷運聯合開發不動產統1經營資訊,['130109']
捷運聯合開發公有不動產標售物件資料,['121358']
捷運聯合開發公有不動產非統1經營部分預計出租標的,['130128']
捷運聯合開發大樓(商、辦、住宅)每坪每月租金一覽表,['130116']
捷運興建中路網各線工程進度累計百分比,['130096']
排水溝渠清疏統計表,['121703']
採購爭議案件處理情形年度分析統計表,['121517']
採購申訴審議委員會委員,['128567']
採購申訴審議委員會會議紀錄,['121506']
提供申請短期使用土地清冊,['121178']
提高女性主管比例,['127590']
搶奪點位資訊,['130105']
搶救不易狹小巷道清冊,['128611']
攤販集中場,['121594']
支援台水月統計表,['128658']
救護車資料,['121250']
教保服務機構違反《幼兒教育及照顧法》相關規定案件,['121936']
教育局志工表揚名單,['121527']
數值地籍地段圖,['121186']
文化局藝文補助案,['121586']
文化快遞資訊,['128616']
文化指標調查,['128670']
文化資產,['121275']
新光特展館(大貓熊館)參觀票券,['121249']
新北8仙樂園氣爆案送醫名單,['121430']
新北市定時車機資訊,['128990']
新北市定點車機資訊,['128988']
新北市智慧型站牌,['129017']
新北市智慧型站牌所屬路線,['129018']
新北市業者營運基本資料,['129019']
新北市機動班次時刻表,['129014']
新北市站位資訊,['128987']
新北市站牌,['129021']
新北市路線,['129022']
新北市路線及營業站對應,['129015']
新北市車機異常資訊,['128991']
新北市車輛基本資訊,['128989']
新北市附屬路線與路線對應資訊,['128992']
新北市預估到站時間,['129016']
新北市預定班表資訊,['129020']
新建改善工程,['128378']
新生兒危急型先天心臟病篩檢合約醫院,['121901']
新生兒聽力篩檢合約醫院,['121900']
新移民統計,['121507']
旅遊服務中心據點資訊,['121211']
旅遊服務中心服務人次統計表,"['126864', '128187']"
明日道路施工預約資訊,['128786']
智慧園燈微型氣象站偵測結果,['121926']
智慧型站牌,['128068']
智慧型站牌所屬路線,['128940']
暑期工讀案件,['121518']
暨所屬機關學校現有員工人數統計,['121524']
更新(地區)範圍圖資訊,['128510']
替代役備役列管人數分析統計表,['121412']
替代役役男主副食費發放標準表,['121402']
替代役役男地域加給支給標準表,['121401']
替代役役男家屬各項扶(慰)助經費統計表,['121404']
替代役役男薪俸標準表,['121400']
替代役申請人數統計表,['121411']
最近土地增值稅稅源統計表,['121692']
最近地價稅稅源統計表,['121690']
最近契稅綜合統計表,['121694']
最近房屋稅綜合統計表,['121693']
有機農場,['121382']
木柵垃圾焚化廠營運管理及環境品質監測報告,['121256']
未變性酒精販賣業者登記資料一覽表,['121585']
本市公務人員協會補助款核發,['127488']
本府1級機關經管公有公用土地清冊(國有),['121425']
本府1級機關經管公有公用土地清冊(市有),['121419']
本府公教人員住宅貸款貸放戶歷年賸餘戶數統計表,['121521']
本府公教人員急難貸款申請人次統計表,['121522']
本府各機關任務編組檢討,['128229']
本府各機關年度預算員額總數,['121516']
本府歷年投資富邦金控股權及獲配股利一覽表,['121377']
本府派兼富邦金控公股董事及推薦獨立董事名單,['121378']
果菜及家禽批發市場休市日,['121931']
果菜魚類家禽批發市場休市日,['122003']
柴油車排煙動力檢測站址,['129155']
校園數位氣象網開放資料,['121817']
核准公司設立變更解散清冊,['121863']
核准商業設立、變更及歇業登記等異動資料清冊,['121857']
核准身障福利團體設置舊衣回收箱,['128234']
桶裝瓦斯零售商名冊。,['121441']
業者營運基本資料,['129032']
樂齡學習基地資料表,['121976']
標售價金保管款清冊,['121513']
模範公務人員,['128386']
橋梁資訊,['128899']
機動班次時刻表,['129027']
機動車輛排放空氣污染物檢查、檢驗告發情形季報表,['121452']
機車使用牌照稅稅額表,['121953']
機車停車彎,['128287']
機車優先道,['121129']
機車定檢站位置,['126890']
機車專用道,['121270']
機車竊盜點位資訊,['130107']
機車退出騎樓路段,['121885']
歲入預算執行情形,['121177']
歷年(以前)使用執照摘要,['128203']
歷年(以前)建造執照摘要,['128204']
歷年各區隊清運垃圾、堆肥、養豬量,['126553']
殯葬禮儀公司,['121155']
母嬰親善醫療院所,['121200']
每日貓空纜車系統旅運量統計表,['128609']
民意調查結果清單,['121999']
民眾檢舉違反廢棄物清理法及獎勵金發放辦法,['128719']
民眾繳納違反環保法令行政罰鍰之方式及其他相關注意事項,['128694']
水利處-主集水區,['121653']
水利處-易積水地區,['121165']
水利處-沉砂池,['121648']
水利處-雨水下水道人孔資料,['128497']
水利處基地台(中繼站),['128738']
水利處抽水站,['121133']
水利處抽水站運轉狀態,['128064']
水利處歷史積水紀錄圖,['121170']
水利處水位計,['121637']
水利處河川水位站,['121640']
水利處獨立閘閥門,['121644']
水利處監視器,['121641']
水利處臨時抽水井,['121638']
水利處閘閥門,['121636']
水利處雨水下水道水位監測站,['121643']
水利處雨水下水道水位站即時資料,['130198']
水利處雨量站,['128477']
水利處颱風豪雨期間外租機械佈設點,['128190']
水域遊憩活動告示牌地點,['121695']
水庫運轉月報表,['121541']
水文、氣象月報表,['121543']
水準點,['121639']
水綠地圖,['128221']
水質監測站基本資料,['121206']
水質監測資訊,['128633']
求職徵才職缺資訊,['128467']
污水處理廠回饋金,['128380']
污水處理廠水質水量速報,['128382']
汽車竊盜點位資訊,['130108']
河川水位即時資料,['128518']
河川水質,['121347']
河流,['121164']
河濱休憩點,['121192']
河濱公園,['121130']
河濱公園塗鴉區,['122019']
河濱公園涼亭,['121649']
河濱公園販賣機,['122020']
河濱公園越堤階梯,['121654']
河濱公園遊戲區,['122018']
河濱廁所,['121143']
河濱求救點資訊,['121224']
河濱生態-兩棲,['121659']
河濱生態-喬木,['121793']
河濱生態-底棲,['121660']
河濱生態-棕櫚,['121796']
河濱生態-灌木,['121794']
河濱生態-爬蟲,['121658']
河濱生態-蜻蜓,['121657']
河濱生態-蝴蝶,['121656']
河濱生態-鳥類,['121661']
河濱自行車租借站、租借費率、提供免費飲水、打氣及簡易維修服務,['121227']
河濱自行車道景點,['121147']
河濱輕食區,['121195']
法務局法規委員會委員,['128835']
法律、建築及地政諮詢,['128201']
派遣計程車業者資訊,['121672']
流感合約院所(3歲以上(含3歲)幼童),['121989']
流感合約院所(3歲以下幼兒),['121988']
流感合約院所(成人),['121990']
海砂屋列管清冊,['128196']
消費爭議案件統計報表,['121510']
消費爭議案件處理資料,['121511']
消費爭議調解委員會委員,['128833']
消防分隊駐地位置圖,['128008']
消防安全檢查重大不合格場所,['128614']
消防局EOC開放資料專區(TEST),['128978']
消防局各單位通訊錄,['121179']
消防緊急救護急救處置統計,['121980']
消防通道清冊,['128610']
準公共化托嬰中心,['121981']
溫室氣體排放統計—本市總排放量及人均排放量,['121440']
溫泉地區地電阻分布圖,['121246']
溫泉監測井圖,['121232']
溫泉露頭區公告範圍圖,['121214']
漁產批發市場休市日,['121930']
漁產批發市場休市日資訊,['121599']
火災搶救困難地區,['121977']
火災資料統計月報表,['128278']
無故不到場協商之被申訴企業經營者列表,['128334']
無障礙計程車營運數據,['121444']
熱門業務電話資料,['121628']
燃氣熱水器承裝業及其技術士名冊,['128612']
營建工地空污費繳費櫃檯,['121609']
營建工程噪音告發案件點位資訊,['121646']
營業場所投保公共意外險清冊,['121589']
營業衛生自主管理分級評核(旅館業),['121191']
營業衛生自主管理分級評核(游泳業),['121185']
營業衛生自主管理分級評核娛樂業,['121210']
營業衛生自主管理分級評核浴室業,['121220']
營業衛生自主管理分級評核美容美髮業,['61569']
營業衛生自主管理分級評核電影片映演業,['127193']
牌照稅徵績-全期徵期結束,['121812']
牌照稅徵績-全期滯納期滿,['121813']
特殊景點彩繪區,['121986']
狗便清潔袋箱,['121909']
獎懲月報表,['128505']
獸醫師資訊,['128276']
環保局廢棄暨未懸掛號牌車輛管理系統,['121204']
環保局操作維護之水質淨化設施資料,['121613']
環保局輻射監測站測站位置,['121935']
環保旅店,['121624']
環保義工大隊人數概況,['121923']
環境保護局12區清潔隊、溝渠清理第1、2隊及直屬清潔隊聯絡資訊一覽表,['121615']
環境保護局污染源稽查(查核)處分概況月報表,['121449']
環境保護局洗街車資料,['121616']
環境及交通音量監測站地點,['121625']
環境教育機構,['128368']
環境教育設施場所,['128316']
環境空氣品質監測結果月報表,['121359']
環境輻射監測,['130328']
環境輻射監測站基本資料,['121607']
瓦斯供氣戶數及供氣量,['121390']
生技廠商企業名錄,['121578']
生活危機服務-社會福利服務中心,['121331']
生物多樣性,['121853']
生物多樣性物種網格分布圖,['128407']
生育補助合約醫院,['121899']
產後護理之家,['128669']
產業發展局主管6間政府捐助財團法人預算書,['130219']
產業發展獎勵補助計畫---獲獎勵補助廠商基本資料,['121519']
用戶接管,['128379']
用電設備檢驗維護業登記資料,['121575']
田園城市點位圖資,['128272']
由府列管個案計畫執行進度一覽表,['121499']
由府列管個案計畫年終考評成效評分表,['121503']
由府列管個案計畫調整撤銷,['121502']
由府列管個案計畫選項列管項目一覽表,['121501']
甲級廢棄物清除處理機構名單,['121158']
界圖,['121667']
畜產批發市場休市日資訊,['121908']
疏散門資訊,['121236']
病媒防治業者名單,['121160']
登記家數統計表,['121588']
登記工廠分布圖及基本資料,['121252']
登革熱戶外化學防疫軌跡記錄,['121612']
發行建設公債還本付息統計表,['121350']
直飲臺,['128640']
社區復健計畫,['121906']
社區發展服務-社區發展協會,"['121293', '121294', '121295', '121296', '121297', '121298', '121299', '121300', '121301', '121302', '121303', '121304']"
社區資源回收站資訊,['121619']
社教機構分佈圖(含社區大學),['121228']
社會住宅興建進度,['127648']
社會救助補助項目,['129839']
社會福利統計_中低收入老人假牙補助,['121494']
社會福利統計_中低收入老人生活津貼,['121456']
社會福利統計_低收、中低收入老人修繕住屋補助,['121474']
社會福利統計_低收入戶及中低收入戶申請,['121453']
社會福利統計_低收入戶暨中低收入戶生育補助申請,['121490']
社會福利統計_低收入戶暨中低收入戶輔導就業服務,['121487']
社會福利統計_兒少安置機構管理,['121473']
社會福利統計_兒少機構收容暨空位狀態,['129113']
社會福利統計_兒童臨時托育補助,['121466']
社會福利統計_公益彩券盈餘分配辦理社會福利事業情形,['121552']
社會福利統計_危機家庭兒童托育補助,['121475']
社會福利統計_受理人民團體籌組申請,['121476']
社會福利統計_受理公益勸募活動申請,['121387']
社會福利統計_國民年金保險費補助統計資料,['121458']
社會福利統計_婦女及單親家庭服務中心,['121469']
社會福利統計_寄養服務業務,['121465']
社會福利統計_居家服務,['121460']
社會福利統計_市民醫療補助,['121461']
社會福利統計_庇護家園,['121467']
社會福利統計_弱勢兒童及少年醫療補助,['121368']
社會福利統計_弱勢家庭兒童托育補助,['121492']
社會福利統計_弱勢少年自立生活經濟扶助,['121495']
社會福利統計_強化社會安全網-急難紓困方案(原馬上關懷)救助,['121485']
社會福利統計_志願服務,['121489']
社會福利統計_急難救助,['121484']
社會福利統計_新移民(外籍配偶),['121464']
社會福利統計_施政計畫,['121470']
社會福利統計_早期療育個案服務,['121459']
社會福利統計_本市公益彩券盈餘分配基金預算,['121375']
社會福利統計_災害救助,['121478']
社會福利統計_特殊境遇家庭扶助申請,['121463']
社會福利統計_相關業務年度統計,['121912']
社會福利統計_社區互助方案申請,['121455']
社會福利統計_社會工作人員專業訓練,['121491']
社會福利統計_社會工作師管理,['121488']
社會福利統計_經銷商人數統計,['121374']
社會福利統計_義務採購機關採購身心障礙機構團體彙整表,['121457']
社會福利統計_老人健保自付額補助,['121486']
社會福利統計_老人福利機構評鑑,['121468']
社會福利統計_老人長期照顧、安養機構概況,['121462']
社會福利統計_育兒津貼,['121371']
社會福利統計_臨時看護補助,['121376']
社會福利統計_補助團體一覽表,['121369']
社會福利統計_議會工作報告,['121471']
社會福利統計_身心障礙福利機構概況,['121482']
社會福利統計_身心障礙者日間照顧及住宿照顧費用補助,['121481']
社會福利統計_身心障礙者生活補助申請,['121477']
社會福利統計_身心障礙者輔具費用補助,['121388']
社會福利統計_身心障礙證明(手冊)管理,['121389']
社會福利統計_身障機構收容暨空位狀態,['128695']
社會福利統計_身障租金補貼,['121480']
社會福利統計_身障者專用停車位識別證申請,['121479']
社會福利統計_辦理社會福利事業季報表,['121483']
社會福利統計_高風險家庭服務,['121472']
禁停紅黃線路段分布圖,['128231']
福利據點,['121884']
私有土地分佈圖,['121797']
私有文化資產補助案,['121500']
私立及非營利幼兒園通訊資料,['121194']
科技園區廠商名錄,['121216']
租屋服務平臺媒合案件統計,['121538']
稅務小常識電子書,['121965']
稅式支出報告,"['121970', '128672']"
稅捐稽徵處中英文簡介,['121962']
稅捐稽徵處及分處聯絡資訊,['121966']
稅捐稽徵處各項稅收稽徵人力,"['121827', '122012']"
稅捐稽徵處各項稅收稽徵成本,"['121828', '122013']"
稅捐稽徵處性別統計項目,['121832']
稅捐稽徵處推行親民服務民意反映問卷調查報告,"['121954', '121955', '121956', '121957', '121958', '121959', '121960', '121961']"
稅捐稽徵處歲出預決算數,"['121826', '122011']"
稅捐稽徵處歷年(起)地價稅累進起點地價及課稅級距表,['121822']
稅捐稽徵處牌照稅徵稽下期滯納期滿,['121846']
稅捐稽徵處電話問卷調查報告,"['121688', '121847', '121848', '121849', '121850', '121851']"
稅捐統計年報,"['121719', '121720', '121721', '121722', '121723', '121724', '121725', '121726', '121727', '121883', '121944', '121946', '122015']"
空品淨化區資訊,['121608']
空氣中總懸浮微粒及落塵量檢驗結果統計,['121447']
空氣品質即時污染指標,['129071']
空氣品質監測站基本資料,['129114']
