1999為民服務專線派工資料,['109276']
國民年金服務據點,['130245']
圓夢貸款統計,['109361']
土地增值稅稅式支出,['129000']
土地增值稅稅源統計表,"['45458', '76059', '99579', '118207']"
在建工程資料,['109306']
地價稅稅式支出,['128998']
地價稅稅源統計表,"['77997', '77998']"
地價稅開徵概況,"['71594', '73627', '85167', '85169']"
地政士開業資料,['109246']
地政服務機關,['42439']
地方文化館,['109309']
大型運動場館統計資料,['109335']
失智症服務及資源提供單位,['111921']
失智症老人團體家屋服務,['130240']
契稅查定季報表,"['71585', '71586', '71587', '75619', '90760', '90761', '94587', '97378', '100769']"
娛樂稅稅式支出,"['129010', '129011']"
婦女福利服務中心,['111874']
學校基本資料,['109363']
家庭暴力及性侵害防治中心,['111876']
家庭照顧者支持服務,['130250']
家暴歷年案件數,['109356']
實(食)物銀行,['111882']
寵物登記站,['42457']
寶山鄉公告土地現值及公告地價,['114002']
寶山鄉公告土地現值及及公告地價,['109261']
小規模多機能服務,['130283']
尖石鄉公告土地現值及公告地價,['113994']
尖石鄉公告土地現值及及公告地價,['109249']
就業服務據點,['111919']
居家復健提供單位,['111916']
居家托育服務單位,['111884']
居家護理所,['109284']
屠宰場名冊,['109743']
峨眉鄉公告土地現值及公告地價,['114004']
峨眉鄉公告土地現值及及公告地價,['109255']
工廠產業類別及行政區域家數,['42435']
工廠登記家數異動表,['109357']
已登記寺廟一覽表,['109237']
已登記祭祀公業法人登記一覽表,['109239']
已登記財團法人教會名冊一覽表,['109238']
市地重劃公辦,['109373']
市地重劃自辦,['109374']
年民眾繳稅管道利用情形,['71576']
庇護商品館,['109384']
彙整兒童及少年收出養媒合服務單位,['111974']
彙整桃竹苗地區精神復健機構,['112013']
彙整職訓開班名冊,['130253']
復康巴士交通服務,['109354']
徵才資訊,['109388']
心智障礙雙老家庭支持整合服務,['130242']
志願服務推廣中心/志願服務協會,['111976']
急救責任醫院,['109285']
急難救助提供單位,['111909']
愛心廚房列冊,['112002']
愛心待用店,['111917']
慈善基金會,['109326']
成年心智障礙者及重度以上肢體障礙者社區居住與生活服務,['130255']
房屋地段等級標準表,['71657']
房屋折舊率及耐用年數表,['71584']
房屋標準單價表(以前適用),['71582']
房屋標準單價表(至30日適用),"['71655', '71656']"
房屋稅徵收率,['71583']
房屋稅徵績,['104053']
房屋稅查定統計表,"['71581', '74876', '74877', '85112', '104052']"
房屋稅稅式支出,['129034']
房屋稅開徵概況,"['71595', '73628', '85168', '85170']"
托育人員專業訓練課程,['109323']
抽驗年節食品檢驗結果,['124425']
政府職訓開班一覽表,['109386']
政府資訊閱覽抄錄複製收費標準,['109279']
文化局活動資訊,['109308']
文化局表演活動,['109353']
文化藝術財團法人基本資訊,['99290']
新住民家庭服務中心,['109322']
新埔鎮公告土地現值及公告地價,['114005']
新埔鎮公告土地現值及及公告地價,['109257']
新豐鄉公告土地現值及公告地價,['114006']
新豐鄉公告土地現值及及公告地價,['109258']
施工資訊,['109302']
旅遊服務中心聯絡資訊,['71538']
日據時期中華民國年號對照表,['42438']
日間照顧中心,['111875']
早期療育服務個案管理中心,['111866']
早期療育服務通報轉介中心,['111864']
景點資料,['109314']
暨所屬機關可供租借公有場地資料,['71541']
最新債務訊息專區-債務改善期程表,['109947']
最新債務訊息專區-各月份債務改善進度表,['109950']
最新債務訊息專區-向非營業特種基金或專戶資金調度情形表,['109946']
最新債務訊息專區-最新債務訊息,['42437']
最近地價稅稅源統計表,['99564']
最近契稅綜合統計表,['95849']
最近房屋稅綜合統計表,['45058']
有機農場,['109377']
有線電視系統人手孔,['109278']
未徵數情形,"['77028', '98364']"
未立案短期補習班名冊,['42446']
村里集會所-公開資訊,['109244']
核定公教人員退休人數,['107813']
機關通訊錄,['109277']
橫山鄉公告土地現值及公告地價,['114009']
橫山鄉公告土地現值及及公告地價,['109259']
歲入決算數,['109236']
歲出決算數-按分,['42448']
殯葬禮儀服務業名冊,['109245']
母乳支持團體,['111970']
毒品危害防治中心,['130249']
民眾繳稅管道利用情形,"['71575', '74150', '74151', '87037', '97193']"
河川水質監測報告,['109389']
法律諮詢案件統計,['109215']
流感疫苗接種合約醫療院所名單,['109281']
流感疫苗接種合約院所,['111998']
海域水質表,['109301']
消防安全檢查重大不合格場所,['105002']
消防局執行水域救援案件統計,['42461']
消防栓清冊,['109269']
消防緊急救護服務,['109265']
測量案件統計表,['109364']
湖口鄉公告土地現值及公告地價,['114007']
湖口鄉公告土地現值及及公告地價,['109256']
溫室氣體排放統計,['109292']
滅火器藥劑更換及充填合格廠商清冊,['109266']
演藝團體,['109312']
災害應變中心,['130246']
無障礙廁所,['111914']
無障礙計程車,['112006']
營業衛生水質檢驗,['109282']
牌照稅稅源年報,['109382']
牌照稅稅源統計表,['123136']
牙醫診所名冊,['109290']
特定寵物業業者名冊,['109262']
特殊教育學校/服務提供單位,['111913']
狹小巷弄列管清冊,['109267']
獸醫診療機構名冊,['109742']
環保旅店名冊,['109298']
環境教育設施場所名冊,['109299']
環境音量監測不合格時段數,['109296']
產後護理之家名冊,['42433']
產業及社福外籍勞工人數,['109270']
申請聘僱外國人從事家庭看護工作之專業評估被看護者醫療機構,['111995']
疏散避難圖,['109268']
病媒防治業名單,['109297']
社區互助教保服務中心/部落互助教保服務中心,['111975']
社區公共托育家園,['130252']
社區大學名冊,['112010']
社區心理衛生中心,['130285']
社區活動中心,['111885']
社區照顧關懷據點名冊,['109319']
社區發展協會名冊,['109324']
社會福利服務中心,['111878']
稅務局上半年他機關代發本轄作業統計,['113277']
稅務局上半年代發他縣市稅捐機關作業統計,['113276']
稅務局上半年全功能服務櫃台服務件數統計表,['113281']
稅務局下半年他機關代發本轄作業統計,['117954']
稅務局下半年代發他縣市稅捐機關作業統計,['117955']
稅務局下半年全功能服務櫃台服務件數統計表,['117953']
稅務局主管人員性別統計表,"['117279', '128049']"
稅務局契稅稅式支出,['129049']
稅務局委員會性別比例一覽表,"['116045', '128048']"
稅務局牌照稅稅式支出,['128886']
稅務局編制內職員性別統計表,"['117278', '128050']"
稅務局職員(含聘僱)學歷性別統計表,"['117281', '128056']"
稅務局職員(含聘僱)年齡性別統計表,"['117280', '128051']"
稅捐稽徵局上半年他機關代發本轄作業統計,"['71580', '90230']"
稅捐稽徵局上半年代發他縣市稅捐機關作業統計,"['71579', '90228']"
稅捐稽徵局下半年他機關代發本轄作業統計,"['90229', '97030']"
稅捐稽徵局下半年代發他縣市稅捐機關作業統計,"['90227', '97029']"
稅捐稽徵局下半年全功能服務櫃台服務件數統計表,['97028']
稅捐稽徵局主管人員性別統計表,"['90762', '94768', '100176']"
稅捐稽徵局代發他縣市稅捐機關作業統計,"['73521', '73525', '73526', '73629']"
稅捐稽徵局全功能服務櫃台服務件數統計表,"['71578', '73522', '73523', '73524', '90226']"
稅捐稽徵局委員會性別比例一覽表,"['45298', '94767', '100177']"
稅捐稽徵局服務據點,['109272']
稅捐稽徵局編制內職員性別統計表,"['45296', '94765', '100178']"
稅捐稽徵局職員(含聘僱)學歷性別統計表,"['45299', '94762', '100180']"
稅捐稽徵局職員(含聘僱)年齡性別統計表,"['45300', '94763', '100179']"
稅捐稽徵局辦理國家賠償事件處理情形統計表,"['109216', '109220', '109221', '109222', '109223', '109224', '109230', '109234']"
稅捐稽徵局辦理行政救濟件數統計表,"['109217', '109218', '109219', '109225', '109226', '109227', '109228', '109229', '109231', '109233', '109235']"
空氣中懸浮微粒及落塵量檢驗結果,['109300']
立國民中小學特殊教育班開班學校及班型名冊,['109212']
立案工會名冊,['109385']
立案托嬰中心,['109321']
立案短期補習班,['42445']
竹北市公告土地現值及公告地價,['113991']
竹北市公告土地現值及及公告地價,"['109251', '109380']"
竹東鎮公告土地現值及公告地價,"['113995', '113996']"
竹東鎮公告土地現值及及公告地價,"['109252', '109253']"
精神復健機構暨精神護理機構,['109287']
累進起點地價及地價稅率級距表,['99394']
縣政榮耀,['109273']
縣統籌分配稅款累計分配表,['109852']
縣統籌分配稅款累計表,"['42454', '42458', '42459', '42460', '42462', '42463', '42465', '42466', '42469', '42475', '42476', '42479', '42480', '42767', '42773', '43560', '44615', '44960', '45752', '46671', '49608', '71530', '71534', '71544', '71597', '72283', '75153', '76972', '77996', '79275', '80788', '85968', '88801', '95026', '99104', '99105', '99811', '102107', '103375', '109850', '109851', '111124', '111125', '111126', '111127', '112504']"
美食資料,['109316']
老人文康、福利服務中心,['111872']
老人福利機構名冊,['109317']
臨時暨短期照顧服務提供單位,['111979']
芎林鄉公告土地現值及公告地價,['114003']
芎林鄉公告土地現值及及公告地價,['109254']
藥癮戒治機構,['130241']
街頭藝人展演資訊,['109311']
西醫診所名冊,['42432']
視覺障礙者生活重建服務單位,['111977']
視障按摩點,['111971']
觀光工廠,['109334']
觀光遊憩區遊客人次,['109315']
訴願業務處理事項件數統計,['109214']
謢理之家,['130076']
警察局110報案統計表,['109338']
警察局交通事故事件統計表,['109350']
警察局人員統計表,['109349']
警察局保全資料,['109337']
警察局刑事案件統計表,['109346']
警察局單位一覽表,['109345']
警察局固定測速地點表,['109336']
警察局拒馬蛇籠統計表,['109348']
警察局查獲違反智慧財產權成果表,['109339']
警察局機車竊盜統計表,['109344']
警察局汽車竊盜發生統計表,['109342']
警察局自行車竊盜統計表,['109343']
警察局轄內當舖統計表,['109347']
警察局防空避難設備統計表,['109340']
護理之家,['112355']
財產量值表,['42447']
路外停車場,['109313']
身心科診所,['109289']
身心障礙住宿機構,['111867']
身心障礙團體,['111987']
身心障礙庇護工場,['111986']
身心障礙托育養護服務提供單位,['111908']
身心障礙日間服務機構,['111869']
身心障礙福利服務中心,['111868']
身心障礙者家庭托顧服務,['130251']
身心障礙者牙醫醫療院所,['111985']
身心障礙者生涯轉銜服務提供單位,['111984']
身心障礙者社區日間作業設施,['111978']
身心障礙者自立生活支持服務,['129908']
身心障礙鑑定醫院名冊,['109381']
身心障礙餐飲服務提供單位,['111886']
身障就業資源地圖,['109383']
輔具服務單位,['111873']
轄內橋梁基本資料,['109305']
逐案簽證開放資料,['109307']
通過餐飲衛生管理分級評核制度名單,['109286']
遊民轉導與服務據點名冊,['111993']
道路挖掘資訊,['109303']
違反勞動基準法事業單位名單,"['109271', '121044']"
避難處所一覽表,['109355']
都市計畫地區面積及人口,['109333']
鄉鎮市公所資訊,['85789']
鄉鎮市區衛生所,['112009']
鄉鎮市調解件數統計,"['46530', '94886', '94887', '94888', '119698', '119702', '122483']"
醫療及醫事機構,['42434']
金融機構地址電話一覽表,['128891']
長期照顧家庭托顧服務單位,['111992']
長期照顧服務提供單位清單,['109899']
長期照顧管理中心,['111920']
長照失能者營養餐飲服務,['109328']
長照居家式喘息服務,['130247']
長照居家服務,['130254']
長照日間照顧服務,['130286']
長照機構名冊,['109325']
長青學苑名冊,['111996']
長青學苑開課相關資訊,['109318']
關西鎮公告土地現值及公告地價,['114008']
關西鎮公告土地現值及及公告地價,['109260']
集中篩派案中心,['130244']
雙語詞彙,['109280']
電動公車運營路線號及運行車輛數與廠牌資料,['97083']
電動機車充電站,['109291']
食品專案抽驗彙整表,['109367']
高風險家庭關懷輔導處遇服務提供單位,['111879']
