2手輔具資源提供單位,['107895']
噪音移動式監測站,['30935']
國中小上網環境資料,['46645']
國中小網路頻寬統計,['46646']
國小兒童課後照顧服務班(依年級區分),['47508']
土地交易案件地段別統計,['95569']
土地及建物登記管理,['28325']
土地增值稅稅源統計表,['30944']
土地建物登記管理,"['55767', '95230']"
土地登記印鑑設置及使用情形統計,"['28362', '55771', '95258']"
土地筆數面積公告土地現值,"['56324', '95511']"
土地筆數面積公告土地現值統計,['28510']
土地筆數面積公告地價,"['56325', '95510']"
土地筆數面積地價統計,"['56603', '95556']"
地價稅查定數(各公所),['31027']
地價稅稅源統計分析表,['31026']
地價稅適用稅率,['52669']
地政士開業及異動,['28365']
地方政府地政人員人數異動,['56229']
地方稅務局人民申請案件期限表,['64020']
地方稅務局代發他縣市稅捐機關作業統計表,['62939']
地方稅務局保有及管理個人資料之項目彙整表,['51885']
地方稅務局債權憑證移送執行徵起統計表,['63049']
地方稅務局各稅欠稅概況,['63050']
地方稅務局提起行政救濟件數統計表,['63530']
地方稅務局欠稅(含違章罰鍰)移送執行徵起績效表,['63048']
地方稅務局欠稅(含違章罰鍰)移送執行表,['63047']
地方稅務局清理舊欠績效表,['63044']
地方稅務局滿意度一覽表,['64030']
地方稅務局視訊合作單位資料,['62997']
地方稅務局視訊服務統計表,['62998']
地方稅務局資訊位置表,['64024']
地方稅務局跨機關單1窗口服務績效表,['64027']
地方稅務局違章案件處理情形統計表,['51888']
地籍清理成果,['56255']
地籍清理成果表,['95263']
執行定額進用身心障礙者概況表,['29249']
外國人地權登記管理,"['28360', '56231', '95260']"
外籍配偶家庭中心,['128559']
大客車及貨車使用牌照稅稅額表,['62992']
大專院校及高中職專區,['128556']
大腸癌確認診斷及治療醫療院所,['31044']
失智症服務及資源提供單位(衛生局),['95223']
契稅查定季報表,['30947']
娛樂稅稅源月報表,['31041']
婦女學苑,['95217']
婦女福利服務,['27903']
婦女福利服務中心,['95184']
婦女與性別議題資源中心-夢想館,['107986']
婦幼警察隊,['128560']
學生輔導諮詢中心,['128557']
安全衛生教育訓練單位,['128544']
完全以電能為動力之電動小客車使用牌照稅稅額表,['62994']
完全以電能為動力之電動機車使用牌照稅稅額表,['62995']
宗教團體興辦公益慈善及社會教化事業概況,['31054']
宗教財團法人概況,['31058']
家庭托顧服務,['128536']
家庭教育中心,['128553']
家庭暴力及性侵害防治中心,['95187']
家庭社會福利服務中心,['95185']
家庭福利服務,['27904']
實(食)物銀行,['95196']
實施平均地權重新規定地價申報地價情形,"['56322', '95508']"
實施耕地375減租後佃農購買耕地面積及戶數,['28487']
實施耕地375減租成果增減原因,['28446']
寺廟登記概況,['31057']
小客車使用牌照稅稅額表,['62991']
就業服務據點,['95216']
居家復健提供單位(衛生局),['95221']
居家托育服務單位,['95205']
居家護理所,['30896']
居家護理機構(衛生局),['95220']
工商自由職業團體,['107984']
工廠登記家數異動,['27952']
工會名冊,['56922']
工業專區,['128561']
已登記公私有土地筆數面積,"['28410', '55213']"
已登記土地筆數面積,['95259']
已辦理完成公辦市地重劃地區成果,['28749']
巷弄長照站,['128546']
市公園資料,['30899']
年度及各區藥局藥商統計,['30618']
庇護性就業,['128549']
建築師開業家數及人數,['75793']
弱勢家庭子女社區照顧服務,['128541']
從事社會福利工作人員數,['42758']
復康巴士服務單位,['107929']
徵解地政規費,['55774']
心理治療(諮商)所,['128543']
心理治療(諮詢)所一覽表,['30499']
志願服務推廣中心/志願服務協會,['107926']
急救責任醫院,['30498']
急難救助提供單位,['95195']
急難救助概況,['75123']
性別平等友善商家,['107998']
愛心待用店,['108015']
愛滋病匿名篩檢諮詢服務機構名冊,['30558']
慈善團體,['95197']
成年心智障礙者社區居住與獨立生活服務,['128532']
成年心智障礙者社區居住與獨立生活服務單位,['107990']
我國現行常規疫苗接種時程,['30594']
戶外無菸休憩空間-公園綠地,['30886']
戶政事務所,['128562']
房地交易課稅情形季報表,['51810']
房屋地段等級表,['62915']
房屋地段等級表附表,['62917']
房屋標準單價表,['62893']
房屋用途分類表,['62910']
房屋用途相近歸類表,['62912']
房屋稅徵績統計表,['63574']
房屋稅查定統計表,['30952']
房屋稅籍統計表,['63488']
房屋耐用年數及折舊率標準表,['62914']
所轄鄉鎮市公所公共債務情形,['79945']
所轄面積暨鄉(鎮、市)村(里)鄰數,['27846']
托育資源中心,['128539']
指定藥癮戒治機構,['30508']
指定藥癮戒治機構名單,['128535']
推展家庭暴力防治業務,['28002']
推展性侵害防治業務,['28001']
推行社區發展工作概況一覽表,['27887']
"政府因應印鑑證明停發,民眾申辦土地登記案件各項替代措施統計",['56227']
政府因應印鑑證明停發_民眾申辦土地登記案件各項替代措施統計表,['95264']
政府辦理行政罰鍰執行統計表,['56224']
政風處維護工作績效統計,['29103']
政風處預防科工作績效統計,['29102']
教保服務機構名冊,['97693']
教會(堂)概況,['31059']
文化局出版品清冊,['31053']
新住民子女發展遲緩兒童早期療育服務概況,['27987']
新住民家庭服務中心,['95182']
新住民社區服務據點,['128528']
新生兒聽力篩檢補助服務及確診醫療院所名單,['30596']
早期療育服務個案管理中心,['95200']
早期療育服務通報轉介中心,['95201']
暨所屬各機關公務人員獎懲人次,['28021']
暨所屬各機關公務人員退休人數,"['28024', '28026']"
曾(易)發生溺水事故地點,['80153']
未辦繼承登記土地建物列冊管理,"['28529', '55776', '95261']"
村里辦公室,['107921']
機車使用牌照稅稅額表,['62993']
機車排氣檢驗站一覽表,['32694']
正辦理中自辦市地重劃區籌備會統計表,['28700']
正辦理中自辦市地重劃地區統計表,['28750']
歲入來源別預算總表,['27836']
歲入歲出性質及餘絀簡明比較分析表,['27839']
歲入歲出簡明比較分析表,['27842']
歲出預算總表,"['27843', '27845']"
歷年地價稅累進起點地價,['63379']
段籍資料屬性表,['94761']
母嬰親善醫療院所,['30882']
民意信箱及1999資訊,['46529']
水域救援統計資料,"['41331', '102213']"
污水下水道已建設管線長度及設施,['28916']
污水下水道建設投入經費,['28921']
污水下水道系統執行概況,['28920']
污水下水道系統營運管理費用及收入,['28919']
污水處理廠統計,['28915']
河川水質監測資料,['33621']
法律扶助諮詢服務統計表,['27692']
流感抗病毒藥劑合約醫療機構名冊(1090401更新252),['113766']
流感疫苗接種合約醫療院所名冊,['55093']
消防局火災人員死傷財損統計資料,['55006']
消防局緊急救護到院前心肺功能停止傷病患救護案件統計,"['27463', '101789', '127328']"
消防局緊急救護急救服務統計資料,['54981']
消防局起火建築物統計資料,['54962']
清理流水編之登記名義人成果統計,['56283']
清理流水編之登記名義人成果統計表,['95265']
測量案件,"['56247', '95017']"
測量案件統計表,['88835']
游泳池資料,['30902']
火災案件起火原因統計,"['27461', '127360']"
火災次數分類及時間統計,"['27462', '101840', '127358']"
無障礙廁所,['110999']
特殊境遇家庭服務,['27896']
特殊境遇家庭概況,['27898']
特殊境遇家庭符合款項,['27900']
特殊教育學校,['95218']
特殊教育資源中心,['128551']
獨居老人數及服務概況,['28017']
獨居老人服務單位,['95214']
現住人口之婚姻狀況,['27616']
現住人口之年齡結構,['27615']
現住原住民戶口數,['27618']
現住戶數、人口密度及性比例,['27609']
球場資料,['30894']
產後護理之家,['128547']
產後護理機構,['30898']
登記有案宗教團體相關資料,['28003']
登記有案宗教團體統計報表,['28007']
發展遲緩兒童早期療育服務概況表,['27988']
社區互助教保服務中心/部落互助教保服務中心,['107925']
社區大學,['128542']
社區式日間照顧服務,['128531']
社區整合式篩檢日程表,['30598']
社區民間資源,['128548']
社區活動中心,['95194']
社區照顧關懷據點,['95192']
社區發展協會,['107897']
社區閱讀中心,['128550']
社會工作員工作成果,['28011']
社會工作專職人員數,['27999']
社會福利團體免稅車輛數及稅額統計表,['51905']
社會處推展志願服務概況,['27941']
祥和志工隊聯繫,['128533']
祥和計畫志工隊,['107942']
稅務行事曆,['64046']
空氣品質人工監測結果,['27672']
空氣品質自動監測結果,['27674']
立案人民團體,['107985']
立案演藝團體_1其他類,['32233']
立案演藝團體_2音樂類,['32234']
立案演藝團體_3掌中戲類,['32235']
立案演藝團體_4歌仔戲類,['32236']
立案演藝團體_5舞蹈類,['32237']
立案演藝團體_6戲劇類,['32238']
精神復健及精神護理機構,['128554']
精神復健機構暨精神護理機構,['30524']
精神社區復健機構資源概況表,['30538']
精神護理之家,['30521']
精神醫療資源概況表,['30536']
統籌分配稅款收入情形表,['29070']
縣管區域排水一覽表,['41415']
縣籍作家名冊,['31052']
總決算審定後收支簡明比較分析表,['27781']
總決算平衡表,['27782']
總決算歲入歲出決算審定數簡明比較表,['27775']
老人文康、福利服務中心,['95189']
老人福利機構(衛生局),['95190']
老人長期照顧、安養機構概況,['28012']
老人餐飲服務提供單位(衛生局),['95191']
育兒親子館,['128540']
腸病毒重症醫療網,['30557']
臨時暨短期照顧服務提供單位,['107931']
自動體外心臟電擊器(AED)資源統計,['30510']
自立生活支持服務中心,['128537']
自行研究報告,['27527']
自行車道資料,['30893']
草食動物防疫調查統計,['28662']
街友關懷據點,['108000']
衛生局指定本縣醫療機構開設身心障礙牙科服務門診,['30519']
補助65歲以上老人裝置全口假牙契約診所名冊,['31787']
視覺障礙者生活重建服務單位,['107928']
視障按摩點,['107918']
訴願、再審案件收辦統計表,['27694']
警察局固定桿式自動取締違規照相設置地點一覽表,['27969']
警察局所屬各辦公處所核心及一般設施配置表,['27481']
護理之家,['107876']
財產申報人數及抽籤比例統計表,['29062']
路口號誌經緯度資料,['37695']
路燈調查資料,['102347']
身心障礙住宿機構,['95211']
身心障礙免稅車輛數及稅額統計表-供無駕駛執照之身心障礙者使用之車輛,['51906']
身心障礙免稅車輛數及稅額統計表-供領有駕駛執照之身心障礙者使用之車輛,['51907']
身心障礙團體,['107935']
身心障礙庇護工場,['111049']
身心障礙托育養護服務提供單位,['95210']
身心障礙日間服務機構,['95209']
身心障礙福利服務中心,['95212']
身心障礙者家庭托顧服務單位,['107987']
身心障礙者手語翻譯服務提供單位,['107988']
身心障礙者支援性就業,['128552']
身心障礙者牙醫醫療院所,['107933']
身心障礙者生涯轉銜服務提供單位,['107932']
身心障礙者社區日間作業設施,['107930']
身心障礙者社區樂活補給站,['108014']
身心障礙鑑定醫院,['95224']
身心障礙餐飲服務提供單位,['95213']
身障-日間照顧中心,['95225']
身障人數,['27971']
身障居家服務成果,['27886']
身障支持服務成果,['27977']
身障日間及住宿式照顧補助,['27976']
身障生活補助,['27759']
身障福利機構概況,['27975']
輔具服務單位,['95193']
辦理國家賠償事件處理情形統計表,['30888']
辦理弱勢家庭子女社區照顧服務單位,['111050']
辦理老人福利服務成果,['28015']
辦結國家賠償事件收結情形表,['27695']
農路改善及維護工程,['27825']
近年度地方稅實徵淨額,"['62871', '62872', '62874', '62875', '62877', '62878', '62880']"
通過餐飲衛生分級評核名單,['30914']
遊民安置簽約機構,['108001']
遊民處理情形,['27955']
運動公園資料,['30895']
違反兒童及少年福利與權益保障法執行概況,['88827']
違反性別工作平等法,['29234']
避難收容位置及收容人數,['95181']
避難收容所清冊,['95180']
都市計畫公共設施保留地(未徵收部份)公告土地現值調整情形與公告土地現值比較分析,"['56333', '95517']"
都市計畫公園清單,['127004']
鄉鎮市區公所,['107922']
醫事人員執業人數,['30494']
醫療機構家數,['30497']
醫院病床數,['30496']
重新規定地價土地公告地價面積筆數地價統計,"['56340', '95526']"
重新規定地價土地戶數統計,"['56339', '95525']"
銀采瑞智友善認證單位,['95215']
長期照顧中心(衛生局),['95219']
長期照顧十年計畫,['28013']
長期照顧管理中心,['107875']
長青大學,['107995']
長青學苑,['128534']
長青福利科-日間照顧中心,['95188']
陽光法案科工作績效統計,['29104']
雨水下水道系統規劃及建設概況,['28922']
青少年休閒活動場所,['107996']
非都市土地使用分區筆數面積公告土地現值統計,"['56341', '95527']"
非都市土地使用分區筆數面積公告地價統計,"['56344', '95528']"
非都市土地使用分區與編定筆數面積,['56248']
非都市土地使用分區與編定筆數面積(區數),['56251']
非都市土地使用分區與編定筆數面積表3,['96575']
非都市土地使用分區與編訂筆數面積,['95019']
非都市土地使用分區與編訂筆數面積(區數),['95020']
非都市土地使用變更編定筆數面積,['56253']
非都市土地使用變更編訂筆數面積,['95022']
非都市土地變更編定筆數及面積表5,['96574']
非都市土地變更編定筆數及面積表6,['96572']
非都市土地變更編定筆數面積,['56252']
非都市土地變更編訂筆數面積,['95021']
飲用水水質,['33622']
養禽場防疫調查統計,['29816']
養豬場防疫調查統計,['29815']
餐盒食品工廠名單,['30915']
高風險家庭關懷輔導處遇服務提供單位,['95186']
高齡友善藥局,['107899']
