AED(自動體外心臟去顫器)設置地點,['52500']
書店地圖,['82835']
最新債務訊息,['23434']
本市房屋移轉男性與女性與法人年報,['52398']
東區中低收入戶人數統計表,['126557']
東區低收入戶人數統計表,['126559']
東區各里人口數統計,"['52536', '52537', '97620', '107429', '118310']"
東區各里低收入戶、中低收入戶、獨居老人人數統計表,"['52377', '86689', '104605']"
東區日治時期住所番地與現行行政區域對照表,['52572']
東區獨居老人人數統計表,['126556']
東區里長名冊,['52560']
東區門牌整編對照表,['52538']
模範母親名冊及事蹟,['52396']
模範父親名冊及事蹟,['52400']
橋梁資訊,['52470']
機關名稱中英文對照表,['52296']
歲入來源別預算總表,['52496']
歷屆十大伴手禮店家,['52331']
歷年「舊屋力」計畫店家名單,['52433']
歷年交通事故案件統計,['112799']
歷年住宅補貼辦理情形,['52351']
歷年國中小學生數統計,['52487']
歷年土地增值稅稅源統計分析表,['118165']
歷年土地徵收案件表,['78828']
歷年地方稅全功能服務作業系統辦理統計表,['52405']
歷年地方稅各項稅收概況表,['116000']
歷年地方稅案件提起行政救濟件數,['52407']
歷年建築園冶獎得獎名單,['52443']
歷年暴力犯罪案類一覽表,['52452']
歷年本市多元化繳稅方式統計,['97972']
歷年查獲賭博案件一覽表,['52457']
歷年模範公務人員名單,['52298']
歷年溺水案件,['52338']
歷年火災案件資料,['112798']
歷年竊盜案件發生地點資訊,['52545']
歷年緊急救護案件數統計,['96127']
歷年肥料檢驗不合格業者名單,['52440']
歷年詐欺案件發生一覽表,['52459']
歷年農藥檢測不合格業者名單,['52423']
歷年農藥殘留檢測不合格業者名單,['52422']
歷年退稅方式統計表,['75814']
歷年違反勞動基準法業者名單公告,['52330']
歷年駐市作家名單與出版品,['52554']
殯葬禮儀服務業許可名冊,['52373']
殯葬管理所每月冰存使用資料,['52489']
殯葬管理所每月化妝室使用資料,['52492']
殯葬管理所每月小靈位使用資料,['52490']
殯葬管理所每月火化使用資料,['52488']
殯葬管理所每月示範公墓使用資料,['52493']
殯葬管理所每月禮廳使用資料,['52494']
殯葬管理所每月納骨塔使用資料,['52491']
水情系統-水位監測站水位即時數據,['52584']
水情系統-水位監測站雨量即時數據,['52585']
水情系統-水情監視器即時影像,['52583']
水情系統-水情監視器地點,['52468']
河川水質監測統計,"['52417', '52478', '52499', '63387', '75810']"
流感疫苗暨肺炎鏈球菌疫苗接種合約醫療院所名冊,['130299']
流浪犬收容中心捕捉公告,['52294']
消費爭議協商調解案件統計表,['52381']
消防安全檢查重大不合格場所名單,['102690']
消防局各廳舍駐地通訊聯絡表,['52449']
液化石油氣廠商清冊,['52342']
清潔針具販售地點與自動販賣機,['52516']
游泳池水質檢驗結果清冊,['52519']
無障礙廁所,['95682']
燃氣熱水器承裝業及其技術士合格名單,['52346']
營業基金預算綜計表,['52384']
營造業名冊,['52474']
營養餐飲服務,['122774']
特殊教育學校,['52297']
珍貴樹木,['52337']
環保志工小隊,['75922']
環境及交通噪音監測統計,['52435']
環境用藥販賣業者名冊,['52526']
病媒防治業者名單清冊,['52525']
百大品牌名單,['106997']
相同性別結婚對數及終止結婚對數,['128679']
石猴雕塑地點,['52551']
社區整體照顧服務體系,['95733']
社區活動中心,['63236']
社區照顧關懷據點,['52404']
社區發展協會名冊,['52394']
社會救助項目,['109139']
社會福利慈善事業基金會名冊,['52461']
私立就業服務機構名單,['52356']
立案演藝團隊名單,['52556']
立案街頭藝人名單,['52557']
立美術館各類典藏品名單-書法類、墨彩類、西畫類、攝影類,['52552']
立體育場所轄場館,['52389']
管線挖掘資訊,['101558']
統計資料庫-人口年齡分配統計,['52410']
統計資料庫-人口成長統計,['52411']
統計資料庫-刑事案件統計,['52333']
統計資料庫-土地人口統計,['52409']
統計資料庫-婚姻概況統計,['52334']
統計資料庫-性別統計-權力、決策與影響力,['52495']
統計資料庫-竊盜案件統計,['52332']
統計資料庫-身心障礙人口數統計,['52451']
統計資料庫-道路交通事故統計,['52329']
經營生前殯葬服務契約立案業者,['52375']
綠色商店名單,['52522']
綠色旅館名單,['52415']
網站-徵才公告,['52320']
網站-新聞,['52319']
網站-活動消息,['52321']
網站-電子公告欄,['52322']
緊急救護責任醫院名單,['122661']
線上陳情系統-常見問題集查詢API,['129152']
線上陳情系統-案件查詢API,['54277']
總預算對民間團體補(捐)助經費明細表,['52364']
總預算歲出預算總表,"['52350', '52353']"
老人文康中心,['63100']
老人福利機構,['27399']
聯合里辦公處,['52304']
職業安全衛生訓練機構名單,['52426']
職業訓練機構名冊,['52369']
舊衣回收箱核准設置點,['52385']
花甲食堂提供單位,['54855']
菸酒進口業者名單,['52355']
藝文場域,['52546']
藥局名單,['52506']
藥癮戒治醫院名單,['52507']
街頭藝人表演場地,['52559']
衛生局及附屬單位地點,['52509']
衛生所,['63282']
衛生稽查評核優良餐飲業者名單,['52505']
西區各里人口數統計,"['52539', '52540', '79247', '103513', '117900']"
西區各里低收入戶、中低收入戶、獨居老人人數統計表,"['74918', '86687', '102006']"
西區戶政事務所日治時期住所番地與現行行政區域對照表,['52542']
西區里長名冊,['74932']
西區門牌整編對照表,['52541']
視障按摩者服務據點,['52366']
觀光旅遊網-住宿資訊,['90372']
觀光旅遊網-活動消息,['90370']
觀光旅遊網-特色旅遊景點,['52325']
觀光旅遊網-特色美食店家,['88320']
觀光旅遊網推薦遊程-林業廊道檜意尋幽(1日遊),['52463']
觀光旅遊網推薦遊程-桃城巡禮(1日遊),['52465']
觀光旅遊網推薦遊程-自然生態之旅(半日遊),['52462']
觀光旅遊網推薦遊程-追尋KANO棒球奮戰精神(1日遊),['52466']
觀光旅遊網推薦遊程-都市森林奇幻旅程之古蹟巡禮(2日遊),['52464']
計程車招呼站地點,['74927']
訴願案件統計表,['52382']
警察局、分局、派出所地點,['52543']
護理機構(含護理之家、產後護理之家、居家護理所),['52521']
財政稅務局歲入來源別決算表,['52390']
財政稅務局歲入單位預算表,['52392']
財政稅務局歲出單位預算表,['52393']
財政稅務局歲出決算表,['52391']
資源回收商名單,['52395']
資訊休閒業(網咖)店家名單,['52476']
路口監視器位置,['52460']
路燈清冊,['112998']
身心障礙人數(報表1),"['52480', '75809']"
身心障礙人數(報表2),['52481']
身心障礙人數(報表3),['52483']
身心障礙住宿機構,['63096']
身心障礙免稅車輛數統計表,['75812']
身心障礙日間服務機構,['63098']
身心障礙綜合園區-再耕園,['27402']
身心障礙者之年齡分配(報表1),['52484']
身心障礙者之年齡分配(報表2),['52482']
身心障礙者之年齡分配(報表3),['52486']
身心障礙者就業基金對民間團體補(捐)助經費明細表,['52361']
身心障礙者就業服務據點,['95765']
身心障礙者庇護工場,['52354']
身心障礙者復康巴士接送服務,['63230']
身心障礙者日間照顧及住宿式照顧補助,['95667']
身心障礙者社區日間作業設施服務單位,['53180']
身心障礙輔具服務單位,['63101']
身心障礙鑑定醫院,['95714']
身心障礙餐飲服務提供單位,['95737']
輔具評估人員,['122773']
轄區內畸零地清冊,['52414']
近持有本市房屋男性與女性比率,['52399']
逾期未辦繼承登記之土地建物清冊,['52344']
遊民收容位置及收容人數,['63455']
運動熱量標示地點,['52503']
違反性別平等法廠商名單(目前尚無裁罰紀錄),['52428']
避難收容處所及管理人資訊清冊,['52336']
醫院、診所名單,['52518']
里集會所,['63267']
長期照顧管理中心,['95725']
陳澄波畫架放置地點,['52555']
雨水下水道人手孔圖資,['52454']
雨水下水道管線圖資,['52453']
雲嘉嘉空氣盒子API,['52528']
電動2輪車充電站,['8129']
青少年福利服務中心,['119909']
高風險家庭關懷輔導處遇服務提供單位,['63204']
高齡友善藥局,['54319']
