(查(核)定開徵數情形,['120840']
各項稅收稽徵成本,"['110442', '120850', '129642', '129643']"
各類房屋耐用年數及折舊率標準表,['110552']
各類房屋耐用年數及折舊率標準表(起適用),['114858']
合作社,['110866']
員工特約商店,['110433']
員工福利服務措施專區,['110434']
哺集乳室名單,['110606']
商業登記資訊系統商業設立登記清冊,['110585']
喘息服務提供單位,['110765']
單親家庭服務提供單位,['110762']
國民年金服務據點,['110835']
土地增值稅徵收月報,"['114863', '114864', '114865', '114866', '114867', '114880', '114881', '114882', '114883', '114887', '114888', '114889', '120847', '120857', '120865', '129626', '129632', '129750', '130129', '130142']"
土石採取景觀維護特別稅實徵數比例分析表,"['114868', '114877', '114878', '129602', '129610', '129611', '129682']"
土石採取景觀維護特別稅徵績表,"['129646', '129647', '129648', '129649', '129650', '129651', '129652', '129653', '129654', '129656', '129657', '129658', '129659', '129660', '129661', '129662', '129663', '130131']"
地價稅稅源統計表,"['110579', '110580', '110581', '110582', '110583', '120843']"
地方稅務局使用牌照稅徵績(上期滯納期滿),['110697']
地方稅務局使用牌照稅徵績(上期結束),['110698']
地方稅務局使用牌照稅徵績(下期結束),['110505']
地方稅務局使用牌照稅徵績-上期結束,['110556']
地方稅務局使用牌照稅徵績-滯納期滿,['110557']
地方稅務局使用牌照稅徵績下期結束滯納期滿,['110510']
地方稅務局使用牌照稅稅源,"['110508', '110706', '120863', '120864']"
地方稅務局未徵數情形P2,"['129557', '129558', '129608', '129609']"
地方稅務局查(核)定開徵數情形,"['129556', '129607']"
地方稅務局檔案閱覽抄錄複製收費標準-檔案複製收費標準表,['110471']
地方稅務局滯納及違章罰鍰移送執行情形月報表,"['129559', '129560', '129568', '129569', '129571', '129572', '129573', '129574', '129575', '129576', '129578', '129581', '129582', '129588', '129589', '129596', '129597', '129598', '129599', '129600', '129601', '129603', '129604', '129605', '129606', '129612', '129613', '129614', '129615', '129619', '129620', '129624', '129625', '129627', '129628', '129633', '129634', '129748', '129749', '130098']"
地方稅務局滯納及違章罰鍰移送執行情形月報表-稅別,['110604']
地方稅務局違章漏稅案件處理及財務罰鍰執行情形,"['129561', '129562', '129563', '129564', '129584', '129586', '129587', '129616', '129617', '129618', '130164', '130165', '130166']"
地方稅多元繳稅管道比較表(截至),['110472']
多元繳稅方式件數統計表,['129554']
多元繳稅方式件數統計表(最新),['110602']
多元繳稅方式統計表,['114879']
失智共照據點,['110631']
失智症服務及資源提供單位,['110783']
契稅查定,"['110573', '110574', '129590', '129591', '129751', '129754', '129756']"
娛樂稅稅源,"['110517', '110518', '110519', '110520', '110521', '110522', '110523', '110524', '110525', '110526', '110527', '110528', '110529', '110530', '110531', '110532', '110533', '110534', '110535', '110536', '110537', '110538', '110539', '110540', '110561', '110562', '110563', '110564', '110565', '110566', '110567', '110568', '110569', '110570', '110571', '110572', '129567', '129684', '129685', '129686', '129687', '129688', '129689', '129690', '129691', '129692', '129693', '129694', '129695', '129696', '129699', '129700', '129701', '129702', '129703', '129704', '129705', '129706', '129707', '129708', '129709', '129710', '129712', '129713', '129714', '129715', '129716', '129717', '129719', '129720', '129721', '129723', '130132', '130133']"
婦女子宮頸抹片檢查醫事機構,['110684']
婦女福利服務中心,['110743']
孕婦乙型鏈球菌篩檢補助服務特約院所表,['110672']
守護家庭小衛星-培植家庭支持服務資源網絡計畫(服務據點),['111435']
定量免疫法糞便潛血檢查醫事機構,['110681']
家庭/社會福利服務中心,"['111416', '114861']"
家庭暴力及性侵害防治中心,['110746']
富里鄉人口統計資料,['110621']
富里鄉戶政管理及便民服務案件統計表,['110623']
富里鄉戶籍登記(註記)案件及核發證明文件月統表,['110622']
實(食)物銀行,['111418']
對民間團體補(捐)助經費明細表,['110598']
就業服務據點,['110779']
居家復健提供單位,['110773']
居家托育服務單位,['110751']
居家護理機構,['110776']
居家護理機構名冊,['110646']
居家護理機構評鑑成績總覽,['110647']
山地鄉結核病新案發生情形統計,['110635']
工商團體,['110858']
幼兒常規疫苗接種合約院所,['110643']
弱勢家庭兒童及少年社區照顧服務(服務據點),['111432']
復康巴士服務單位,['110805']
心理健康小站,['110639']
心理健康相關網站,['110641']
志願服務推廣中心/志願服務協會,['111430']
急難救助提供單位,['110760']
愛心待用店,['110775']
愛滋病匿名篩檢諮詢服務機構,['110658']
應回收廢棄物回收處理業者名冊,['110591']
成人預防保健與整合式健康篩檢醫事機構,['110688']
戒菸服務合約醫事機構名單,['110607']
戒菸服務機構,['110677']
房地交易課稅情形季報表,"['114884', '114885', '114886', '114890', '120866', '129636']"
房屋標準單價表,['116007']
房屋標準單價表(起適用),['116009']
房屋稅徵績-徵期結束,"['110544', '110558', '129570', '129580', '129638']"
房屋稅徵績-滯納期滿,"['110512', '114855', '114860', '129565', '129583', '129645']"
房屋稅查定,"['110516', '110550', '129566', '129577', '129637']"
房屋稅籍,"['110513', '110514', '110515', '129644']"
房屋稅綜合統計表,['114857']
抗病毒藥劑醫療院所名單,['110629']
拒毒標章商家名冊,['110682']
提供符合接觸者條件結核菌素測驗與免費服務單位,['110653']
政風機關(構)受理公職人員財產申報人數及抽籤比例統計表,['110437']
政風處暨所屬政風單位聯絡電話,['110435']
政風處檢舉管道,['110436']
救護車設置分布圖,['110650']
新住民家庭服務中心,['110750']
新住民未納保產前檢查醫療機構,['110691']
新住民社區服務據點,['110849']
新版國發會測試資料集,['109480']
新生兒聽力篩檢補助方案之特約醫療院所,['110690']
日間照顧中心,['110745']
早期療育服務個案管理中心,['110736']
早期療育服務通報轉介中心,['110723']
暨各鄉鎮公所役政單位聯絡一覽表,['110427']
暨相關機關名錄,['110592']
最近(102-106)房屋稅綜合統計表,['116006']
最近土地增值稅稅源,['110584']
最近土地增值稅稅源統計表,['114859']
最近契稅綜合統計表,['110605']
最近房屋稅綜合統計表,"['110545', '110555']"
有機農戶及種植面積,['110717']
未婚懷孕婦女安置(服務據點),['111436']
未徵數情形P2,"['110474', '110475', '120841', '120842']"
未成年懷孕處遇服務(服務據點),['111437']
村里辦公室,['110791']
東大門國際觀光夜市通過食品衛生優良評鑑名單,['110614']
查(核)定開徵數情形,['110473']
模範公務人員,['110430']
歷年人口統計表(最新),['110586']
歷次停班停課訊息一覽表,['110429']
母乳哺育支持團體,['110673']
母嬰親善醫療院所認證名單,['110674']
毒防中心,['110879']
法院交查兒童及少年監護權屬訪視調查(服務據點),['111434']
流感疫苗合約院所,['110610']
流感疫苗合約院所名單,['110428']
流感疫苗醫療院所名單,['110628']
消防局各大隊、分隊地址及聯絡電話,['110595']
消防局較常執行溺水事件救援地點清冊,['116004']
游泳池水質檢驗資料,['110654']
溫泉浴室水質檢驗資料,['110659']
滯納及違章罰鍰移送執行情形月報表,"['110476', '110477', '110482', '110483', '110484', '110485', '110486', '110487', '110488', '110489', '110490', '110491', '110492', '110493', '110497', '110498', '110499', '110500', '110501', '110502', '111204', '111205', '114872', '114873', '120838', '120839', '120848', '120849', '120855', '120856', '120861', '120862']"
潛伏結核感染與檢查指定醫院暨合作醫師門診時間,['110664']
潛伏結核感染與治療指定醫院暨合作醫師門診時間,['110663']
災害應變中心,['110827']
災害救助收容場所(最新),['110588']
無菸公告場域,['110686']
無障礙廁所,['110769']
牙科醫事機構,['110671']
特殊教育學校/服務提供單位,['111421']
珍貴老樹列表,['110707']
環保旅店名單,['110624']
產後護理機構名冊,['110651']
產後護理機構評鑑成績總覽,['110652']
發展遲緩兒童評估鑑定醫院,['110689']
眼科醫事機構,['110685']
礦石開採特別稅徵績表,"['129664', '129665', '129666', '129667', '129668', '129669', '129670', '129671', '129672', '129673', '129674', '129675', '129676', '129677', '129678', '129679', '129680', '129681']"
社區互助教保服務中心/部落互助教保服務中心,['111426']
社區活動中心,['110752']
社區照顧關懷據點,['110747']
社區發展協會,['110803']
社區藥局諮詢小站名單,['110683']
祥和志工隊,['110854']
福氣站,['110875']
精神復健機構清冊,['110660']
精神護理機構名冊,['110661']
精神護理機構評鑑成績總覽,['110662']
糖尿病共同照護網之醫療院所名單,['110609']
糖尿病共照網醫事機構,['110695']
糖尿病友支持團體,['110694']
結核病個案發生監測統計,['110655']
結核病死亡統計,['110644']
結核病治療成功率統計,['110648']
縣民服務升級申辦項目資訊,['110426']
總決算收支簡明比較分析表,['110418']
總決算歲入歲出性質及餘絀簡明分析表,['110417']
總決算歲入歲出簡明比較分析表,['110416']
總預算收支簡明比較分析表,['110407']
總預算歲入歲出性質及餘絀簡明分析表,['110406']
總預算歲入歲出簡明比較分析表,['110405']
總預算歲入來源別預算比較總表,['110408']
總預算歲入來源別預算總表,['110709']
總預算歲出預算比較總表,"['110410', '110716']"
總預算歲出預算總表,"['110409', '110411']"
老人保護預防性服務-獨居及中高風險老人個案關懷(服務據點),['111431']
老人文康/福利服務中心,['111415']
老人福利機構,['110742']
職訓中心,['110867']
臨時暨短期照顧服務提供單位,['110809']
自由職業團體,['110862']
航空噪音防制區,['110625']
花蓮友善寵物旅遊,['129740']
花蓮哺集乳室名單,['28403']
花蓮地政事務所不動產買賣案統計表,['110619']
花蓮地政事務所各鄉市買賣案統計表,['110620']
花蓮地政事務所土地公告現值及公告地價,['110627']
花蓮地政事務所轄區地段圖,['110618']
花蓮外國老闆特色店鋪,['129741']
花蓮家族旅遊,['130135']
花蓮藥癮替代治療醫院,['110668']
花蓮縣公立殯葬設施資訊,['110425']
血壓站資訊,['110608']
街頭藝人展演空間場地(含公共空間)相關規範彙整表,['110615']
衛生局健康管理中心-社區心理衛生免費專業心理諮詢服務,['110693']
衛生局檢驗科受理食品檢驗費用,['110665']
補助團體私人報表,['44237']
視覺障礙者生活重建服務單位,['110801']
視障按摩點,['110790']
診所分佈,['110656']
警察局單位執掌與聯繫表,['110597']
護理之家,['110786']
身心障礙住宿機構,['110737']
身心障礙團體,['110823']
身心障礙庇護工場,['110819']
身心障礙托育養護服務提供單位,['110757']
身心障礙日間服務機構,['110739']
身心障礙福利服務中心,['110738']
身心障礙者牙醫醫療院所,['111069']
身心障礙者生涯轉銜服務提供單位,['110816']
身心障礙者社區日間作業設施,['110808']
身心障礙者社區樂活補給站,['111449']
身心障礙鑑定醫院,['110771']
身心障礙餐飲服務提供單位,['110754']
較常發生溺水案件水域一覽表,['41602']
輔具服務單位,['110744']
辦理「縣長親民時間」日期一覽表,['110593']
辦理中低收入老人裝置假牙補助之健保特約醫事機構簽約名單,['130136']
通過食品衛生優良評鑑名單(GHP),['110613']
遊民收容所,['110840']
違章漏稅案件處理及財務罰鍰執行情形,"['110478', '110479', '110480', '110481', '110494', '110495', '110496']"
避難收容所位置及收容人數,['110749']
鄉鎮別結核病新案發生率,['110657']
鄉鎮市區公所,['110794']
酒癮治療服務醫院連絡窗口一覽,['110669']
酒製造業者資料,['110601']
醫事人員各鄉鎮分布人數,['110670']
醫療器材販賣商名冊,['110696']
醫院緊急醫療能力分級評定結果及合格效期,['110667']
醫院評鑑等級及效期一覽表,['110666']
長期照顧2.0服務特約單位名單,['110634']
長期照顧管理中心,['110780']
長者肺炎鏈球菌疫苗接種合約院所,['110649']
附屬單位決算損益綜計表,['110421']
附屬單位決算收支餘絀綜計表,['110419']
附屬單位決算特別收入基金來源、用途及餘絀綜計表,['110423']
附屬單位決算盈虧撥補綜計表,['110422']
附屬單位決算餘絀撥補綜計表,['110420']
附屬單位預算作業基金收支餘絀綜計表,['110414']
附屬單位預算營業基金損益綜計表,['110413']
附屬單位預算特別收入基金來源、用途及餘絀綜計表,['110415']
雙語辭彙對照表,['110594']
電梯設備工程費概算表,['110554']
預防及延緩失能據點,['110692']
餐飲服務提供單位,['110753']
高關懷兒童及少年輔導服務(服務據點),['111433']
高風險家庭關懷輔導處遇服務提供單位,['110748']
高齡友善藥局,['110789']
