企業關於反托拉斯之遵法行為守則,企業關於反托拉斯之遵法行為守則,10217,企業關於反托拉斯之遵法行為守則,企業關於反托拉斯之遵法行為守則,公平交易委員會
反托拉斯基金附屬單位預算(法定預算),公平交易委員會105年度反托拉斯基金附屬單位預算(法定預算),43343,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,公平交易委員會105年度反托拉斯基金附屬單位預算內有公務車輛明細;主要業務計畫分析;平衡表明細;用人費用明細;固定項目明細;員工人數彙計表;基金用途計畫;基金來源基金用途預算明細;現金流量明細;單位成本明細表;補辦預算明細,公平交易委員會
各年度單位預算決算書及反托拉斯基金決算書,公平交易委員會各年度單位預算決算書及反托拉斯基金決算書,20451,公平交易委員會各年度(103年度起~)決算報告(包含公平交易委員會公務及反托拉斯基金部分)內含pdf及xml壓縮檔案,年度;標題;下載位置;檔案更新日期,公平交易委員會
各月份之會計報告,公平交易委員會105年度各月份之會計報告,28242,公平交易委員會105年度各月份之會計報告(含公務及反托拉斯基金會計報告),名稱;下載位置;更新日期,公平交易委員會
各月份之會計報告,公平交易委員會106年度各月份之會計報告,43142,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集公平交易委員會106年度各月份之會計報告,公平交易委員會106年度各月份之會計報告,公平交易委員會
各月份之會計報告,公平交易委員會107年度各月份之會計報告,76406,本資料集提供公平交易委員會於107年度各月份會計報告（公務預算及基金預算部分）檔案分pdf以及xml壓縮檔案,名稱;下載位置;更新日期,公平交易委員會
各月份反托拉斯基金會計報告,公平交易委員會106年各月份反托拉斯基金會計報告,43143,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集，本資料集含106年各月份反托拉斯基金會計報告內含基金來源、用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表,106年各月份反托拉斯基金會計報告內含基金來源;用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表,公平交易委員會
各月份會計報告,公平交易委員會104年度各月份會計報告,20439,公平交易委員會104年度各月份之會計報告(內容為pdf及xml-zip檔案),名稱;下載位置;更新日期,公平交易委員會
各月份會計報告,公平交易委員會108年度各月份會計報告,99041,本資料集提供公平交易委員會於108年度各月份會計報告（公務預算及基金預算部分）檔案分pdf以及xml壓縮檔案,名稱;下載位置;更新日期,公平交易委員會
各月份會計報告,公平交易委員會109年度各月份會計報告,117534,本資料集提供公平交易委員會於109年度各月份會計報告（公務預算及基金預算部分）檔案分pdf以及xml壓縮檔案,名稱;下載位置;更新日期,公平交易委員會
員額按學歷與性別統計,公平交易委員會員額按學歷與性別統計,32428,公平交易委員會員額按學歷與性別統計(統計期間自民國101年度開始),年度;性別;博士;碩士;大學;專科;高中,公平交易委員會
員額按年齡與性別統計,公平交易委員會員額按年齡與性別統計,32429,公平交易委員會員額按年齡與性別統計(自民國102年起，以當年12月為基準之統計),年度;性別;24歲以下;25歲~29歲;30歲~34歲;35歲~39歲;40歲~44歲;45歲~49歲;50歲~54歲;55歲~59歲;60歲以上,公平交易委員會
員額按性別統計,公平交易委員會員額按性別統計,32402,公平交易委員會員額統計(自民國101年起男性、女性之統計),年度;性別;人數;統計截止日期,公平交易委員會
員額按職位與性別統計,公平交易委員會員額按職位與性別統計,32427,公平交易委員會員額按職位與性別統計(自民國101年起，以當年度12月為基準之統計),年度;性別;比照簡任13或14及特任;簡任;薦任;委任;約聘雇,公平交易委員會
單位預算(法定預算),106年度單位預算(法定預算),43968,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,106年度單位預算,公平交易委員會
外補職缺甄選性別統計,公平交易委員會外補職缺甄選性別統計,32432,公平交易委員會外補職缺甄選性別統計(自101年至今),年度;單位;出缺職務;應徵人數(女);應徵人數(男);錄取者性別,公平交易委員會
多層次傳銷-尚待補正名單,多層次傳銷-尚待補正名單,6128,多層次傳銷事業尚未備齊應報備資料，依多層次傳銷管理辦法第6條第1項規定視為未報備。,事業名稱;統一編號;主要營業所;聯絡電話;報備日期;備註,公平交易委員會
多層次傳銷-已完成報備名單,多層次傳銷-已完成報備名單,6127,已備齊多層次傳銷管理辦法第5條第1項規定應報備資料，依同辦法第9第1項規定列載報備多層次傳銷事業名單。,事業名稱;統一編號;資本額;核准設立日期;主要營業所;聯絡電話;報備日期;檔案連結;備註,公平交易委員會
多層次傳銷-已起訴或判決名單,多層次傳銷-已起訴或判決名單,6130,多層次傳銷事業經查已起訴或判決。,事業名稱;統一編號;主要營業所;聯絡電話;報備日期;備註,公平交易委員會
多層次傳銷-搬遷不明及無營業跡象名單,多層次傳銷-搬遷不明及無營業跡象名單,6129,多層次傳銷事業經查已搬遷不明或是無營業跡象。,事業名稱;統一編號;主要營業所;聯絡電話;報備日期;備註,公平交易委員會
多層次傳銷事業地區分布,多層次傳銷事業地區分布,93766,多層次傳銷事業地區分布(本資料集每季更新並提供截至該季止多層次傳銷事業之地區分布),地區別;家數,公平交易委員會
多層次傳銷事業報備家數統計,多層次傳銷事業報備家數統計,6131,多層次傳銷事業報備家數統計(每季統計),年季別;上年(季)底報備家數;本年(季)報備家數;本年(季)撤銷家數;本年(季)底報備家數,公平交易委員會
多層次傳銷事業成立時間,多層次傳銷事業成立時間,9104,截至102年底多層次傳銷事業成立時間統計,"類別,總計(家數),民國80年以前(家數),民國81至90年(家數),民國91年至95年(家數),民國101年以後(家數),民國80年以前,民國81年至90年,民國91年至100年,民國101年以後,",公平交易委員會
多層次傳銷事業業務檢查概況,公平交易委員會101年多層次傳銷事業業務檢查概況,6922,本資料集主要提供101年本會多層次傳銷業務檢查之對象除例行檢查之多層次傳銷事業外，亦包括部分經民眾反映或認為須進一步瞭解其營運狀況之多層次傳銷事業之統計表。,"年別,檢查家數,檢查結果-符合規定,檢查結果-不合規定立案調查,檢查結果-情節輕微去函警示,檢查結果-尚未營運,檢查結果-停業,檢查結果-遷移不明",公平交易委員會
多層次傳銷事業歷年女性傳銷商參與情形,多層次傳銷事業歷年女性傳銷商參與情形,32379,公平交易委員會歷年來多層次傳銷事業女性傳銷商之參與情形,年度;女性傳銷商比例,公平交易委員會
