1032里防災避難地圖,['124713']
公告土地現值,"['123173', '123174', '123175', '123176', '123177', '123178', '123179', '123180', '123181', '123182', '123183', '123184', '123185', '123186', '123187', '123188', '123189', '123190', '123191', '123192', '123193', '123194', '123195', '123196', '123197', '123198', '123199', '123200', '123201', '123202', '123328', '123496', '123503', '123513', '123537', '123547', '123557', '123575', '123577', '123615', '123659', '123679', '123684', '123727', '123749', '123785', '123806', '123812', '123849', '123891', '123900', '123920', '123965', '123983', '123984', '124004', '124023', '124110', '124163', '124238', '124265', '124273', '124297', '124332', '124342', '124354', '124395', '124421', '124450', '124467', '124482', '124483', '124540', '124592', '124624', '124627', '124654', '124682', '124706', '124715', '124717', '124720', '124735', '124780', '124781', '124795', '124797', '124824', '124839', '124843', '124844', '124876', '124894', '124906', '124911', '124919', '124920', '124931', '124934', '124966', '124977', '124991', '125029', '125031', '125032', '125044', '125092', '125102', '125110', '125125', '125129', '125171', '125188', '125197', '125200', '125219', '125262', '125290', '125294', '125305', '125310', '125315', '125327', '125356', '125398', '125433', '125468', '125469', '125485', '125494', '125607', '125625', '125650', '125653', '125668', '125678', '125679', '125685', '125697', '125705', '125710', '125722', '125880', '125889', '125899', '125904', '125910', '125937', '126058', '126073', '126188']"
公告土地現值及公告地價,"['123203', '123204', '123205', '123206', '123207', '123208', '123209', '123210', '123211', '123212', '123213', '123214', '123215', '123216', '123217', '123218', '123219', '123220', '123221', '123222', '123223', '123224', '123225', '123226', '123227', '123228', '123229', '123230', '123231', '123232', '123348', '123418', '123419', '123426', '123437', '123456', '123489', '123604', '123618', '123631', '123671', '123696', '123729', '123747', '123767', '123888', '123893', '124018', '124045', '124078', '124151', '124260', '124264', '124312', '124349', '124396', '124433', '124481', '124530', '124560', '124600', '124612', '124623', '124633', '124640', '124642', '124727', '124799', '124877', '124893', '124918', '125005', '125063', '125131', '125134', '125234', '125291', '125312', '125442', '125450', '125493', '125526', '125566', '125610', '125614', '125666', '125687', '125823', '125885', '125916', '126114', '127941']"
公告土地現值暨公告地價調整情形表,['124333']
公告得免個案指定建築線地區,['123120']
公園,"['123556', '123964', '124145', '124189', '124229', '124290', '124314', '124327', '124343', '124368', '124379', '124397', '124432', '124566', '124710', '124879', '125111', '125338', '125407', '125463', '125565', '125683', '125746', '125867', '125929', '125935', '125942', '126143']"
公地撥用,"['123390', '124011', '124117', '124212', '124213', '125054', '126110']"
公報閱覽地點,['125691']
公寓大廈管理組織報備清冊,"['122892', '122906', '122919', '122932', '122937', '122941', '122968', '122969', '122971', '122973', '122977', '122979', '122984', '123043', '123047', '123057', '123063', '123079', '123083', '123088', '123108', '123111', '126411']"
公所原住民服務窗口,['124888']
公教職員,['124542']
公教職員官職等,['125600']
公教職員年齡結構,"['123505', '123596']"
公教職員教育程度結構,"['123970', '124944']"
公文辦理成效一覽表,['124340']
公有市場及超市清冊,['125863']
公有攤販集中場清冊,['125838']
公有路外停車場即時賸餘車位數,['122902']
公用天然氣導管承裝業(甲級乙級)清冊,['123822']
公私立立案幼兒園資料,['124990']
公立公墓納骨塔查詢,"['123295', '123308', '123427', '123811', '124025', '124142', '124261', '124364', '124457', '124464', '124647', '124823', '124964', '124994', '125263', '125300', '125490', '125502', '125508', '125631', '125723', '125741', '125807', '126033', '126153', '126205']"
公立動物之家,['125575']
公立國中學區一覽表,"['123384', '123395', '123805', '124014', '124256', '124300', '124360', '124411', '124440', '124443', '124528', '124617', '124742', '125000', '125251', '125342', '125369', '125376', '125399', '125414', '125422', '125426', '125443', '125460', '125500', '125776', '125815', '125898', '126048']"
公立國小學區,"['123536', '123582', '123725', '123763', '123779', '123782', '124003', '124049', '124133', '124180', '124201', '124253', '124278', '124363', '124419', '124435', '124541', '124674', '124739', '124773', '124774', '124829', '124995', '125018', '125088', '125151', '125267', '125501', '125643', '125905']"
公立幼兒園名錄,['125387']
公職人員利益衝突迴避常見問答,['123267']
公費流感抗病毒藥劑合約醫療院所(類流感門診),"['123371', '123445', '123479', '123625', '123653', '123866', '123960', '123969', '124125', '124167', '124221', '124222', '124331', '124529', '124629', '124681', '124740', '124787', '124981', '125012', '125138', '125226', '125297', '125413', '125589', '125774', '125831', '125842', '125853', '125879']"
公車站位資訊,['123091']
公車路線清單,['123112']
公車路線說明及示意圖,['124602']
公車路線說明及示意圖-一般路線,['125498']
公車路線說明及示意圖-快速公車,['125829']
公車路線說明及示意圖-捷運先導,['123976']
公車路線說明及示意圖-捷運線,['126136']
公車路線說明及示意圖-新巴士,['123410']
公車路線說明及示意圖-跳蛙路線,['124546']
公車預估到站時間,['122907']
公辦市地重劃成果,['125432']
公辦市地重劃成果財務狀況,['123388']
出國報告,['124689']
刑事案件分類發生數、破獲數及嫌疑犯人數,"['123478', '125222', '125878']"
刑事案件嫌疑犯,['125558']
刑事案件嫌疑犯-年齡別,['125777']
刑事案件嫌疑犯-教育程度別,['123952']
刑事案件嫌疑犯-犯罪場所別,['124814']
刑事案件嫌疑犯–職業別,['123579']
刑事案件犯罪人口率,['124695']
刑事案件被害者,['124697']
刑事案件被害者-年齡別,['123736']
刑事案件被害者-被害場所別,['125762']
刑事案件被害者–職業別,['123482']
列管公廁資訊(新增區別),['123792']
初婚情形,['125199']
加工產品,['124945']
加氣站清冊,['126080']
加油站清冊,['123540']
動保處愛心認養小棧合作店家,['124982']
動物醫院一覽表,['126160']
動產擔保交易登記統計_v2,['124898']
動產擔保登記清冊,['124012']
勞動力,['125105']
勞動力參與率,['125141']
勞工(農民)保險及勞資爭議,['124477']
勞工體格及健康檢查指定醫院,['127873']
區域福利服務中心名冊,['123538']
區域計畫委員會委員名單,['123050']
區段徵收成果統計表,['125535']
區段徵收開發案已標售土地一覽表,['123884']
區間平均速率執法設備設置地點,['126156']
十5歲以上現住人口之教育程度,"['123470', '123644']"
十5歲以上現住原住民族人口之教育程度,['124714']
十大低漥地區,"['123668', '124885', '125043', '125268', '125336', '125519', '125715', '125766', '125933', '126040']"
十大易肇事路口,['125724']
博物館家族清單,['125620']
危險水域一覽表,"['123321', '123345', '123622', '123634', '123809', '124473', '124831', '125066', '125077', '125275', '125365', '125378', '125730']"
原住民人數排行榜統計表,['124568']
原住民族勞動力,['123307']
原住民族教育,['124708']
原住民族概況,['123594']
原住民族福利,['123581']
原住民族進用統計表,['125862']
原民團體資料,['124724']
原生動植物復育名單,['123041']
取締攤販績效,"['123793', '128071', '128072', '128073', '128074']"
口腔病理科醫療機構,['125065']
口腔顏面外科醫療機構,['123856']
口腔黏膜檢查醫事機構,"['123296', '123325', '123359', '123501', '123588', '124074', '124168', '124231', '124315', '124365', '124416', '124431', '124453', '124591', '124604', '124610', '124656', '124819', '124900', '124974', '125099', '125254', '125372', '125408', '125457', '125698', '125703', '125877', '126059', '126266']"
台灣自來水公司通訊資料,['125873']
各區人數統計表,['125790']
各區原住民人數統計表,['124962']
各區哺乳專線,['125693']
各區家用桶裝瓦斯參考零售價格,['125255']
各區房屋坐落地段等級表(前適用),['125416']
各區房屋坐落地段等級表(起適用),['129257']
各區液化石油氣零售業者清冊,['124008']
各區清潔隊聯絡資料,['124124']
各區衛生所之門診時間及疫苗種類彙整表,['125826']
各商圈理事長聯絡資料,['123762']
各圖書館地址電話表,['125808']
各年度瓶頸打通案件,['124200']
各抽水站資訊,['125249']
各機關學校人員遷調情形,['124668']
各機關政風機構電話,['123127']
各機關業務報告,['123396']
各機關編制員額一覽表,['124607']
各機關電話、地址資訊,['123113']
各級人民團體數及會員數,['124389']
各行政區產業類別家數,['125008']
各里人數排行榜(新版),['125165']
各項稅捐徵收數,['124959']
各項稅捐預算數與實徵淨額及預算達成率-依稅目別,['125317']
各項稅收稽徵人力,['125612']
各項稅收稽徵成本,['124593']
各類場所辦理消防安全設備檢修申報期限表,['124730']
各類戶籍登記人數統計表,['125592']
合作社概況,"['123906', '124289']"
合法一般旅館名冊(起新版),['123627']
合法保全業者資料,['125663']
合法地政士開業名冊,['125912']
合法民宿名冊(起新版),['123996']
合法當鋪業資料,['125309']
合法資訊休閒業者清冊,['125871']
吸菸人口,['123298']
呼吸照護資源,"['123313', '123434', '123692', '123710', '124266', '124533', '124897', '124955', '125064', '125072', '125635']"
員工協助方案諮詢服務一覽表,['125667']
員工參訓情形,['123800']
員工廉政倫理規範常見問答,['124307']
商圈特色商家,['125593']
商圈逍遙遊,['123621']
商業各行政區行業別家數,['124937']
商業各行業別增減資家數,['123941']
商業現有及增減資家數,['125756']
商業異動_本月各異動項目資本額明細,['125140']
商業異動_本月各行業別異動家數明細,['123924']
商業登記清冊,['125322']
商業行業別家數,['124086']
商業行業別異動家數,['125278']
商業行業別總資本額,['125328']
商業資本額前月總額與當月異動明細,['124559']
單親家庭關懷諮詢服務站名冊,['123446']
噪音監測站位置,['127940']
噪音管制區劃定範圍,['123610']
固定式測速照相,"['123303', '123346', '123521', '123657', '123740', '123753', '123936', '123939', '124090', '124262', '124282', '124381', '124526', '124620', '124670', '124716', '124886', '124996', '125010', '125207', '125394', '125423', '125544', '125586', '125606', '125787', '125812', '125825', '125938']"
國中教育,"['123702', '123734']"
國中級女生免費子宮頸癌疫苗接種,['123708']
國家賠償事件處理情形統計資料,['123741']
國小教育,"['124255', '125707']"
國小新生入學後預防接種紀錄檢查與補接種建議表,['126367']
國民中學學生裸視視力檢查,['123526']
國民中小學中途輟學學生概況,['123439']
國民小學學生裸視視力檢查,['125624']
圖片新聞,['122949']
土地建物登記管理,['123724']
土地徵收統計表,"['123648', '123682', '124067', '125048', '125242', '125418', '125626']"
土地段代碼對照表,['125323']
土地筆數面積公告土地現值,['125832']
土城暫緩發展區及附近地區市地重劃開發案土地標售成果一覽表,['123869']
土壤及地下水列管資訊(已解除列管場址),['122995']
土壤及地下水列管資訊(目前列管場址),['122974']
地價稅稅額計算公式,"['124183', '124317', '124490', '126704']"
地政士實價登錄裁罰紀錄資料,['124860']
地政士業務檢查紀錄表,"['123462', '123691', '123760', '123766', '123813', '124690', '124802', '124841', '124929', '124968', '124989', '125001', '125017', '125028', '125121', '125286', '125646', '125739', '125767', '125810', '125890']"
地政士開業及異動年報統計表,"['123677', '123830', '124263', '124827']"
地政士開業及異動統計表,['125247']
地政服務據點,['123913']
地方特色地圖,['123534']
地方稅網路與臨櫃申報件數統計表,['124392']
地籍清理土地囑託登記國有公告清冊,['125185']
垃圾清運車輛所在位置,['122972']
垃圾焚化廠位置,['124616']
垃圾車路線,['125664']
城鄉發展局通訊錄,['124196']
境內各級補校概況,['125308']
境內國民中學概況,['125264']
境內國民小學概況,['123652']
境內幼兒(稚)園概況(100學年度以前),['125488']
境內幼兒(稚)園概況(101學年度以後),['124655']
境內捷運路線長度及車站數,['122899']
境內計程車客運服務業(經營派遣業務)業者相關資訊,['125096']
境內颱風期間可供停車之路段一覽表,['125314']
境內高等教育概況(大學),['123992']
境內高等教育概況(專科),['124763']
境內高級中等學校教育概況(102學年度以前),['124764']
境內高級中等學校教育概況(103學年度以後),['124173']
境界,['125436']
外來入侵動植物防治名單,['122912']
外勞仲介資訊,['123046']
外國人地權登記管理,['123105']
外科醫療機構,['124375']
外籍勞工,['125026']
多元繳稅方式件數統計表,['123072']
大眾交通工具駕駛人員,['125747']
大腸癌篩檢人數及醫療院所數,['125850']
大陸地區人民法人團體或陸資公司取得(設定或移轉)不動產權利統計表,['125704']
天然氣供氣戶數及供氣量 _小計_天然氣供氣戶數 _增減戶數,['123416']
天然氣供氣戶數及供氣量_天然氣供氣戶數_增減戶數,['125411']
天然氣供氣戶數及供氣量_天然氣供氣戶數_本月底戶數,['125633']
天然氣供氣戶數及供氣量_天然瓦斯年累計供氣量,['125284']
天然氣供氣戶數及供氣量_天然瓦斯本月供氣量,['125120']
天然氣供氣戶數及供氣量_小計_天然氣供氣戶數_本月底戶數,['124294']
天然氣供氣戶數及供氣量_小計_天然瓦斯年累計供氣量,['123387']
天然氣供氣戶數及供氣量_小計_天然瓦斯本月供氣量,['124463']
天然氣公司裝置情形_小計本月累計裝置情況,['124574']
天然氣公司裝置情形_小計本月裝置情況,['124979']
天然氣公司裝置情形_本月累計裝置情況,['124535']
天然氣公司裝置情形_本月裝置情況,['123539']
天然災害停止上班上課訊息,['125628']
失智症相關資源轉介窗口,['124454']
失智症門診資訊,['124848']
失業率-婚姻狀況別,['123349']
失業率-年齡別,['125003']
失業率—教育程度別,['124847']
契稅稅源,['124160']
契稅稅源統計月報表,"['122900', '123316', '123329', '123380', '123469', '123474', '123560', '123595', '123607', '123623', '123661', '123752', '123768', '123776', '123794', '123802', '123816', '123860', '123879', '123929', '123979', '124091', '124114', '124150', '124179', '124209', '124225', '124237', '124245', '124344', '124345', '124359', '124394', '124448', '124466', '124493', '124557', '124564', '124576', '124579', '124590', '124683', '124684', '124775', '124800', '124809', '124811', '124836', '124892', '124902', '124909', '124946', '124948', '124969', '124993', '125011', '125023', '125058', '125082', '125136', '125137', '125139', '125158', '125198', '125221', '125261', '125289', '125333', '125347', '125361', '125382', '125384', '125393', '125479', '125545', '125591', '125627', '125636', '125638', '125674', '125758', '125818', '125822', '125824', '125886', '125941', '126020', '126104', '126176', '127449', '128087', '129082', '130100']"
姐妹市交流概況,['125033']
娛樂稅稅源,['125888']
婚姻狀況,['123311']
婚姻狀況—喪偶年齡結構,['123507']
婚姻狀況—有偶年齡結構,['125080']
婚姻狀況—未婚年齡結構,['123819']
婚姻狀況—離婚年齡結構,['123772']
婚後孕前健康檢查,['123709']
婚後孕前健康檢查機構,['124206']
婦女子宮頸抹片檢查醫事機構清冊,"['123333', '123442', '123486', '123550', '123554', '123576', '123670', '123744', '123783', '123804', '124202', '124401', '124402', '124441', '124845', '124875', '124941', '125020', '125083', '125497', '125529', '125540', '125594', '125617', '125629', '125735', '125764', '125784', '125870', '126074']"
婦女福利服務,['124588']
婦女福利服務概況,"['124545', '124813']"
婦幼停車位,"['123464', '123901', '123934', '123948', '124039', '124136', '124174', '124242', '124250', '124353', '124388', '124553', '124596', '124699', '124791', '125175', '125196', '125213', '125233', '125235', '125465', '125560', '125720', '125770', '125913']"
婦產科醫療機構,['125100']
嫌疑犯人數按年齡組別(NEW),"['123953', '123990', '124233']"
嫌疑犯人數按按教育程度別,"['123566', '125036', '125364']"
嫌疑犯人數按職業別,"['124157', '124543', '125897']"
嬰兒出生情形,['125179']
嬰兒生母生育胎次及年齡,['124850']
子宮頸抹片篩檢人數及醫療院所數,['123431']
孕婦乙型鏈球菌篩檢,['125104']
學校教育,['125320']
學校通訊資料,"['123020', '129776']"
學童護眼方案合約醫療機構,['126167']
安寧核心醫院,['123436']
安養堂,['123372']
宗教教務概況,"['124599', '124611']"
宗教社會服務概況,['123519']
定量免疫法糞便潛血檢查醫事機構,"['124554', '126013', '126016', '126023', '126027', '126050', '126079', '126081', '126119', '126133', '126142', '126151', '126165', '126173', '126192', '126200', '126213', '126219', '126229', '126232', '126244', '126278', '126286', '126287', '126317', '126361', '126375', '126380', '126382', '126880']"
客家文化,['124325']
客家文化園區DIY課程一覽表,['124424']
客家文化園區出版品,['124407']
客家文化園區場地使用收費標準,['123789']
客家文化園區場地使用管理要點,['123551']
客屬團體資訊,['124429']
家庭平均每戶全年經常性支出,"['123561', '124613', '125002']"
家庭平均每戶全年經常性收入,['124575']
家庭所得分配,['125248']
家庭所得差距,['123664']
家庭暴力通報案件,"['125721', '125922']"
家庭組織型態,['125206']
家庭醫學科醫療機構,['126178']
家防中心案件諮詢協談統計,['123411']
實施耕地375減租成果統計年報,['125359']
實物銀行聯絡資訊,['125392']
寵物業評鑑結果,['125123']
寵物登記站簽約動物醫院,['124583']
寵物達人夏令營,['125856']
寺廟資料,['122928']
封溪護漁範圍清單,['123076']
專書閱讀推廣成果統計表,['123444']
專用垃圾袋代售商清冊,"['123398', '123417', '123423', '123490', '123500', '123522', '123524', '123646', '123788', '123903', '124022', '124138', '124283', '124299', '124308', '124358', '124478', '124537', '124609', '124732', '124927', '125074', '125078', '125127', '125238', '125379', '125406', '125510', '125530', '125596', '125734']"
對民間團體補(捐)助經費表_v2,['125159']
少年刑事案件嫌疑犯,['123982']
少年福利服務中心名冊,['124688']
就業者年齡結構,['123488']
就業者從業身分結構,['124230']
就業者教育程度結構,['123425']
就業者職業結構,['125553']
就業者行業結構-服務業,['125849']
就業者行業結構-農業及工業,['125046']
就業輔導,['125765']
居家式、社區式長照機構設立家數,['125619']
居家護理所清冊,['125397']
巡迴復健車時刻一覽表,['125079']
工廠各行業別新登記及歇業等家數,['125793']
工廠各行業別現有家數,['123611']
工廠登記家數異動表(各行業別現有家數)_新增日期欄位,['125447']
工廠登記清冊v2,['124808']
巨大廢棄物清運時間流程,['124677']
已公告徵收案件地籍資料,['125034']
已登記公私有土地筆數面積,['124355']
市售食品抽驗合格率,['127935']
市售食品標示合格率,['127889']
市府員工參訓情形,['125692']
市府員工留職停薪情形—侍親留職停薪,['123609']
市府員工留職停薪情形—育嬰留職停薪,['123336']
市府員工請假情形—家庭照顧假,['125177']
市府員工請假情形—生理假,['125496']
市府榮耀,['125252']
市府正副主管人員,['125353']
市府資訊,['123078']
市政公告,['122948']
市政會議紀錄,['125194']
市有土地參加都市更新案件進度表,['123827']
市有土地用地分析,['123530']
市民文化,['123847']
市民活動中心資料,"['123487', '123517', '123533', '123614', '123716', '123774', '123798', '123927', '124050', '124321', '124393', '124815', '124928', '125169', '125203', '125237', '125304', '125420', '125425', '125621', '125637', '125671', '125820', '125852', '125884', '126131', '126152']"
市民農園,['123516']
市民防災手冊(分篇),['124873']
市管河川資訊,['123097']
市轄公車業者營運基本資料,['122942']
年齡別生育率,['123382']
幼兒(稚)園教育,['124162']
幼兒常規疫苗接種合約醫療院所,"['123304', '123769', '123855', '123958', '124169', '124184', '124348', '124412', '124657', '124753', '124838', '124997', '125173', '125274', '125352', '125373', '125428', '125452', '125491', '125512', '125854']"
幼兒托育,['125702']
府級任務編組情形統計表,['123402']
廉政會報,['122936']
建築執照存查,['123639']
建築物公安申報統計,['125208']
弱勢家庭兒童及少年社區照顧服務名冊,['123370']
復健科醫療機構,['123315']
徵才資訊,['123114']
徵收補償費屆滿或即將屆滿未領案件歸屬國庫一覽表,['123728']
徵解地政規費,['124666']
徵起之國稅、縣市稅分成數額表,"['123669', '124128', '124188', '124371', '124784', '124866', '125277', '125908']"
徵起之國稅、縣市稅數額表,"['123629', '123751', '124822', '124855', '125091']"
徵選獎勵傑出演藝團隊補助作業要點,['125504']
心理健康服務網絡資源,['123525']
心理師駐點諮詢輔導服務,['124926']
急救責任醫院,['125827']
急診學學科醫療機構,['124678']
性侵害通報案件,"['123334', '124318']"
性別主流化資料,['124825']
性騷擾案件申訴,['123868']
愛滋病匿名篩檢服務網絡,['124119']
愛滋病指定醫事機構,['125549']
成人預防保健醫事機構,"['123318', '123347', '123448', '123491', '123509', '123546', '123731', '123735', '123777', '123845', '123859', '124040', '124059', '124276', '124313', '124338', '124376', '124502', '124524', '124558', '124581', '124771', '124956', '125068', '125133', '125170', '125195', '125324', '125648', '125814', '126014', '126025', '126028', '126038', '126052', '126053', '126056', '126057', '126064', '126077', '126078', '126083', '126084', '126085', '126087', '126088', '126089', '126091', '126092', '126093', '126094', '126095', '126097', '126099', '126105', '126106', '126107', '126108', '126111', '126112', '126116', '126123', '126124', '126126', '126139', '126140', '126150', '126158', '126161', '126168', '126170', '126171', '126172', '126175', '126180', '126183', '126184', '126187', '126189', '126196', '126197', '126199', '126204', '126207', '126208', '126212', '126216', '126217', '126220', '126225', '126231', '126235', '126239', '126250', '126251', '126252', '126268', '126280', '126302', '126314', '126320', '126370', '126378', '127369']"
成立災害應變中心一覽表,['125098']
戒菸治療合約牙醫診所,['125915']
戶外無菸休憩空間,['124539']
戶外環境噴藥期程,['123504']
戶所等待人數,['130007']
戶籍動態,['124872']
房屋坐落地段等級調整率評定表,['123493']
房屋構造別代號暨折舊率對照表,"['123386', '124423']"
房屋用途類別及用途細類別代號對照表,['123921']
房屋稅及地價稅開徵概況,['125708']
托育人員專業訓練課程(自費班),['124570']
托育機構概況,"['123876', '125799']"
抗旱水井,['124636']
抽水站參訪資訊,['123320']
拖吊保管場資訊,['123301']
挖子尾自然保留區動物名錄,['122896']
捷運工程常見問題,['123080']
採購爭議案件分析,['124686']
採購處代辦建築及土木工程案件情形,['125859']
推行社區發展工作成果,['123966']
掩埋場位置,['124491']
放射腫瘤科醫療機構,['123932']
放射診斷科醫療機構,['125520']
政府教育經費概況,['124013']
政府行政機關辦公日曆表,['123662']
政風業務內部控制制度共通性作業範例,['123096']
政風處性別平等專案小組會議,['122882']
政風處暨各政風機構(單位)受理財產申報人數,['123130']
政風處檢舉管道,['123268']
救護車營業機構,['125178']
救護車裝備捐贈芳名錄,['129279']
教會資料,['122988']
教育基金會資訊,['125276']
教育程度,['125168']
整合式健康篩檢服務,['123636']
整形外科醫療機構,['124649']
數位樂學網課程,['123022']
文化基金會一覽表,['125155']
文化局文創藝術、設計媒合產業補助作業要點,['124950']
文化局文創藝術、設計媒合產業補助計畫,['124475']
文化局藝文活動,['122933']
文化局藝文空間一覽表,['123732']
文化局辦理藝文展演活動統計,['123339']
文化資產,['123472']
文書流程管理及檢核作業要點,['125495']
新住民人口,['125022']
新住民婦女健康篩檢,['124106']
新住民未納保產前檢查,['124765']
新住民概況,['124042']
新北好市金讚獎-獲獎市場名單,['125611']
新北好禮_創意生活組,['123473']
新北好禮_美食組,['124901']
新北巿使用牌照稅徵績,['124779']
新北巿使用牌照稅稅源,['125726']
新北巿使用牌照稅稽徵,['124725']
新北巿來各項稅捐實徵數增減比較,['123529']
新北巿印花稅徵收,['123687']
新北巿各項稅捐實徵淨額與預算數及上年同期比較-本月數,['125834']
