105-108農地重劃區緊急農水路補助金額,['125996']
池上鄉公所公共債務情形(截至),"['88059', '106549']"
池上鄉公辦市地重劃區開發成果統計表,['126312']
池上鄉合法地政士開業資料,['126718']
池上鄉土地公告現值資料,['123700']
池上鄉市地重劃前後地段對照表,['126263']
河川水質季監測報告,['87914']
流感抗病毒藥劑合約院所,['95854']
流感疫苗合約醫療院所,['95665']
海端鄉105-108農地重劃區緊急農水路補助金額,['125994']
海端鄉公告地價,['125979']
海端鄉土地公告現值資料,['124043']
海端鄉地籍圖重測新舊地號對照(重測後新廣原段),['123269']
測量案件統計表,"['126585', '126590', '126591', '126592', '126593', '126595', '126596', '126602', '126603', '126604', '126605', '126688', '126689', '126691', '126694', '126697', '126698', '126699', '126700']"
災害緊急應變中心,['108761']
無線網路佈建位址,"['93744', '108748']"
無障礙廁所,['108707']
特殊教育學校,"['93730', '108706']"
環境用藥販賣業及病媒防治業,['88098']
產後護理之家,['108743']
社區教保服務中心/部落互助教保服務中心,['108730']
社區活動中心,"['93721', '108693']"
社區照顧關懷據點,"['93714', '108684']"
社區發展協會,['108718']
社區發展協會據點,['93746']
租賃住宅管理業設立備查業者,['126610']
空氣品質手動測站監測數值,['87913']
綠島鄉公告地價,['125983']
綠島鄉土地公告現值資料,['124092']
縣民服務中心,['108762']
老人健檢醫療院所,"['93749', '108755']"
老人文康、福利服務中心,['93709']
老人牙醫醫療院所,"['93740', '108759']"
老人福利機構,['93708']
臺東2手輔具資源整合交換中心,['67292']
臺東AED設置場所,['67300']
臺東兒童及少年安置教養機構,['67247']
臺東兒童及少年福利服務中心,['67254']
臺東兒童安置教養機構,['67304']
臺東兒童發展通報轉介中心,['67250']
臺東公設民營及私立托嬰中心,['67268']
臺東公設民營托育資源中心,['67266']
臺東原住民文化健康站,['67324']
臺東單親家庭服務提供單位,['67274']
臺東婦女福利服務中心,['67272']
臺東家庭、社會福利服務中心,['67281']
臺東家庭暴力及性侵害防治中心,['67278']
臺東就業服務據點,['67299']
臺東居家喘息服務提供單位,['67307']
臺東戒毒機構,['67317']
臺東日間照顧中心,['67277']
臺東早期療育服務個案管理中心,['67255']
臺東智慧機分布位置,['67323']
臺東村里辦公室,['67297']
臺東無線網路佈建位址,['67322']
臺東社區活動中心,['67294']
臺東社區照顧關懷據點,['67279']
臺東社區發展據點,['67325']
臺東社會救助服務據點,['67296']
臺東老人文康、福利服務中心,['67271']
臺東老人活動中心,['67321']
臺東老人福利機構,['67270']
臺東衛生所,['67302']
臺東身心障礙住宿機構,['67257']
臺東身心障礙牙醫醫療院所,['67288']
臺東身心障礙福利日間照顧機構,['67265']
臺東身心障礙福利機構,['67263']
臺東身心障礙福利機構團體或庇護工廠,['67319']
臺東身心障礙者復康巴士服務,['67291']
臺東輔具服務單位,['67276']
臺東避難收容所位置及收容人數,['67284']
臺東避難收容所位置及收容人數B,['67290']
臺東高風險家庭關懷輔導處遇服務提供單位,['67283']
蘭嶼鄉公告地價,['125985']
蘭嶼鄉土地公告現值資料,['124104']
衛生所,['93742']
衛生所列表,['108745']
視覺障礙者生活重建中心,['108732']
視障按摩點,['108723']
警察局,['108753']
護理之家,['108716']
身心障礙住宿機構,"['92452', '108644']"
身心障礙團體,"['93747', '108741']"
身心障礙庇護工場,['108740']
身心障礙庇護工廠,['93748']
身心障礙托育養護服務提供單位,"['93725', '108697']"
身心障礙日間服務機構,['108648']
身心障礙牙醫醫療院所,['93737']
身心障礙福利日間照顧機構,['93705']
身心障礙福利服務中心,['93704']
身心障礙者牙醫醫療院所,['108739']
身心障礙者生涯轉銜服務提供單位,['108738']
身心障礙者社區日間作業設施,['108734']
身心障礙者社區樂活補給站,['108735']
身心障礙鑑定醫院,"['93729', '108708']"
身心障礙餐飲服務提供單位,"['93723', '108695']"
身心障礙福利服務中心,['108646']
輔具服務單位,['108681']
輔具服務機構,['93711']
農地重劃區105-108緊急農水路工程,['126003']
遊民收容位置,['93739']
遊民收容處所,['108756']
達仁鄉公告地價,['125982']
達仁鄉土地公告現值資料,['124052']
避難收容所位置及收容人數,"['93717', '108688']"
鄉鎮市區公所,['108727']
鄉鎮市戶政事務所,['108751']
金峰鄉105-108農地重劃區緊急農水路補助金額,['125998']
金峰鄉公告地價,['125977']
金峰鄉土地公告現值資料,['124033']
長期照顧管理中心,"['93734', '108714']"
長濱鄉公告地價,['125978']
長濱鄉合法地政士開業資料,['126722']
長濱鄉土地公告現值資料,['124038']
長青學苑,['108752']
關山鎮105-108農地重劃區緊急農水路補助金額,['126001']
關山鎮公告地價,['125984']
關山鎮合法地政士開業資料,['126724']
關山鎮土地公告現值資料,['124099']
關山鎮市地重劃前後地段對照表,['126269']
電動2輪車充電站明細,['87911']
非都市土地使用分區與編定筆數及面積,"['126356', '126362', '126364', '126365', '126368', '126369', '126371', '126372', '126374', '126376', '126379', '126381', '126384', '126385', '126386', '126387', '126388']"
非都市土地變更編定筆數及面積,"['126389', '126390', '126391', '126392', '126393', '126394', '126395', '126397', '126398', '126400', '126401', '126402', '126403', '126404', '126405', '126406', '126408']"
餐飲服務提供單位,"['93722', '108694']"
高風險家庭關懷輔導處遇服務提供單位,['108687']
高風險家庭關懷輔導處遇服務據點,['93716']
高齡友善藥局,['108722']
鹿野鄉105-108農地重劃區緊急農水路補助金額,['125999']
鹿野鄉公告地價,['125995']
鹿野鄉合法地政士開業資料,['126723']
鹿野鄉土地公告現值資料,['124048']
老人文康、福利服務中心,['108679']
老人福利機構,['108674']
復康巴士服務單位,['108733']
臨時暨短期照顧服務提供單位,['108737']
