2十9大類股營收變化統計表,['25038']
上市公司當季綜合損益經會計師查核(核閱)數與當季預測數差異達百分之十以上者，或截至當季累計差異達百分之2十以上者(簡式),['20760']
上市公司監察人酬金相關資訊,['24273']
上市公司經營權及營業範圍異(變)動專區-營業範圍重大變更公司,['36818']
上市公司經營權及營業範圍異(變)動專區-經營權異動且營業範圍重大變更停止買賣公司,['33459']
上市公司經營權及營業範圍異(變)動專區-經營權異動且營業範圍重大變更列為變更交易公司,['36819']
上市公司經營權及營業範圍異(變)動專區-經營權異動公司,['31613']
上市公司綜合損益表(一般業),['91998']
上市公司綜合損益表(保險業),['92000']
上市公司綜合損益表(異業),['92001']
上市公司綜合損益表(證券期貨業),['91996']
上市公司綜合損益表(金控業),['91999']
上市公司綜合損益表(金融業),['91995']
上市公司股利分派情形-經股東會確認,['32445']
上市公司股利分派情形-董事會通過,['31612']
上市公司股東會公告-召集股東常(臨時)會公告資料彙總表(起適用),['30920']
上市公司股東行使提案權情形彙總表,['49094']
上市公司董事、監察人持股不足法定成數彙總表,['20767']
上市公司董事、監察人持股不足法定成數連續達3個月以上彙總表,['30919']
上市公司董事、監察人質權設定占董事及監察人實際持有股數彙總表,['43532']
上市公司董事酬金相關資訊,['24272']
上市公司董事長是否兼任總經理,['36821']
上市公司董監事持股餘額明細資料,['22811']
上市公司財務報告經監察人承認情形,['27858']
上市公司資本變動統計表_New,['103534']
上市公司資產負債表(一般業),['94831']
上市公司資產負債表(保險業),['94833']
上市公司資產負債表(異業),['94834']
上市公司資產負債表(證券期貨業),['94830']
上市公司資產負債表(金控業),['94832']
上市公司資產負債表(金融業),['94829']
上市公司違反資訊申報、重大訊息及說明記者會規定專區,['24280']
上市公司金管會證券期貨局裁罰案件專區,['22817']
上市櫃公司(含公開發行及興櫃公司)監察人性別分析,['30875']
上市櫃公司(含公開發行及興櫃公司)董事性別分析,['30878']
上市櫃公司內部控制常見缺失,['10554']
上市櫃公司財務報告常見缺失彙總表_NEW,['119787']
上市櫃檯合併保管有價證券週餘額表,['20609']
上市櫃證券借券交易及借券賣出統計表_NEW,['103546']
上市權證基本資料彙總表,['32444']
上市股票每股市值、本益比、週轉率之比較_NEW,['104039']
上市股票除權除息預告表,['89748']
上市認購(售)權證交易人數檔,['29080']
上市認購(售)權證年度發行量概況統計表,['27885']
上市認購(售)權證每日成交資料檔,['29081']
上市證券信用交易值分析表_NEW,['103547']
上櫃保管有價證券週餘額表,['20607']
上櫃信用交易餘額概況表,['20210']
上櫃個股單1證券鉅額交易日成交資訊,['17264']
上櫃僑外資及陸資持股比例排行表,['20214']
上櫃公司 103 年應編製與申報 CSR 報告書名單,['25164']
上櫃公司公司治理之相關規程規則,['52796']
上櫃公司各產業EPS統計資訊,['20757']
上櫃公司合併報表監察人酬金相關資訊,['24279']
上櫃公司合併報表董事酬金相關資訊,['24278']
上櫃公司截至各季綜合損益財測達成情形(簡式),['20759']
上櫃公司持股逾 10% 大股東名單,['18423']
上櫃公司採累積投票制、全額連記法、候選人提名制選任董監事及當選資料彙總表,['46760']
上櫃公司每日內部人持股轉讓事前申報表-持股未轉讓日報表,['22816']
上櫃公司每日內部人持股轉讓事前申報表-持股轉讓日報表,['22814']
上櫃公司每日重大訊息,['18418']
上櫃公司每月營業收入彙總表,['56510']
上櫃公司治理指數歷史收盤指數,['28668']
上櫃公司治理指數當日成分股資訊,['28667']
上櫃公司治理指數當日收盤指數,['30872']
上櫃公司營益分析查詢彙總表(全體公司彙總報表),['20763']
上櫃公司獨立董監事兼任情形彙總表,['24271']
上櫃公司當季綜合損益經會計師查核(核閱)數與當季預測數差異達百分之十以上者，或截至當季累計差異達百分之2十以上者(簡式),['20761']
上櫃公司監察人酬金相關資訊,['24277']
上櫃公司經營權及營業範圍異(變)動專區-營業範圍重大變更公司,['44113']
上櫃公司經營權及營業範圍異(變)動專區-經營權異動且營業範圍重大變更停止買賣公司,['54967']
上櫃公司經營權及營業範圍異(變)動專區-經營權異動且營業範圍重大變更列為變更交易公司,['54968']
上櫃公司經營權及營業範圍異(變)動專區-經營權異動公司,['44112']
上櫃公司綜合損益表(一般業),['94853']
上櫃公司綜合損益表(保險業),['94855']
上櫃公司綜合損益表(異業),['94856']
上櫃公司綜合損益表(證券期貨業),['94852']
上櫃公司綜合損益表(金控業),['94854']
上櫃公司綜合損益表(金融業),['94850']
上櫃公司股東行使提案權情形彙總表,['49095']
上櫃公司董事、監察人持股不足法定成數彙總表,['20768']
上櫃公司董事、監察人持股不足法定成數連續達3個月以上彙總表,['43534']
上櫃公司董事、監察人質權設定占董事及監察人實際持有股數彙總表,['43533']
上櫃公司董事酬金相關資訊,['24276']
上櫃公司董事長是否兼任總經理,['45668']
上櫃公司董監事持股餘額明細資料,['22812']
上櫃公司財務報告經監察人承認情形,['45669']
上櫃公司財報資訊( 一般業),['94865']
上櫃公司財報資訊(保險業),['94867']
上櫃公司財報資訊(異業),['94868']
上櫃公司財報資訊(證券期貨業),['94863']
上櫃公司財報資訊(金控業),['94866']
上櫃公司財報資訊(金融業),['94862']
上櫃公司資本變動統計表_NEW,['103536']
上櫃公司資產負債表(一般業),['91967']
上櫃公司資產負債表(保險業),['91969']
上櫃公司資產負債表(異業),['91970']
上櫃公司資產負債表(證券期貨業),['91966']
上櫃公司資產負債表(金控業),['91968']
上櫃公司資產負債表(金融業),['91965']
上櫃公司違反資訊申報、重大訊息及說明記者會規定專區,['24281']
上櫃公司金管會證券期貨局裁罰案件專區,['22818']
上櫃公布注意累計次數異常資訊,['11397']
上櫃公布注意股票資訊,['11395']
上櫃各券商當日營業金額統計表,['17250']
上櫃各類股僑外資及陸資持股比例表,['20215']
上櫃展延型牛熊證收盤行情日報表,['46634']
上櫃展延型牛熊證收盤行情月報表,['46635']
上櫃展延型牛熊證發行基本資料,['46636']
上櫃平盤下得融(借)券賣出之證券名單,['20211']
上櫃應付現股當日沖銷券差借券費率,['17254']
上櫃日成交量值指數,['17248']
上櫃暫停先賣後買當日沖銷交易標的預告表,['17255']
上櫃暫停先賣後買當日沖銷交易歷史查詢,['17256']
上櫃權證基本資料彙總表,['52794']
上櫃權證收盤行情日報表,['45119']
上櫃權證收盤行情月報表,['45120']
上櫃權證歷史暫停/恢復交易資訊,['52799']
上櫃權證當日暫停/恢復交易資訊,['52798']
上櫃權證發行基本資料,['45121']
上櫃歷史個股市值排行,['17257']
上櫃歷史個股成交值排行,['17385']
上櫃歷史個股成交量排行,['17384']
上櫃歷史個股日均值排行,['17260']
上櫃歷史個股日均量排行,['17259']
上櫃歷史個股本益比排行,['17262']
上櫃歷史個股週轉率排行,['17258']
上櫃歷史公布暫停/恢復交易股票,['48665']
上櫃歷史類股成交價量比重,['17261']
上櫃每日暫緩收盤股票,['27851']
上櫃每日暫緩開盤股票,['27850']
上櫃漲跌停未成交資訊,['17247']
上櫃牛熊證收盤行情(不含展延型牛熊證)日報表,['45734']
上櫃牛熊證收盤行情(不含展延型牛熊證)月報表,['45735']
上櫃牛熊證發行基本資料(不含展延型牛熊證),['45736']
上櫃當日公布暫停/恢復交易股票,['48664']
上櫃當日融券賣出與借券賣出成交量值,['17249']
上櫃盤中個股成交金額排行,['17251']
上櫃盤中個股漲幅排行,['17252']
上櫃盤中個股跌幅排行,['17253']
上櫃股利分派情形-經股東會確認,['58286']
上櫃股利分派情形-董事會通過,['58285']
上櫃股票3大法人買賣明細資訊,['11856']
上櫃股票3大法人買賣金額彙總表,['11743']
上櫃股票個股本益比、殖利率、股價淨值比,['11373']
上櫃股票各券商總公司當日營業金額統計表,['11739']
上櫃股票各類股指數,['20218']
上櫃股票基本資料,['25036']
上櫃股票外資及陸資買賣超彙總表,['11746']
上櫃股票市場現況,['11369']
上櫃股票投信買賣超彙總表,['11744']
上櫃股票收盤行情,['11371']
上櫃股票權證資訊,['11750']
上櫃股票每股市值、本益比、週轉率之比較_NEW,['104041']
上櫃股票熱門股證券商進出排行,['11628']
上櫃股票現股當沖交易統計資訊,['11627']
上櫃股票盤後定價行情,['11738']
上櫃股票等價系統成交分價表,['11740']
上櫃股票自營商買賣超彙總表,['11857']
上櫃股票融券借券賣出餘額,['11632']
上櫃股票融資融券餘額,['11387']
上櫃股票行情,['11370']
上櫃股票變更交易、分盤交易、管理股票與停止交易資訊,['11736']
上櫃股票除權除息計算結果表,['11633']
上櫃股票除權除息預告表,['11634']
上櫃股票零股交易資訊,['11737']
上櫃處置有價證券資訊,['11396']
上櫃融資融券使用率報表,['20212']
上櫃融資融券增減排行表,['20213']
上櫃融資融券暫停融券賣出預告表,['20198']
上櫃融資融券標借,['20209']
上櫃融資融券調整成數,['20208']
上櫃認購(售)權證年度發行量概況統計表,['25051']
上櫃認購(售)權證每日成交資料檔,['52795']
上櫃證券信用交易值分析表_NEW,['103548']
上櫃鉅額交易年成交量值統計,['17267']
上櫃鉅額交易日成交資訊,['17263']
上櫃鉅額交易日成交量值統計,['17265']
上櫃鉅額交易月成交量值統計,['17266']
上櫃首5日無漲跌幅資訊,['27852']
世界各國保險密度前20名排行表,['129374']
世界各國保險業保費收入(中華民國人壽保險商業同業公會),['15298']
世界各國保險滲透度前20名排行表,['129382']
世界各國壽險業保費收入,['14543']
世界各國總保費收入前20名排行表,"['129371', '129377']"
世界歷年重大傷亡地震(1900~)表(財團法人住宅地震保險基金),['11447']
世界較大規模地震事件(1900~)表(財團法人住宅地震保險基金),['11446']
中央存款保險公司人事統計表,['113825']
中央存款保險公司年報,['11149']
中央存款保險公司會計月報,['19253']
中央存款保險公司附屬單位決算,['10402']
中央存款保險公司附屬單位預算,['10380']
中央登錄公債 > 中央登錄公債補息資料表,['11657']
中華民國信託業商業同業公會公益信託業務統計,['13576']
中華民國信託業商業同業公會各會員單位承辦信託業務一覽表,['13575']
中華民國信託業商業同業公會最新消息,['11720']
中華民國信託業商業同業公會有價證券之信託業務統計,['13829']
中華民國信託業商業同業公會相關法規,['11721']
中華民國信託業商業同業公會研究報告,['11722']
中華民國信託業商業同業公會金錢之信託(不含投信、期信基金保管)業務統計,['14124']
中華民國信託業商業同業公會金錢之信託-員工福利信託業務統計,['15225']
中華民國信託業商業同業公會金錢之信託-期貨信託基金保管業務統計,['14126']
中華民國信託業商業同業公會金錢之信託-特定金錢信託投資國內券商結構型商品業務統計,['15224']
中華民國信託業商業同業公會金錢之信託-特定金錢信託投資國內有價證券業務統計,['15223']
中華民國信託業商業同業公會金錢之信託-特定金錢信託投資國外有價證券業務統計,['15222']
中華民國信託業商業同業公會金錢之信託-證券投資信託基金保管業務統計,['14125']
中華民國信託業商業同業公會金錢債權及其擔保物權之信託業務統計,['14127']
中華民國票券金融商業同業公會公會年報,['15385']
中華民國票券金融商業同業公會會員公司介紹,['17181']
中華民國票券金融商業同業公會業務統計歷年業務統計-債券交易量,['14273']
中華民國票券金融商業同業公會業務統計歷年業務統計-政府債券發行,['14272']
中華民國票券金融商業同業公會業務統計歷年業務統計-票券初級市場,['14270']
中華民國票券金融商業同業公會業務統計歷年業務統計-票券次級市場,['14271']
中華民國票券金融商業同業公會標售不良債權公告,['11690']
中華民國票券金融商業同業公會財經指標-我國金融暨經濟發展重要指標,['14269']
中華民國票券金融商業同業公會貨幣市場利率統計表,['15806']
中華民國銀行公會符合使用輪椅民眾之ATM設置地點調查表,['73188']
中華民國銀行公會符合視障民眾使用之ATM設置地點調查表,['73189']
主管決算,['10404']
交易人部位限制-個股類,['20667']
交易人部位限制-非個股類,['20666']
交通事故近求償率統計,['30093']
人壽保險業業績比較表(中華民國人壽保險商業同業公會),['15294']
人身保險業保單繼續率統計表(保險事業發展中心),['13519']
人身保險業保費收入統計表(月報)_NEW,['104113']
人身保險業保險給付統計表(月報)_NEW,['104127']
人身保險業務員登入暨異動統計(中華民國人壽保險商業同業公會),['15296']
人身保險業務員資格測驗成績公佈與複查(中華民國人壽保險商業同業公會),['14546']
人身保險業務員資格測驗日期及地區(中華民國人壽保險商業同業公會),['15301']
人身保險業業務員登錄統計表(保險事業發展中心),['13518']
人身保險業資金運用表,['14501']
人身保險申訴案件統計表,['14504']
以信用卡支付交通類消費之金額及筆數,['25360']
以信用卡支付住宿類消費之金額及筆數,['25359']
以信用卡支付文教康樂相關消費之金額及筆數,['25361']
以信用卡支付服飾類消費之金額及筆數,['25358']
以信用卡支付百貨類消費之金額及筆數,['25362']
以信用卡支付網路購物(EC)之金額及筆數,['25363']
以信用卡支付網路購物(EC)消費之各產業類別的金額及筆數,['62945']
以信用卡支付食品餐飲類消費之金額及筆數,['25357']
以信用卡消費之金額及筆數,['25364']
以土地為擔保品之放款餘額資訊揭露,['10552']
住宅地震保險統計表,['14506']
住宅地震保險統計表(年報)_NEW,['104137']
住宅地震基本保險理賠統計表(財團法人住宅地震保險基金),['34191']
住宅地震險簽單保費收入 (財團法人住宅地震保險基金),['11427']
住宅地震險累積責任額(財團法人住宅地震保險基金),['11313']
保管銀行名冊,['17477']
保證金一覽表-利率類,['11347']
保證金一覽表-匯率類,['45105']
保證金一覽表-商品類,['11348']
保險代理人業務統計表(年報)_NEW,['104128']
保險公司主要股東持股概況,['7188']
保險公司主要股東持股質押比例超過50%概況,['78052']
保險公司人力資源概況,['7187']
保險公司基本資料,['7186']
保險公司基本資料(含分公司),['122361']
保險公司財務報表摘要,['7190']
保險公證人業務統計表(年報)_NEW,['104132']
保險安定基金公告欄,['11534']
保險安定基金出國報告,['22558']
保險安定基金動態,['11536']
保險安定基金新聞稿,['11535']
保險安定基金業務宣導,['22555']
保險安定基金研究報告,['22557']
保險安定基金預決算報表,['11537']
保險密度、滲透度及人壽保險投保率表(保險事業發展中心),['13514']
保險局單位決算,['10409']
保險局單位預算,['10386']
保險局會計月報,"['19001', '103531']"
保險業保費收入統計表(保險事業發展中心),['13517']
保險業務發展基金決算,['10422']
保險業務發展基金預算,['10394']
保險業安定基金累積提撥統計表,['14507']
保險業家數及其分支機構統計表(月報)_NEW,['104108']
保險業從業人員統計表(保險事業發展中心),['13516']
保險業損益表(保險事業發展中心),['13521']
保險業新種商品審核件數統計表,['14502']
保險業登錄業務員性別統計表,['113827']
保險業精算人員統計表(保險事業發展中心),['13515']
保險業資產占金融機構資產比率表(年報)_NEW,['104106']
保險業資產負債表(保險事業發展中心),['13520']
保險法律與命令,['44725']
保險法規動態,['44724']
保險犯罪防制中心兩岸保險犯罪防制合作訊息,['13538']
保險犯罪防制中心協處案件績效,['13531']
保險犯罪防制中心大事紀,['13529']
保險犯罪防制中心宣導活動,['13535']
保險犯罪防制中心年度案件型態分類統計,['13533']
保險犯罪防制中心招標事項,['13536']
保險犯罪防制中心教育訓練課程,['13534']
保險犯罪防制中心最新消息,['13532']
保險犯罪防制中心業務執行情形,['13530']
保險犯罪防制中心活動報導,['13537']
保險犯罪防制中心相關連結,['13539']
保險申訴統計,['7195']
保險經紀人業務統計表(年報)_NEW,['104130']
保險行政函釋,['44727']
保險行政規則,['44726']
保險輔助人基本資料,['122363']
信合社辦理公務機關查詢及解繳扣押款收費作業要點收費彙整表,['11580']
信用卡分期付款手續費,['11714']
信用卡各項費用及客服電話等資訊,['11711']
信用卡國內清算金額及筆數,['11695']
信用卡授權轉接筆數,['11696']
信用卡業務統計_NEW,['104096']
信用卡發卡機構差別循環信用利率,['11713']
信用卡發卡機構年費收取方式,['11712']
信用卡簽帳金額及筆數,['11697']
信用卡重要業務及財務資訊揭露,['10533']
信用卡重要業務與財務資訊,['45209']
信用卡預借現金金額及筆數,['11698']
信用合作社主要財務資料指標,['11153']
信用合作社主要財務資料指標-依季別,['11151']
信用合作社前置協商電話諮詢窗口、專線電話,['14859']
信用合作社存款業務共通性費用收取方式彙整表,['11583']
信用合作社排名表,['20393']
信用合作社放款業務共通性費用收取方式彙整表,['11584']
信用合作社業FATCA註冊情形統計彙整表,['14861']
信用合作社業務區域,['14858']
信用合作社標售不良債權售後申訴處理窗口,['14860']
信用合作社無障礙語音ATM設置地點一覽表,['11582']
信用合作社符合輪椅民眾使用ATM設置地點一覽表,['11581']
信用合作社簡介,['14857']
信用合作社資產負債簡表,['28785']
信用合作社辦理民眾申請查詢存款帳戶作業流程,['14862']
信用合作社辦理民眾申請查詢存款帳戶作業說明,['14863']
信用合作社逾放等財務資料,['10518']
信用評等公司基本資料,['44659']
信聯社簡介,['14856']
信託投資及票券金融公司業務統計_NEW,['104091']
信託業安養信託性別統計表,['113839']
個人購置房屋契約價格資料(已去識別化),['11724']
個股期貨商品每月平均成交金額(區分股票與ETF),['49081']
個股選擇權商品每月平均成交金額(權利金-區分股票與ETF),['52800']
個股類全市場部位限制,['11602']
停止公開發行公司名單,['30877']
債券持有對象分析,['11453']
債券發行概況表_NEW,['103538']
債券還本付息資料,['11455']
內控聲明書-信用合作社,['10416']
內控聲明書-壽險公司,['10420']
內控聲明書-外國銀行,['10414']
內控聲明書-本國銀行,['10413']
內控聲明書-產險公司,['10421']
內控聲明書-票券金融公司,['10417']
內控聲明書-證券商,['10418']
內控聲明書-證券投資信託公司,['10419']
內控聲明書-金融控股公司,['10412']
兩岸金融業務統計表,['28787']
兩性持卡人於各行業別總簽帳金額及筆數,['38311']
公債發行資料下載,['11402']
公司治理評鑑指標說明(證基會),['11686']
公司股務單位資料,['11449']
公會公文(中華民國保險經紀人商業同業公會),['15309']
公會最新消息(中華民國保險經紀人商業同業公會),['15311']
公會活動花絮(中華民國保險經紀人商業同業公會),['15310']
公發公司綜合損益表-一般業,['97152']
公發公司綜合損益表-保險業,['97154']
公發公司綜合損益表-異業,['97155']
公發公司綜合損益表-證券期貨業,['97151']
公發公司綜合損益表-金控業,['97153']
公發公司綜合損益表-金融業,['97150']
公發公司董監事持股餘額明細資料,['104212']
公發公司資產負債表-一般業,['97146']
公發公司資產負債表-保險業,['97148']
公發公司資產負債表-異業,['97149']
公發公司資產負債表-證券期貨業,['97145']
公發公司資產負債表-金控業,['97147']
公發公司資產負債表-金融業,['97144']
公開收購常見違規態樣彙總表,['11198']
公開發行公司基本資料,['28567']
公開發行公司每月營業收入彙總表,['94026']
公開發行公司海外有價證券發行概況統計表_NEW,['103539']
公開發行公司申報募集與發行有價證券(含減資)案件退件原因說明表,['42687']
公開發行公司申報案件,['72739']
公開發行公司股票發行概況統計表_New,['103533']
兼營期貨商每股淨值明細表,['22657']
兼營期貨商每股稅前盈餘統計表,['24222']
兼營期貨商稅前損益排序表,['24223']
兼營期貨商稅前累計損益彙總表,['24224']
兼營期貨商稅前累計損益明細表,['24225']
再保費統計表,['14508']
再保賠款統計表,['14509']
出售受接管、清理、清算機構保留資產,['11150']
分擔案件分析(財團法人汽車交通事故特別補償基金),['11525']
利率期貨商品每月平均成交金額,['49082']
到期契約履約交割,['11345']
到期契約履約交割-利率類,['33359']
到期契約履約交割-匯率期貨類,['44108']
到期契約履約交割-匯率類,['34063']
到期契約履約交割-商品類,['34062']
到期契約履約交割-期貨商品,['22655']
到期契約履約交割-股價指數期貨類,['31754']
到期契約履約交割-股價指數選擇權類,['32425']
到期契約履約交割-股票期貨類,['32487']
到期契約履約交割-股票選擇權,['33358']
到期契約履約交割-選擇權商品,['22656']
券商業務別人員數,['18421']
創櫃公司於登錄創櫃板前辦理籌資資訊查詢,['11749']
創櫃公司辦理中籌資資訊,['11748']
創櫃板公司之負責人性別分析,['30879']
創櫃板公司市場現況,['33352']
創櫃板公司資訊,['34088']
創櫃板公司透過籌資系統辦理籌資資訊,['44116']
創櫃板辦理中籌資資訊,['44114']
匯率類期貨每月平均成交金額,['55020']
十6縣居民跨境消費樣態,['38314']
十6縣居民跨縣市消費樣態,['38315']
十6縣持卡人前十大國外消費金額及筆數(依簽帳筆數排名),['63029']
十6縣持卡人前十大國外消費金額及筆數(依簽帳金額排名),['63030']
升降幅度/首5日無漲跌幅 > 股價升降幅度,['11873']
升降幅度/首5日無漲跌幅 > 首5日無漲跌幅,['11659']
可轉債資產交換ASO及ASW銀行承作餘額,['25041']
可轉換公司債月分析表,['11462']
台灣地區活動斷層表(財團法人住宅地震保險基金),['11445']
台灣資產證券化商品核准統計表_NEW,['119743']
台灣資產證券化商品發行統計表_NEW,['119735']
台灣金融研訓院場地簡介,['11578']
台灣金融研訓院場租服務項目,['11579']
台灣金融研訓院年報資料,['11577']
台灣金融研訓院捐助單位,['11576']
各信用卡業務機構對網路交易所採行之防盜刷機制彙整表,['73195']
各信用卡發卡機構紅利點數使用期限及範圍彙整表,['73194']
各券商每月月計表/收支概況表資料,['20764']
各商品年成交量統計表,['20674']
各國證券市場上市公司家數比較_NEW,['103957']
各國證券市場上市公司市值總額比較 _NEW,['103955']
各國證券市場市值總額佔GDP比率表_NEW,['103952']
各國證券市場成交值週轉率比較_NEW,['103938']
各國證券市場成交金額比較_NEW,['103951']
各國證券市場本益比比較_NEW,['103937']
各國證券市場股價指數比較_NEW,['104142']
各年收入族群女性持卡人於6都消費樣態,['79292']
各年收入族群女性持卡人於十6縣消費樣態,['79294']
各年收入族群女性持卡人於各行業別總簽帳金額及筆數,['79296']
各年收入族群持卡人各行業別總簽帳金額及筆數,['38316']
各年收入族群持卡人於6都消費樣態,['38317']
各年收入族群持卡人於十6縣消費樣態,['38318']
各年收入族群男性持卡人於6都消費樣態,['79291']
各年收入族群男性持卡人於十6縣消費樣態,['79293']
各年收入族群男性持卡人於各行業別總簽帳金額及筆數,['79295']
各年齡層女性持卡人於6都消費樣態,['79286']
各年齡層女性持卡人於十6縣消費樣態,['79288']
各年齡層女性持卡人於各行業別總簽帳金額及筆數,['79290']
各年齡層持卡人於6都消費樣態,['38319']
各年齡層持卡人於十6縣消費樣態,['38320']
各年齡層持卡人於各行業別總簽帳金額及筆數,['38321']
各年齡層男性持卡人於6都消費樣態,['79285']
各年齡層男性持卡人於十6縣消費樣態,['79287']
各年齡層男性持卡人於各行業別總簽帳金額及筆數,['79289']
各性別持卡人於6都消費樣態,['38322']
各性別持卡人於十6縣消費樣態,['38323']
各教育程度女性持卡人於6都消費樣態,['79304']
各教育程度女性持卡人於十6縣消費樣態,['79306']
各教育程度女性持卡人於各行業別總簽帳金額及筆數,['79308']
各教育程度持卡人各行業別總簽帳金額及筆數,['38324']
各教育程度持卡人於6都消費樣態,['38325']
各教育程度持卡人於十6縣消費樣態,['38326']
各教育程度男性持卡人於6都消費樣態,['79303']
各教育程度男性持卡人於十6縣消費樣態,['79305']
各教育程度男性持卡人於各行業別總簽帳金額及筆數,['79307']
各發卡機構通報之詐欺金額,['11703']
各種準備金累積狀況 (財團法人住宅地震保險基金),['11429']
各職業類別女性持卡人於6都消費樣態,['79298']
各職業類別女性持卡人於十6縣消費樣態,['79300']
各職業類別女性持卡人於各行業別總簽帳金額及筆數,['79302']
各職業類別持卡人各行業別總簽帳金額及筆數,['38327']
各職業類別持卡人於6都消費樣態,['38328']
各職業類別男性持卡人於6都消費樣態,['79297']
各職業類別男性持卡人於十6縣消費樣態,['79299']
各職業類別男性持卡人於各行業別總簽帳金額及筆數,['79301']
各金融機構共通性費用資訊彙整表(信合社),['6226']
各金融機構共通性費用資訊彙整表(銀行),['6225']
各銀行呆帳資訊揭露網址,['10685']
向本公司申請上市之本國公司,['11586']
商品年成交量統計-利率類,['36473']
商品年成交量統計-匯率類,['44107']
商品年成交量統計-商品類,['36474']
商品年成交量統計-指數期貨,['36475']
商品年成交量統計-指數選擇權,['36476']
商品年成交量統計-股票期貨,['36477']
商品年成交量統計-股票選擇權,['36478']
商品類期貨每月平均成交金額,['52801']
商品類選擇權每月平均成交金額(權利金),['52802']
單位決算,['10400']
單位預算,['10378']
單筆權證成交資料,['25040']
固定收益商品債券存摺開立統計年報表,['20616']
固定收益商品債券存摺開立統計月報表,['20615']
固定收益證券發行資料,['11450']
國人從事國外期貨交易統計表_NEW,['104016']
國內個別期貨契約交易概況明細表_NEW,['103909']
國內個別選擇權契約交易概況明細表_NEW,['103910']
國內期貨及選擇權契約交易概況明細表_NEW,['103922']
國內期貨及選擇權契約交易概況表_NEW,['103907']
國內期貨契約交易概況明細表_NEW,['103920']
國內期貨契約交易概況表 _NEW,['103918']
國內選擇權契約交易概況明細表_NEW,['103912']
國內選擇權契約交易概況表_NEW,['104143']
國庫券成交資訊,['11467']
國庫券買賣斷成交行情資訊,['11468']
國情統計資料表(保險事業發展中心),['13513']
國際企業及機構來台籌資金額,['129364']
國際債券(一般投資人),['36807']
國際債券(僅售予專業投資人者),['36808']
國際債券(寶島債券)-外國發行人(在我國未公開發行股權商品者)發行資料下載,['11412']
國際債券(寶島債券)-本國發行人及第1、2上市(櫃)公司之外國發行人發行資料下載,['11411']
國際債券當日盤中報價行情表(含寶島債),['34109']
國際債券當日盤中成交行情表(含寶島債),['34110']
團體訴訟案件進行中案件彙總表,['11774']
境外基金交易平台業務量統計表,['11461']
境外基金基本資料,['11639']
境外基金基金總覽-全球型基金,['37818']
境外基金基金總覽-其他基金類型,['58216']
境外基金基金總覽-其他計價幣別基金,['37819']
境外基金基金總覽-區域型基金,['37820']
境外基金基金總覽-單1國家型基金,['37821']
境外基金基金總覽-固定收益型,['58212']
境外基金基金總覽-平衡型,['58213']
境外基金基金總覽-指數股票型(ETF),['58215']
境外基金基金總覽-日圓計價基金,['37822']
境外基金基金總覽-歐元計價基金,['37823']
境外基金基金總覽-美元計價基金,['37824']
