( 竹山鎮鹿谷鄉)公告現值公告地價資料,['97188']
原住民族家庭服務中心,['129911']
原住民業務聯絡窗口,['129922']
原住民部落文化健康站,['129396']
原始捐贈之財團法人一覽表,['94609']
各地區公廁基本資料,['38350']
各級學校基本資料,['38376']
各鄉鎮市歲入預決算(按來源別分),"['91978', '127405']"
各鄉鎮市歲出預決算(按分),"['91993', '127410']"
各鄉鎮農產品,['94798']
各醫療院所卡介苗接種日程表,['126866']
各項稅捐實徵數,"['91989', '127404']"
各項稅捐納庫數,"['91985', '127412']"
各項稅收稽徵人力,['78390']
各項稅收稽徵成本,['78394']
各類房屋折舊率及耐用年數標準表,['78639']
合作社,['94922']
合法保全公司,['78644']
合法私立公墓一覽表,['38294']
合法私立火化場一覽表,['38293']
名間鄉防災避難地圖,['87336']
單親家庭服務提供單位,['94232']
噪音監測,['38784']
國姓鄉防災避難地圖,['87337']
國民年金服務據點,['110050']
土地增值稅稅源結構分析,['111948']
土地建物登記管理,['38409']
土地筆數面積公告地價,['38390']
地價稅滯納期滿徵績表,['78393']
地價稅稅源結構分析,['111946']
埔里鎮防災避難地圖,['87342']
大型復康巴士租借據點,['110056']
太極美地,['38367']
失智共照中心,['126749']
失智症服務及資源提供單位,['110363']
失智社區服務據點,['126621']
失業者職業訓練,['129393']
失蹤人口統計,['78643']
契稅稅源結構分析,['111949']
娛樂稅稅源結構分析,['113360']
婦女大學,['129918']
婦女福利服務中心,['94917']
學區劃分表,['38292']
家庭/社會福利服務中心,['94235']
家庭暴力及性侵害防治中心,['94928']
專戶存款支票兌付地點,['78404']
專用公路路線表,['102382']
就業服務據點,"['38370', '94912']"
居家托育人員數,['129915']
居家托育服務中心,['38355']
居家托育服務單位,['94234']
居家服務提供單位名冊,['38372']
居家護理機構,['94916']
工會名冊,['94905']
工會名單,['38383']
已登記土地筆數面積,['38414']
廢食用油回收合格清除機構,['38295']
形象商圈聯絡資訊,['38392']
復康巴士服務單位,['110351']
志願服務推廣中心/志願服務協會,['110400']
快樂廚房,['110354']
急難救助提供單位,['94904']
愛心待用店,['110340']
成年心智障礙者社區居住與獨立生活服務單位,['129910']
房屋地段等級評定表,['78635']
房屋標準單價表,['78637']
房屋稅徵績,['78405']
房屋稅稅源結構分析,['111950']
指定開設身心障礙者牙科特別門診資訊,['128618']
推展部落文化健康站,['38413']
教會堂,['38386']
文化基金會一覽表,['38412']
文化局文化資產叢書一覽表,['38422']
文化設施,['38381']
文化資產,['38360']
新住民家庭服務中心,['94925']
日間照顧中心,['94903']
早期療育服務個案管理中心,['91981']
早期療育服務通報轉介中心,['91990']
早期療育申請數,['129894']
易發生交通肇事案件資料,['38304']
最近土地增值稅稅源統計表,['92246']
最近地價稅稅源統計表,['92244']
最近契稅綜合統計表,['92245']
最近房屋稅綜合統計表,['92247']
有機農場,['94803']
未變性酒精販賣業者查詢,['78396']
村里辦公室,['110348']
查(核)定開徵數情形,['78392']
機車排放空氣污染物檢驗站,['38384']
歲入預決算(按來源別分),"['91988', '127403']"
歲出預決算(按分),"['91980', '127406']"
歷年財政狀況,"['91991', '127411']"
水里鄉防災避難地圖,['87341']
法律扶助設置點,['110058']
法律諮詢服務律師輪值表,['110051']
流感抗病毒藥劑合約醫療機構名冊一覽表,['78391']
流感疫苗接種合約院所,['95971']
消費者來源分析,['95029']
消費者偏好分析,['95043']
消費者採購價格分析,['95040']
消防局各單位地圖,['38393']
消防局檢修申報執行統計,['78408']
消防局消防安全列管數量統計,['78412']
消防局燃氣熱水器承裝業及其技術士合格名冊,['78410']
消防局防焰制度執行情形,['78398']
火災次數分類及時間月報,['78402']
災害應變中心,['129916']
無障礙廁所,['109933']
無障礙廁所(公共建築物),['130052']
無障礙廁所(友善餐廳),['130053']
照顧服務員專班訓練,['129909']
營業基金及非營業特種基金盈虧(餘絀),"['91987', '127409']"
特殊教育學校/服務提供單位,['110336']
獨居老人服務單位,['129919']
環保旅店名單,['38363']
環境教育設施場所名單,['38356']
產銷履歷清冊,['94804']
病媒防治業及環境用藥販賣者名冊,['38394']
社區活動中心,['94906']
社區照顧關懷據點,['38417']
社區產業行銷補助單位,['110064']
社區發展協會,['94910']
社會救助補助項目,['112567']
社會福利基金會,['94923']
祥和志工隊,['129392']
私立幼兒園通訊資料,['38385']
稅務局全功能服務櫃臺統計表,['96795']
稅務局推動高齡者參與志願服務成果統計表,['96794']
稅務局推展志願服務志工人數及服務成果,['96796']
稅務局歲入來源別決算表,['78473']
稅務局歲入來源別預算表,['78387']
稅務局歲出決算表,['78406']
稅務局歲出預算表,['57505']
稅捐未徵數情形,['78389']
立案人民團體,['129917']
立案人民團體公益活動獲補助單位,['129394']
立案演藝團體一覽表,['38378']
竹山鎮防災避難地圖,['87340']
綜合大樓親子放映室播放影片節目表,['78401']
綠色商店名單,['38395']
縣公庫收支,"['91982', '127408']"
縣庫支付年報表,"['78397', '92207']"
老人文康、福利服務中心,['94913']
老人機構名冊,['38353']
老人福利機構,['94929']
老人餐飲服務提供單位,['94908']
臨時暨短期照顧服務提供單位,['110343']
臺灣銀行股份有限公司南投分公司擬轉委託代理縣分庫暨代收稅款處之金融機構一覽表 (106.3.17版),['78409']
舉辦大型活動調查表,"['99528', '113909']"
草屯鎮-公告現值公告地價資料,['97189']
草屯鎮防災避難地圖,['87338']
菸酒製造業者資料查詢,['38421']
藝文活動,['38365']
衛生安全製茶場名單,['94800']
補習班,['38307']
視覺障礙者生活重建服務單位,['110334']
視障按摩點,['110352']
設置哺集乳室場所,['118729']
警察局固定式自動測速照相桿,['38357']
警察局所屬各單位地址及聯絡方式,['38298']
警察局業務職掌,['38296']
警察局警光山莊,['78640']
警察局違規車輛保管場,['78638']
財產量值總目錄,['92208']
資訊大樓假日親子電影院(親子放映室)播放影片節目表,['38364']
身心障礙住宿機構,['94919']
身心障礙團體,['110052']
身心障礙庇護工場,['110344']
身心障礙托育養護服務提供單位,['94907']
身心障礙日間服務機構,['94914']
身心障礙機構名冊,['38362']
身心障礙福利服務中心,['94930']
身心障礙者家庭托顧服務單位,['129920']
身心障礙者手語翻譯服務提供單位,['129924']
身心障礙者生涯轉銜服務提供單位,['110355']
身心障礙者社區日間作業設施,['110349']
身心障礙者社區樂活補給站,['110345']
身心障礙鑑定醫院,['94924']
身心障礙餐飲服務提供單位,['94921']
輔具服務單位,['94909']
轄儲蓄互助社資料查詢名單,['38418']
轄內危險水域清冊,['38777']
農場,['94797']
農會產銷班概況,['94801']
農村再生社區,['94794']
農民概況,['94802']
農特商家介紹,['95044']
農特商家介紹(伴手禮盒館),['94796']
農特商家介紹(根莖蔬菜館),['95042']
農特商家介紹(水果館),['95028']
農特商家介紹(茶葉博覽館),['94795']
農特產品介紹,['95032']
農特產品介紹(伴手禮盒館),['95031']
農特產品介紹(根莖蔬菜館),['95037']
農特產品介紹(水果館),['95038']
農特產品介紹(茶葉博覽館),['95041']
農產品產期,['94792']
遊民及路倒病人委託安置機構,['129925']
道路交通事故資料統計表,['78636']
避難收容所位置及收容人數,['94902']
都市計畫區公園一覽表,['127415']
鄉鎮市公庫收支,"['91983', '127407']"
鄉鎮市區公所,['110346']
鄉鎮市戶政事務所,['110060']
醫事機構辦理巷弄長照站單位,['126785']
金融機構分布,"['91984', '127413']"
金融機構存放、款餘額,"['91986', '127414']"
金融財稅統計年報,"['38375', '38377', '38380', '38415', '78642', '126940']"
長期照顧據點,['110339']
長期照顧管理中心,['94920']
長照2.0出院準備服務暨復能多元服務單位,['126786']
長青大學,['129395']
長青活力站,['94926']
防災避難地圖,['38775']
防空避難設備統計表,['78641']
集集鎮防災避難地圖,['87343']
電梯設備工程費概算表,['78634']
青年職涯發展中心暨創客基地,"['94915', '110055']"
預防接種合約院所,['126787']
食(實)物銀行,['94911']
食(實)物銀行各鄉(鄉、市)傳統餐食商店公告名單,['110063']
餐盒食品工廠名冊,['38776']
餐飲衛生優良店,['38301']
高風險家庭關懷輔導處遇服務提供單位,['94233']
高齡友善藥局,['110350']
高齡友善餐廳,['110353']
魚池鄉防災避難地圖,['87339']
鹿谷鄉防災避難地圖,['87333']
