104法定預算,['12580']
原住民族經濟戶長平均儲蓄金額-依年齡、教育程度分,['91675']
原住民族經濟戶長平均投資金額-依年齡、教育程度分,['91676']
原住民族經濟戶長平均每人月收入-依性別、年齡教育程度分,['91736']
原住民族經濟戶長平均每月收入,['91816']
原住民族經濟戶長年齡分布,['91820']
原住民族綜合發展基金會計月報,"['21056', '21072', '21077', '21079', '21082', '21085', '21088', '28944', '29988', '29989', '29991', '29993', '29999']"
原住民族綜合發展基金附屬單位決算,"['21045', '112727']"
原住民族綜合發展基金附屬單位預算,['112726']
原住民族綜合發展基金附屬單位預算案,['12631']
原住民族老人及身心障礙機構式服務生活資材費用補助計畫執行情形統計表,['112910']
原住民族自治法草案研商會議簡報,['112908']
原住民族部落大學辦理情形,"['58864', '95817']"
原住民族部落永續發展造景計畫第1次核定明細表,['107184']
原住民族部落活力計畫各縣市執行成果,['89974']
原住民族部落活力計畫成果,['112909']
原住民族部落特色道路改善計畫工程經費核定明細表第1次核定,['107189']
原住民族部落特色道路改善計畫工程經費核定明細表第2次核定,['107190']
原住民族部落特色道路改善計畫工程經費核定明細表第3次核定,['107191']
原住民族部落特色道路改善計畫工程經費核定明細表第3次核定調整,['107192']
原住民族部落調查,['7094']
原住民族音樂專輯介紹,['7143']
原住民族餐廳,['7101']
原住民族高中職以下學校學生家庭情形統計,['17210']
原住民有酬就業者的每月主要工作收入,['91825']
原住民未參與勞動原因,['7140']
原住民民族別認定辦法第9條第3項-新民族別之原屬民族別體系表,['112705']
原住民網路學院課程內容,['7145']
原住民老人日間關懷站通訊錄,['7124']
原住民藝術工作者駐村計畫錄取名單,['7134']
原住民部落大學補助計畫,['112712']
原住民鄉鎮衛生所通訊錄,['7123']
原民文學及出版品,['7103']
原民會主管機關公共建設維護管理機制彙整表,['129523']
原民會歷年補助各縣市設置民族教育資源教室一覽表,['7113']
原民溫泉介紹,['7095']
原民特色景點,['7119']
原民相關博物館,['7097']
原民部落體驗,['7120']
原鄉住宿資訊,['7100']
原鄉地區傳統遺址及生態資源維護計畫書,['91877']
原鄉地區土地及自然資源保育計畫,['129525']
原鄉旅遊路線,['7128']
參加社會與個人保險之種類,['17187']
及性別統計專區資料填報表,['11178']
台灣原住民文化園區管理局單位決算,['21323']
台灣原住民族古道簡介資料,['7149']
台灣原住民族文化園區文化體驗時間表,['10076']
台灣原住民族文化園區歌舞表演時間表,['10077']
台灣原住民族產品拓銷據點計畫-寄銷業者入選名單,['7142']
台閩縣市原住民族人口,['10135']
台閩縣市鄉鎮市區原住民族人口,"['54957', '58287', '58288', '58289', '58290', '58291', '58292', '58322', '58323', '58324', '85908', '85996', '86025', '86027', '86028', '86098', '86099', '86100', '86101', '86102', '99713', '99727', '99728', '99729', '99730', '99731', '99732', '99733', '99736', '99742', '101694', '101695', '107193', '126482', '126486', '126490', '126492', '126494', '126495', '126496', '126497', '126498', '126500', '126512', '126513', '130163']"
各級學校原住民學生族籍分布,['91737']
單位決算,"['21087', '28699', '45005']"
單位決算表,['112719']
單位預算,"['28517', '40034']"
單位預算(法定預算),['44037']
單位預算會計月報,"['21062', '21068', '21069', '21070', '21071', '21075', '21076', '21928', '24205', '28694', '28695', '28696', '28697', '28698', '33024', '33025', '33026', '45004', '45006', '45007', '45008', '45009', '45010', '45011', '45012', '45013', '45014', '45346', '46063', '52598', '54215', '56455', '76507', '76508', '76509', '76510', '78431', '79669', '81256', '81257', '86113', '89929', '89931', '94805', '96193', '98974', '98975', '99682', '100821', '102015', '104193', '104848', '107019', '107955', '111855', '111856', '119900']"
單位預算表,['112721']
單位預算補助地方政府情形,['7104']
單位預算補助地方政府明細表-決算,['112709']
單位預算補助地方政府明細表〈決算〉,"['32176', '32177', '32178']"
嚴重特殊傳染性肺炎防治及紓困振興特別預算收支執行狀況月報表,['122871']
國民年金原住民族給付總發放人數發放金額及受益比統計表,['112698']
地方文物館參觀人次,"['59764', '79699']"
地方文物館參觀人次統計含活動展演,['99680']
地方文物館參觀統計,['91510']
培育原住民族社會工作專業人才獎勵統計表,['112685']
大專校院原住民學生獎助學金結案報告,"['91778', '112711']"
大專校院原住民學生獎助學金統計表,['112696']
大專院校原住民族獎助學金各獲獎類別學生族別統計,['93932']
專為原住民族學生設置原住民族教育文化學生社團,['7114']
就業資訊管道利用情形,"['17188', '17189']"
工作場所中有無因原住民的身分受歧視,['17186']
工程採購案件,['129526']
工程查核案件,"['91657', '91658', '91659', '91660', '91661', '91662', '91663', '91665', '91666', '91669', '91670', '91673', '107174', '107175', '107176', '107177', '107178', '107179', '107180', '107181', '107182', '107183', '107187', '107188', '130068']"
巨額採購案件,['129528']
已施工查核案件,['91511']
平埔族群部落活力計畫各縣市執行成果,['89973']
平埔族聚落活力計畫成果,['112765']
截至底公告金額以上採購案件一覽表,['107953']
截至底勞務採購案件一覽表,['107956']
截至底原住民族廠商得標採購案件一覽表,['107960']
截至底採購案件一覽表,['107957']
截至底未達公告金額採購案件一覽表,['107952']
截至底財物採購案件一覽表,['107958']
截至底非原住民族廠商得標採購案件一覽表,['107959']
拓銷據點,['58333']
拜訪部落-擁抱25條臺灣原住民私房景點路線,['6085']
採購案件,['129533']
採購案件一覽表,['107195']
採購標案公開上網資訊,['107194']
採購標案公開資訊,['130160']
文健站通訊錄一覽表,['107072']
文化園區管理局法定預算,['12582']
文化發展中心會計月報及收支執行狀況月報表,"['112713', '112714']"
新原住民族音樂專輯介紹,['112699']
未達公告金額採購案件,['129529']
查核金額採購案件,['129530']
核定部落結果,['7093']
檔案應用申請列表,['79941']
歷年原住民族傳統領域調查成果範圍,['45350']
歷年台閩縣市原住民族人口,['6082']
歷年台閩縣市原住民族人口-按性別年齡,['10136']
歷年台閩縣市鄉鎮市區原住民族人口,['10140']
歷年台閩縣市鄉鎮市區原住民族人口-原鄉人數統計,['10143']
歷年台閩縣市鄉鎮市區原住民族人口-按性別年齡,['10134']
歷年台閩縣市鄉鎮市區原住民族人口-都會比例,['10146']
經建處歷年補助原民產業,['7129']
經濟戶長教育程度,['91818']
綜合發展基金貸款案件報表,['130153']
綜合發展基金貸款案件月報表,['112710']
職員年齡一覽表,"['89253', '107069']"
職員年齡年度一覽表,['129538']
職員年齡性別教育程度(學位)分析一覽表,['30247']
職員性別一覽表,"['89187', '107066']"
職員性別年度一覽表,['129539']
職員族別一覽表,"['89186', '107071']"
職員族別年度一覽表,['129540']
職員最高教育程度(學位)一覽表,"['89189', '107068']"
職員最高教育程度年度一覽表,['129541']
職業災害,['17190']
臺灣原住民族圖書資訊中心典藏書目,['7148']
臺灣原住民族圖書資訊中心研究資源,['7147']
臺灣原住民族圖書資訊中心電子報目錄,['7136']
臺灣原住民族地方文化館,['7096']
臺灣原住民族數位典藏應用服務-傳統聚落與古道,['59766']
臺灣原住民族文學獎,['6084']
臺灣原住民族產品拓銷據點,['7109']
臺灣原住民族經濟狀況調查報告,['90323']
行政院原住民族基本法推動會第10次委員會議紀錄,['112706']
行政院文化園區管理局單位決算,['32217']
行政院文化園區管理局單位預算,['32206']
行政院文化園區管理局會計月報,"['25182', '25183', '25184', '32203', '32209', '32210', '32211', '32212', '32213', '33330', '36391', '36392', '37551', '39072', '41187']"
行政院文化園區管理局會計月報2,['37558']
行政院文化園區管理局預算案,['21714']
行政院文化管理局會計月報,"['21315', '21316', '21317', '21318', '21319', '21320', '21321', '21712']"
補助團體及私人情形季報表,['28947']
補助團體私人情形,['7105']
補助地方政府原住民文化館改善計畫之單位預算補助地方政府經費明細表,['112715']
補助經濟弱勢原住民建購及修繕住宅核定戶數,"['95823', '107185', '129522']"
補辦增劃編原住民保留地工作計畫暨增劃編原住民保留地複丈分割工作計畫,['91875']
補辦增劃編原住民保留地暨複丈分割工作計畫,['107087']
補辦增劃編原住民保留地行政院核定筆數及面積,['73709']
財物採購案件,['129532']
資料開放諮詢小組委員名單,['112683']
資料開放諮詢小組會議紀錄,['79104']
輔導精實創業通過名單之創新組名單,['95821']
輔導精實創業通過名單之創業組名單,['95820']
部落圖書資訊站,['7121']
部落大學,['7130']
部落學校,['7135']
部落安居作業核定明細表,['107186']
部落文化健康站通訊錄,['95818']
部落生態旅遊套裝行程路線,['93928']
部落生態旅遊套裝行程路線表,['91634']
開放資料集,['112708']
非原住民廠商得標採購案件,['129537']
