108公費流感抗病毒藥劑合約配置點,['122111']
稅務局多元繳稅統計,"['128081', '128082', '128084', '128085', '128086']"
稅務局志工服務時數,['128026']
稅務局服務通訊錄,['33607']
稅務局臨櫃繳稅件數統計,['128057']
稅務局遠端視訊服務件數,['128031']
空品淨化區資訊,['41859']
空氣中總懸浮微粒及落塵量檢驗結果,['41726']
立案護理之家,['36524']
精神復健機構,['36613']
精神護理之家,['36558']
精神醫療資源概況表,['36487']
糖尿病健康促進機構名單,['122106']
糖尿病視網膜篩檢轉介眼科資源名單,['122107']
統籌分配稅款收入情形,['127553']
統計年報-交通運輸類,"['39021', '95948', '108119']"
統計年報-人口類,"['39010', '95934', '108114']"
統計年報-土地類,"['38761', '95938', '108115']"
統計年報-工、商業及縣建設類,"['39013', '95943', '108120']"
統計年報-行政組織類,"['39012', '95945', '108118']"
統計年報-農、林、漁、牧類,"['39026', '95955', '108117']"
統計年報-金融、財稅類,"['39015', '95963', '108116']"
綠色商店,['32205']
縣政信箱1999資訊,['46188']
老人文康、福利服務中心,['97421']
老人福利機構,['97420']
職業工會名冊,['128279']
聽力篩檢及確診醫療院所名單,['37432']
臨時暨短期照顧服務提供單位,['114364']
自行監控藥物、化粧品平面媒體、電視(台)及網路產品廣告統計表,['39321']
自行車竊盜點位資訊,['37557']
藥癮戒治機構,['36480']
街友服務據點,['97504']
衛生局 游泳場所水質抽驗結果清冊,['37447']
衛生局游泳場所水質抽驗結果清冊,['128830']
衛生所列表,['97500']
衛生掩埋場地址,['35419']
視覺障礙者生活重建服務單位,['114360']
視障按摩點,['114355']
訴願、再審案件收辦統計表,"['33993', '44039', '77806', '99535', '118470']"
訴願案件統計資料,['35315']
訴願決定經行政法院裁判結果及撤銷理由分析表,"['44645', '77807', '99538', '118469', '128047']"
警察局110案件統計表,['37566']
警察局110電話抽訪情形,['37567']
警察局A1A2類道路交通事故-道路類別及型態別,['37523']
警察局A1A2類道路交通事故統計表,['37524']
警察局A1A2類道路交通事故統計表-時間別,['37521']
警察局A1A2類道路交通事故統計表-車種別,['37522']
警察局依公益勸募條例辦理公開徵信捐款資料,['37542']
警察局受理警察刑事紀錄證明案件統計表,['37537']
警察局各分局所屬分駐(派出)所數量一覽表,['37534']
警察局員警好人好事優良事蹟統計表,['37568']
警察局固定式違規照相設備設置地點,['37519']
警察局執行家戶訪查發現及處理戶口(籍)案件成果統計表,['37561']
警察局暨各分局所屬分駐(派出)所地址、電話一覽表,['37535']
警察局查獲侵害智慧財產權案件成果,['37516']
警察局查獲經濟案件統計,['37515']
警察局業務職掌,['37570']
警察局歲出預算編列暨執行統計,['37548']
警察局民眾申請國家賠償案件統計表,['37543']
警察局處理家庭暴力案件統計表,['37532']
警察局處理違反社會秩序維護法案件統計表,['37552']
警察局警察人員傷亡人數統計表,['37545']
警察局警察人員職員退休、資遣、撫卹人數統計表,['37546']
警察局警用車輛油料管理報表,['37569']
警察局路口錄影監視系統建置位置一覽表,['37536']
警察局轄內A1A2類肇事因素分析統計表,['37528']
警察局道路交通事故-時間別(A1類),['37527']
警察局防空避難設備統計表,['37544']
護理之家,['114351']
資訊安全管理小組(委員),['30379']
身心障礙住宿機構,['97413']
身心障礙庇護工場,['114366']
身心障礙托育養護服務提供單位,['97441']
身心障礙日間照顧機構,['97415']
身心障礙福利中心,['97414']
身心障礙者家庭托顧據點,['97506']
身心障礙者復康巴士服務,['97503']
身心障礙者牙科特約醫療機構列表,['36510']
身心障礙者牙醫醫療院所,['97505']
身心障礙者生涯轉銜服務提供單位,['114365']
身心障礙者社區日間作業設施,['97507']
身心障礙者社區樂活補給站,['114363']
身心障礙鑑定醫院,['114346']
身心障礙餐飲服務提供單位,['97439']
輔具服務單位,['97425']
轄內各急救責任醫院一覽表,['36557']
辦理國家賠償事件收結情形表,"['75402', '106288', '114675']"
辦理國家賠償案件收結情形表,['44038']
農業合作社場名冊-網站公告最新版,['127216']
農藥廢容器回收方式,['35425']
通過「油品安心標章」評核業者名單,['39121']
通過醬油安心標章名單,['74944']
通過餐飲衛生管理分級評核名單,"['39118', '74908']"
違反廢棄物清理法案件檢舉及獎勵辦法,['41861']
違反毒品危害防制條例行政裁罰執行狀況統計表,['37553']
避難收容所位置及收容人數,['97431']
鄉鎮市區公所,['114356']
醫事檢驗所名冊,['122109']
醫美診所,['37425']
長期照顧管理中心,['114350']
長青學苑(含樂齡學習中心),['114374']
長青食堂,['97514']
防毒保衛站藥局名單,['122663']
雲林好實在、便民好服務,['104011']
電動機車充電站一覽表,['33987']
電梯設備現值標準表(起適用),['30545']
預防接種衛生所及合約醫療院所名冊,['36634']
食品衛生專區,['37449']
飲用水水質抽驗檢驗結果,['35436']
飼料廠名單,['127331']
餐飲服務提供單位,['97438']
高再犯危險之性侵害加害人人數統計表,['37531']
高風險家庭關懷輔導處遇服務提供單位,['97428']
高齡友善藥局,['114354']
黃金資收站設置資訊,['35418']
