中小學優良課外讀物推介目錄,['25874']
典藏目錄-金屬類,['8778']
典藏目錄-陶瓷類,['8775']
典藏目錄-陶藝類,['8768']
典藏目錄-雕塑類,['8762']
典藏目錄-雜誌期刊類,['8728']
典藏目錄-音樂資料類,['8748']
典藏目錄-飲食用具類,['8740']
典藏目錄-魚類,['8716']
典藏目錄-鳥類,['8723']
典藏網類別統計,['25064']
出版書目資料,['35215']
創意園區,['7184']
動漫新書快訊,['24966']
博物館,['6242']
原住民族獎補助專區,['55643']
及所屬有限取用資料清單,['36752']
史前博物館考古學習,['25284']
史前館典藏目錄,['35292']
史前館會計月報,['105074']
史前館決算及會計相關報表,['34434']
史前館預算報表,['34655']
史博館典藏目錄,['35288']
史博館支付或接受之補助相關報表,['34428']
史博館會計報告,['127861']
史博館決算報表,['127874']
史博館預算報表,['127860']
史博館點點年表資料,['34709']
國內佛學團體網址連結一覽表,['10110']
國家文化資料庫-地理,['7717']
國家文化資料庫-工藝,['7726']
國家文化資料庫-建築,['7728']
國家文化資料庫-戲劇,['7729']
國家文化資料庫-教育,['7722']
國家文化資料庫-文學,['7724']
國家文化資料庫-歷史,['7718']
國家文化資料庫-民俗,['7723']
國家文化資料庫-法政,['7720']
國家文化資料庫-社會學,['7719']
國家文化資料庫-經濟,['7721']
國家文化資料庫-美術,['7725']
國家文化資料庫-舞蹈,['7730']
國家文化資料庫-設計,['7727']
國家文化資料庫-電影,['7731']
國家文化資料庫-音樂,['7732']
國家與地方考試文化行政類錄取人數統計,['103025']
國家電影中心典藏目錄,['35360']
國民記憶庫故事資料,['24967']
國父紀念館典藏目錄,['35285']
國父紀念館影音平台,['115858']
國父紀念館決算及會計相關報表,['34426']
國父紀念館預算報表,['34620']
國立中正紀念堂管理處-館藏圖書目錄,['40157']
國立傳統藝術中心-館藏圖書目錄,['40162']
國立國父紀念館-館藏圖書目錄,['40151']
國立臺灣交響樂團-館藏圖書目錄,['40160']
國立臺灣史前文化博物館-館藏圖書目錄,['40154']
國立臺灣工藝研究發展中心-館藏圖書目錄,['40155']
國立臺灣文學館-館藏圖書目錄,['40152']
國立臺灣歷史博物館-館藏圖書目錄,['40159']
國立臺灣美術館-館藏圖書目錄,['40163']
國美館2015亞洲藝術雙年展資料,['25853']
國美館典藏目錄,['35289']
國美館決算報表,['34429']
國美館第十7屆國際版畫雙年展資料,['25854']
國美館預算報表,['34623']
國臺交典藏目錄,['35293']
國臺交影音目錄,['44675']
在台蒙胞人數統計表,['6852']
地方文化館,['6244']
大陸藏僧來台弘法人次統計表,['7623']
展覽資訊,['6012']
工藝中心典藏目錄,['35290']
工藝中心工藝社區,['25855']
工藝中心影音目錄,['68611']
工藝中心會計月報,['34430']
工藝中心決算報表,['103467']
工藝中心臺灣工藝之家,['6245']
工藝中心預算報表,['34624']
廣播金鐘獎入圍及得獎名單,['28353']
廣播金鐘獎得獎名單,['59822']
彰化美學館典藏目錄,['35300']
彰化美學館最新公告,['39349']
彰化美學館決算及會計相關報表,['34442']
彰化美學館法規命令,['39350']
彰化美學館預算報表,['34661']
影視及流行音樂產業資訊平臺創用CC授權影片,['55066']
影視及流行音樂產業資訊平臺新聞稿,['55065']
影視局公款補助國內團體情形季報表,['41353']
影視局國片暨紀錄片影像教育扎根活動資料,['75278']
影視局會計報告,['41342']
影視局決算報表,['34424']
影視局預算報表,['34618']
徵選活動,['6007']
我國國產與進口影片核定准演部數統計,['103022']
戲劇表演資訊,['6016']
振興3倍券通訊交易適用業者名單,['127637']
接受及支付補助金資料,['45000']
政府公開資訊,['105022']
文創商店,['6223']
文創產業家數與營業額統計資訊,['103019']
文創育成中心資訊,['24652']
文化事務財團法人名錄,['8169']
文化志工統計,['103017']
文化新聞稿,['7404']
文化行政據點,['6221']
文化資料開放推動綱要計畫,['27416']
文化資料開放諮詢小組委員名單,['35270']
文化資料開放諮詢小組會議,['27332']
文化資產局-館藏圖書目錄,['40122']
文化資產局台灣世界遺產潛力點資料,['25054']
文化資產局文化資產人才培訓手冊,['25053']
文資局傳統工藝,['114140']
文資局傳統知識與實踐,['113750']
文資局傳統表演藝術,['114126']
文資局口述傳統,['113747']
文資局古物,['114132']
文資局古蹟,['6246']
文資局史蹟,['114131']
文資局接受及支付補助金,['103220']
文資局文化景觀,['6402']
文資局歷史建築,['6965']
文資局民俗,['114143']
文資局決算及會計相關報表,['34423']
文資局紀念建築,['114129']
文資局聚落,['6966']
文資局遺址,['6967']
文資局預算報表,['34604']
新住民主題區藝文活動,['35505']
新竹美學館典藏目錄,['35299']
新竹美學館影音目錄,['89781']
新竹美學館會計月報表,['34660']
新竹美學館業務統計,['102821']
新竹美學館法規及行政規則,['102819']
新竹美學館預算及決算相關報表,['34441']
新聞公告,['105043']
施政計畫,['10771']
書面之公共工程及採購契約,['103140']
最新蒙藏重要訊息,['6738']
會計報告,['35634']
東美館支付及接受之補助,['126581']
東美館政策宣導廣告相關執行情形,['126766']
東美館會計統計報表,['126580']
東美館業務統計,['126582']
東美館決算報表,['126579']
東美館預算報表,['34467']
查詢單1文化設施詳細資料,['10043']
查詢單1活動詳細資料,['10045']
查詢單1類別文化設施資料,['10046']
查詢單1類別未過期活動資料,['10042']
業務統計,['10770']
決算報表,['20949']
流行音樂金曲獎歷屆得獎入圍名單,['58037']
海外藏僧來台弘法人次統計表,['7621']
演唱會,['6013']
特色圖書館,['6222']
獎補助-報名資訊,['8119']
獎補助-要點,['8118']
獎補助已結案核銷案件,['24171']
獨立書店,['6224']
獨立音樂,['6006']
研究報告,['28158']
研習課程,['8117']
社區,['6243']
競賽活動,['6008']
第1屆至第10屆電視節目劇本創作獎得獎名單,['59824']
經緯度查詢附近文化設施資料,['10047']
經緯度查詢附近未過期活動,['10044']
綜藝活動,['6009']
臺南美學館影音目錄,['114592']
臺南美學館捐補助辦法,['103135']
臺南美學館施政計畫,['103134']
臺南美學館業務統計,['94849']
臺南美學館行政法規,['94848']
臺南美學館預算報表,['94222']
臺南館會計報告,['94390']
臺南館決算報表,['94389']
臺博館典藏目錄,['35291']
臺博館新聞公告,['38256']
臺博館施政計劃,['103133']
臺博館會計月報,['34432']
臺博館預算及決算書,['34625']
臺史博典藏目錄,['35294']
臺史博書面之公共工程及採購契約,['39345']
臺史博最新消息,['39329']
臺史博決算及會計相關報表,['34437']
臺史博法規及行政規則,['39344']
臺史博預算報表,['34657']
臺文館全台詩知識庫-現代詩作品目錄,['25285']
臺文館全台詩知識庫-詩社目錄,['25289']
臺文館全台詩知識庫-詩選1百首目錄,['25288']
臺文館典藏目錄,['35295']
臺文館台灣e散文-最新作品目錄,['25286']
臺文館台灣文學年鑑目錄,['25283']
臺文館台灣民間文學歌仔冊資料庫-欣賞目錄,['122553']
臺文館台灣現代詩網路聯盟-最新作品目錄,['25287']
臺文館局預算報表,['34658']
臺文館影音目錄,['49916']
臺文館徵稿訊息,['39326']
臺文館新聞專區,['39324']
臺文館會計相關報表,['105932']
臺文館決算報表,['34438']
臺文館行政公告,['39327']
臺文館訊息快報,['39325']
臺灣原創流行音樂大獎歷屆得獎入圍名單,['58038']
舞蹈表演資訊,['6015']
蒙古檢察官司法研習班統計表,['6731']
蒙古法官司法研習班統計表,['6732']
蒙古統計資料,['5946']
蒙古警察警政研習班統計表,['6733']
蒙藏ㄧ般文物統計表,['6853']
蒙藏人才之培育及工作績效統計表,['6858']
蒙藏培訓援外志工統計表,['7622']
蒙藏委員會內部各委員會、任務編組及財團法人之性別統計表,['6861']
蒙藏委員會內部訓練出席人數性別統計,['6863']
蒙藏委員會員工人數統計表,['6862']
蒙藏委員會大事記,['7624']
蒙藏委員會訓練及活動參加人數性別統計,['6864']
蒙藏學術資訊明細表,['42329']
蒙藏性別主流化訓練統計表,['5947']
蒙藏性別年齡統計表,['6737']
蒙藏文化中心臉書瀏覽人數統計表,['6736']
蒙藏文物展覽參觀人數統計表,['6734']
蒙藏族輔導成果統計表,['6857']
蒙藏最新出版品一覽表,['10106']
蒙藏業務支出統計表,['6859']
蒙藏珍貴文物統計表,['6854']
蒙藏籍學生蒙藏語文班上課人數統計表,['6735']
蒙藏藝文活動明細表,['32859']
蒙藏補助團體私人情形季報表,['5943']
蒙藏課程辦理明細表,['36371']
蒙藏重要活動明細表,['28912']
藏族節慶簡表,['10115']
藝文中心,['7183']
藝文活動-主題推薦,['25290']
藝文活動-所有類別,['6478']
藝文活動-節慶專區,['25292']
藝文資源整合網之文化設施筆數統計,['35502']
藝文資源整合網之活動筆數統計,['35501']
藝術村,['7185']
行政院文化獎得獎名單,['24964']
街頭藝人展演空間資訊,['35504']
街頭藝人資訊,['35507']
西藏統計資料,['5945']
西藏資訊查詢網址一覽表,['10109']
親子活動,['6014']
訴願案件收辦統計,['24173']
認識電影數位電影教材,['53048']
講座資訊,['6011']
資料盤點成果表,['32134']
輔導蒙藏族人口地域分布性別統計表,['6855']
輔導蒙藏族人口年齡層性別統計表,['6856']
金視獎得獎名單,"['28352', '59825']"
金音創作獎歷屆入圍得獎名單,['58040']
金鼎獎得獎名單,['25856']
閱讀活動,['77720']
電影,['6010']
電影片分級及相關資訊,['59820']
電視金鐘獎入圍及得獎名單,['54339']
電視金鐘獎得獎名單,['59823']
革命群英小傳,['52571']
音樂表演資訊,['6017']
預算報表,['10854']
駐外單位藝文活動辦理統計,['8163']
高等教育推廣教育中心名錄,['103023']
