ID,NAME,PUBLISHED_DATE,VIEWS,DOWNLOADS,COMMENTS
6056,勞工育樂中心訊息,2013/03/31,6453,715,0
6058,新制勞工退休基金歷年最低保證收益率,2013/03/31,5719,1112,0
6059,就業博覽會及現場徵才資訊,2013/03/31,13075,2038,3
6060,職業訓練課程資訊,2013/03/31,25225,2684,8
6061,勞保局各地辦事處,2013/03/31,5360,813,1
6062,勞工保險局業管年金給付介紹,2013/03/31,4341,883,0
6064,用電統計資料,2014/03/13,56363,9682,18
6065,加油站服務資訊,2013/04/01,16382,3330,7
6066,國內定期航線月份班表,2017/07/20,6815,853,0
6068,顯著有感地震報告,2017/02/14,243079,1193010,14
6069,一般天氣預報-今明36小時天氣預報,2015/12/29,58915,48677,2
6071,金廈(五通)及石井航線航班表,2016/08/10,6484,695,1
6072,馬祖小三通(南竿福澳-琅岐、北竿白沙-黃岐)航班表,2016/08/11,6434,924,0
6073,南部科學園區園區活動通報資訊,2013/04/01,4298,305,0
6075,空氣品質監測站基本資料,2013/05/22,28185,9015,8
6076,紫外線即時監測資料,2013/05/22,89874,44071,19
6077,紫外線測站基本資料,2013/05/22,7998,2428,0
6078,河川水質監測資料,2013/05/22,10215,2868,3
6079,河川水質測點基本資料(含地理圖資),2013/05/22,9911,2872,0
6081,原住民族歲時祭儀放假日期,2013/10/15,5140,905,0
6082,歷年台閩縣市原住民族人口-按性別族別,2013/08/29,4678,806,3
6083,原住民十大特色美食,2013/08/29,8587,3468,0
6084,101年臺灣原住民族文學獎,2013/10/15,3786,712,0
6085,拜訪部落-擁抱25條臺灣原住民私房景點路線,2013/04/01,11975,2462,2
6086,幼兒園名錄,2014/08/01,24369,7945,5
6087,國民小學名錄,2014/08/01,18918,6433,0
6088,國民中學名錄,2014/08/01,8321,2321,1
6089,一般高級中等學校名錄,2014/08/01,14154,4274,3
6090,獨立高級中等進修學校名錄,2014/08/01,7347,1189,1
6091,大專校院名錄,2014/08/01,33623,13231,7
6092,第2批書畫類文物後設資料,2013/04/01,3553,212,0
6093,第1批書畫類文物後設資料,2013/04/01,4086,285,0
6099,景氣指標及燈號,2013/04/03,58344,2844,10
6100,臺灣採購經理人指數,2013/04/03,7666,725,1
6101,人口推計,2013/04/03,7715,768,0
6102,0-0 都市及區域發展統計彙編,2013/04/03,7882,635,0
6104,大陸地區人民來臺從事文教交流統計,2014/09/24,3992,422,0
6105,大陸人士來臺從事文教交流核准數,2014/09/24,3533,196,0
6106,金馬小三通航運人員往來統計月報,2014/09/24,3429,509,0
6109,海外僑民團體數,2013/04/03,3826,663,0
6110,海外華文學校、中文班分布情形,2013/04/03,3563,580,0
6111,海外信用保證基金承保案件統計,2013/04/03,3390,435,0
6112,各級學校及海青班在學僑生人數統計,2013/04/03,3918,498,0
6113,辦理華僑身分證明書、護照加簽僑居身分及役政用華僑身分證明書案件,2013/04/03,4030,420,1
6119,駐外館處通訊錄,2013/04/09,3528,273,0
6120,駐華使館及機構通訊錄,2013/04/09,3068,260,0
6121,全國郵局ATM分佈,2017/03/09,15541,3791,3
6122,退輔會所屬醫療機構基本資料,2013/04/09,4576,274,0
6123,退輔會所屬醫療機構開設病床數,2013/04/09,4043,277,0
6124,退輔會所屬安養機構基本資料,2013/04/09,3820,382,0
6125,退輔會所屬安養機構現有床位數,2013/04/09,4429,557,0
6126,退輔會所屬農林遊憩區基本資料,2013/04/09,3859,265,0
6127,多層次傳銷-已完成報備名單,2013/04/09,8432,554,2
6128,多層次傳銷-尚待補正名單,2013/04/09,2891,322,0
6129,多層次傳銷-搬遷不明及無營業跡象名單,2013/04/09,3083,249,0
6130,多層次傳銷-已起訴或判決名單,2013/04/09,3452,301,0
6131,多層次傳銷事業報備家數統計,2013/04/09,3031,200,0
6132,歷年重大交通事故地點資料,2014/03/13,18192,3456,1
6133,不符合食品資訊資料集,2014/09/25,27198,2826,3
6134,藥局基本資料,2014/09/19,73848,24597,14
6135,第1批器物類文物後設資料,2013/04/11,3696,189,0
6136,第2批器物類文物後設資料,2013/04/11,3540,150,0
6137,第3批器物類文物後設資料,2013/04/11,3488,145,0
6138,鐵路時刻表,2016/04/26,106208,15389,53
6139,基隆港國際線旅客船船期表,2015/12/29,8361,854,1
6140,高雄港郵輪船期,2016/07/11,13345,10759,0
6141,花蓮港務分公司觀光郵輪各航次進出港預報表,2015/12/29,6210,453,0
6152,屏東農業生物技術園區進駐企業資訊,2013/06/11,2782,413,0
6153,微型創業鳳凰創業課程,2013/04/22,6362,541,1
6154,勞動及職業安全衛生研究所_各年度研究報告,2013/04/22,3895,1407,1
6155,決標金額前5大之決標公告,2013/04/22,8383,342,2
6156,各科執業技師人數統計,2013/04/25,5668,563,0
6157,中央氣象局颱風路徑及預報,2013/04/26,10761,5607,2
6158,中央氣象局颱風暴潮觀測,2013/04/26,5509,718,0
6159,中央氣象局雷達回波,2013/04/26,27113,159972,13
6160,中央氣象局雨量觀測-日累積圖,2013/04/26,16991,8588,4
6161,中央氣象局雨量站觀測資料,2013/04/26,117022,66384,17
6162,中央氣象局颱風侵襲機率,2013/04/26,7944,1637,2
6163,水土保持局土石流潛勢溪流(新北市),2013/04/26,7553,1268,0
6164,水利署淹水警戒,2013/04/26,8980,2022,0
6165,水利署水庫洩洪警戒,2013/04/26,5707,741,0
6166,中央氣象局豪大雨特報,2013/04/29,14260,8558,0
6167,中央氣象局地震報告,2013/04/29,12337,5368,1
6168,中央氣象局海嘯警報,2013/04/29,6625,1922,0
6169,水土保持局土石流紅黃警戒,2013/04/29,10512,3080,3
6170,中央氣象局颱風警報,2013/04/29,8788,2925,2
6171,水利署河川水位警戒,2013/04/29,11476,2633,3
6172,全國財產稅籍持有人數統計表,2013/04/30,8137,2487,3
6173,台糖加油站據點資訊,2013/05/02,7959,1096,1
6174,無線上網熱點列表,2016/05/05,8322,1190,1
6176,臺南市政府道路挖掘案件資料,2017/09/02,3543,305,0
6177,臺南市政府工務局在建工程列表,2017/09/02,3578,356,0
6178,臺南市私立托嬰中心名冊暨收費標準一覽表,2017/04/14,5875,895,0
6179,臺南市兒少安置機構名冊,2017/04/14,6346,946,1
6180,衛教資訊,2013/05/02,6638,844,1
6182,公園基本資料,2015/10/07,4150,642,0
6183,臺南景點,2017/07/14,8711,2276,3
6184,臺南餐飲,2017/07/14,6639,1532,2
6185,國軍鳥擊防制資料,2013/05/03,4427,415,0
6191,各縣市國軍英雄館基本資料表,2013/05/07,4132,336,0
6195,國軍協助災害防救,2013/05/08,9880,712,5
6202,國軍文藝活動中心活動檔期,2013/05/13,9464,444,0
6206,國軍加強河川野溪疏濬,2013/05/23,4630,210,0
6209,台灣桃園國際機場無線上網熱點位置,2017/03/24,4602,432,0
6210,國軍醫院基本資料,2013/06/13,9565,683,4
6215,本期發布之預售屋買賣實價登錄批次資料,2014/03/13,15294,5482,2
6216,機車使用狀況調查,2016/05/11,35413,7211,18
6218,高速公路局各服務區顧客服務專線一覽表,2015/12/29,4217,364,0
6219,文化部公共藝術,2013/07/08,37355,19534,1
6221,文化行政據點,2013/07/08,4158,421,0
6222,特色圖書館,2013/07/08,5424,1557,0
6223,文創商店,2013/07/08,7424,1410,0
6224,獨立書店,2013/07/08,13452,5598,5
6225,各金融機構共通性費用資訊彙整表(銀行),2013/07/10,5906,729,1
6226,各金融機構共通性費用資訊彙整表(信合社),2013/07/10,3948,310,0
6227,高速公路延車公里統計,2016/04/28,6204,822,0
6229,學生體重平均值(6歲-15歲),2013/08/30,14686,4805,0
6230,十二年國民基本教育-適性輔導影片,2013/08/30,3149,268,0
6231,大專院校校別學生數,2015/01/30,31674,36230,1
6232,大專院校校別專任教師數,2015/01/30,6049,1297,0
6233,大專校院校別專任教師數－學歷別,2015/01/30,5205,869,0
6234,大專院校校別班級數,2013/08/01,4284,553,0
6235,大專校院校別畢業生人數(上學年度),2015/01/30,4531,945,0
6236,宗教研修學院概況－按校別分,2015/01/30,4573,689,0
6237,空大及大專進修學校概況,2015/01/30,3488,497,0
6238,高級中等學校校別資料(含進修部(學校)),2015/01/30,4225,855,0
6239,國民中學校別資料,2015/01/30,5552,1009,0
6240,國民小學校別資料,2015/01/30,6088,1374,0
6241,補習學校校別資料,2015/01/30,3646,624,0
6242,博物館,2013/08/30,8802,1915,5
6243,文化部社區,2013/08/30,11293,1480,6
6244,地方文化館,2013/08/30,6875,845,2
6245,工藝中心臺灣工藝之家,2013/08/30,7900,705,3
6246,文資局古蹟,2013/08/30,10855,2570,5
6247,婦幼安全警示地點,2014/03/13,56878,57046,20
6248,民眾日常使用運具狀況調查,2016/08/01,26841,8184,6
6249,小客貨車租賃業營運狀況調查,2016/05/11,10710,1403,1
6250,自行車使用狀況調查,2016/05/11,11469,1675,5
6251,民眾對交通部施政措施滿意度調查,2016/05/11,8843,1219,1
6252,計程車營運狀況調查,2016/11/01,14394,3478,2
6253,遊覽車營運狀況調查,2016/11/01,12673,1412,7
6258,勞保投保薪資分級表,2013/09/06,22572,3340,0
6259,勞就保保險費分擔金額表,2013/09/06,5189,1009,0
6260,職業工會會員勞保月負擔保險費金額表,2013/09/06,6013,848,0
6261,漁會會員勞保月負擔保險費金額表,2013/09/06,4075,492,0
6262,職業災害保險適用行業別及費率表,2013/09/06,19299,3868,1
6264,投保農會名稱與地址一覽表,2013/09/06,2392,444,0
6266,直轄市或縣（市）政府辦理身心障礙鑑定指定醫療機構名冊,2013/09/06,3345,361,0
6267,國民年金保險費代收及轉帳代繳金融機構一覽表,2013/09/06,3533,293,0
6268,勞工保險局委託代收、轉帳保險費金融機構一覽表,2013/09/06,2557,269,0
6269,職業工會、漁會欠費名單,2013/09/06,6003,867,1
6270,勞工保險預防職業病健康檢查之檢查對象及項目,2013/09/06,4316,350,1
6271,衛生福利部評鑑合格之醫院名單,2013/09/06,31722,8090,1
6272,勞工退休金繳納方式,2013/09/06,3848,493,0
6273,勞退個人專戶查詢管道,2013/09/06,4246,563,0
6274,勞工退休金月提繳分級表,2013/09/06,9651,1166,0
6275,積欠工資墊償歷年統計,2013/09/06,2570,438,0
6276,積欠工資墊償追償統計,2013/09/06,2663,476,0
6278,工會團體名冊,2013/09/06,8969,2961,2
6279,勞動基準法適用公告,2013/09/06,3666,546,0
6280,勞動基準法第84條之1核定工作者,2013/09/06,6060,1221,0
6281,基本工資之制定與調整經過,2013/09/06,7240,1036,2
6283,學生身高平均值(6歲-15歲),2013/09/06,58466,9385,0
6284,國小學生體位趨勢,2013/09/06,10295,2170,2
6285,特殊教育學校名錄,2013/09/06,3025,399,0
6286,大專校院校別職員.警衛.工友人數,2015/01/30,3190,574,0
6287,大專校院校地校舍面積統計,2015/01/30,12540,3603,0
6288,大專校院圖書館統計,2015/01/30,10776,2979,3
6289,大專校院境外學生人數統計,2015/02/05,13871,7711,0
6290,大專校院外籍專任教師統計－按校別、性別與職級別分,2015/01/30,3212,540,0
6291,大專校院外籍專任教師統計－按校別、國別、性別與職級別分,2015/01/30,3584,620,0
6292,十月慶典回國僑胞報到人數,2013/09/06,2442,177,0
6293,函授教育入學及結業學生人數,2013/09/06,2050,168,0
6294,大專院校畢業僑生人數,2013/09/06,2505,278,0
6295,僑民對九二一大地震之反應及捐款情形,2013/09/06,2617,176,0
6296,台灣勞工季刊,2013/09/13,14086,878,6
6297,國際環保新聞週報,2013/07/25,5341,819,0
6298,環保新聞,2013/09/10,3733,959,0
6299,海外僑教中心地址及聯絡資訊,2013/09/13,2470,162,0
6300,歷屆美洲各地中華會館、中華公所、華僑總會聯誼會召開年會時間及地點,2013/09/13,2609,162,0
6301,歷屆歐洲華僑團體聯誼會召開年會時間及地點,2013/09/13,2333,141,0
6302,歷屆中美洲暨巴拿馬六國中華、華僑總會聯合總會召開年會時間及地點,2013/09/13,2698,137,0
6303,核發華僑身分證明書案件─按僑居地別分,2013/09/13,2225,157,0
6304,僑務委員會議資料表,2013/09/13,2351,214,0
6305,消費者物價商品性質分類指數,2013/09/13,4788,829,0
6306,自用小客車使用狀況調查,2016/05/11,18781,3504,5
6307,汽車貨運調查,2016/08/22,8458,1254,0
6308,水質資訊,2013/09/25,11087,1851,7
6309,供水人口及普及率,2013/09/25,7773,973,5
6310,深溝水源生態園區介紹,2013/09/25,2857,282,0
6311,奧林匹亞競賽歷年參賽成績,2013/09/25,4077,494,2
6312,高級中等學校實用技能學程核班情形,2013/09/25,3390,384,1
6313,建教合作班核班情形,2013/09/25,2650,354,0
6314,十二年國民基本教育-國中活化教學列車影片,2013/09/25,2656,206,0
6315,國民中小學教科書審定通過表,2013/09/25,2678,183,0
6316,國家教育研究院專案研究報告,2013/09/25,2992,193,0
6317,國際教育訊息電子報,2013/09/25,3187,184,0
6318,愛學網電視館,2013/09/25,6392,181,0
6319,教育學學術名詞,2013/09/25,2919,164,0
6320,中央機關一般職稱雙語詞彙,2013/09/25,25490,6631,1
6321,國立教育廣播電臺公告事項,2013/09/25,1926,171,0
6322,國立教育廣播電臺大事紀要,2013/09/25,2421,173,0
6323,國立教育廣播電臺文教新聞,2013/09/25,2388,201,0
6324,國立教育廣播電臺節目快訊,2013/09/25,2380,193,0
6325,0-1 都市及區域發展指標,2013/09/28,3364,297,0
6326,1-1 土地面積、戶數、人口數、人口密度、年齡結構及扶養比例,2013/09/28,5140,824,0
6327,1-2 土地面積、戶數、人口數、人口密度、年齡結構及扶養比例按主要都市分,2013/09/28,5730,618,2
6328,1-3 人口成長,2013/09/28,3024,336,0
6329,1-4 人口成長按主要都市分,2013/09/28,2798,247,0
6330,1-5 農戶與非農戶人口,2013/09/28,2411,213,0
6331,園區土地資訊,2013/09/30,4131,469,1
6332,園區標準廠房資訊,2013/09/30,3440,397,0
6333,園區事業別營業額資訊,2013/09/30,2544,216,0
6334,園區事業資金來源資訊,2013/09/30,2172,158,0
6335,園區各業別暨受雇員工平均工資資訊,2013/09/30,4370,281,1
6336,園區水電耗用狀況資訊,2013/09/30,2850,214,0
6337,台糖蜜鄰便利超市據點資訊,2013/09/30,5793,403,0
6338,貨品輸出入規定資料 (統計參考用),2013/10/02,4447,622,0
6339,中油主產品牌價,2013/10/02,24771,3638,14
6340,通過臺灣職業安全衛生管理系統(TOSHMS)驗證之事業單位名單,2013/10/02,3439,322,0
6341,勞工安全衛生教育訓練單位評鑑結果績優名單,2013/10/02,3850,309,0
6342,沙塵預報資料,2013/09/10,3512,740,0
6343,全國細懸浮微粒手動監測資料,2013/09/10,6471,3079,1
6344,土壤及地下水污染管制區公告資料,2013/09/10,9158,1639,0
6345,水庫水質監測資料,2013/08/08,4940,1186,1
6348,區域性地下水水質監測資料,2013/08/08,3413,625,0
6349,空氣品質預報資料,2013/10/02,16228,62646,9
6351,土壤及地下水污染場址基本資料,2013/07/29,4736,831,0
6352,機車排氣定檢站資料,2013/07/29,5159,840,1
6353,環境空氣戴奧辛監測資料,2013/09/06,5152,1015,2
6354,列管毒性化學物質毒理資料,2013/08/08,4382,651,0
6355,自來水水質抽驗結果(依件數),2013/08/23,2933,492,0
6356,自來水水質抽驗結果(依項目),2013/08/23,3202,572,1
6357,包裝及盛裝飲用水水源水質抽驗結果,2013/08/23,2961,569,1
6358,應回收廢棄物回收業者資料,2013/07/29,6697,819,1
6359,應回收廢棄物處理業者資料,2013/07/29,3196,678,0
6360,全國各縣市清潔隊資料,2013/07/29,4141,551,1
6361,環境影響評估案件摘要資料,2013/08/08,2729,479,0
6362,列管污染源基本資料發布,2013/08/08,11165,1427,5
6363,公民營廢棄物清除機構資料,2013/07/29,4535,619,1
6364,廢行動通訊產品回收點資料,2013/07/29,2514,373,0
6365,焚化廠基本資料,2013/07/29,2924,510,0
6366,焚化廠營運月報,2013/08/08,2678,490,0
6367,焚化廠營運年報,2013/08/08,2449,383,1
6368,焚化廠空污監測資料,2013/08/08,3032,657,0
6371,焚化廠底渣原始檢測資料,2013/10/02,2759,390,0
6372,環境教育設施場所認證資料,2013/07/29,4455,462,0
6373,環境教育機構認證資料,2013/07/29,2558,364,0
6374,環境檢驗測定機構許可資料,2013/07/29,7587,521,2
6375,機動車輛測定機構許可資料,2013/07/29,2433,367,0
6376,區域性地下水水質測站位置圖,2013/08/08,3935,669,0
6377,全國飲用水水源水質保護區範圍圖,2013/08/08,8662,1665,4
6378,交通噪音監測站位置圖,2013/08/08,4566,593,1
6379,空氣污染防制區範圍圖,2013/08/23,6666,973,2
6380,空氣品質區範圍圖,2013/08/08,6279,1280,1
6381,環境噪音監測站位置圖,2013/08/08,3216,455,0
6382,土壤319公頃_調查區一公頃範圍圖,2013/08/23,3296,462,0
6383,土壤319公頃_一公頃一採樣點位置圖,2013/08/23,3115,403,0
6384,土壤污染管制區範圍圖,2013/08/23,7685,1103,3
6386,垃圾掩埋場位置圖,2013/09/26,6630,1326,0
6387,垃圾掩埋場復育場址位置圖,2013/09/26,5763,800,1
6388,垃圾掩埋場範圍圖,2013/09/26,5524,764,1
6389,焚化爐廠區範圍圖,2013/09/26,2935,583,0
6390,公害陳情案件分佈位置圖,2013/09/27,6651,956,7
6392,公害陳情警示區域範圍圖,2013/09/27,3846,558,1
6393,環保專案摘要資料,2013/09/24,2854,347,0
6394,區域性地下水水質監測井基本資料,2013/09/17,10051,1477,2
6395,水庫水質監測點基本資料,2013/09/17,3410,793,0
6399,癌症發生統計,2014/04/20,61785,8479,15
6400,遊戲軟體分級,2013/11/29,5648,1242,0
6401,反傾銷稅案件之產業損害調查處理情形,2013/10/03,2845,353,0
6402,文資局文化景觀,2013/10/03,6430,2133,1
6403,加工出口區近年進出口貿易值,2013/10/07,3722,688,0
6406,全國休閒農業區旅遊資訊,2015/03/24,8302,2928,1
6407,國民年金保險被保險人應負擔保險費金額表,2013/10/07,3753,375,0
6408,勞保局出版品,2013/10/07,2909,591,0
6409,採購專業人員訓練班代訓機構招生中開課清單,2013/10/07,3433,297,0
6410,近1年工程採購案廠商於同一機關得標20件以上之廠商及機關名,2013/10/08,2849,184,0
6411,優良廠商名單,2013/10/08,12792,2369,1
6412,醫院癌症資源中心名單,2014/03/31,5149,701,2
6413,來到農村住一晚-休閒農場住宿資訊,2015/03/30,7924,1973,5
6414,全國漁會產品資訊,2013/03/21,2752,360,0
6416,微型創業鳳凰諮詢顧問名單,2013/10/09,6770,703,2
6419,行政院院會決議,2013/10/09,2991,295,0
6420,行政院即時新聞,2013/10/09,4611,900,2
6421,行政院消費者保護會-消費者保護新聞稿,2013/10/09,2632,293,0
6422,行政院消費者保護會-消費資（警）訊,2013/10/09,3017,399,0
6423,國立自然科學博物館展示資源,2013/10/09,2451,231,0
6424,國立自然科學博物館最新消息,2013/10/09,2483,214,0
6425,公共圖書館統計,2013/10/09,10447,810,0
6427,退輔會全球資訊網站最新消息,2013/10/09,5088,187,0
6428,退輔會福壽山農場網站最新消息,2013/10/09,2237,146,0
6429,家庭收支調查-家庭收支重要指標,2013/10/09,5026,868,1
6430,退輔會102年度榮民服務處進修訓練課程資訊,2013/10/15,2178,136,0
6431,火焚、污破損新臺幣券幣鑑定暨兌換作業,2013/10/15,2611,159,0
6432,國際投資部位統計,2013/10/15,2707,177,0
6433,與我國簽署投資保障(證)協定國家一覽表,2013/10/17,2701,287,0
6434,海外服務業會展商情,2013/10/17,5465,512,1
6435,專利案件數量統計,2013/10/17,7545,657,2
6436,商標案件數量統計,2013/10/17,2533,263,0
6437,商標專有名詞中英對照,2013/10/17,2922,228,0
6438,進口砂石裝卸量統計表,2013/10/17,6559,904,0
6439,水利署疏濬資訊(2013年9月以後),2017/09/12,5153,15875,0
6440,經濟部能源局_已開業加氣站分布情況,2013/10/17,3654,563,0
6441,經濟部能源局_澎湖低碳島電動機車充電站位置,2013/10/17,4858,334,0
6442,經濟部能源局_節能績優獎,2013/10/17,3003,221,0
6443,垃圾郵件攔阻數據統計,2013/10/17,2815,399,0
6444,第二類電信業者名單及其營業項目,2013/10/17,7278,590,0
6445,無線調頻(FM)廣播電臺頻率及發射機位址,2013/10/17,3099,268,0
6446,無線調幅(AM)廣播電臺頻率及發射機位址,2013/10/17,3477,242,0
6447,勞工退休金服務電話,2013/10/18,2093,300,0
6448,勞工保險局積欠工資墊償當年各月墊償統計資料,2013/10/18,3133,349,0
6449,新制勞工退休基金歷年最近月份收益率,2013/10/18,5750,1996,0
6452,產證簽發單位相關資訊,2013/10/23,3982,435,0
6453,國立自然科學博物館學習資源,2013/10/23,2307,189,0
6454,國立公共資訊圖書館期刊訂閱一覽表,2013/10/23,2673,278,0
6455,國立公共資訊圖書館獎助博碩士論文,2013/10/23,2809,323,0
6456,國立公共資訊圖書館聽視障資訊中心館藏目錄清單,2013/10/23,3019,608,0
6457,國立科學工藝博物館遺失物資訊,2013/10/23,1943,172,0
6458,乳房X光攝影認證醫療機構,2014/04/20,3802,318,0
6459,公平會101年度案件處理統計,2013/10/23,2079,157,0
6460,公平會101年收辦案件-按性質別統計,2013/10/23,2640,219,0
6461,公平會101年收辦案件辦結率統計,2013/10/23,2057,167,0
6462,公平會101年檢舉案處理結果,2013/10/23,2204,155,0
6463,公平會101年檢舉者及被檢舉者身分類別結構,2013/10/23,1931,171,0
6464,公平會101年被檢舉者行業別結構,2013/10/23,1967,128,0
6465,公平會101年涉及公平交易法之檢舉案件行為態樣統計,2013/10/23,2116,224,0
6466,公平會101年檢舉案處分件數統計-按違反公平交易法行為別分,2013/10/23,1720,163,0
6467,公平會101年請釋案處理概況,2013/10/23,1812,154,0
6468,公平會101年請釋者身分類別結構,2013/10/23,1952,236,0
6469,優良市集,2013/10/25,5136,492,1
6470,綠色市集,2013/10/25,3729,456,0
6471,認證名攤,2013/10/25,3850,411,0
6472,國立科學工藝博物館推廣教育活動訊息,2013/10/25,2387,318,0
6473,醫院病床統計,2013/10/25,50252,6751,15
6474,醫院人力統計,2013/10/25,7940,959,1
6475,醫院科別統計,2013/10/25,6743,813,1
6476,診所人力統計,2013/10/25,3974,450,1
6477,診所科別統計,2013/10/25,17209,2681,6
6478,藝文活動-所有類別,2013/10/25,6593,1902,2
6479,華文教師回國研習班參加人數,2013/10/25,2203,158,0
